PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
"Any[""Trial-1_PCM-1"", ""Trial-1_PCM-2"", ""Trial-1_PCM-3""]",14.914780286531744,16.441396277452533,10.410758741777514,Error,Error,8.252294098803919,0.9155930317975409,0.41581126950791436,0.0
"Any[""Trial-2_PCM-1"", ""Trial-2_PCM-2"", ""Trial-2_PCM-3""]",13.133655066345732,22.674332435221825,11.227960489769327,Error,Error,4.689371890450406,2.7611729031790837,2.693983940517951,0.0
"Any[""Trial-3_PCM-1"", ""Trial-3_PCM-2"", ""Trial-3_PCM-3""]",10.318847980976276,10.349962271613599,7.701163447410307,Error,Error,6.576989901907953,1.8818234064510806,0.7785656825522498,0.0
"Any[""Trial-4_PCM-1"", ""Trial-4_PCM-2"", ""Trial-4_PCM-3""]",13.604782383982442,13.792407730347401,11.797934799776733,Error,Error,5.831774535934783,1.9403309860264581,3.557478471825781,0.0
"Any[""Trial-5_PCM-1"", ""Trial-5_PCM-2"", ""Trial-5_PCM-3""]",11.151876195297998,10.54198365054375,7.806670414532487,Error,Error,4.702293957801304,2.3677197567540276,2.1783535077635436,0.0
"Any[""Trial-6_PCM-1"", ""Trial-6_PCM-2"", ""Trial-6_PCM-3""]",15.88250646510203,16.555773333902206,13.369427291279427,Error,Error,5.990080910369325,0.7350687876308006,3.7233029316612987,0.0
"Any[""Trial-7_PCM-1"", ""Trial-7_PCM-2"", ""Trial-7_PCM-3""]",12.693652796562624,13.903319375986097,11.427635378463185,Error,Error,5.905110092655416,2.9969096663901897,3.7279221016570983,0.0
"Any[""Trial-8_PCM-1"", ""Trial-8_PCM-2"", ""Trial-8_PCM-3""]",19.508368348975704,22.602879455009443,14.950678473133497,Error,Error,5.570044869373286,4.1337244221786005,3.816274904863314,0.0
"Any[""Trial-9_PCM-1"", ""Trial-9_PCM-2"", ""Trial-9_PCM-3""]",12.472792084459048,13.010690737256352,11.170182910490475,Error,Error,6.413159662944064,3.3857851514796273,2.943891281247069,0.0
"Any[""Trial-10_PCM-1"", ""Trial-10_PCM-2"", ""Trial-10_PCM-3""]",13.709623383150653,14.139211861718401,10.603567687401982,Error,Error,6.596458707545006,0.6254194863654057,2.085451397340343,0.0
"Any[""Trial-11_PCM-1"", ""Trial-11_PCM-2"", ""Trial-11_PCM-3""]",9.939626239152288,10.535767717947785,8.963459926160095,Error,Error,2.7725887222397816,2.003099415003594,1.9420296611610448,0.0
"Any[""Trial-12_PCM-1"", ""Trial-12_PCM-2"", ""Trial-12_PCM-3""]",13.399613601374654,13.9303791831519,9.968158124483537,Error,Error,4.004455851581818,3.5382518171495203,2.967544672759158,0.0
"Any[""Trial-13_PCM-1"", ""Trial-13_PCM-2"", ""Trial-13_PCM-3""]",12.136518691478422,13.051686378530919,10.079553582667506,Error,Error,2.8552453471497783,2.535381267044974,2.3051292987007006,0.0
"Any[""Trial-14_PCM-1"", ""Trial-14_PCM-2"", ""Trial-14_PCM-3""]",14.779254458887685,14.560513673720084,11.26536907954183,Error,Error,5.406678533158141,2.0701264870059406,2.0497468836827286,0.0
"Any[""Trial-15_PCM-1"", ""Trial-15_PCM-2"", ""Trial-15_PCM-3""]",9.207059972563908,10.152226707475315,8.317766166719348,Error,Error,5.6347335028191905,1.100584880833928,1.1269870063388785,8.881784197001252e-16
"Any[""Trial-16_PCM-1"", ""Trial-16_PCM-2"", ""Trial-16_PCM-3""]",12.712215321391778,12.998050642837637,12.241083178766255,1.8978329277947656,Error,5.01445778784346,0.0,0.8925725226180319,0.0
