Trial,PCM,pcm_1,pcm_2,pcm_3,pcm_4,pcm_5,,w_L,w_U
1,1,1.0,1.0,2.0,1.0,2.0,,0.24999999999999983,0.25
1,1,1.0,1.0,3.0,3.0,2.0,,0.24999999999999994,0.37499999999999994
1,1,0.5,0.3333333333333333,1.0,1.0,2.0,,0.1249999999999995,0.12499999999999965
1,1,1.0,0.3333333333333333,1.0,1.0,2.0,,0.1250000000000005,0.2500000000000004
1,1,0.5,0.5,0.5,0.5,1.0,,0.06250000000000022,0.12499999999999993

1,2,1.0,1.0,2.0,1.0,2.0,,0.20270270270270258,0.32432432432432423
1,2,1.0,1.0,3.0,4.0,2.0,,0.3243243243243242,0.3243243243243242
1,2,0.5,0.3333333333333333,1.0,1.0,2.0,,0.10810810810810809,0.10810810810810809
1,2,1.0,0.25,1.0,1.0,1.0,,0.08108108108108104,0.20270270270270307
1,2,0.5,0.5,0.5,1.0,1.0,,0.054054054054054,0.16216216216216212

1,3,1.0,1.0,1.0,1.0,3.0,,0.1818181818181816,0.2545454545454547
1,3,1.0,1.0,3.0,2.0,2.0,,0.25454545454545474,0.3272727272727278
1,3,1.0,0.3333333333333333,1.0,1.0,1.0,,0.10909090909090918,0.18181818181818135
1,3,1.0,0.5,1.0,1.0,3.0,,0.16363636363636394,0.18181818181818163
1,3,0.3333333333333333,0.5,1.0,0.3333333333333333,1.0,,0.06060606060606047,0.12727272727272765

2,1,1.0,1.0,2.0,1.0,1.0,,0.19047619047619072,0.2857142857142854
2,1,1.0,1.0,2.0,2.0,2.0,,0.28571428571428525,0.2857142857142857
2,1,0.5,0.5,1.0,1.0,1.0,,0.14285714285714254,0.14285714285714254
2,1,1.0,0.5,1.0,1.0,2.0,,0.14285714285714313,0.19047619047619094
2,1,1.0,0.5,1.0,0.5,1.0,,0.09523809523809543,0.19047619047619047

2,2,1.0,1.0,1.0,1.0,2.0,,0.18181818181818254,0.2909090909090898
2,2,1.0,1.0,2.0,5.0,6.0,,0.29090909090908973,0.36363636363636476
2,2,1.0,0.5,1.0,1.0,2.0,,0.18181818181818132,0.18181818181818132
2,2,1.0,0.2,1.0,1.0,2.0,,0.07272727272727292,0.18181818181818238
2,2,0.5,0.16666666666666666,0.5,0.5,1.0,,0.060606060606060386,0.09090909090909115

2,3,1.0,1.0,1.0,1.0,2.0,,0.1818181818181817,0.30303030303030276
2,3,1.0,1.0,2.0,5.0,3.0,,0.30303030303030276,0.3030303030303029
2,3,1.0,0.5,1.0,1.0,1.0,,0.15151515151515138,0.18181818181818155
2,3,1.0,0.2,1.0,1.0,2.0,,0.06060606060606059,0.18181818181818188
2,3,0.5,0.3333333333333333,1.0,0.5,1.0,,0.09090909090909122,0.15151515151515196

3,1,1.0,1.0,2.0,1.0,1.0,,0.19047619047619038,0.28571428571428575
3,1,1.0,1.0,2.0,3.0,3.0,,0.2857142857142855,0.2857142857142855
3,1,0.5,0.5,1.0,1.0,1.0,,0.14285714285714254,0.14285714285714254
