Trial,entani論文のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᴸ_3,entani論文のPerfectIncorporation_wᵁ_3,entani論文のCommonGround_wᴸ,entani論文のCommonGround_wᵁ,entani論文のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ_1,entani論文のCommonGround_wᴸ_2,entani論文のCommonGround_wᵁ_2,entani論文のCommonGround_wᴸ_3,entani論文のCommonGround_wᵁ_3,entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,entani論文のPartialIncorporation_wᴸ_3,entani論文のPartialIncorporation_wᵁ_3,entani論文のPartialIncorporation_Ŵ
1,"[0.18181817681818152, 0.2500001999999926, 0.10810816810811362, 0.08108112608107901, 0.054054084054050995]","[0.32432413432433815, 0.37499982000000553, 0.18181817681818155, 0.2499995600000148, 0.16216206716216905]","[0.2499995600000148, 0.2500001999999926, 0.12499994000000185, 0.12499994000000184, 0.062499970000001806]","[0.2500001999999926, 0.37499982000000553, 0.12499994000000364, 0.2499995600000148, 0.1250000999999963]","[0.2027026302027068, 0.32432413432433815, 0.10810816810810761, 0.08108112608107901, 0.054054084054050995]","[0.32432413432433815, 0.32432450432431353, 0.10810816810810761, 0.2027026302027141, 0.16216206716216905]","[0.18181817681818152, 0.25454544754545416, 0.10909090609090892, 0.16363635913636354, 0.060606068106061006]","[0.2545454475454545, 0.32727271827272675, 0.18181817681818152, 0.18181820431818302, 0.1272727237727268]",E,r,E,r,E,r,E,r,"[0.25000019999999823, 0.3243245043243159, 0.10810816810810531, 0.18181820431818235, 0.11885715135750285]","[0.2545454475454545, 0.3243245043243159, 0.12499994000000053, 0.19416472866462142, 0.11885715135750285]","[0.24999956000000384, 0.25000019999999823, 0.12499994000000053, 0.12499994000000053, 0.062499970000000266]","[0.25000019999999823, 0.3749998200000016, 0.12499994000000053, 0.24999956000000384, 0.12500009999999911]","[0.2027026302027061, 0.32432413432433316, 0.10810816810810531, 0.08108112608107898, 0.054054084054052653]","[0.32432413432433316, 0.3243245043243159, 0.10810816810810531, 0.2027026302027061, 0.16216206716216658]","[0.18181817681818166, 0.2545454475454545, 0.109090906090909, 0.1636363591363635, 0.060606068106060784]","[0.2545454475454545, 0.327272718272727, 0.18181817681818166, 0.18181820431818235, 0.12727272377272725]","[[0.25000019999999823, 0.3243245043243159, 0.12499994000000053, 0.18181820431818235, 0.11885715135750285], [0.2545454475454545, 0.3243245043243159, 0.10810816810810531, 0.19416472866462142, 0.11885715135750285], [0.2545454475454545, 0.3243245043243159, 0.12045469245454432, 0.18181820431818235, 0.11885715135750285]]"
2,"[0.18181819149560213, 0.28571432571428534, 0.14285716285714256, 0.060606061896383095, 0.060606054960898936]","[0.3030302823851418, 0.3636363297653936, 0.18181819149560213, 0.19047617047619098, 0.19047617047619078]","[0.19047617047619075, 0.28571432571428473, 0.14285716285714256, 0.14285716285714234, 0.09523808523809549]","[0.28571432571428534, 0.28571432571428473, 0.14285716285714267, 0.19047617047619098, 0.19047617047619078]","[0.1818181914956016, 0.2909091170381246, 0.1818181648826971, 0.07272726595307873, 0.060606054960898936]","[0.2909091170381247, 0.3636363297653936, 0.18181819149560213, 0.18181819149560183, 0.09090909574780082]","[0.18181819149560213, 0.3030302823851417, 0.15151515474095778, 0.060606061896383095, 0.09090909574780107]","[0.3030302823851417, 0.30303030948191545, 0.18181819149560213, 0.18181819149560213, 0.15151515474095778]",E,r,E,r,E,r,E,r,"[0.28571432571428546, 0.28571432571428546, 0.14285716285714273, 0.16883114610389657, 0.0727272770079439]","[0.28571432571428546, 0.30303028121212094, 0.18181817599293892, 0.19047610047619107, 0.0952380852380953]","[0.1904761704761906, 0.28571432571428546, 0.14285716285714273, 0.14285716285714273, 0.0952380852380953]","[0.28571432571428546, 0.28571432571428546, 0.14285716285714273, 0.1904761704761906, 0.1904761704761906]","[0.18181817599293892, 0.2909090751809351, 0.18181817599293876, 0.07272727680494279, 0.06060606400411899]","[0.2909090751809351, 0.36363638402471393, 0.18181817599293876, 0.18181817599293892, 0.09090908799646946]","[0.18181817272727258, 0.30303028121212094, 0.15151516060606077, 0.060606064242424304, 0.09090908636363629]","[0.30303028121212094, 0.30303032121212153, 0.18181817272727258, 0.18181817272727258, 0.15151516060606077]","[[0.28571432571428546, 0.28571432571428546, 0.14285716285714273, 0.19047610047619107, 0.0952380852380953], [0.28571432571428546, 0.2909090751809351, 0.18181817599293892, 0.16883114610389657, 0.0727272770079439], [0.28571432571428546, 0.30303028121212094, 0.15151516060606077, 0.16883114610389657, 0.09090908636363629]]"
3,"[0.1754386264912283, 0.28571430971429024, 0.09523810323809488, 0.09523810323809574, 0.0952380892380961]","[0.3157894136842133, 0.31578941368420455, 0.15789470684210594, 0.19047617847619236, 0.19047617847618747]","[0.1904761784761875, 0.28571430971428724, 0.14285715485714512, 0.09523810323809574, 0.0952380892380961]","[0.28571430971429024, 0.28571430971428724, 0.14285715485714542, 0.19047617847619236, 0.1904761784761875]","[0.1754386264912305, 0.31578941368420455, 0.15789470684210566, 0.10526313789473285, 0.10526313789473485]","[0.3157894136842092, 0.31578941368420455, 0.15789470684210594, 0.1754386264912305, 0.17543862649122854]","[0.1904761784761898, 0.2857143097142836, 0.09523810323809488, 0.1428571548571479, 0.0952380892380961]","[0.285714309714285, 0.2857143097142836, 0.14285715485715023, 0.19047617847619236, 0.19047617847618747]",E,r,E,r,E,r,E,r,"[0.2756892190576443, 0.28571430971428624, 0.14285715485714312, 0.1453635225213027, 0.1052631378947369]","[0.2756892190576443, 0.3157894136842107, 0.15789470684210535, 0.19047617847618947, 0.1052631378947369]","[0.19047617847619022, 0.28571430971428624, 0.14285715485714312, 0.09523810323809541, 0.09523808923809511]","[0.28571430971428624, 0.28571430971428624, 0.14285715485714312, 0.19047617847619022, 0.19047617847619022]","[0.175438626491228, 0.3157894136842107, 0.15789470684210535, 0.1052631378947369, 0.1052631378947369]","[0.3157894136842107, 0.3157894136842107, 0.15789470684210535, 0.175438626491228, 0.175438626491228]","[0.19047617847619058, 0.28571426771428643, 0.09523810323809541, 0.14285715485714312, 0.09523808923809474]","[0.28571426771428643, 0.28571430971428624, 0.14285715485714312, 0.19047617847618947, 0.19047617847619058]","[[0.2756892190576443, 0.28571430971428624, 0.14285715485714312, 0.19047617847618947, 0.1052631378947369], [0.2756892190576443, 0.3157894136842107, 0.15789470684210535, 0.1453635225213027, 0.1052631378947369], [0.2756892190576443, 0.2857143097142862, 0.14285715485714312, 0.19047617847618947, 0.1052631378947369]]"
4,"[0.18181813181817386, 0.2941178837254167, 0.11764697215688982, 0.060606080606070374, 0.06060608060607068]","[0.30303018303024637, 0.3529409164706688, 0.18181813181816467, 0.2352940576470789, 0.15151520151516457]","[0.21999998000000584, 0.2999999999999991, 0.14999999999999952, 0.10000000000000013, 0.10999998999999974]","[0.2999999999999991, 0.3000000000000004, 0.14999999999999952, 0.21999998000000204, 0.14999999999999952]","[0.18181813181815878, 0.3030301830302462, 0.15151520151517667, 0.06060608060607068, 0.06060608060607068]","[0.30303018303024637, 0.3030304030303534, 0.18181813181816492, 0.18181813181815823, 0.15151520151516457]","[0.2352940576470789, 0.2941178837254167, 0.11764697215689018, 0.0882352291176672, 0.1176470288235339]","[0.29411788372541736, 0.3529409164706688, 0.11764702882353778, 0.2352940576470789, 0.14705894186270835]",E,r,E,r,E,r,E,r,"[0.2581817481818188, 0.3000000749999988, 0.1176471016806755, 0.18181818681818215, 0.10545462545454543]","[0.2581817481818188, 0.30303031136363695, 0.15151512818181656, 0.2034937613789093, 0.11764707739495939]","[0.2200000299999995, 0.2999999500000008, 0.1499999750000004, 0.1000000249999996, 0.11000001499999976]","[0.2999999500000008, 0.3000000749999988, 0.1499999750000004, 0.2200000299999995, 0.1499999750000004]","[0.18181818681818215, 0.30303031136363695, 0.15151512818181656, 0.06060606227272739, 0.06060606227272739]","[0.30303031136363695, 0.30303031136363695, 0.18181818681818215, 0.18181818681818215, 0.15151512818181656]","[0.23529415478991877, 0.2941175113445276, 0.11764710168067548, 0.0882353262605066, 0.11764707739495939]","[0.2941175113445276, 0.3529413050420264, 0.1176471016806755, 0.23529415478991877, 0.1470587556722638]","[[0.2581817481818188, 0.3000000749999988, 0.1499999750000004, 0.18181818681818215, 0.11000001499999976], [0.2581817481818188, 0.30303031136363695, 0.15151512818181656, 0.18181818681818215, 0.10545462545454543], [0.2581817481818188, 0.30303031136363695, 0.1176471016806755, 0.2034937613789093, 0.11764707739495939]]"
5,"[0.21250001124999984, 0.2962965962963009, 0.09876553209876698, 0.0625000062500001, 0.09876553209876693]","[0.32876713363249976, 0.3287671336324987, 0.1562499906249999, 0.2246574783845039, 0.16438356681624988]","[0.2246574783845039, 0.3287671336324987, 0.10958904454416624, 0.06575342672649974, 0.11232873919225185]","[0.32876713363249976, 0.3287671336324987, 0.1123287391922519, 0.2246574783845039, 0.16438356681624988]","[0.21250001124999984, 0.3124999812499998, 0.15624999062499986, 0.06250000625000013, 0.10625000562500037]","[0.3124999812499998, 0.3125000312500002, 0.1562499906249999, 0.21250001125000012, 0.15624999062499997]","[0.22222204222221892, 0.29629659629630056, 0.09876553209876637, 0.14814829814815045, 0.09876553209876693]","[0.2962965962963009, 0.2962965962963008, 0.14814829814815045, 0.22222204222221892, 0.11111102111110946]",E,r,E,r,E,r,E,r,"[0.22465760424657805, 0.296296596296287, 0.11232880212328902, 0.20034241825342194, 0.106250005625]","[0.22465760424657805, 0.3287668399543268, 0.156249990625, 0.22191795155251717, 0.11232880212328902]","[0.22465760424657805, 0.3287668399543268, 0.109589149429228, 0.0657534896575368, 0.11232880212328902]","[0.3287668399543268, 0.328767448287684, 0.11232880212328902, 0.22465760424657805, 0.1643834199771634]","[0.21250001125, 0.31249998125, 0.156249990625, 0.06250000625, 0.106250005625]","[0.31249998125, 0.31250003125000003, 0.156249990625, 0.21250001125, 0.156249990625]","[0.2222220422222278, 0.29629578629631204, 0.09876553209876233, 0.1481482981481435, 0.09876553209876233]","[0.29629578629631204, 0.296296596296287, 0.1481482981481435, 0.2222220422222278, 0.1111110211111139]","[[0.22465760424657805, 0.3287668399543268, 0.11232880212328902, 0.22191795155251717, 0.11232880212328902], [0.22465760424657805, 0.31249998125, 0.156249990625, 0.20034241825342194, 0.106250005625], [0.22465760424657805, 0.296296596296287, 0.1481482981481435, 0.22191795155251717, 0.10897954975647434]]"
6,"[0.189189169189191, 0.26415104339623063, 0.05405403072071999, 0.105263200751879, 0.05263160037594008]","[0.32432418432431825, 0.32432418432431864, 0.15094335872641468, 0.2641509108962262, 0.18918916918918816]","[0.21052626578947492, 0.31578933082706984, 0.06315792045112681, 0.105263200751879, 0.05263160037594008]","[0.31578933082706984, 0.315789602255634, 0.10526320075187935, 0.21052626578947492, 0.15789466541353492]","[0.18918916918918816, 0.32432418432431825, 0.05405403072071999, 0.10810806144143954, 0.05405415405405806]","[0.32432418432431825, 0.32432418432431864, 0.10810830810811611, 0.189189169189189, 0.18918916918918816]","[0.264150910896226, 0.26415104339623063, 0.07547167936320645, 0.1509433587264138, 0.13207545544811322]","[0.2641510433962298, 0.3018867174528276, 0.1509433587264138, 0.26415091089622633, 0.1320755216981151]",E,r,E,r,E,r,E,r,"[0.2641509424438455, 0.3018868057861632, 0.09026023282071877, 0.1891891691891891, 0.13207547122192273]","[0.2641509424438455, 0.32432418432432386, 0.09026023282071877, 0.2116265477273498, 0.13207547122192273]","[0.2105262657894777, 0.31578933082707933, 0.06315792045112573, 0.10526320075187622, 0.05263160037593811]","[0.31578933082707933, 0.31578960225562863, 0.10526320075187622, 0.2105262657894777, 0.15789466541353966]","[0.1891891691891891, 0.32432418432432386, 0.054054030720720646, 0.10810806144144129, 0.05405415405405445]","[0.32432418432432386, 0.32432418432432386, 0.1081083081081089, 0.1891891691891891, 0.1891891691891891]","[0.26415094244384546, 0.2641509424438455, 0.0754717014465408, 0.15094339027403425, 0.13207547122192273]","[0.2641509424438455, 0.3018868057861632, 0.15094339027403425, 0.26415094244384546, 0.13207547122192276]","[[0.2641509424438455, 0.31578960225562863, 0.09026023282071877, 0.19772375125788447, 0.13207547122192273], [0.2641509424438455, 0.32432418432432386, 0.09026023282071877, 0.1891891691891891, 0.13207547122192273], [0.2641509424438455, 0.3018868057861632, 0.09026023282071877, 0.2116265477273498, 0.13207547122192273]]"
7,"[0.1851851807407385, 0.2857142990476184, 0.1162790733388708, 0.0697674440033222, 0.0697674440033222]","[0.3488371893023259, 0.348837220016611, 0.1481481445925926, 0.21428570095238003, 0.18518518074074056]","[0.21428570095238003, 0.2857142990476184, 0.1428571495238092, 0.14285714952380935, 0.07142857476190462]","[0.28571429904761914, 0.2857142990476184, 0.1428571495238092, 0.21428570095238003, 0.1428571495238092]","[0.20930231665282376, 0.3488371893023259, 0.11627907333887028, 0.0697674440033222, 0.0697674440033222]","[0.3488371893023259, 0.348837220016611, 0.11627907333887072, 0.20930231665282376, 0.11627907333887028]","[0.18518518074074292, 0.2962962891851868, 0.1481481445925926, 0.07407407829629481, 0.07407407229629621]","[0.2962962891851868, 0.29629631318518174, 0.1481481445925926, 0.18518518074074217, 0.18518518074074056]",E,r,E,r,E,r,E,r,"[0.28571426793650834, 0.28571429904761875, 0.11627907333887047, 0.1794020254189736, 0.06976744400332228]","[0.28571426793650834, 0.3488371893023253, 0.14814813814814792, 0.201058171058201, 0.08465611243386256]","[0.21428570873015884, 0.28571426793650834, 0.14285713396825417, 0.14285714952380937, 0.07142857476190469]","[0.28571426793650834, 0.28571429904761875, 0.14285714952380937, 0.21428570873015884, 0.14285713396825417]","[0.20930231665282384, 0.3488371893023253, 0.11627907333887047, 0.06976744400332228, 0.06976744400332228]","[0.3488371893023253, 0.34883722001661144, 0.11627907333887047, 0.20930231665282384, 0.11627907333887048]","[0.18518518518518517, 0.29629629629629606, 0.14814813814814792, 0.07407407407407401, 0.07407407407407418]","[0.29629629629629606, 0.29629629629629606, 0.14814814814814836, 0.18518518518518517, 0.18518518518518517]","[[0.28571426793650834, 0.28571429904761875, 0.14285714952380937, 0.201058171058201, 0.08465611243386256], [0.28571426793650834, 0.3488371893023253, 0.11627907333887047, 0.1794020254189736, 0.06976744400332228], [0.28571426793650834, 0.29629629629629606, 0.14814813814814792, 0.18518518518518517, 0.08465611243386256]]"
8,"[0.21176469346855936, 0.2500004199999788, 0.03571434571428375, 0.07058823115618743, 0.05882355527383264]","[0.35294115578093116, 0.352941155780937, 0.1323529180730215, 0.24999930000002984, 0.24999874000005062]","[0.21176469346855936, 0.26470591614604144, 0.11764705192697894, 0.11764705192697879, 0.13235291807302108]","[0.26470591614604144, 0.3529411557809364, 0.13235291807302108, 0.21176469346855936, 0.13235295807302078]","[0.2117646934685592, 0.35294115578093105, 0.11764705192697993, 0.0705882311561874, 0.05882355527383264]","[0.35294115578093116, 0.352941155780937, 0.11764711054766533, 0.2117646934685592, 0.10588234673427924]","[0.2499987400000509, 0.25000041999997913, 0.03571434571428378, 0.12500020999999495, 0.1249996500000157]","[0.250000419999979, 0.2500004199999838, 0.1250002099999919, 0.24999930000002984, 0.24999874000005062]",E,r,E,r,E,r,E,r,"[0.25000042000000444, 0.25000042000000444, 0.11764706791443823, 0.19230769999999994, 0.08710367016042264]","[0.25000042000000444, 0.3529411419251347, 0.11764706791443823, 0.24773674208555235, 0.13461535000000052]","[0.19230769999999994, 0.2692307799999998, 0.1153846199999999, 0.1153846199999999, 0.13461535000000052]","[0.26923077999999995, 0.3461538599999997, 0.13461535000000052, 0.19230769999999994, 0.1346153899999999]","[0.21176469133689882, 0.3529411419251347, 0.11764706791443823, 0.07058824074866295, 0.058823533957219114]","[0.3529411419251347, 0.3529412037433147, 0.11764706791443823, 0.21176469133689882, 0.10588234566844941]","[0.24999873999998667, 0.25000042000000444, 0.03571434571428635, 0.12500021000000222, 0.12499964999999631]","[0.25000042000000444, 0.25000042000000444, 0.12500021000000222, 0.24999929999999262, 0.24999873999998667]","[[0.25000042000000444, 0.3054294620855569, 0.11764706791443823, 0.19230769999999994, 0.13461535000000052], [0.25000042000000444, 0.3529411419251347, 0.11764706791443823, 0.19230769999999994, 0.08710367016042264], [0.25000042000000444, 0.25000042000000444, 0.11764706791443823, 0.24773674208555235, 0.13461535000000052]]"
9,"[0.19999998999999927, 0.30000002250000257, 0.1000000075000004, 0.06249999999999983, 0.0749999992499995]","[0.31249999999999967, 0.31250000000000044, 0.15624999999999983, 0.20833331333333455, 0.1999999899999998]","[0.20000001075000085, 0.299999996999998, 0.14999997024999995, 0.09999999899999934, 0.0749999992499995]","[0.30000002250000257, 0.299999996999998, 0.1500000112500004, 0.20000001075000085, 0.14999997024999995]","[0.19999998999999904, 0.300000022500001, 0.10000000750000093, 0.10000000750000085, 0.09999999499999952]","[0.3000000225000032, 0.300000022500001, 0.10000000750000126, 0.19999998999999904, 0.1999999899999998]","[0.2083333133333345, 0.31249999999999967, 0.15624999999999972, 0.06250000000000008, 0.10416665666666727]","[0.31249999999999967, 0.31250000000000044, 0.15624999999999983, 0.20833331333333455, 0.15625]",E,r,E,r,E,r,E,r,"[0.2812499565000047, 0.3000000225000016, 0.10000000750000053, 0.14583341083332801, 0.1041666866666663]","[0.29999992000000275, 0.3124999640000007, 0.15624998200000034, 0.1958333633333289, 0.1041666866666663]","[0.19999998000000058, 0.2999999200000028, 0.14999996000000138, 0.10000003999999868, 0.07500002999999901]","[0.29999992000000275, 0.30000011999999604, 0.1499999600000014, 0.19999998000000058, 0.14999996000000138]","[0.19999998999999932, 0.29999998499999886, 0.10000000750000053, 0.10000000750000053, 0.09999999499999966]","[0.29999998499999886, 0.3000000225000016, 0.10000000750000053, 0.19999998999999932, 0.19999998999999932]","[0.2083333733333326, 0.3124999640000007, 0.15624998200000034, 0.06250001199999979, 0.1041666866666663]","[0.3124999640000007, 0.3125000599999989, 0.15624998200000034, 0.2083333733333326, 0.15624998200000034]","[[0.29999992000000275, 0.3000000225000016, 0.14999996000000138, 0.14583341083332801, 0.1041666866666663], [0.29999992000000275, 0.3000000225000016, 0.10000000750000053, 0.1958333633333289, 0.1041666866666663], [0.2812499565000047, 0.3124999640000007, 0.15624998200000034, 0.14583341083332801, 0.1041666866666663]]"
10,"[0.18181813181817796, 0.2962963562963072, 0.09876545209876965, 0.060606080606062165, 0.05925927125926146]","[0.30769230324786323, 0.30769230324786323, 0.18181813181817796, 0.2222221862222155, 0.1538461516239317]","[0.18181813181817796, 0.30303018303029333, 0.1515152015151555, 0.060606080606062165, 0.06060608060606215]","[0.30303018303029333, 0.3030304030303108, 0.18181813181817796, 0.18181813181817794, 0.1515152015151555]","[0.22222218622221557, 0.2962963562963072, 0.09876545209877005, 0.1481481781481537, 0.05925927125926146]","[0.2962963562963074, 0.2962963562963073, 0.1481481781481542, 0.2222221862222155, 0.11111109311110759]","[0.1923076895299146, 0.30769230324786323, 0.1538461516239317, 0.07692307581196586, 0.07692307581196581]","[0.30769230324786323, 0.30769230324786323, 0.153846166068376, 0.1923076895299145, 0.1538461516239317]",E,r,E,r,E,r,E,r,"[0.28930316730327427, 0.2962963562963024, 0.1481481781481512, 0.17223533090185444, 0.07692309025641048]","[0.29629619429628606, 0.3076922743589739, 0.15384613717948692, 0.18233618100284987, 0.07692309025641048]","[0.18181813181817796, 0.30303018303029366, 0.15151520151515538, 0.06060608060606215, 0.06060608060606215]","[0.30303018303029366, 0.30303040303031076, 0.18181813181817796, 0.18181813181817796, 0.15151520151515538]","[0.22222218622221854, 0.29629619429628606, 0.09876545209876747, 0.1481481781481512, 0.05925927125926048]","[0.29629619429628606, 0.2962963562963024, 0.1481481781481512, 0.22222218622221854, 0.11111109311110927]","[0.19230768230769213, 0.3076922743589739, 0.15384613717948692, 0.07692309025641048, 0.07692309025641048]","[0.30769227435897384, 0.3076923610256419, 0.15384613717948695, 0.19230768230769213, 0.15384613717948692]","[[0.29629619429628606, 0.30303018303029366, 0.15151520151515538, 0.17223533090185444, 0.07692309025641048], [0.29629619429628606, 0.2962963562963024, 0.1481481781481512, 0.18233618100284987, 0.07692309025641048], [0.28930316730327427, 0.3076922743589739, 0.15384613717948692, 0.17223533090185444, 0.07692309025641048]]"
