PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
"Any[""Trial-1_PCM-1"", ""Trial-1_PCM-2"", ""Trial-1_PCM-3""]",15.37212053576399,17.4382151152882,14.870799570597725,Error,Error,Error,3.872351218439589,2.043302495063977,1.7219619027004294
"Any[""Trial-2_PCM-1"", ""Trial-2_PCM-2"", ""Trial-2_PCM-3""]",13.502178984072442,15.541532970266292,14.192427600931383,Error,Error,Error,3.981284401988495,3.9523827047253595,3.36009158601664
"Any[""Trial-3_PCM-1"", ""Trial-3_PCM-2"", ""Trial-3_PCM-3""]",10.541795722934626,11.762489444701366,9.623731557213382,Error,Error,Error,2.5058232242499767,1.8639757940771435,1.894482223599022
"Any[""Trial-4_PCM-1"", ""Trial-4_PCM-2"", ""Trial-4_PCM-3""]",16.057207418194295,78.80890794946704,15.605077686603117,Error,Error,Error,6.024878620287148,7.063319266786126,5.009067254739604
"Any[""Trial-5_PCM-1"", ""Trial-5_PCM-2"", ""Trial-5_PCM-3""]",14.674706987186205,17.941418699215163,14.674706987186553,Error,Error,Error,2.6023502645662653,3.5713298403881772,2.5405225498712243
"Any[""Trial-6_PCM-1"", ""Trial-6_PCM-2"", ""Trial-6_PCM-3""]",15.955936186257643,19.474275996077616,16.53739958734323,Error,Error,Error,2.2384631517422786,1.852889669931225,1.6218604324326442
"Any[""Trial-7_PCM-1"", ""Trial-7_PCM-2"", ""Trial-7_PCM-3""]",15.248247907926324,17.45491021450559,16.818882486300563,Error,Error,Error,2.160092890433419,2.090290200919738,1.520221570331092
"Any[""Trial-8_PCM-1"", ""Trial-8_PCM-2"", ""Trial-8_PCM-3""]",11.213441523626395,13.437992519904675,12.398403070440157,Error,Error,Error,2.7725887222397456,2.42454321428124,2.043302495063938
"Any[""Trial-9_PCM-1"", ""Trial-9_PCM-2"", ""Trial-9_PCM-3""]",14.455807388428036,14.405993292026196,13.862943611198862,Error,Error,Error,1.3814471437046434,1.216934712631267,0.8026827818485893
"Any[""Trial-10_PCM-1"", ""Trial-10_PCM-2"", ""Trial-10_PCM-3""]",14.580817562444318,31.2616827365208,13.538672318843894,Error,Error,Error,4.333500641943774,3.530890535215354,2.920177202772989
