PCM_Identifiers,entani論文のCommonGround,解の非唯一性考慮のCommonGround,ダミー,,8.377493296,
"Any[""Trial-1_PCM-1"", ""Trial-1_PCM-2"", ""Trial-1_PCM-3""]",Error,Error,Error,FALSE,9E-07,
"Any[""Trial-2_PCM-1"", ""Trial-2_PCM-2"", ""Trial-2_PCM-3""]",5.032169323,5.538479653,Error,5.538479653,,
"Any[""Trial-3_PCM-1"", ""Trial-3_PCM-2"", ""Trial-3_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-4_PCM-1"", ""Trial-4_PCM-2"", ""Trial-4_PCM-3""]",1.14E-06,2.35933E-06,Error,2.35933E-06,,
"Any[""Trial-5_PCM-1"", ""Trial-5_PCM-2"", ""Trial-5_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-6_PCM-1"", ""Trial-6_PCM-2"", ""Trial-6_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-7_PCM-1"", ""Trial-7_PCM-2"", ""Trial-7_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-8_PCM-1"", ""Trial-8_PCM-2"", ""Trial-8_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-9_PCM-1"", ""Trial-9_PCM-2"", ""Trial-9_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-10_PCM-1"", ""Trial-10_PCM-2"", ""Trial-10_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-11_PCM-1"", ""Trial-11_PCM-2"", ""Trial-11_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-12_PCM-1"", ""Trial-12_PCM-2"", ""Trial-12_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-13_PCM-1"", ""Trial-13_PCM-2"", ""Trial-13_PCM-3""]",2.16E-06,1.06389E-06,1.06E-06,FALSE,,
"Any[""Trial-14_PCM-1"", ""Trial-14_PCM-2"", ""Trial-14_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-15_PCM-1"", ""Trial-15_PCM-2"", ""Trial-15_PCM-3""]",4.394449777,2.938589145,2.938589145,FALSE,,
"Any[""Trial-16_PCM-1"", ""Trial-16_PCM-2"", ""Trial-16_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-17_PCM-1"", ""Trial-17_PCM-2"", ""Trial-17_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-18_PCM-1"", ""Trial-18_PCM-2"", ""Trial-18_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-19_PCM-1"", ""Trial-19_PCM-2"", ""Trial-19_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-20_PCM-1"", ""Trial-20_PCM-2"", ""Trial-20_PCM-3""]",4.394449432,2.772590042,2.772590042,FALSE,,
"Any[""Trial-21_PCM-1"", ""Trial-21_PCM-2"", ""Trial-21_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-22_PCM-1"", ""Trial-22_PCM-2"", ""Trial-22_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-23_PCM-1"", ""Trial-23_PCM-2"", ""Trial-23_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-24_PCM-1"", ""Trial-24_PCM-2"", ""Trial-24_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-25_PCM-1"", ""Trial-25_PCM-2"", ""Trial-25_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-26_PCM-1"", ""Trial-26_PCM-2"", ""Trial-26_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-27_PCM-1"", ""Trial-27_PCM-2"", ""Trial-27_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-28_PCM-1"", ""Trial-28_PCM-2"", ""Trial-28_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-29_PCM-1"", ""Trial-29_PCM-2"", ""Trial-29_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-30_PCM-1"", ""Trial-30_PCM-2"", ""Trial-30_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-31_PCM-1"", ""Trial-31_PCM-2"", ""Trial-31_PCM-3""]",Error,2.373722735,2.373722735,FALSE,,
"Any[""Trial-32_PCM-1"", ""Trial-32_PCM-2"", ""Trial-32_PCM-3""]",3.994115997,2.772589994,2.772589994,FALSE,,
"Any[""Trial-33_PCM-1"", ""Trial-33_PCM-2"", ""Trial-33_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-34_PCM-1"", ""Trial-34_PCM-2"", ""Trial-34_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-35_PCM-1"", ""Trial-35_PCM-2"", ""Trial-35_PCM-3""]",Error,1.17378E-06,1.17E-06,FALSE,,
"Any[""Trial-36_PCM-1"", ""Trial-36_PCM-2"", ""Trial-36_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-37_PCM-1"", ""Trial-37_PCM-2"", ""Trial-37_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-38_PCM-1"", ""Trial-38_PCM-2"", ""Trial-38_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-39_PCM-1"", ""Trial-39_PCM-2"", ""Trial-39_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-40_PCM-1"", ""Trial-40_PCM-2"", ""Trial-40_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-41_PCM-1"", ""Trial-41_PCM-2"", ""Trial-41_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-42_PCM-1"", ""Trial-42_PCM-2"", ""Trial-42_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-43_PCM-1"", ""Trial-43_PCM-2"", ""Trial-43_PCM-3""]",Error,Error,Error,FALSE,,
"Any[""Trial-44_PCM-1"", ""Trial-44_PCM-2"", ""Trial-44_PCM-3""]",Error,Error,Error,FALSE,,
