PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
1,13.844140690066524,76.69889477052723,15.985448652832295,Error,Error,Error,2.8321936951856657,3.1469579977522413,2.772585042990473
2,9.03920551255299,11.729350307278052,8.586322612866862,Error,Error,2.46343066034882e-6,0.5877566617102552,0.23343570481642129,0.0
3,13.70962701244978,19.43632012029675,13.256743465258825,Error,Error,2.5865105349159663,0.5877561223557217,0.0,2.6645352591003757e-15
4,11.929795399201165,13.194645419943228,11.929795783354763,Error,Error,Error,1.1207489620681645,1.1733165175466755,0.9367681107487709
5,15.02956439422288,15.771342074308414,15.029564559533608,Error,Error,Error,1.180033042829269,1.7281905637637802,1.138399706949146
6,10.450340668177507,10.574670364245677,9.939626599152,Error,Error,7.167038535708542,0.4462086747282763,0.35372413188232166,0.0
7,10.92706524500851,11.518190527654232,10.927065403623573,Error,Error,Error,1.8170196510150909,2.1086464707303163,2.041376546791559
8,10.86802163752813,12.055796295006187,11.54581599905701,Error,Error,Error,0.8787020843503557,0.8883061292111449,0.4711255643855834
9,10.789245390174827,11.258459936148823,10.967052525021806,Error,Error,Error,0.47551309064622327,0.8128772456388376,0.4755126915419785
10,13.402566474312229,13.946445417718532,13.402567042198687,Error,Error,Error,1.7783902072118547,1.6464399936842584,1.5588654851615988
11,12.971719649278308,13.23915726521587,12.971719797354014,1.8948850806443307,1.8948850806445234,2.12155782547594,0.0,0.0,0.0
12,8.05961208216906,8.059612082169053,8.059612082169057,6.437751986072337,6.437751986072228,6.437751649736402,0.0,0.0,4.440892098500626e-15
13,15.013666457496305,18.48930443348639,15.149279612938763,Error,Error,Error,1.1182279907667825,2.2795949092453105,1.397981949877205
14,14.257215457855594,17.06071496137752,13.95529369262852,Error,Error,Error,1.6079913960221441,0.9555830145087683,0.5258289823887958
15,19.19414908982535,20.72785859099755,20.300673355035475,Error,Error,2.9467476916344992e-5,1.2846096452622637,1.6365282329800914,0.0
16,13.53139146622204,13.518012729913385,13.453718355448355,Error,Error,Error,2.851880850268288,3.0176898651894444,2.8864542693417006
17,15.890590033108731,16.326647642382824,15.890590356065733,Error,Error,Error,1.2498287932182572,1.2465928563504907,1.3139024329248672
18,13.770427826789167,22.679763516475646,12.842028490440512,Error,Error,Error,2.3216214932768064,1.7224912552861804,0.7136279194437751
19,14.284372801267054,19.106946692666448,16.287483223142054,Error,Error,Error,2.0894089873321056,3.7206197841602453,3.1704271736019463
20,10.534229321130255,11.096249197276387,10.534229344029505,Error,Error,Error,0.7932137577739384,0.48888996440419064,0.6503444376288723
21,14.83308023756054,15.15082147182182,14.662840909856119,Error,Error,Error,3.4178224819555387,2.5943558233762705,2.886454293004813
22,9.090820313207743,72.59141735789376,9.090820336597996,Error,Error,Error,0.9432911524243632,1.5023384459503903,0.9432914809469279
23,15.17003964577039,16.854192096149255,15.503566994924698,Error,Error,Error,0.3263586287719056,1.7934187338339473,0.8626329591213313
24,10.907947935526746,14.242336569137064,10.90794766612132,3.301133450150928e-6,2.7844267602716855e-6,5.707888292683094e-6,0.0,0.1486524237592839,0.0
25,13.83506725370973,28.501501073350212,16.063120681811924,Error,Error,Error,3.8879518232003196,4.326660972632632,3.2258986462170247
26,7.852937821433008,8.301212778328962,7.8529381948889805,Error,Error,Error,1.1254814709156733,1.5303214424162146,0.8821697855006407
27,15.226643551461269,15.044275912147508,14.335586820897475,Error,Error,Error,1.641823382659851,1.5801271950825235,1.7719283862128616
28,15.487240619012972,15.682142116331004,15.185317931785413,Error,Error,Error,2.059380237737736,1.764934680239926,1.4331804739283358
29,11.817848982756171,12.4801502776015,11.817849097851981,Error,Error,Error,1.08612298753975,1.3997665523772822,1.086123803169472
30,14.339995510533392,16.038179965742493,15.377553714352175,Error,Error,Error,2.415697293311002,2.9539961229719793,2.7725849900813646
31,12.406720378205765,12.796663771969133,12.590824255089846,Error,Error,Error,1.6872039764401663,2.538912223736139,1.5683404479270102
32,13.093456383335575,19.768842203200364,13.093454227608436,2.3511488089418693,2.3511489985021257,2.6271250846117615,0.0,0.513661250245498,0.0
33,15.438676362201953,84.58033928208133,15.866037676091217,Error,Error,Error,0.9432916376616447,2.4992348981494095,1.4133865466512257
34,12.596422554802121,13.573450971513772,12.961822191671168,Error,Error,Error,0.7588090700054142,1.3509270886079383,1.0522142880774297
35,11.731723018100364,12.776263999263792,11.901962601580887,Error,Error,Error,1.847053467740043,2.200729392465071,2.0221919167976354
36,13.668341778881926,14.1114351265983,13.668343331611306,Error,Error,Error,1.08612335470767,1.3997668614321528,1.0861239328186958
37,15.538493129111252,16.292923465530247,15.538493607737355,Error,Error,Error,1.6284570037996442,1.3704006968470406,1.267819192897261
38,10.899187643049803,11.266760222885702,11.232717904712576,Error,Error,Error,1.2120353162751059,1.1778088597984722,1.0189499552596075
39,9.26162908146766,9.55091285416137,9.261629391991292,Error,Error,Error,1.3399625643423523,1.8978249637180227,0.9981167904846222
40,13.441497456442335,18.100611154647915,13.734822850696144,Error,Error,Error,1.56110172081239,2.3929607499699106,2.044406560657027
41,11.790119876944567,13.325954539838495,11.848514873652501,Error,Error,Error,0.9913909123266951,1.530320721592683,0.8787078168771449
42,11.982923630216781,77.94307674121494,13.986025967261744,Error,Error,Error,1.7231255703705708,2.7725871397703212,2.7725852897146392
43,9.68147229737947,10.205741686224552,9.681472295782264,5.123736722959499,5.123737706314611,5.229469656896116,0.0,0.0,0.0
44,13.643012288767903,15.125092459303048,13.976539225711456,Error,Error,Error,0.26023129404523804,1.080808889204171,0.9912469887525894
45,18.160390612812517,18.884339942174424,18.1603911998383,Error,Error,Error,2.463961907151889,2.0143936676276946,1.445025832016496
46,12.974879909461412,12.124245755367493,11.561486753400938,Error,Error,4.580530893657558,1.9069086993057809,0.5242153750453831,0.0
47,13.437539886932349,13.931267885240453,13.525457701489245,Error,Error,Error,1.0453918962740847,1.0449338817850986,0.8908122336874653
48,12.97487910946144,12.787039213840533,12.28898070836791,Error,Error,Error,1.4004560631178,1.3770744615794284,0.7766208876815242
49,13.441493428564485,76.44188262792207,14.159743617544017,1.3140292038947008,1.3140228198923785,Error,0.0,2.934705026133434,1.1621015675013142
50,9.528347954820447,9.885728230955696,9.516645271202885,Error,Error,Error,0.5294458780838198,0.5258290581849066,0.5294457469272009
51,14.275028441300352,16.101365475274598,13.817760694098691,Error,Error,Error,1.4293244758330843,1.9425821879129508,0.6912750605162516
52,13.025982049648547,74.12769701380635,13.025980679318375,Error,Error,Error,0.8888598602223725,1.8263828426497115,1.4907057917837836
53,7.619921246544739,8.041362922695185,7.619921403578028,Error,Error,Error,0.7468225861088902,0.6354479772439285,0.5766779070439352
54,15.226638691528388,30.560952322760684,16.235168686428736,Error,Error,Error,1.5935917436467362,3.094392916691331,2.408698093486204
55,11.503493677892283,11.613731179589644,10.743250820953113,Error,Error,Error,1.6095285589795942,0.7134061088224044,0.3201636874200009
56,13.92495434401122,14.826312662372226,14.755514348686916,Error,Error,Error,1.9381170156666894,2.7725856558298245,2.7725853422398714
