Trial,PCM,pcm_1,pcm_2,pcm_3,pcm_4,pcm_5,,w_L,w_U
1,1,1.0,1.0,1.0,2.0,1.0,,0.19148936170212782,0.3191489361702129
1,1,1.0,1.0,5.0,3.0,3.0,,0.3191489361702129,0.3191489361702131
1,1,1.0,0.2,1.0,1.0,1.0,,0.06382978723404262,0.1914893617021277
1,1,0.5,0.3333333333333333,1.0,1.0,1.0,,0.10638297872340431,0.10638297872340431
1,1,1.0,0.3333333333333333,1.0,1.0,1.0,,0.10638297872340308,0.1914893617021271

1,2,1.0,1.0,1.0,1.0,1.0,,0.1666666666666666,0.24999999999999983
1,2,1.0,1.0,2.0,3.0,2.0,,0.2499999999999997,0.3333333333333336
1,2,1.0,0.5,1.0,1.0,1.0,,0.16666666666666666,0.16666666666666666
1,2,1.0,0.3333333333333333,1.0,1.0,2.0,,0.11111111111111116,0.1666666666666665
1,2,1.0,0.5,1.0,0.5,1.0,,0.08333333333333351,0.16666666666666652

1,3,1.0,1.0,1.0,2.0,1.0,,0.18918918918918887,0.32432432432432456
1,3,1.0,1.0,5.0,3.0,3.0,,0.32432432432432456,0.32432432432432473
1,3,1.0,0.2,1.0,1.0,1.0,,0.06486486486486495,0.1891891891891892
1,3,0.5,0.3333333333333333,1.0,1.0,2.0,,0.10810810810810821,0.10810810810810821
1,3,1.0,0.3333333333333333,1.0,0.5,1.0,,0.05405405405405367,0.1891891891891889

2,1,1.0,1.0,4.0,1.0,1.0,,0.18518518518518517,0.29629629629629617
2,1,1.0,1.0,4.0,4.0,2.0,,0.29629629629629617,0.29629629629629617
2,1,0.25,0.25,1.0,1.0,1.0,,0.07407407407407404,0.1481481481481486
2,1,1.0,0.25,1.0,1.0,1.0,,0.0740740740740744,0.18518518518518545
2,1,1.0,0.5,1.0,1.0,1.0,,0.1481481481481482,0.18518518518518462

2,2,1.0,1.0,2.0,1.0,1.0,,0.17117117117117092,0.3243243243243242
2,2,1.0,1.0,2.0,4.0,3.0,,0.3243243243243242,0.3243243243243245
2,2,0.5,0.5,1.0,2.0,1.0,,0.16216216216216195,0.1621621621621621
2,2,1.0,0.25,0.5,1.0,1.0,,0.08108108108108113,0.17117117117117106
2,2,1.0,0.3333333333333333,1.0,1.0,1.0,,0.10810810810810845,0.1711711711711714

2,3,1.0,1.0,2.0,1.0,1.0,,0.18518518518518493,0.29629629629629683
2,3,1.0,1.0,2.0,3.0,4.0,,0.2962962962962964,0.2962962962962964
2,3,0.5,0.5,1.0,2.0,1.0,,0.14814814814814842,0.14814814814814842
2,3,1.0,0.3333333333333333,0.5,1.0,1.0,,0.0740740740740744,0.18518518518518498
2,3,1.0,0.25,1.0,1.0,1.0,,0.0740740740740741,0.1851851851851852

3,1,1.0,1.0,2.0,1.0,2.0,,0.2539682539682537,0.28571428571428614
3,1,1.0,1.0,9.0,2.0,2.0,,0.28571428571428564,0.28571428571428564
3,1,0.5,0.1111111111111111,1.0,1.0,1.0,,0.03174603174603174,0.14285714285714263
3,1,1.0,0.5,1.0,1.0,1.0,,0.14285714285714296,0.2539682539682536
3,1,0.5,0.5,1.0,1.0,1.0,,0.1428571428571423,0.14285714285714265

3,2,1.0,1.0,1.0,1.0,1.0,,0.22807017543859592,0.22807017543859592
3,2,1.0,1.0,3.0,5.0,1.0,,0.22807017543859592,0.26315789473684287
3,2,1.0,0.3333333333333333,1.0,1.0,1.0,,0.08771929824561492,0.22807017543859665
3,2,1.0,0.2,1.0,1.0,1.0,,0.05263157894736857,0.22807017543859676
3,2,1.0,1.0,1.0,1.0,1.0,,0.2280701754385959,0.2280701754385959

3,3,1.0,1.0,1.0,1.0,1.0,,0.1666666666666668,0.26666666666666683
3,3,1.0,1.0,5.0,2.0,2.0,,0.26666666666666683,0.3333333333333334
3,3,1.0,0.2,1.0,1.0,1.0,,0.06666666666666668,0.16666666666666655
3,3,1.0,0.5,1.0,1.0,1.0,,0.16666666666666663,0.16666666666666663
3,3,1.0,0.5,1.0,1.0,1.0,,0.16666666666666646,0.16666666666666663

4,1,1.0,1.0,2.0,1.0,1.0,,0.1904761904761909,0.28571428571428586
4,1,1.0,1.0,2.0,2.0,2.0,,0.2857142857142856,0.2857142857142856
4,1,0.5,0.5,1.0,1.0,1.0,,0.14285714285714235,0.14285714285714235
4,1,1.0,0.5,1.0,1.0,1.0,,0.14285714285714324,0.19047619047619158
4,1,1.0,0.5,1.0,1.0,1.0,,0.14285714285714213,0.1904761904761907

4,2,1.0,1.0,1.0,1.0,1.0,,0.1428571428571433,0.28571428571428537
4,2,1.0,1.0,5.0,5.0,3.0,,0.2857142857142854,0.42857142857142755
4,2,1.0,0.2,1.0,1.0,1.0,,0.0857142857142855,0.1428571428571436
4,2,1.0,0.2,1.0,1.0,1.0,,0.0857142857142855,0.14285714285714324
4,2,1.0,0.3333333333333333,1.0,1.0,1.0,,0.14285714285714243,0.14285714285714243

4,3,1.0,1.0,3.0,2.0,1.0,,0.21428571428571433,0.2857142857142857
4,3,1.0,1.0,3.0,2.0,2.0,,0.2857142857142856,0.2857142857142856
4,3,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,0.09523809523809537,0.14285714285714265
4,3,0.5,0.5,1.0,1.0,1.0,,0.14285714285714257,0.14285714285714304
4,3,1.0,0.5,1.0,1.0,1.0,,0.142857142857143,0.21428571428571463

5,1,1.0,1.0,1.0,2.0,1.0,,0.19047619047619008,0.28571428571428564
5,1,1.0,1.0,3.0,2.0,2.0,,0.28571428571428575,0.2857142857142859
5,1,1.0,0.3333333333333333,1.0,1.0,2.0,,0.09523809523809498,0.19047619047619047
5,1,0.5,0.5,1.0,1.0,1.0,,0.14285714285714285,0.14285714285714285
5,1,1.0,0.5,0.5,1.0,1.0,,0.09523809523809518,0.1904761904761902

5,2,1.0,1.0,2.0,2.0,1.0,,0.21428571428571402,0.3428571428571433
5,2,1.0,1.0,5.0,3.0,4.0,,0.34285714285714325,0.34285714285714325
5,2,0.5,0.2,1.0,1.0,1.0,,0.06857142857142864,0.11428571428571352
5,2,0.5,0.3333333333333333,1.0,1.0,1.0,,0.11428571428571382,0.11428571428571443
5,2,1.0,0.25,1.0,1.0,1.0,,0.08571428571428569,0.21428571428571477

5,3,1.0,1.0,1.0,1.0,1.0,,0.16666666666666646,0.2500000000000001
5,3,1.0,1.0,2.0,4.0,4.0,,0.2500000000000001,0.33333333333333376
5,3,1.0,0.5,1.0,2.0,1.0,,0.16666666666666646,0.16666666666666646
5,3,1.0,0.25,0.5,1.0,1.0,,0.08333333333333344,0.16666666666666663
5,3,1.0,0.25,1.0,1.0,1.0,,0.08333333333333354,0.16666666666666674

6,1,1.0,1.0,1.0,1.0,1.0,,0.18181818181818177,0.272727272727273
6,1,1.0,1.0,2.0,2.0,2.0,,0.2727272727272729,0.2727272727272729
6,1,1.0,0.5,1.0,2.0,1.0,,0.13636363636363652,0.18181818181818188
6,1,1.0,0.5,0.5,1.0,2.0,,0.0909090909090911,0.18181818181818166
6,1,1.0,0.5,1.0,0.5,1.0,,0.09090909090909066,0.1818181818181812

6,2,1.0,1.0,2.0,2.0,1.0,,0.21052631578947315,0.31578947368421
6,2,1.0,1.0,2.0,3.0,3.0,,0.3157894736842105,0.3157894736842105
6,2,0.5,0.5,1.0,2.0,1.0,,0.15789473684210484,0.1578947368421059
6,2,0.5,0.3333333333333333,0.5,1.0,1.0,,0.07894736842105321,0.10526315789473664
6,2,1.0,0.3333333333333333,1.0,1.0,1.0,,0.10526315789473703,0.21052631578947334

6,3,1.0,2.0,2.0,1.0,1.0,,0.24999999999999972,0.24999999999999972
6,3,0.5,1.0,2.0,2.0,2.0,,0.125,0.25000000000000006
6,3,0.5,0.5,1.0,1.0,1.0,,0.12499999999999961,0.12499999999999971
6,3,1.0,0.5,1.0,1.0,2.0,,0.12499999999999989,0.24999999999999994
6,3,1.0,0.5,1.0,0.5,1.0,,0.12500000000000056,0.25000000000000056

7,1,1.0,1.0,2.0,1.0,1.0,,0.18918918918918898,0.3243243243243237
7,1,1.0,1.0,4.0,5.0,3.0,,0.3243243243243237,0.32432432432432395
7,1,0.5,0.25,1.0,2.0,1.0,,0.08108108108108059,0.10810810810810857
7,1,1.0,0.2,0.5,1.0,1.0,,0.054054054054054126,0.189189189189189
7,1,1.0,0.3333333333333333,1.0,1.0,1.0,,0.10810810810810828,0.18918918918918945

7,2,1.0,1.0,1.0,1.0,1.0,,0.16666666666666627,0.25
7,2,1.0,1.0,3.0,3.0,2.0,,0.25000000000000006,0.3333333333333335
7,2,1.0,0.3333333333333333,1.0,2.0,1.0,,0.11111111111111102,0.16666666666666688
7,2,1.0,0.3333333333333333,0.5,1.0,1.0,,0.08333333333333348,0.1666666666666665
7,2,1.0,0.5,1.0,1.0,1.0,,0.1666666666666666,0.1666666666666666

7,3,1.0,1.0,1.0,1.0,1.0,,0.166666666666667,0.2499999999999998
7,3,1.0,1.0,2.0,3.0,3.0,,0.24999999999999983,0.33333333333333315
7,3,1.0,0.5,1.0,1.0,1.0,,0.1666666666666665,0.1666666666666665
7,3,1.0,0.3333333333333333,1.0,1.0,1.0,,0.11111111111111163,0.16666666666666755
7,3,1.0,0.3333333333333333,1.0,1.0,1.0,,0.11111111111111024,0.16666666666666638

8,1,1.0,1.0,1.0,1.0,1.0,,0.16666666666666619,0.2916666666666659
8,1,1.0,1.0,2.0,8.0,2.0,,0.2916666666666659,0.33333333333333415
8,1,1.0,0.5,1.0,1.0,1.0,,0.16666666666666657,0.16666666666666674
8,1,1.0,0.125,1.0,1.0,1.0,,0.041666666666666796,0.16666666666666644
8,1,1.0,0.5,1.0,1.0,1.0,,0.16666666666666652,0.16666666666666655

8,2,1.0,1.0,3.0,2.0,1.0,,0.2093023255813956,0.34883720930232537
8,2,1.0,1.0,5.0,3.0,5.0,,0.34883720930232553,0.34883720930232553
8,2,0.3333333333333333,0.2,1.0,1.0,1.0,,0.0697674418604651,0.11627906976744184
8,2,0.5,0.3333333333333333,1.0,1.0,1.0,,0.11627906976744178,0.11627906976744178
8,2,1.0,0.2,1.0,1.0,1.0,,0.0697674418604651,0.20930232558139575

8,3,1.0,1.0,1.0,1.0,1.0,,0.1666666666666663,0.24999999999999972
8,3,1.0,1.0,4.0,2.0,2.0,,0.24999999999999972,0.3333333333333335
8,3,1.0,0.25,1.0,2.0,1.0,,0.08333333333333337,0.1666666666666667
8,3,1.0,0.5,0.5,1.0,1.0,,0.08333333333333331,0.16666666666666685
8,3,1.0,0.5,1.0,1.0,1.0,,0.16666666666666663,0.16666666666666663

9,1,1.0,1.0,1.0,1.0,1.0,,0.1538461538461539,0.2692307692307692
9,1,1.0,1.0,4.0,5.0,5.0,,0.2692307692307692,0.38461538461538397
9,1,1.0,0.25,1.0,1.0,1.0,,0.09615384615384599,0.15384615384615388
9,1,1.0,0.2,1.0,1.0,2.0,,0.07692307692307679,0.15384615384615383
9,1,1.0,0.2,1.0,0.5,1.0,,0.07692307692307679,0.15384615384615385

9,2,1.0,1.0,2.0,1.0,1.0,,0.1833333333333336,0.3000000000000001
9,2,1.0,1.0,2.0,2.0,3.0,,0.2999999999999995,0.2999999999999995
9,2,0.5,0.5,1.0,1.0,1.0,,0.14999999999999983,0.15
9,2,1.0,0.5,1.0,1.0,1.0,,0.1500000000000002,0.18333333333333393
9,2,1.0,0.3333333333333333,1.0,1.0,1.0,,0.09999999999999995,0.18333333333333335

9,3,1.0,1.0,2.0,1.0,2.0,,0.18421052631578838,0.3157894736842106
9,3,1.0,1.0,2.0,6.0,2.0,,0.3157894736842102,0.3157894736842102
9,3,0.5,0.5,1.0,1.0,1.0,,0.1578947368421051,0.15789473684210587
9,3,1.0,0.16666666666666666,1.0,1.0,1.0,,0.05263157894736832,0.18421052631578877
9,3,0.5,0.5,1.0,1.0,1.0,,0.15789473684210498,0.15789473684210498

10,1,1.0,1.0,2.0,1.0,1.0,,0.18333333333333354,0.3000000000000001
10,1,1.0,1.0,2.0,3.0,2.0,,0.29999999999999993,0.29999999999999993
10,1,0.5,0.5,1.0,1.0,1.0,,0.1499999999999996,0.1499999999999996
10,1,1.0,0.3333333333333333,1.0,1.0,1.0,,0.09999999999999987,0.18333333333333343
10,1,1.0,0.5,1.0,1.0,1.0,,0.14999999999999983,0.18333333333333357

10,2,1.0,1.0,2.0,1.0,1.0,,0.205128205128205,0.20512820512820573
10,2,1.0,1.0,4.0,1.0,3.0,,0.20512820512820573,0.30769230769230776
10,2,0.5,0.25,1.0,1.0,1.0,,0.07692307692307694,0.17948717948717835
10,2,1.0,1.0,1.0,1.0,1.0,,0.17948717948717768,0.20512820512820573
10,2,1.0,0.3333333333333333,1.0,1.0,1.0,,0.10256410256410292,0.2051282051282044

10,3,1.0,1.0,3.0,1.0,1.0,,0.17543859649122906,0.31578947368421073
10,3,1.0,1.0,2.0,2.0,3.0,,0.3157894736842096,0.3157894736842096
10,3,0.3333333333333333,0.5,1.0,1.0,1.0,,0.10526315789473695,0.1578947368421053
10,3,1.0,0.5,1.0,1.0,1.0,,0.15789473684210498,0.17543859649122862
10,3,1.0,0.3333333333333333,1.0,1.0,1.0,,0.1052631578947365,0.17543859649122873

11,1,1.0,1.0,2.0,2.0,1.0,,0.19230769230769212,0.30769230769230704
11,1,1.0,1.0,2.0,4.0,2.0,,0.30769230769230704,0.3076923076923083
11,1,0.5,0.5,1.0,1.0,2.0,,0.15384615384615352,0.15384615384615352
11,1,0.5,0.25,1.0,1.0,2.0,,0.07692307692307708,0.15384615384615422
