与えた重要度,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

実行回数,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],区間幅の総和
1,0.150363, 0.338316,0.150363, 0.338316,0.073647, 0.196392,0.075181, 0.207397,0.050121, 0.165918,0.037591, 0.216395,0.925469
2,0.128957, 0.257913,0.077374, 0.257913,0.064478, 0.211020,0.064478, 0.211020,0.128957, 0.322392,0.064478, 0.211020,0.942556
3,0.092285, 0.263671,0.114934, 0.335223,0.074707, 0.287933,0.074707, 0.286377,0.026681, 0.246800,0.020011, 0.176672,1.193351
4,0.093751, 0.304692,0.125002, 0.302088,0.083335, 0.263893,0.070313, 0.263893,0.041667, 0.234378,0.023438, 0.193551,1.124988
5,0.096810, 0.338834,0.076511, 0.262323,0.048405, 0.246425,0.061606, 0.287495,0.041071, 0.254125,0.032270, 0.254125,1.286656
6,0.105967, 0.267861,0.105967, 0.317901,0.092721, 0.309070,0.067434, 0.247256,0.044956, 0.208623,0.030907, 0.201337,1.104097
7,0.122618, 0.279654,0.110697, 0.261876,0.079701, 0.278955,0.055348, 0.239104,0.079701, 0.282021,0.022139, 0.188184,1.059590
8,0.107972, 0.305922,0.143963, 0.347911,0.071982, 0.233940,0.061698, 0.215945,0.047988, 0.193606,0.035991, 0.233083,1.060812
9,0.124330, 0.293870,0.124330, 0.300463,0.124330, 0.305173,0.067816, 0.211360,0.041443, 0.221462,0.031082, 0.154340,0.973338
10,0.142130, 0.299395,0.115152, 0.248728,0.092121, 0.261011,0.092121, 0.270223,0.047377, 0.232146,0.023030, 0.176566,0.976136
11,0.176551, 0.338389,0.125057, 0.250113,0.070032, 0.227603,0.102988, 0.218849,0.051494, 0.188811,0.044138, 0.205976,0.859483
12,0.126117, 0.283762,0.126117, 0.283762,0.063058, 0.242775,0.063058, 0.242775,0.063058, 0.242775,0.031529, 0.231214,1.054125
13,0.145475, 0.297860,0.145475, 0.267674,0.072738, 0.186248,0.145475, 0.267674,0.072738, 0.186248,0.029095, 0.183299,0.778009
14,0.132298, 0.319721,0.132298, 0.319721,0.132298, 0.257246,0.066149, 0.206165,0.044099, 0.160583,0.033075, 0.196347,0.919565
15,0.135873, 0.271745,0.135873, 0.264197,0.067936, 0.211735,0.135873, 0.328359,0.033968, 0.201652,0.045291, 0.167498,0.890373
16,0.148382, 0.259668,0.148382, 0.259668,0.178720, 0.258151,0.092099, 0.190777,0.061399, 0.158981,0.059573, 0.184198,0.622888
17,0.181719, 0.363439,0.129641, 0.239338,0.090860, 0.204434,0.090860, 0.257436,0.045430, 0.192409,0.037170, 0.167264,0.848640
18,0.083992, 0.303304,0.086392, 0.336927,0.075593, 0.272134,0.040496, 0.246047,0.026997, 0.278073,0.030237, 0.219808,1.312587
19,0.166157, 0.295390,0.083078, 0.213630,0.089725, 0.249235,0.059816, 0.239266,0.059816, 0.239266,0.055386, 0.249235,0.972043
20,0.102926, 0.301915,0.133198, 0.355194,0.083865, 0.279551,0.031449, 0.188697,0.034309, 0.205851,0.031449, 0.251596,1.165608
21,0.151290, 0.273763,0.128015, 0.325371,0.078009, 0.235761,0.075645, 0.233239,0.042672, 0.247029,0.039005, 0.170202,0.970729
22,0.144920, 0.326071,0.144920, 0.326071,0.060383, 0.201278,0.072460, 0.189026,0.060383, 0.253610,0.030192, 0.190685,0.973481
