Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt,,,,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,式(1)の最適値が式(10)の最適値のt_L倍より大きい
530,1,0.902298851,0.976190476,1.025,0.333333333,0.341463415,0.333333333,0.35,,,,,総数,15,5,FALSE,530
530,2,0.942307692,0.982758621,1.017857143,0.307692308,0.315789474,0.310344828,0.321428571,,,,,式(1)の解の中心の総和が式(10)のt_Lより小さい,12,,530,FALSE
530,3,1,1,1,0.179487179,0.179487179,0.179487179,0.179487179,0.076923279,,,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,10,この時は、entani論文の統合の幅が小さいのは納得,FALSE,530
678,1,1,1,1,0.253846154,0.253846154,0.253846154,0.253846154,,,,,,,,FALSE,678
678,2,0.95,1,1,0.4,0.407407407,0.407407407,0.407407407,,,,,,,,678,FALSE
678,3,0.971428571,1,1,0.207142857,0.207142857,0.207142857,0.207142857,7.74E-08,,,,,,,FALSE,678
724,1,0.960606061,0.992307692,1.0078125,0.321212121,0.325581395,0.323076923,0.328125,,,,,,,,724,FALSE
724,2,0.916666667,0.966666667,1.035714286,0.333333333,0.344827586,0.333333333,0.357142857,,,,,,,,FALSE,724
724,3,0.96969697,1,1,0.303030303,0.307692308,0.307692308,0.307692308,0.047138712,,,,,,,724,FALSE
772,1,0.960606061,0.992307692,1.0078125,0.321212121,0.325581395,0.323076923,0.328125,,,,,,,,772,FALSE
772,2,1,1,1,0.166666667,0.166666667,0.166666667,0.166666667,,,,,,,,FALSE,772
772,3,1,1,1,0.051948052,0.051948052,0.051948052,0.051948052,1.6E-07,,,,,,,FALSE,772
965,1,0.926470588,0.972972973,1.028571429,0.323529412,0.333333333,0.324324324,0.342857143,,,,,,,,965,FALSE
965,2,0.902298851,0.987179487,1.013157895,0.333333333,0.337662338,0.333333333,0.342105263,,,,,,,,FALSE,965
965,3,0.914035088,0.993333333,1.006756757,0.38245614,0.416107383,0.413333333,0.418918919,0.060436872,,,,,,,965,FALSE
