Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt,,,,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,式(1)の最適値が式(10)の最適値のt_L倍より大きい
1,1,0.957446809,1,1,0.340425532,0.341085271,0.341085271,0.341085271,,,,,総数,1854,618,1,FALSE
1,2,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,,,,,式(1)の解の中心の総和が式(10)のt_Lより小さい,1646,,FALSE,1
1,3,0.937837838,1,1,0.394594595,0.403292181,0.403292181,0.403292181,0.016802599,0.081251535,1.003601706,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,812,この時は、entani論文の統合の幅が小さいのは納得,1,FALSE
2,1,0.944444444,1,1,0.333333333,0.333333333,0.333333333,0.333333333,,,,,,,,FALSE,2
2,2,1,1,1,0.306306306,0.306306306,0.306306306,0.306306306,,,,,,,,FALSE,2
2,3,0.944444444,1,1,0.333333333,0.333333333,0.333333333,0.333333333,0,0.027026911,1,,,,,FALSE,2
3,1,0.984126984,1,1,0.253968254,0.253968254,0.253968254,0.253968254,,,,,,,,FALSE,3
3,2,1,1,1,0.350877193,0.350877193,0.350877193,0.350877193,,,,,,,,FALSE,3
3,3,0.966666667,1,1,0.266666667,0.266666667,0.266666667,0.266666667,0.170425922,0.184711669,0.992907831,,,,,FALSE,3
4,1,1,1,1,0.19047619,0.19047619,0.19047619,0.19047619,,,,,,,,FALSE,4
4,2,0.942857143,1,1,0.4,0.4,0.4,0.4,,,,,,,,FALSE,4
4,3,0.976190476,1,1,0.19047619,0.19047619,0.19047619,0.19047619,0,0.114285604,1,,,,,FALSE,4
5,1,0.952380952,1,1,0.285714286,0.298507463,0.298507463,0.298507463,,,,,,,,5,FALSE
5,2,0.977142857,0.991428571,1.00872093,0.302857143,0.305475504,0.302857143,0.308139535,,,,,,,,FALSE,5
5,3,0.916666667,1,1,0.333333333,0.333333333,0.333333333,0.333333333,0.138095176,0.191257335,1.021897803,,,,,FALSE,5
9,1,0.894230769,1,1,0.442307692,0.442307692,0.442307692,0.442307692,,,,,,,,FALSE,9
9,2,1,1,1,0.233333333,0.233333333,0.233333333,0.233333333,,,,,,,,FALSE,9
9,3,1,1,1,0.263157895,0.263157895,0.263157895,0.263157895,0.051416873,0.157894607,0.996068164,,,,,FALSE,9
10,1,1,1,1,0.233333333,0.233333333,0.233333333,0.233333333,,,,,,,,FALSE,10
10,2,0.935897436,1,1,0.333333333,0.333333333,0.333333333,0.333333333,,,,,,,,FALSE,10
10,3,1,1,1,0.280701754,0.280701754,0.280701754,0.280701754,0.031578767,0.139912135,0.995850634,,,,,FALSE,10
11,1,0.961538462,1,1,0.307692308,0.307692308,0.307692308,0.307692308,,,,,,,,FALSE,11
11,2,0.945945946,1,1,0.378378378,0.383838384,0.383838384,0.383838384,,,,,,,,11,FALSE
11,3,0.944444444,1,1,0.333333333,0.333333333,0.333333333,0.333333333,0.091475887,0.111888018,1,,,,,FALSE,11
12,1,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,,,,,,,,FALSE,12
