Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt
1,1,0.9249999999999998,0.9464285714285716,1.06,0.3900000000000001,0.41509433962264175,0.3928571428571432,0.4400000000000003,,,
1,2,0.9642857142857145,1.0,1.0000000000000016,0.30952380952380976,0.30952380952380887,0.30952380952380887,0.30952380952380937,,,
1,3,0.9642857142857139,1.0000000000000004,1.0000000000000007,0.3095238095238093,0.30952380952380965,0.30952380952380976,0.30952380952380987,0.15619023785714015,0.1587299596164159,1.0
2,1,0.9722222222222223,0.9722222222222223,1.0294117647058825,0.2777777777777771,0.28571428571428603,0.2777777777777781,0.2941176470588239,,,
2,2,0.9999999999999998,0.9999999999999998,1.0000000000000002,0.19230769230769296,0.19230769230769207,0.192307692307692,0.19230769230769212,,,
2,3,0.9999999999999994,1.0,1.0000000000000004,0.17948717948717974,0.17948717948717952,0.17948717948717952,0.1794871794871796,0.0341879241880374,0.0,1.0
3,1,1.0,0.9999999999999996,1.0000000000000004,0.33846153846153815,0.3384615384615385,0.3384615384615383,0.33846153846153865,,,
3,2,0.9999999999999999,1.0000000000000002,1.0000000000000007,0.17948717948717885,0.17948717948717963,0.17948717948717965,0.17948717948717974,,,
3,3,0.9629629629629631,0.9629629629629654,1.0400000000000014,0.37037037037037057,0.38461538461538425,0.37037037037037096,0.40000000000000013,0.034187872578126166,2.2204460492503126e-16,1.0000000000000002
4,1,0.9999999999999998,1.0,1.0000000000000004,0.19230769230769296,0.1923076923076924,0.1923076923076924,0.19230769230769248,,,
4,2,1.0,1.0000000000000002,1.0,0.21839080459770066,0.21839080459770166,0.21839080459770172,0.21839080459770166,,,
4,3,0.9999999999999997,1.0000000000000002,1.0,0.2500000000000001,0.24999999999999956,0.2499999999999996,0.24999999999999956,0.05338163619803771,0.05338165177776059,0.9968600578092056
5,1,0.9999999999999996,1.0000000000000002,1.0000000000000002,0.3111111111111109,0.3111111111111112,0.3111111111111113,0.3111111111111113,,,
5,2,0.9999999999999996,0.9999999999999996,1.0000000000000004,0.2500000000000002,0.25000000000000033,0.2500000000000002,0.25000000000000044,,,
5,3,0.9687499999999997,0.9687500000000002,1.0333333333333332,0.3124999999999999,0.3225806451612905,0.3125000000000002,0.3333333333333335,0.06410242179487369,0.06410245674799571,0.9957446869526484
6,1,0.9456521739130439,0.9891304347826088,1.011111111111111,0.3695652173913049,0.3736263736263734,0.36956521739130416,0.37777777777777755,,,
6,2,0.956521739130435,1.0000000000000004,1.0000000000000004,0.34782608695652195,0.34782608695652173,0.3478260869565219,0.3478260869565219,,,
6,3,0.9687500000000003,0.9687500000000002,1.0333333333333332,0.31250000000000067,0.3225806451612905,0.3125000000000002,0.3333333333333335,0.02173906976251061,0.0,0.9999999999999999
7,1,0.9999999999999997,1.0000000000000002,1.0,0.2500000000000001,0.24999999999999956,0.2499999999999996,0.24999999999999956,,,
7,2,0.9999999999999998,1.0,1.0,0.14814814814814836,0.14814814814814825,0.14814814814814825,0.14814814814814825,,,
7,3,0.966666666666667,0.9999999999999998,1.0000000000000004,0.3333333333333336,0.3333333333333335,0.3333333333333334,0.33333333333333365,0.09166658399999861,0.09999990700000067,0.9999999805000008
8,1,0.9499999999999996,0.9625000000000017,1.0405405405405441,0.32222222222222185,0.33766233766233844,0.32500000000000134,0.35135135135135337,,,
8,2,0.9999999999999999,1.0000000000000002,1.0000000000000002,0.2647058823529419,0.26470588235294146,0.2647058823529415,0.2647058823529415,,,
8,3,0.9999999999999998,1.0000000000000007,0.9999999999999996,0.20588235294117785,0.20588235294117552,0.20588235294117566,0.20588235294117543,0.05228714169935844,0.029411333191005196,1.0
9,1,0.9999999999999998,0.9999999999999989,1.000000000000002,0.19607843137254966,0.1960784313725492,0.196078431372549,0.1960784313725496,,,
9,2,0.9807692307692313,0.9999999999999998,1.0,0.2692307692307687,0.2692307692307697,0.26923076923076966,0.2692307692307697,,,
9,3,0.9901960784313724,1.0,1.0,0.3333333333333335,0.3333333333333335,0.3333333333333335,0.3333333333333335,0.027149183619907924,0.027149159152851654,1.0
10,1,0.9999999999999999,1.0,1.0000000000000002,0.2222222222222222,0.2222222222222221,0.2222222222222221,0.22222222222222215,,,
10,2,0.9999999999999994,1.0000000000000002,1.0,0.2500000000000002,0.24999999999999956,0.2499999999999996,0.24999999999999956,,,
10,3,0.9999999999999997,1.0000000000000004,1.0,0.31831831831831814,0.31831831831831825,0.3183183183183184,0.31831831831831825,0.08333321912280578,0.08333323912280965,1.0
11,1,0.9999999999999974,1.0000000000000002,0.9999999999999993,0.27380952380952417,0.27380952380952395,0.273809523809524,0.2738095238095238,,,
11,2,1.0,1.0000000000000004,1.0,0.318318318318318,0.31831831831831825,0.3183183183183184,0.31831831831831825,,,
11,3,0.9999999999999997,1.0000000000000004,1.0,0.31831831831831814,0.31831831831831825,0.3183183183183184,0.31831831831831825,0.0,0.0,1.0
12,1,0.9999999999999974,1.0000000000000002,0.9999999999999993,0.27380952380952417,0.27380952380952395,0.273809523809524,0.2738095238095238,,,
12,2,0.9999999999999987,1.0,0.9999999999999998,0.27380952380952606,0.2738095238095244,0.2738095238095244,0.27380952380952434,,,
12,3,1.0,1.0,1.0000000000000004,0.20634920634920617,0.20634920634920684,0.20634920634920684,0.20634920634920692,0.0,1.1102230246251563e-16,1.0000000000000002
13,1,0.9687499999999999,0.96875,1.0333333333333334,0.3125000000000002,0.3225806451612905,0.31250000000000017,0.33333333333333354,,,
13,2,0.9999999999999998,1.0,1.0,0.3333333333333335,0.33333333333333304,0.33333333333333304,0.33333333333333304,,,
13,3,0.9629629629629632,1.0,1.0000000000000049,0.37037037037037046,0.3832020997375324,0.3832020997375324,0.3832020997375343,0.06871328940596988,0.07967195766472127,0.9939755916264894
14,1,0.9999999999999999,0.9999999999999998,1.0000000000000007,0.3076923076923075,0.3076923076923075,0.30769230769230743,0.3076923076923077,,,
14,2,0.9722222222222223,0.9722222222222235,1.0294117647058818,0.2777777777777771,0.2857142857142859,0.27777777777777835,0.2941176470588236,,,
14,3,1.0000000000000007,0.9999999999999993,1.0000000000000004,0.2647058823529409,0.26470588235294024,0.26470588235294007,0.26470588235294035,0.05681231714861057,0.027149237866973874,1.0
15,1,0.9375000000000004,0.9565217391304353,1.0476190476190472,0.3472222222222219,0.36363636363636376,0.347826086956522,0.38095238095238093,,,
15,2,0.9444444444444444,0.9571428571428572,1.0468750000000004,0.3703703703703699,0.3880597014925373,0.37142857142857144,0.40625000000000017,,,
15,3,0.9249999999999998,0.9464285714285716,1.06,0.3900000000000001,0.41509433962264175,0.3928571428571432,0.4400000000000003,0.06222136155559055,0.0,1.0
16,1,0.9999999999999994,1.0000000000000002,1.0,0.2500000000000002,0.24999999999999956,0.2499999999999996,0.24999999999999956,,,
16,2,0.9999999999999999,1.0,1.000000000000001,0.303030303030303,0.303030303030303,0.303030303030303,0.3030303030303033,,,
16,3,0.9711538461538458,0.9903846153846156,1.0098039215686276,0.32692307692307687,0.33009708737864096,0.3269230769230772,0.3333333333333336,0.12587397420746027,0.11229930925544462,1.0
17,1,0.9999999999999997,1.0000000000000002,1.0,0.2500000000000001,0.24999999999999956,0.2499999999999996,0.24999999999999956,,,
17,2,0.9599999999999995,0.9999999999999998,1.0000000000000002,0.31999999999999995,0.32000000000000073,0.3200000000000007,0.3200000000000008,,,
17,3,0.9999999999999993,0.9999999999999996,1.0000000000000002,0.30588235294117627,0.3058823529411766,0.3058823529411765,0.30588235294117666,0.058823161856213835,0.05882319385620464,1.002654094952563
18,1,0.9624999999999999,0.9625000000000001,1.0405405405405406,0.3250000000000002,0.33766233766233755,0.32499999999999996,0.35135135135135126,,,
