Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt,,,,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,式(1)の最適値が式(10)の最適値のt_L倍より大きい
2,1,0.935028249,1,1,0.333333333,0.333333333,0.333333333,0.333333333,,,,,総数,1593,531,FALSE,2
2,2,1,1,1,0.214285714,0.214285714,0.214285714,0.214285714,,,,,式(1)の解の中心の総和が式(10)のt_Lより小さい,1240,,FALSE,2
2,3,1,1,1,0.204545455,0.204545455,0.204545455,0.204545455,0.496212111,0.523989859,0.978727172,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,733,この時は、entani論文の統合の幅が小さいのは納得,FALSE,2
3,1,1,1,1,0.148148148,0.148148148,0.148148148,0.148148148,,,,,,,,FALSE,3
3,2,0.949838188,1,1,0.25566343,0.263157895,0.263157895,0.263157895,,,,,,,,3,FALSE
3,3,1,1,1,0.303030303,0.303030303,0.303030303,0.303030303,0.535059077,0.580807865,1.000132996,,,,,FALSE,3
4,1,0.967391304,1,1,0.239130435,0.243902439,0.243902439,0.243902439,,,,,,,,4,FALSE
4,2,0.963768116,1,1,0.246376812,0.25,0.25,0.25,,,,,,,,4,FALSE
4,3,0.981481481,0.981481481,1.019230769,0.185185185,0.188679245,0.185185185,0.192307692,0.381642462,0.447831782,0.996567795,,,,,FALSE,4
5,1,0.936781609,1,1,0.333333333,0.333333333,0.333333333,0.333333333,,,,,,,,FALSE,5
5,2,1,1,1,0.228395062,0.228395062,0.228395062,0.228395062,,,,,,,,FALSE,5
5,3,1,1,1,0.178571429,0.178571429,0.178571429,0.178571429,0.535493761,0.59336412,0.951891316,,,,,FALSE,5
8,1,1,1,1,0.170731707,0.170731707,0.170731707,0.170731707,,,,,,,,FALSE,8
8,2,0.988095238,0.988095238,1.012195122,0.30952381,0.313253012,0.30952381,0.317073171,,,,,,,,FALSE,8
8,3,0.9625,0.9625,1.040540541,0.325,0.337662338,0.325,0.351351351,0.678512824,0.67851316,1.002590931,,,,,FALSE,8
9,1,0.941975309,1,1,0.264197531,0.275280899,0.275280899,0.275280899,,,,,,,,9,FALSE
9,2,0.97826087,0.97826087,1.022727273,0.304347826,0.311111111,0.304347826,0.318181818,,,,,,,,FALSE,9
9,3,0.982608696,1,1,0.382608696,0.388349515,0.388349515,0.388349515,0.500804914,0.53148966,0.971450261,,,,,9,FALSE
10,1,0.975,1,1,0.35,0.35,0.35,0.35,,,,,,,,FALSE,10
10,2,1,1,1,0.206349206,0.206349206,0.206349206,0.206349206,,,,,,,,FALSE,10
10,3,1,1,1,0.186666667,0.186666667,0.186666667,0.186666667,0.589365029,0.614365026,0.980201495,,,,,FALSE,10
14,1,0.993333333,0.993333333,1.006756757,0.28,0.281879195,0.28,0.283783784,,,,,,,,FALSE,14
14,2,1,1,1,0.196078431,0.196078431,0.196078431,0.196078431,,,,,,,,FALSE,14
14,3,0.902298851,0.987179487,1.013157895,0.333333333,0.337662338,0.333333333,0.342105263,0.416993411,0.600301367,0.989272931,,,,,FALSE,14
16,1,0.9625,1,1,0.225,0.225,0.225,0.225,,,,,,,,FALSE,16
16,2,0.976923077,1,1,0.2,0.202764977,0.202764977,0.202764977,,,,,,,,16,FALSE
16,3,0.99122807,1,1,0.333333333,0.33463035,0.33463035,0.33463035,0.568218503,0.612939166,0.933516854,,,,,16,FALSE
17,1,0.942307692,0.982758621,1.017857143,0.307692308,0.315789474,0.310344828,0.321428571,,,,,,,,17,FALSE
17,2,0.965608466,1,1,0.216931217,0.218181818,0.218181818,0.218181818,,,,,,,,17,FALSE
17,3,0.972527473,1,1,0.208791209,0.212624585,0.212624585,0.212624585,0.453805288,0.525958656,1.004695764,,,,,17,FALSE
19,1,0.980769231,0.980769231,1.02,0.192307692,0.196078431,0.192307692,0.2,,,,,,,,FALSE,19
19,2,0.976190476,1,1,0.238095238,0.238095238,0.238095238,0.238095238,,,,,,,,FALSE,19
19,3,1,1,1,0.222222222,0.222222222,0.222222222,0.222222222,0.325396742,0.333333171,0.992727241,,,,,FALSE,19
20,1,0.987179487,1,1,0.179487179,0.179487179,0.179487179,0.179487179,,,,,,,,FALSE,20
20,2,1,1,1,0.088888889,0.088888889,0.088888889,0.088888889,,,,,,,,FALSE,20
20,3,1,1,1,0.206349206,0.206349206,0.206349206,0.206349206,0.429792356,0.435286849,1.001528612,,,,,FALSE,20
21,1,1,1,1,0.264550265,0.264550265,0.264550265,0.264550265,,,,,,,,FALSE,21
21,2,0.989130435,1,1,0.152173913,0.152173913,0.152173913,0.152173913,,,,,,,,FALSE,21
21,3,0.95,1,1,0.3,0.3125,0.3125,0.3125,0.46902443,0.580158998,0.978539347,,,,,21,FALSE
22,1,1,1,1,0.222222222,0.222222222,0.222222222,0.222222222,,,,,,,,FALSE,22
22,2,0.974576271,1,1,0.355932203,0.362416107,0.362416107,0.362416107,,,,,,,,22,FALSE
22,3,0.94,1,1,0.28,0.290909091,0.290909091,0.290909091,0.627357873,0.667879001,0.918814726,,,,,22,FALSE
23,1,0.969767442,1,1,0.339534884,0.339534884,0.339534884,0.339534884,,,,,,,,FALSE,23
