Trial,PCM,t_L,t_U
1,1,0.9999999999999998,1.0
1,2,1.0,1.0000000000000002
1,3,1.0000000000000002,1.0000000000000007
2,1,0.9999999999999996,1.0000000000000004
2,2,1.0,1.0
2,3,1.000000000000001,1.0000000000000016
3,1,1.0,1.0000000000000004
3,2,1.0,1.0000000000000002
3,3,1.0,1.0000000000000002
4,1,1.0,1.0000000000000004
4,2,1.0,1.0
4,3,1.0000000000000004,1.0000000000000004
5,1,0.9537037037037037,1.051020408163266
5,2,0.9687500000000004,1.0333333333333334
5,3,0.9761904761904762,1.0250000000000004
6,1,1.0000000000000004,1.0
6,2,0.9558823529411766,1.0483870967741935
6,3,0.9782608695652194,1.0227272727272718
7,1,0.9737609329446075,1.0276923076923088
7,2,0.9999999999999998,1.0000000000000007
7,3,0.9999999999999996,1.0000000000000004
8,1,0.9999999999999996,1.0000000000000002
8,2,0.9548387096774195,1.0496453900709222
8,3,1.0000000000000002,1.0000000000000007
9,1,0.9999999999999996,1.0000000000000004
9,2,0.9999999999999998,1.0000000000000004
9,3,0.9625000000000002,1.0405405405405401
10,1,1.0,1.0
10,2,0.9548387096774195,1.0496453900709222
10,3,1.0,1.0000000000000009
11,1,0.9565217391304348,1.047619047619048
11,2,1.0,1.0000000000000004
11,3,1.0000000000000002,1.0000000000000004
12,1,1.0,1.0000000000000002
12,2,1.0000000000000002,1.0
12,3,1.0,1.0000000000000002
13,1,1.0,1.0000000000000002
13,2,0.9999999999999996,1.0000000000000004
13,3,1.0,1.0000000000000004
14,1,1.0000000000000007,1.000000000000001
14,2,1.0,1.0000000000000002
14,3,0.9999999999999996,1.0000000000000002
15,1,1.0,1.0000000000000007
15,2,1.0000000000000002,1.0000000000000004
15,3,1.0,1.000000000000001
16,1,1.0,1.0
16,2,1.0000000000000002,1.0000000000000002
16,3,0.9166666666666667,1.0999999999999999
17,1,0.9999999999999998,1.0000000000000007
17,2,1.0,1.0000000000000002
17,3,0.9999999999999998,1.0
18,1,1.0,1.0
18,2,0.9999999999999996,1.0000000000000004
18,3,1.0,1.0000000000000007
19,1,1.0000000000000002,1.0000000000000007
19,2,1.0000000000000002,0.9999999999999996
19,3,0.975000000000001,1.026315789473684
20,1,1.0,1.0000000000000002
20,2,0.9807692307692306,1.0200000000000002
20,3,1.0,1.0000000000000007
21,1,0.9848484848484849,1.015625
21,2,1.0,1.0000000000000002
21,3,1.0,1.0000000000000002
22,1,0.98,1.0208333333333333
22,2,0.9999999999999998,1.0000000000000002
22,3,1.0,1.0000000000000004
23,1,0.9999999999999998,1.0000000000000009
23,2,0.9871794871794871,1.0131578947368423
23,3,0.9900000000000001,1.010204081632653
24,1,1.0,1.0000000000000002
24,2,1.0,1.0000000000000002
24,3,0.9999999999999996,1.0000000000000004
25,1,0.9895833333333333,1.0106382978723414
25,2,1.0,1.0
25,3,0.9833333333333336,1.017241379310345
26,1,0.9596774193548389,1.043859649122807
26,2,0.9335937499999976,1.07657657657658
26,3,1.0,1.0000000000000004
27,1,0.9347826086956522,1.0749999999999997
27,2,0.9835164835164849,1.017045454545453
27,3,1.0,1.0000000000000002
28,1,1.0000000000000004,1.0000000000000007
28,2,1.0,1.0
28,3,0.9411764705882355,1.0666666666666664
29,1,1.0000000000000002,1.0000000000000002
29,2,1.0000000000000002,0.9999999999999998
29,3,1.0000000000000002,1.0000000000000007
30,1,1.0000000000000002,1.0000000000000004
30,2,0.9950738916256158,1.0049751243781095
30,3,0.9545454545454547,1.0499999999999996
31,1,0.9687500000000009,1.0333333333333332
31,2,0.9523809523809533,1.0526315789473684
31,3,1.0000000000000004,1.0
32,1,0.9999999999999998,1.0000000000000002
32,2,1.0000000000000002,1.0000000000000004
32,3,1.0,1.0
33,1,0.976923076923077,1.0241935483870968
33,2,1.0,1.0000000000000007
33,3,0.9999999999999996,1.000000000000001
34,1,1.0,1.0000000000000042
34,2,0.9655172413793127,1.0370370370370383
34,3,0.9999999999999998,1.0000000000000004
35,1,0.990740740740741,1.009433962264151
35,2,1.0,1.0000000000000004
35,3,0.9736842105263158,1.0277777777777781
36,1,0.9666666666666668,1.035714285714286
36,2,1.0000000000000002,1.0000000000000007
36,3,0.9999999999999998,1.0000000000000004
37,1,1.0,1.0000000000000004
37,2,1.0,1.0000000000000002
37,3,0.965000000000001,1.0376344086021505
38,1,0.9687499999999996,1.0333333333333339
38,2,1.0000000000000002,1.0
38,3,0.9999999999999996,1.0000000000000007
39,1,1.0,1.0
39,2,0.9062500000000002,1.1153846153846152
39,3,0.9843749999999999,1.016129032258065
40,1,1.0,1.0000000000000004
40,2,0.9642857142857141,1.0384615384615383
40,3,1.0000000000000004,1.0000000000000004
41,1,1.0,1.0000000000000002
41,2,0.9999999999999998,1.0000000000000002
41,3,0.9999999999999998,1.0000000000000002
42,1,0.966666666666667,1.0357142857142865
42,2,0.9809523809523808,1.0198019801980198
42,3,0.9545454545454545,1.0499999999999998
43,1,0.9700000000000003,1.0319148936170215
43,2,0.9677419354838714,1.0344827586206897
43,3,1.0,0.9999999999999998
44,1,0.916666666666667,1.0999999999999999
44,2,1.0,0.9999999999999996
44,3,1.0000000000000002,1.0
45,1,1.0000000000000007,0.9999999999999998
45,2,0.9999999999999998,1.0000000000000002
45,3,0.990740740740741,1.009433962264151
46,1,0.9333333333333333,1.0769230769230773
46,2,0.9545454545454545,1.0499999999999998
46,3,0.9375,1.0714285714285716
47,1,0.9999999999999998,1.0000000000000004
47,2,1.0,1.0000000000000002
47,3,0.9999999999999998,0.9999999999999998
48,1,1.0000000000000002,1.0
48,2,1.0,1.0000000000000004
48,3,1.0000000000000007,1.0000000000000004
49,1,1.0,1.0000000000000002
49,2,1.0,1.0000000000000002
49,3,0.9999999999999998,1.0000000000000002
50,1,0.9545454545454545,1.0499999999999998
50,2,0.9999999999999998,1.0
50,3,0.9999999999999996,1.0000000000000002
51,1,1.0000000000000002,1.0000000000000004
51,2,1.0000000000000004,1.0000000000000002
51,3,1.0,1.0
52,1,1.0,1.0
52,2,0.9548387096774192,1.0496453900709217
52,3,0.9827586206896556,1.0178571428571432
53,1,1.0000000000000002,0.9999999999999998
53,2,0.9826086956521743,1.0180180180180178
53,3,1.0,1.0
54,1,0.9999999999999998,1.0000000000000002
54,2,1.0,1.0
54,3,1.0000000000000009,0.9999999999999996
55,1,1.0,1.0
55,2,0.986666666666667,1.0136986301369861
55,3,1.0000000000000002,1.0
56,1,0.9999999999999991,1.0000000000000016
56,2,1.0,1.000000000000001
56,3,1.0,1.0
57,1,1.0000000000000002,1.0
57,2,1.0000000000000002,1.0
57,3,1.0,1.000000000000001
58,1,0.9999999999999998,1.0000000000000029
58,2,1.0,1.0000000000000002
58,3,0.9814814814814838,1.019230769230767
59,1,1.0,1.0000000000000004
59,2,1.0,1.0000000000000002
59,3,1.0000000000000002,1.0000000000000004
60,1,1.0,1.0000000000000002
60,2,1.0000000000000007,0.9999999999999998
60,3,0.9761904761904762,1.025
61,1,1.0000000000000002,0.9999999999999998
61,2,1.0000000000000007,0.9999999999999996
61,3,0.9687499999999996,1.0333333333333339
62,1,0.9871794871794874,1.0131578947368423
62,2,0.9833333333333338,1.017241379310344
62,3,0.9596774193548389,1.043859649122807
63,1,0.9482758620689657,1.057692307692307
63,2,1.0,1.0
63,3,1.0000000000000002,0.9999999999999998
64,1,1.0000000000000002,1.0000000000000009
64,2,1.0000000000000002,1.0
64,3,1.0000000000000002,1.0000000000000002
65,1,0.9999999999999996,1.0000000000000004
65,2,0.9883720930232559,1.0119047619047619
65,3,0.9807692307692308,1.0200000000000002
66,1,0.9537037037037037,1.051020408163266
66,2,0.9838709677419355,1.0166666666666675
66,3,1.0000000000000004,1.0
67,1,0.9999999999999996,1.0000000000000009
67,2,1.0000000000000002,0.9999999999999998
67,3,0.9999999999999998,1.0000000000000002
68,1,0.9871794871794886,1.0131578947368411
68,2,1.0,1.0000000000000002
68,3,0.9999999999999998,1.0000000000000016
69,1,0.9553571428571433,1.0490196078431373
69,2,1.0,1.0000000000000007
69,3,1.0000000000000004,1.0
70,1,0.9545454545454547,1.0499999999999996
70,2,1.0,1.0
70,3,1.0,1.0
71,1,0.988888888888891,1.0113636363636345
71,2,1.0000000000000002,1.0
71,3,1.0,1.0000000000000004
72,1,1.0,1.0000000000000002
72,2,0.9999999999999993,1.0000000000000004
72,3,0.9807692307692306,1.0200000000000002
73,1,0.984375,1.016129032258065
73,2,1.0,1.0
73,3,0.9999999999999998,1.0000000000000007
74,1,1.0,1.0000000000000004
74,2,0.9666666666666668,1.0357142857142854
74,3,0.9375,1.0714285714285716
75,1,0.9999999999999998,1.0000000000000004
75,2,0.9807692307692308,1.0200000000000002
75,3,0.9846938775510206,1.015789473684211
76,1,1.0000000000000002,1.0
76,2,1.0000000000000002,1.0000000000000004
76,3,0.9677419354838711,1.0344827586206895
77,1,1.0,1.0000000000000007
77,2,1.0,1.0000000000000029
77,3,0.9871794871794877,1.0131578947368416
78,1,0.9677419354838711,1.0344827586206893
78,2,0.9677419354838714,1.0344827586206897
78,3,0.9596774193548389,1.043859649122807
79,1,1.0,0.9999999999999996
79,2,0.9999999999999998,1.0000000000000007
79,3,1.0000000000000002,0.9999999999999996
80,1,0.9999999999999998,1.0
80,2,1.0000000000000002,1.0000000000000002
80,3,0.9743589743589747,1.0270270270270268
81,1,0.9871794871794874,1.0131578947368416
81,2,1.0000000000000007,1.000000000000001
81,3,1.0000000000000007,0.9999999999999996
82,1,1.0,1.0
82,2,1.0,1.0000000000000002
82,3,1.0,1.000000000000004
83,1,0.9553571428571431,1.0490196078431375
83,2,1.0,1.0
83,3,0.9625000000000002,1.0405405405405406
84,1,0.958333333333465,1.0454545454543889
84,2,1.0,1.0000000000000004
84,3,0.9677419354838714,1.0344827586206893
85,1,0.9750000000000001,1.026315789473684
85,2,1.0000000000000007,0.9999999999999998
85,3,1.0,1.0000000000000004
86,1,1.0000000000000007,1.0000000000000002
86,2,0.9999999999999996,1.0000000000000004
86,3,0.9999999999999998,1.0000000000000002
87,1,1.0,1.0
