Trial,entani論文のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ,中心総和1のPerfectIncorporation_wᴸ,中心総和1のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のCommonGround_wᴸ,entani論文のCommonGround_wᵁ,中心総和1のCommonGround_wᴸ,中心総和1のCommonGround_wᵁ,解の非唯一性考慮のCommonGround_wᴸ,解の非唯一性考慮のCommonGround_wᵁ,entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,中心総和1のPartialIncorporation_wᴸ,中心総和1のPartialIncorporation_wᵁ,解の非唯一性考慮のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_wᵁ
1,"[0.2439020790243877, 0.1300807808130044, 0.19230769193269176, 0.09756181560976135, 0.02857142285714271]","[0.3902423424390132, 0.19512117121950887, 0.19999996000000125, 0.2439020790243877, 0.14102563815064106]","[0.2820512920512822, 0.12948716948717925, 0.19230769230769226, 0.09711540211538516, 0.028571434761905008]","[0.38846150846153776, 0.2589285194047601, 0.20000004333333504, 0.2820512920512822, 0.1410256460256411]","[0.2923449264850322, 0.13326373268182723, 0.19932608623979498, 0.09994782451137195, 0.029614155410775094]","[0.3997911980454817, 0.1998955990227433, 0.20729908787542567, 0.2923449264850322, 0.14617246324251607]",E,r,E,r,E,r,"[0.35475799402351715, 0.19230770168269226, 0.19230770168269226, 0.16025254746445083, 0.06831894967840613]","[0.3857142514285715, 0.19285712571428576, 0.19512117121955982, 0.19230765293269206, 0.09756058560977991]","[0.3340081095344126, 0.18947366526315756, 0.18947371526315848, 0.19230767730769263, 0.03626378412088077]","[0.3857142692857133, 0.19285713464285664, 0.19285713464285664, 0.19230767730769263, 0.09473683263157878]","[0.3516037640299633, 0.18947082380998398, 0.18947082380998398, 0.15996754513256195, 0.06523212520137384]","[0.38002434516367667, 0.19001217258183833, 0.19001217258183833, 0.18947082380998398, 0.09473540387879575]"
2,"[0.26666662147435777, 0.13333336121794975, 0.1333333323717952, 0.10000003000000104, 0.027777774027775988]","[0.3999998799999957, 0.2777777402777695, 0.27777774027776947, 0.2666666214743565, 0.13888887013888473]","[0.27777777095959727, 0.1481481608754185, 0.11627910101744321, 0.0006892150556865873, 0.027777777095959744]","[0.3999998800000052, 0.27777777095959716, 0.27777777095959727, 0.3348836675968968, 0.13888888547979822]","[0.2646371164419562, 0.14113981179934326, 0.11077834864624547, 0.09526939191910534, 0.026463711644195587]","[0.38107732767641217, 0.264637116441956, 0.264637116441956, 0.31904150076785154, 0.1323185582209781]",E,r,E,r,E,r,"[0.2666667512820503, 0.2000000599999991, 0.2000000599999991, 0.13888890908119733, 0.06666665897435908]","[0.36666673666666566, 0.22037037133190857, 0.2777777766239316, 0.17962958251424582, 0.06666665897435908]","[0.2962963217508372, 0.20000005999999923, 0.20000005999999923, 0.13888888547979863, 0.08372094446332772]","[0.36666673666666555, 0.20331607734643944, 0.27777777095959705, 0.14961219887000804, 0.08372094446332772]","[0.2965996807240577, 0.20020482243664414, 0.20020482243664414, 0.13903108498278924, 0.08380665896054604]","[0.3670421344262292, 0.20147659349094596, 0.2780621699655785, 0.14771774986385391, 0.0858542827127112]"
3,"[0.24390242569106235, 0.1951219678861758, 0.11487097059948166, 0.09756098394308847, 0.038290323533166054]","[0.4274263618705758, 0.30769230217503907, 0.2137131809352791, 0.24390242569106235, 0.12195121284553471]","[0.23999998666666614, 0.19999999583333322, 0.11487090554610527, 0.08800675967352387, 0.03829030184870171]","[0.4274265149373523, 0.30769232369230726, 0.2137132574686758, 0.2499999610000012, 0.11999999333333307]","[0.23856947644946946, 0.19880781370782402, 0.1141861635519798, 0.0994039068539131, 0.03806205451732647]","[0.42487863774990364, 0.3058581749351158, 0.21243931887495257, 0.24850971513478065, 0.11928473822473477]",E,r,E,r,E,r,"[0.30769231626373633, 0.19512196788617914, 0.15384615194139192, 0.14247545395685013, 0.06253885129593234]","[0.4274263618705504, 0.30769230388278385, 0.19512193371951192, 0.15384615194139192, 0.09756098394308957]","[0.30769230217506643, 0.19999997499999958, 0.1538461690185673, 0.10685662873433814, 0.04263999437207666]","[0.4274265149373528, 0.30769230217506643, 0.19999997499999958, 0.15384615108753324, 0.09999998749999979]","[0.29938184393157885, 0.19459820935109315, 0.1356949523916442, 0.13862737369272427, 0.07484545797125611]","[0.4158821210781728, 0.29938183188502443, 0.19459818908044763, 0.14969091594251221, 0.09729910467554657]"
4,"[0.22222226222221853, 0.19354837509663755, 0.15000000571430405, 0.10000000380952545, 0.03225806251610588]","[0.387096750193273, 0.33333321333335225, 0.22499998952378092, 0.19354837509663755, 0.1111111311111078]","[0.22222221722222196, 0.1935483831837311, 0.15000000571428498, 0.10000000380952351, 0.027889833455552168]","[0.38709676636746215, 0.333333325833333, 0.2812499726190495, 0.19354838318373044, 0.11111110861111093]","[0.22173792896709138, 0.19312656800239433, 0.1496731076956448, 0.09978207179709649, 0.032187761333732245]","[0.38625313600478867, 0.3326068548792137, 0.28063703883409746, 0.1931265680023958, 0.11086896448354569]",E,r,E,r,E,r,"[0.29999998285714446, 0.1935484020967742, 0.2150537534408602, 0.11111113111111191, 0.07383514973373895]","[0.3870967741935484, 0.29999998285714446, 0.2150537534408602, 0.13046592053507827, 0.07383514973373895]","[0.28494626905914017, 0.19354840209677424, 0.2150537534408602, 0.11111111611111117, 0.055555558055555586]","[0.3870967741935484, 0.33333330333333294, 0.2150537534408602, 0.1487455122132616, 0.055555558055555586]","[0.3000000173195871, 0.19354840209677437, 0.20000002768041103, 0.1111111111111111, 0.05555555555555555]","[0.3870967741935483, 0.3333332883333352, 0.20000002768041103, 0.16379924047371075, 0.05555555555555555]"
5,"[0.25000005399992453, 0.1250000269999645, 0.09722223534721806, 0.09722223534722765, 0.02777778152777957]","[0.3888888513888863, 0.24999991000011498, 0.2500000059999816, 0.25000005399992453, 0.17241376643678197]","[0.26954542308210083, 0.14634145698606302, 0.09677421979838764, 0.09677421979838696, 1.0e-8]","[0.4077669868626919, 0.20388349343134593, 0.2926829139721242, 0.29268291397212587, 0.19354836209677403]","[0.2918919391746839, 0.14594596958734185, 0.09459460320767894, 0.0945946032076802, 0.027027029487908576]","[0.3783783586202001, 0.1945945714497828, 0.2918918571746753, 0.2918919391746838, 0.18918912891536438]",E,r,E,r,E,r,"[0.25000009000000045, 0.19444447069444504, 0.19444447069444504, 0.17241378401253962, 0.04980842320968226]","[0.38888885138888807, 0.2097700758516186, 0.20689654081504766, 0.24999996999999996, 0.08333332333333332]","[0.292682972543555, 0.19354843959677356, 0.16129032758064504, 0.1935483620967745, 0.03351085093831721]","[0.4077669729228422, 0.20545698951273073, 0.16129032758064504, 0.25334378590367496, 0.09756097132404169]","[0.3000000510303588, 0.19444443367344955, 0.15740768765802993, 0.19444435581467912, 0.06481465550694232]","[0.3888888673468991, 0.1999999939964284, 0.15740768765802993, 0.24259227031696862, 0.0999999969982142]"
6,"[0.2608695618840584, 0.16129033496159814, 0.12903225615975428, 0.09677419211981583, 0.04999999944444454]","[0.3999999955555551, 0.26086956188405774, 0.19999999777777744, 0.17391304125603765, 0.16129030543778725]","[0.2666666786666665, 0.1777777857777774, 0.12307694641025639, 0.09230770980769258, 0.05000000199999996]","[0.399999996, 0.32094014844017116, 0.20000000200000043, 0.18461536544871776, 0.18461536544871776]","[0.27407352462004836, 0.1827156943300323, 0.12966922094927055, 0.09725191571195292, 0.0502468178400643]","[0.4019744982760709, 0.27407352462004836, 0.20098724913803545, 0.1945037772572384, 0.19450377725723844]",E,r,E,r,E,r,"[0.3225809651612952, 0.20000000333333312, 0.173913055016722, 0.14999999999999997, 0.05000000666666632]","[0.39999999333333375, 0.23562382649907831, 0.19999999666666687, 0.17391302847826132, 0.08695651866220748]","[0.3555555611919189, 0.199999998, 0.1777777805959596, 0.12478629808935449, 0.07521370991064547]","[0.399999996, 0.199999998, 0.199999998, 0.1777777805959596, 0.08888887961616151]","[0.35555556694444385, 0.19999999687500006, 0.17777778347222192, 0.1500000000000001, 0.050000012499999524]","[0.3999999937500001, 0.19999999687500006, 0.19999999687500006, 0.17777778347222192, 0.08888886923611232]"
7,"[0.3492063349206296, 0.1904761990476202, 0.10204085589175445, 0.09523809952381189, 0.0291545302547869]","[0.41958040745920266, 0.20979020372960372, 0.209790203729603, 0.20408161236320357, 0.1746031674603148]","[0.34920635849206383, 0.19047618940476188, 0.10479044857656668, 0.09523809470238077, 0.02994012816473332]","[0.4195804271561761, 0.2167941562565494, 0.20979019191142345, 0.20958082608931228, 0.17460317924603191]","[0.350373118339842, 0.19111260386718623, 0.10524557486421399, 0.09555630193359305, 0.03007016424691828]","[0.4209822994568561, 0.21049114972842797, 0.21049114972842836, 0.21049107866461314, 0.175186559169921]",E,r,E,r,E,r,"[0.38095239809523856, 0.19047619904761928, 0.19047619904761928, 0.11888113251748259, 0.07839783655963414]","[0.40816322125017607, 0.20979018797202786, 0.20979018797202784, 0.15969736724988878, 0.07839783655963414]","[0.380952398095239, 0.1904761990476195, 0.1904761990476195, 0.11888113251748193, 0.04237683935983555]","[0.4191616521786247, 0.20979018797202886, 0.20979018797202886, 0.17460313746031553, 0.0634920663492065]","[0.37624509998581435, 0.18812254999290723, 0.18812254999290717, 0.11741215649965453, 0.0774290719862713]","[0.4031196948786674, 0.2071978779192864, 0.2071978779192864, 0.15772404883893404, 0.0774290719862713]"
8,"[0.3092783349982219, 0.18181818951048948, 0.09677421391875848, 0.09278351722360544, 0.036363637902097935]","[0.387096740860214, 0.30927833499822266, 0.19354838956590933, 0.19354837043010636, 0.12903224695340465]","[0.3134327698208945, 0.18181818951048967, 0.10135136665622847, 0.08955233480597141, 0.03636363790209783]","[0.4054053944297968, 0.33153578096812647, 0.20270269721489792, 0.20270269721489792, 0.1351351314765986]","[0.3240285817263652, 0.18796466113064625, 0.10004571309770943, 0.09257970963610661, 0.037592932226129236]","[0.400182780195719, 0.3240285817263652, 0.20009139009785948, 0.2000913900978594, 0.13339426006523963]",E,r,E,r,E,r,"[0.3092783349982221, 0.1935484278375169, 0.16494849550480034, 0.15463916749911105, 0.06185566699964442]","[0.38709674086021345, 0.3092783349982221, 0.16494849550480034, 0.19255066879782484, 0.06185566699964442]","[0.3134327698208951, 0.20270273331245817, 0.15671651891044844, 0.15671638491044756, 0.059701556537313856]","[0.4054053944297959, 0.3134327698208951, 0.15671651891044844, 0.17547379680998337, 0.059701556537313856]","[0.31343272782090914, 0.2089551766879413, 0.15671636391045457, 0.15671636391045457, 0.05970181653727269]","[0.4179102789538769, 0.31343272782090914, 0.15671636391045457, 0.15671636391045457, 0.05970181653727269]"
9,"[0.24999997906977117, 0.12500001744185657, 0.1612902925806446, 0.09523809952380963, 0.032258089516129546]","[0.38095239809523906, 0.3225805851612891, 0.24999997906976867, 0.24999997906977117, 0.1746031374603161]","[0.25974025184552246, 0.1298701461859202, 0.16129029258064453, 0.01922459546389471, 0.0322580895161296]","[0.38095235309523695, 0.32258058516128907, 0.25974025184552246, 0.25974025184552263, 0.1746031824603177]","[0.2558325411572933, 0.127916290841805, 0.15267423170082822, 0.09015052071858529, 0.03053487734016695]","[0.3606020378743383, 0.30534846340165644, 0.25583254115729326, 0.2558325411572933, 0.16527595465073988]",E,r,E,r,E,r,"[0.2500000428571431, 0.19047621833333417, 0.1612903368663596, 0.1612903191520737, 0.08870967641935479]","[0.3557347430250888, 0.2661290292580645, 0.24999998571428564, 0.17460318888888937, 0.08870967641935479]","[0.2597402518455227, 0.19047619904761945, 0.16129032402992055, 0.15486666744633593, 0.08870968270920987]","[0.36904759516563057, 0.2661290211711078, 0.2597402518455227, 0.16129032402992055, 0.08870968270920987]","[0.26660663054325623, 0.18789419888858674, 0.15910394827831803, 0.15910393239271967, 0.08750716361027573]","[0.3640449505074112, 0.2625214908308272, 0.26660658894560996, 0.15910393239271967, 0.08750716361027573]"
10,"[0.27272725022723626, 0.19354838709684902, 0.09677419354838276, 0.0967742102150525, 0.03870968408602919]","[0.3902439184391328, 0.27272725022724975, 0.2727272502272168, 0.19354838709678107, 0.17073167331699843]","[0.2727272667272711, 0.1951219592195132, 0.10135133313706567, 0.0975609796097567, 0.008944235212379414]","[0.4054053325482666, 0.2727272667272711, 0.2727272667272719, 0.20270266627413233, 0.1707316938170719]","[0.27224437041131344, 0.19477644736618774, 0.09738822368309433, 0.09738822368309377, 0.03895533175894948]","[0.3895528947323755, 0.27224437041131344, 0.27224431964207096, 0.19477644736618774, 0.17042937094541372]",E,r,E,r,E,r,"[0.3333333608333353, 0.19354842783751533, 0.19354838956591003, 0.13636362511363556, 0.064027374259848]","[0.3870967408602147, 0.2727272502272711, 0.19512193871951194, 0.1617790674765119, 0.064027374259848]","[0.333333291025629, 0.1951219592195122, 0.1951219592195122, 0.13636365367133357, 0.0472924254008632]","[0.4054053325482646, 0.272727256573422, 0.1951219592195122, 0.15705832361184796, 0.06245383951010336]","[0.33333329102562953, 0.1951219632195125, 0.1951219632195125, 0.13636365367133338, 0.06245383551010253]","[0.3902438670785956, 0.2727272565734221, 0.1951219632195125, 0.15705837097227693, 0.06245383551010253]"
