Trial,entani論文のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᴸ_1,解の非唯一性考慮のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᵁ_1,解の非唯一性考慮のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ_2,解の非唯一性考慮のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᵁ_2,解の非唯一性考慮のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᴸ_3,解の非唯一性考慮のPerfectIncorporation_wᴸ_3,entani論文のPerfectIncorporation_wᵁ_3,解の非唯一性考慮のPerfectIncorporation_wᵁ_3
1,"[0.16000010666666714, 0.11904763904761946, 0.2380952255952378, 0.13000000333333342, 0.0400000266666667]","[0.14285723637329684, 0.11904762664835264, 0.2380952532967002, 0.1428571054506811, 0.035714309093324396]","[0.2799998533333332, 0.26000000666666634, 0.26000000666666684, 0.2380952255952378, 0.16666663166666668]","[0.2857142109013622, 0.2857142109013621, 0.2857142109013622, 0.2380952532967002, 0.20238093337912286]","[0.16000010666666714, 0.1399999266666666, 0.26000000666666634, 0.13000000333333342, 0.04000002666666671]","[0.14285723637329684, 0.14285710545068106, 0.2857142109013622, 0.1428571054506811, 0.035714309093324396]","[0.2799998533333332, 0.26000000666666634, 0.26000000666666684, 0.1600001066666669, 0.16000010666666714]","[0.2857142109013622, 0.2857142109013623, 0.2857142109013622, 0.1428572363732969, 0.14285723637329684]","[0.16666663166666637, 0.11904763904761946, 0.2380952255952378, 0.2380952255952378, 0.04761904511904756]","[0.2023809333791229, 0.11904762664835264, 0.2380952532967002, 0.2380952532967002, 0.047619050659340044]","[0.23809527809523892, 0.2380952255952378, 0.23809522559523785, 0.2380952255952378, 0.16666663166666637]","[0.23809525329670528, 0.23809525329669984, 0.23809525329670034, 0.2380952532967002, 0.2023809333791229]","[0.16666663166666668, 0.11904763904761936, 0.2380952255952377, 0.2380952255952378, 0.0476190451190473]","[0.2023809333791229, 0.11904762664835264, 0.2380952532967002, 0.2380952532967002, 0.04761905065934006]","[0.23809527809523845, 0.23809522559523805, 0.2380952255952377, 0.2380952255952378, 0.16666663166666668]","[0.23809525329670525, 0.2380952532967002, 0.2380952532967002, 0.2380952532967002, 0.20238093337912313]"
2,"[0.22222224222222084, 0.11111112111111039, 0.22222224222222073, 0.1666666366666687, 0.0769230812087913]","[0.23076924395604168, 0.11538461245421262, 0.23076922490842514, 0.17307686483516985, 0.07692308131868068]","[0.2820512606227113, 0.23076922505494232, 0.3333332733333374, 0.23076924362637388, 0.134615373901098]","[0.28205126007326237, 0.23076922490842514, 0.3461537296703397, 0.23076924395604204, 0.13461537362637385]","[0.22222224222222078, 0.11111112111111039, 0.22222224222222073, 0.1666666366666687, 0.11111109111111242]","[0.23076922490842428, 0.11538461245421262, 0.23076922490842514, 0.17307686483516985, 0.11538457655677932]","[0.22222224222222078, 0.22222224222222073, 0.3333332733333374, 0.22222224222222078, 0.11111112111111039]","[0.23076922490842525, 0.23076922490842514, 0.3461537296703397, 0.23076922490842428, 0.11538461245421103]","[0.23076924362637388, 0.13461537390109854, 0.23076922505494513, 0.23076922505494488, 0.0769230812087913]","[0.23076924395604168, 0.1346153736263745, 0.23076922490842514, 0.23076922490842566, 0.07692308131868068]","[0.269230764945056, 0.23076922505494468, 0.23076924362637377, 0.23076924362637388, 0.134615373901098]","[0.2692307838827823, 0.23076922490842514, 0.23076922490842686, 0.23076924395604204, 0.13461537362637385]","[0.23076924362637388, 0.14102563031135462, 0.23076922505494366, 0.23076922505494615, 0.0769230812087913]","[0.23076924395604168, 0.14102563003663118, 0.23076922490842514, 0.23076922490842547, 0.07692308131868068]","[0.2820512606227113, 0.23076922505494402, 0.2307692436263714, 0.23076924362637388, 0.11538462181318881]","[0.2820512600732617, 0.2307692249084258, 0.23076924395604245, 0.23076924395604256, 0.11538462197802084]"
3,"[0.2222222538011702, 0.06153846531623893, 0.22222225380117064, 0.18518514044834247, 0.07407405617933699]","[0.23076923076923078, 0.061538466532509196, 0.23076923076923078, 0.19230769230769235, 0.07692307692307693]","[0.2820512680512832, 0.23076922876923128, 0.37037028089668494, 0.23076922876923128, 0.23076921588034235]","[0.2820512659166664, 0.23076923076923078, 0.3846153846153847, 0.23076923076923078, 0.23076923076923078]","[0.23076921588034235, 0.06153846531623893, 0.23076922876923128, 0.2307692287692312, 0.07692307625641043]","[0.23076923076923078, 0.061538466532509196, 0.23076923076923078, 0.23076923076923075, 0.07692307692307693]","[0.24615386126495573, 0.23076922876923128, 0.23076922876923178, 0.23076922876923128, 0.23076921588034235]","[0.24615386613003679, 0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.23076923076923078]","[0.23076922876923128, 0.14102563402564158, 0.23076922876923128, 0.23076922876922965, 0.07692308492307576]","[0.23076923076923078, 0.1410256329583332, 0.23076922808012817, 0.23076922808012817, 0.07692308499038471]","[0.28205126805128317, 0.23076922876923128, 0.23076925476922694, 0.23076922876923128, 0.11538461438461571]","[0.2820512659166664, 0.23076922808012817, 0.23076925497115405, 0.23076923076923078, 0.11538461538461557]","[0.22222225380116978, 0.07407408460038993, 0.22222225380116978, 0.18518514044834247, 0.07407405617933699]","[0.23076920232855425, 0.07692306744285142, 0.23076923076923078, 0.19230769230769235, 0.07692307692307693]","[0.22222225380116978, 0.22222225380117022, 0.37037028089668494, 0.22222225380117078, 0.1111111269005852]","[0.23076920232855425, 0.23076923076923078, 0.3846153846153847, 0.2307692307692308, 0.11538460116427712]"
4,"[0.2307693207692373, 0.12500001500000008, 0.23076919076922778, 0.12499999499999893, 0.034482761173881694]","[0.230769316263259, 0.12500001139920297, 0.23076919277188507, 0.12499999620026571, 0.03448276104605225]","[0.26923067923076616, 0.24999998999999845, 0.2499999899999947, 0.24999998999999867, 0.1346153396153811]","[0.2692306837367406, 0.24999999240053142, 0.24999999240053142, 0.24999999240053125, 0.1346153418683707]","[0.2307693207692373, 0.1346153396153811, 0.23076919076922778, 0.23076919076922778, 0.07692310692307783]","[0.230769316263259, 0.1346153418683707, 0.23076919277188507, 0.23076919277188493, 0.07692310542108632]","[0.2692306792307622, 0.23076919076922778, 0.2307693207692373, 0.2307693207692373, 0.1346153396153811]","[0.2692306837367406, 0.23076919277188518, 0.230769316263259, 0.230769316263259, 0.1346153418683707]","[0.24137930970653287, 0.13218390240767863, 0.2413793097065276, 0.2413793097065276, 0.034482761173881694]","[0.24137930973848692, 0.13218390268996774, 0.2413793097384871, 0.24137930973848692, 0.03448276104605225]","[0.26436780481535727, 0.24137930970652852, 0.2413793097065276, 0.24137932821717187, 0.12068965485326467]","[0.2643678053799355, 0.2413793097384871, 0.2413793097384871, 0.24137932732236594, 0.12068965486924323]","[0.24999999000000092, 0.12500001500000008, 0.24999998999999787, 0.12499999499999893, 0.12499999499999996]","[0.24999999240053125, 0.12500001139920297, 0.24999999240053142, 0.12499999620026571, 0.1249999962002656]","[0.2500000300000036, 0.24999998999999917, 0.24999998999999787, 0.24999998999999867, 0.12499999500000046]","[0.250000022798406, 0.2499999924005313, 0.24999999240053142, 0.24999999240053125, 0.12499999620026563]"
5,"[0.22222219722222225, 0.06666666880952388, 0.2222222293650793, 0.12500000857142912, 0.06249999285714264]","[0.2222222222222222, 0.06666667113998402, 0.2222222222222222, 0.12500000888928423, 0.06249999851845263]","[0.31730764038461534, 0.24999997142857017, 0.25000001714285824, 0.24999997142857056, 0.22222219722222225]","[0.3173076406924916, 0.24999998222143144, 0.25000001777856845, 0.24999999407381052, 0.2222222222222222]","[0.22222219722222225, 0.06666666880952388, 0.2222222293650793, 0.2222222293650791, 0.11111111468253976]","[0.2222222222222222, 0.06666667113998402, 0.2222222222222222, 0.22222222222222215, 0.11111111111111102]","[0.2666666752380955, 0.2222222293650793, 0.2222222293650793, 0.2222222293650791, 0.22222219722222225]","[0.2666666845599359, 0.22222222222222215, 0.2222222222222222, 0.22222222222222215, 0.2222222222222222]","[0.23076925846153834, 0.10576921346153845, 0.23076921846153842, 0.23076921846153847, 0.07692308615384613]","[0.23076925829733777, 0.10576921356416388, 0.2307692185345165, 0.2307692185345165, 0.07692308609911258]","[0.31730764038461534, 0.23076921846153842, 0.23076925846153817, 0.23076925846153856, 0.11538462923076948]","[0.3173076406924916, 0.2307692185345165, 0.2307692582973378, 0.2307692582973378, 0.11538462914866889]","[0.2499999714285705, 0.1250000085714289, 0.24999997142857028, 0.1250000085714293, 0.06249999285714264]","[0.24999999407381052, 0.1249999970369052, 0.24999998222143144, 0.12500000888928423, 0.06249999851845263]","[0.25000001714285736, 0.24999997142857017, 0.25000001714285824, 0.24999997142857056, 0.124999985714285]","[0.24999999407381052, 0.24999998222143144, 0.25000001777856845, 0.24999999407381052, 0.12499999703690526]"
6,"[0.250000008, 0.08695653423913108, 0.24999997599999962, 0.125000004, 0.0625000019999995]","[0.2608695674154589, 0.08695652247181973, 0.26086956741545886, 0.13043478370772943, 0.06521739185386473]","[0.26086960271739323, 0.24999997599999962, 0.26086954521739025, 0.26086954521739025, 0.13043477260869513]","[0.2608695674154592, 0.2608695674154589, 0.26086956741545886, 0.2608695674154589, 0.13043478370772946]","[0.26086954521739025, 0.08695653423913108, 0.24999997599999962, 0.13043477260869513, 0.06521738630434756]","[0.2608695674154589, 0.08695652247181973, 0.26086956741545886, 0.13043478370772943, 0.06521739185386473]","[0.26086960271739323, 0.24999997599999962, 0.26086954521739025, 0.26086954521739025, 0.13043477260869513]","[0.2608695674154592, 0.2608695674154587, 0.26086956741545886, 0.2608695674154589, 0.13043477528180364]","[0.26086954521739025, 0.08695653423913108, 0.24999997599999962, 0.13043477427536215, 0.08695651507246342]","[0.2608695674154589, 0.08695652247181973, 0.26086956741545886, 0.13043478370772943, 0.08695651404589362]","[0.26086960271739323, 0.24999997599999962, 0.26086954521739025, 0.26086954521739025, 0.13043477260869513]","[0.2608695674154592, 0.2608695674154589, 0.26086956741545886, 0.2608695674154589, 0.13043478370772946]","[0.25000000799999983, 0.12500000400000016, 0.2499999759999997, 0.1250000040000001, 0.0625000019999995]","[0.2608695674154589, 0.13043477519021723, 0.26086956741545886, 0.13043478370772943, 0.06521739185386473]","[0.25000000799999983, 0.2499999759999997, 0.2500000080000002, 0.25000000800000016, 0.12500000400000005]","[0.2608695674154592, 0.2608695674154589, 0.26086956741545886, 0.2608695674154589, 0.13043478370772946]"
7,"[0.2222222313526575, 0.06666667166666687, 0.22222221961352648, 0.12500001500000024, 0.11111110980676317]","[0.22222223117089418, 0.06666667156712988, 0.22222221966545883, 0.12500001176111006, 0.11111110983272932]","[0.29629628107890466, 0.24999998999999948, 0.26666665666666656, 0.266666656666666, 0.133333328333333]","[0.29629628138184294, 0.2499999921592615, 0.2666666568657403, 0.2666666568657403, 0.13333332843287007]","[0.24999998999999942, 0.12499999499999971, 0.24999998999999948, 0.12500001500000024, 0.12499999499999989]","[0.24999999215926044, 0.12499999607963033, 0.2499999921592615, 0.12500001176111006, 0.12499999607963022]","[0.24999998999999942, 0.24999998999999948, 0.2500000300000005, 0.24999999000000003, 0.12499999500000002]","[0.24999999215926044, 0.2499999921592615, 0.2500000235222201, 0.24999999215926044, 0.12499999607963022]","[0.22222223135265748, 0.14814814053945244, 0.22222221961352648, 0.2222222196135262, 0.11111110980676317]","[0.22222223117089418, 0.1481481406909214, 0.22222221966545883, 0.2222222196654591, 0.11111110983272932]","[0.29629628107890466, 0.22222221961352648, 0.22222223135265665, 0.22222223135265726, 0.11111111567632898]","[0.29629628138184294, 0.22222221966545883, 0.2222222311708936, 0.22222223117089443, 0.11111111558544756]","[0.26666665666666606, 0.06666667166666695, 0.22222221961352653, 0.13333332833333336, 0.133333328333333]","[0.26666665686574015, 0.06666667156712988, 0.23333334313425988, 0.13333332843287013, 0.13333332843287007]","[0.2666666866666675, 0.22222221961352648, 0.26666665666666656, 0.266666656666666, 0.133333328333333]","[0.2666666862685195, 0.23333334313425988, 0.2666666568657403, 0.2666666568657403, 0.13333332843287007]"
8,"[0.22222232222222446, 0.10294116147058761, 0.22222232222222427, 0.16666651666666332, 0.058823535411764806]","[0.2352941409235368, 0.10294116192278946, 0.23529412087990254, 0.12500028004513627, 0.05000011201805451]","[0.3088234844117628, 0.23529410764705883, 0.33333303333332664, 0.23529411582887694, 0.1323529343582876]","[0.3088234857683684, 0.2499998133032425, 0.25000056009027255, 0.2499998133032425, 0.1323529395600487]","[0.22222232222222438, 0.11111116111111219, 0.22222232222222427, 0.16666651666666332, 0.06666660666666532]","[0.2499998133032425, 0.12499990665162128, 0.24999981330324222, 0.12500028004513627, 0.0500001120180545]","[0.22222232222222438, 0.22222232222222427, 0.33333303333332664, 0.22222232222222446, 0.11111116111111223]","[0.2499998133032425, 0.24999981330324222, 0.25000056009027255, 0.2499998133032425, 0.12499990665162125]","[0.23529414164705975, 0.10294116147058761, 0.23529410764705794, 0.2352941076470585, 0.058823535411764806]","[0.2352941409235368, 0.10294116192278946, 0.23529410794852632, 0.23529410794852634, 0.05882353523088419]","[0.3088234844117628, 0.23529410764705883, 0.23529414164705909, 0.2352941416470596, 0.11764707082352996]","[0.3088234857683684, 0.23529410794852634, 0.23529414092353695, 0.2352941409235368, 0.1176470704617684]","[0.23529411582887694, 0.13235293435828777, 0.23529411582887694, 0.23529411582887655, 0.05882353668449303]","[0.2352941071403167, 0.13235293956004873, 0.23529412087990245, 0.23529412087990256, 0.05882353021997561]","[0.26470586871657553, 0.23529411582887688, 0.2352941467379721, 0.23529411582887694, 0.1323529343582876]","[0.2647058791200974, 0.23529412087990254, 0.23529412087990245, 0.23529412087990256, 0.13235293956004876]"
9,"[0.21153845082417705, 0.07843138019607837, 0.2307692393406588, 0.23076923934065874, 0.058823527647058844]","[0.2115384399361659, 0.0784313725490194, 0.2307692480510673, 0.2307692480510675, 0.05882352941176471]","[0.2745098156862746, 0.23529410470588183, 0.23529411058823535, 0.23529411058823538, 0.21568625803921593]","[0.2745097938404979, 0.2352941176470587, 0.23529411764705885, 0.23529411764705888, 0.22549016583521844]","[0.23529411058823535, 0.1372549078431372, 0.23529410470588183, 0.23529410470588183, 0.058823527647058844]","[0.23529411764705888, 0.13725489692024875, 0.23529411764705876, 0.23529411764705888, 0.05882352941176471]","[0.2745098156862744, 0.23529410470588183, 0.23529411058823535, 0.23529411058823538, 0.11764705529411768]","[0.2745097938404979, 0.23529411764705882, 0.23529411764705888, 0.23529411764705888, 0.11764707394513566]","[0.21153845082417716, 0.11538461967032929, 0.23076923934065868, 0.23076923934065874, 0.07692307978021945]","[0.2115384399361659, 0.11538462402553344, 0.23076924805106727, 0.2307692480510675, 0.0769230826836891]","[0.23076923934065877, 0.23076923934065838, 0.23076923934065868, 0.2307692393406591, 0.211538450824177]","[0.23076924805106727, 0.2307692480510674, 0.23076924805106727, 0.2307692480510675, 0.21153843993616586]","[0.21568625803921593, 0.07843138019607837, 0.23529411058823535, 0.23529411058823535, 0.058823527647058844]","[0.22549016583521844, 0.0784313725490194, 0.2352941176470587, 0.23529411764705888, 0.05882352941176471]","[0.2352941405882351, 0.23529411058823535, 0.23529411058823535, 0.23529411058823538, 0.21568625803921593]","[0.23529411764705824, 0.2352941176470587, 0.23529411764705885, 0.23529411764705888, 0.22549016583521844]"
10,"[0.22222223695906415, 0.054054129054055496, 0.21321329321321478, 0.12500001500000013, 0.09009003009008885]","[0.2222222366907662, 0.054054127688609295, 0.2132132917567388, 0.12500000490896934, 0.09009003118244573]","[0.33333330570175473, 0.2499999699999997, 0.2702700902702666, 0.27027009027026655, 0.1351350451351334]","[0.3333333062048128, 0.2499999705461801, 0.2702700935473384, 0.2702700935473372, 0.13513504677366867]","[0.22222223695906415, 0.11111110190058492, 0.22222221801169606, 0.22222221801169628, 0.11111110900584817]","[0.2222222366907662, 0.1111111020682709, 0.22222221808835238, 0.22222221808835255, 0.11111110904417613]","[0.33333330570175473, 0.22222221801169606, 0.22222223695906435, 0.22222223695906415, 0.11111111847953208]","[0.3333333062048128, 0.22222221808835238, 0.22222223669076682, 0.2222222366907662, 0.11111111834538331]","[0.2499999899999999, 0.12499999499999996, 0.2499999699999997, 0.12500001500000016, 0.12499999499999996]","[0.25000000981794257, 0.1250000049089768, 0.24999997054618034, 0.12500000490896934, 0.12500000490896518]","[0.24999998999999992, 0.2499999699999997, 0.2500000300000003, 0.2499999899999999, 0.12499999499999996]","[0.2500000098179429, 0.2499999705461801, 0.2500000098179387, 0.2500000098179431, 0.12500000490897129]","[0.27027009027026666, 0.05405412905405488, 0.21321329321321464, 0.21321329321321464, 0.09009003009008885]","[0.27027009354733733, 0.054054127688609295, 0.2132132917567388, 0.21321329175673906, 0.09009003118244574]","[0.2702706452702789, 0.21321329321321464, 0.2702700902702662, 0.27027009027026655, 0.1351350451351334]","[0.27027063844304644, 0.2132132917567388, 0.2702700935473384, 0.2702700935473372, 0.13513504677366867]"
