PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
"Any[""Trial-1_PCM-1"", ""Trial-1_PCM-2"", ""Trial-1_PCM-3"", ""Trial-1_PCM-4"", ""Trial-1_PCM-5""]",21.122558221186704,144.2633421809251,21.80970819691523,Error,Error,Error,5.7966069576448955,9.231277723523666,5.87826949317952
"Any[""Trial-2_PCM-1"", ""Trial-2_PCM-2"", ""Trial-2_PCM-3"", ""Trial-2_PCM-4"", ""Trial-2_PCM-5""]",20.459977634348892,24.6024885603419,20.933461251354196,Error,Error,Error,5.964399455927856,10.338032180893881,7.356927912569948
"Any[""Trial-3_PCM-1"", ""Trial-3_PCM-2"", ""Trial-3_PCM-3"", ""Trial-3_PCM-4"", ""Trial-3_PCM-5""]",21.57450788579935,208.60434637875477,22.871067217160775,Error,Error,Error,7.273939777701687,8.239532056408452,6.200083462390694
"Any[""Trial-4_PCM-1"", ""Trial-4_PCM-2"", ""Trial-4_PCM-3"", ""Trial-4_PCM-4"", ""Trial-4_PCM-5""]",21.629406905820787,89.97927416350981,22.05085094545454,Error,Error,Error,7.53901451085636,9.661677496765957,7.838400817704878
"Any[""Trial-5_PCM-1"", ""Trial-5_PCM-2"", ""Trial-5_PCM-3"", ""Trial-5_PCM-4"", ""Trial-5_PCM-5""]",21.666419414492317,21.48032916416748,21.237467597127058,Error,Error,Error,6.794509819185381,6.896951296131647,5.574290514917269
"Any[""Trial-6_PCM-1"", ""Trial-6_PCM-2"", ""Trial-6_PCM-3"", ""Trial-6_PCM-4"", ""Trial-6_PCM-5""]",22.51109998220481,146.54389119388327,22.142187476420265,Error,Error,Error,8.754597631716983,10.970746365760313,7.36289537796636
"Any[""Trial-7_PCM-1"", ""Trial-7_PCM-2"", ""Trial-7_PCM-3"", ""Trial-7_PCM-4"", ""Trial-7_PCM-5""]",20.277029260784673,146.57072914194183,21.002268558570453,Error,Error,Error,7.805475807608337,9.594273532367243,7.845831749334701
"Any[""Trial-8_PCM-1"", ""Trial-8_PCM-2"", ""Trial-8_PCM-3"", ""Trial-8_PCM-4"", ""Trial-8_PCM-5""]",30.095764068768,277.39385728434786,30.34326355311507,Error,Error,Error,14.300517782759162,17.47399987180186,12.608402884135707
"Any[""Trial-9_PCM-1"", ""Trial-9_PCM-2"", ""Trial-9_PCM-3"", ""Trial-9_PCM-4"", ""Trial-9_PCM-5""]",19.25995029334631,81.81109648834831,18.76718167787096,Error,Error,Error,5.89005597002157,7.0113603486606,5.660453522729359
"Any[""Trial-10_PCM-1"", ""Trial-10_PCM-2"", ""Trial-10_PCM-3"", ""Trial-10_PCM-4"", ""Trial-10_PCM-5""]",23.426967121330033,153.81909866563828,24.133949454656815,Error,Error,Error,11.803247408311456,12.18482948363138,11.80324804733521
"Any[""Trial-11_PCM-1"", ""Trial-11_PCM-2"", ""Trial-11_PCM-3"", ""Trial-11_PCM-4"", ""Trial-11_PCM-5""]",19.946520217011894,91.85951712053473,20.071058499582037,Error,Error,Error,6.397962962068849,9.630003125002524,6.387371875571584
"Any[""Trial-12_PCM-1"", ""Trial-12_PCM-2"", ""Trial-12_PCM-3"", ""Trial-12_PCM-4"", ""Trial-12_PCM-5""]",17.097578936205466,82.48242269541326,17.108105780109433,Error,Error,Error,7.407606620001563,6.286652573787806,6.863353598119288
"Any[""Trial-13_PCM-1"", ""Trial-13_PCM-2"", ""Trial-13_PCM-3"", ""Trial-13_PCM-4"", ""Trial-13_PCM-5""]",22.872235239666338,82.9209399442371,23.71420003270119,Error,Error,Error,10.245967732457137,11.022215417235579,7.890406488069915
"Any[""Trial-14_PCM-1"", ""Trial-14_PCM-2"", ""Trial-14_PCM-3"", ""Trial-14_PCM-4"", ""Trial-14_PCM-5""]",17.106663236772206,22.06838981477208,17.31183634906193,Error,Error,Error,5.9534182648495975,6.612362278534987,6.466633569343114
"Any[""Trial-15_PCM-1"", ""Trial-15_PCM-2"", ""Trial-15_PCM-3"", ""Trial-15_PCM-4"", ""Trial-15_PCM-5""]",19.06980728677192,20.01938295539277,19.21884785482243,Error,Error,Error,7.225085402820854,9.27257839910764,7.190646858436859
