Trial,PCM,pcm_1,pcm_2,pcm_3,pcm_4,pcm_5,,w_L,w_U
1,1,1.0,2.0,3.0,2.0,2.0,,0.32478632478632563,0.3846153846153843
1,1,0.5,1.0,1.0,1.0,2.0,,0.19230769230769157,0.19230769230769193
1,1,0.3333333333333333,1.0,1.0,1.0,2.0,,0.1282051282051278,0.19230769230769185
1,1,0.5,1.0,1.0,1.0,5.0,,0.19230769230769212,0.19230769230769273
1,1,0.5,0.5,0.5,0.2,1.0,,0.03846153846153855,0.1623931623931628

1,2,1.0,2.0,1.0,3.0,3.0,,0.33333333333333354,0.33333333333333354
1,2,0.5,1.0,1.0,1.0,1.0,,0.11111111111111117,0.22222222222222224
1,2,1.0,1.0,1.0,2.0,9.0,,0.222222222222222,0.3333333333333333
1,2,0.3333333333333333,1.0,0.5,1.0,2.0,,0.11111111111111087,0.11111111111111087
1,2,0.3333333333333333,1.0,0.1111111111111111,0.5,1.0,,0.037037037037037035,0.11111111111111109

1,3,1.0,2.0,3.0,1.0,7.0,,0.27272727272727304,0.36363636363636387
1,3,0.5,1.0,1.0,1.0,2.0,,0.18181818181818166,0.18181818181818182
1,3,0.3333333333333333,1.0,1.0,1.0,2.0,,0.1212121212121211,0.18181818181818143
1,3,1.0,1.0,1.0,1.0,2.0,,0.18181818181818155,0.2727272727272728
1,3,0.14285714285714285,0.5,0.5,0.5,1.0,,0.05194805194805152,0.09090909090909088

1,4,1.0,2.0,2.0,2.0,3.0,,0.3749999999999999,0.3750000000000004
1,4,0.5,1.0,1.0,1.0,1.0,,0.12500000000000014,0.18749999999999992
1,4,0.5,1.0,1.0,1.0,3.0,,0.18749999999999942,0.18749999999999942
1,4,0.5,1.0,1.0,1.0,3.0,,0.18750000000000022,0.18750000000000053
1,4,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,,0.062499999999999695,0.12499999999999956

1,5,1.0,2.0,2.0,3.0,5.0,,0.40909090909090906,0.40909090909090906
1,5,0.5,1.0,1.0,1.0,2.0,,0.1636363636363636,0.20454545454545467
1,5,0.5,1.0,1.0,2.0,4.0,,0.20454545454545459,0.20454545454545459
1,5,0.3333333333333333,1.0,0.5,1.0,9.0,,0.10227272727272729,0.16363636363636344
1,5,0.2,0.5,0.25,0.1111111111111111,1.0,,0.018181818181818188,0.08181818181818185

2,1,1.0,4.0,2.0,1.0,2.0,,0.28571428571428553,0.28571428571428586
2,1,0.25,1.0,1.0,1.0,2.0,,0.07142857142857158,0.14285714285714296
2,1,0.5,1.0,1.0,2.0,1.0,,0.14285714285714296,0.2857142857142856
2,1,1.0,1.0,0.5,1.0,1.0,,0.14285714285714285,0.2857142857142858
2,1,0.5,0.5,1.0,1.0,1.0,,0.07142857142857123,0.14285714285714285

2,2,1.0,2.0,1.0,2.0,4.0,,0.28571428571428537,0.2857142857142862
2,2,0.5,1.0,1.0,1.0,1.0,,0.142857142857143,0.21428571428571402
2,2,1.0,1.0,1.0,3.0,3.0,,0.21428571428571386,0.28571428571428553
2,2,0.5,1.0,0.3333333333333333,1.0,2.0,,0.09523809523809512,0.1428571428571424
2,2,0.25,1.0,0.3333333333333333,0.5,1.0,,0.07142857142857179,0.1428571428571428

2,3,1.0,3.0,1.0,1.0,9.0,,0.2432432432432431,0.32432432432432534
2,3,0.3333333333333333,1.0,1.0,1.0,2.0,,0.10810810810810861,0.2432432432432432
2,3,1.0,1.0,1.0,1.0,3.0,,0.2432432432432432,0.2432432432432432
2,3,1.0,1.0,1.0,1.0,9.0,,0.24324324324324265,0.24324324324324265
2,3,0.1111111111111111,0.5,0.3333333333333333,0.1111111111111111,1.0,,0.027027027027027195,0.08108108108108023

2,4,1.0,2.0,2.0,2.0,9.0,,0.37499999999999994,0.37499999999999994
2,4,0.5,1.0,1.0,1.0,1.0,,0.1250000000000006,0.18750000000000008
2,4,0.5,1.0,1.0,2.0,5.0,,0.1875,0.20833333333333287
2,4,0.5,1.0,0.5,1.0,3.0,,0.10416666666666641,0.18750000000000067
2,4,0.1111111111111111,1.0,0.2,0.3333333333333333,1.0,,0.041666666666666574,0.1250000000000007

2,5,1.0,2.0,1.0,2.0,5.0,,0.2857142857142857,0.2857142857142858
2,5,0.5,1.0,1.0,1.0,1.0,,0.14285714285714282,0.2285714285714288
2,5,1.0,1.0,1.0,2.0,4.0,,0.22857142857142876,0.28571428571428603
2,5,0.5,1.0,0.5,1.0,1.0,,0.14285714285714243,0.14285714285714243
2,5,0.2,1.0,0.25,1.0,1.0,,0.05714285714285716,0.14285714285714288

3,1,1.0,1.0,2.0,2.0,5.0,,0.29999999999999966,0.29999999999999966
3,1,1.0,1.0,1.0,1.0,2.0,,0.20000000000000004,0.29999999999999966
3,1,0.5,1.0,1.0,2.0,3.0,,0.14999999999999913,0.20000000000000015
3,1,0.5,1.0,0.5,1.0,8.0,,0.10000000000000053,0.20000000000000015
3,1,0.2,0.5,0.3333333333333333,0.125,1.0,,0.025000000000000057,0.09999999999999998

3,2,1.0,4.0,2.0,1.0,9.0,,0.24999999999999942,0.37499999999999895
3,2,0.25,1.0,1.0,1.0,2.0,,0.09374999999999975,0.18749999999999953
3,2,0.5,1.0,1.0,2.0,3.0,,0.18750000000000025,0.2500000000000015
3,2,1.0,1.0,0.5,1.0,2.0,,0.12499999999999999,0.24999999999999953
3,2,0.1111111111111111,0.5,0.3333333333333333,0.5,1.0,,0.041666666666666546,0.062499999999999965

3,3,1.0,2.0,2.0,2.0,2.0,,0.3606557377049172,0.3606557377049172
3,3,0.5,1.0,1.0,1.0,1.0,,0.18032786885245897,0.18032786885245897
3,3,0.5,1.0,1.0,2.0,3.0,,0.18032786885245852,0.19672131147541075
3,3,0.5,1.0,0.5,1.0,3.0,,0.09836065573770536,0.19672131147540947
3,3,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,,0.0655737704918036,0.180327868852459

3,4,1.0,4.0,2.0,2.0,9.0,,0.40000000000000246,0.40000000000000246
3,4,0.25,1.0,1.0,1.0,1.0,,0.09999999999999773,0.19999999999999873
3,4,0.5,1.0,1.0,2.0,4.0,,0.1999999999999994,0.20000000000000126
3,4,0.5,1.0,0.5,1.0,4.0,,0.10000000000000014,0.2000000000000012
3,4,0.1111111111111111,1.0,0.25,0.25,1.0,,0.04444444444444472,0.09999999999999731

3,5,1.0,5.0,2.0,1.0,2.0,,0.26666666666666694,0.33333333333333337
3,5,0.2,1.0,1.0,1.0,1.0,,0.06666666666666668,0.16666666666666657
3,5,0.5,1.0,1.0,1.0,1.0,,0.1666666666666662,0.1666666666666662
3,5,1.0,1.0,1.0,1.0,1.0,,0.16666666666666674,0.26666666666666705
3,5,0.5,1.0,1.0,1.0,1.0,,0.16666666666666674,0.1666666666666672

4,1,1.0,4.0,2.0,2.0,8.0,,0.4705882352941171,0.4705882352941173
4,1,0.25,1.0,1.0,1.0,2.0,,0.11764705882352923,0.11764705882352923
4,1,0.5,1.0,1.0,2.0,2.0,,0.11764705882352922,0.23529411764705999
4,1,0.5,1.0,0.5,1.0,3.0,,0.11764705882352883,0.23529411764705843
4,1,0.125,0.5,0.5,0.3333333333333333,1.0,,0.05882352941176463,0.05882352941176463

4,2,1.0,4.0,1.0,5.0,3.0,,0.31914893617021306,0.31914893617021306
4,2,0.25,1.0,1.0,1.0,2.0,,0.07978723404255372,0.1914893617021273
4,2,1.0,1.0,1.0,1.0,2.0,,0.191489361702127,0.31914893617021306
4,2,0.2,1.0,1.0,1.0,2.0,,0.06382978723404262,0.1914893617021276
4,2,0.3333333333333333,0.5,0.5,0.5,1.0,,0.09574468085106402,0.10638297872340434

4,3,1.0,2.0,2.0,2.0,2.0,,0.3636363636363632,0.3636363636363633
4,3,0.5,1.0,1.0,1.0,1.0,,0.18181818181818166,0.18181818181818166
4,3,0.5,1.0,1.0,2.0,1.0,,0.181818181818182,0.18181818181818218
4,3,0.5,1.0,0.5,1.0,4.0,,0.09090909090909105,0.21818181818181856
4,3,0.5,1.0,1.0,0.25,1.0,,0.05454545454545464,0.18181818181818174

4,4,1.0,2.0,2.0,1.0,9.0,,0.2727272727272733,0.36363636363636453
4,4,0.5,1.0,1.0,1.0,2.0,,0.18181818181818185,0.18181818181818185
4,4,0.5,1.0,1.0,1.0,2.0,,0.18181818181818155,0.18181818181818155
4,4,1.0,1.0,1.0,1.0,6.0,,0.18181818181818132,0.2727272727272721
4,4,0.1111111111111111,0.5,0.5,0.16666666666666666,1.0,,0.040404040404040505,0.09090909090909119

4,5,1.0,2.0,2.0,1.0,4.0,,0.30769230769230727,0.30769230769230727
4,5,0.5,1.0,1.0,1.0,2.0,,0.1538461538461539,0.1538461538461541
4,5,0.5,1.0,1.0,2.0,2.0,,0.1538461538461538,0.30769230769230776
4,5,1.0,1.0,0.5,1.0,4.0,,0.1538461538461539,0.30769230769230793
4,5,0.25,0.5,0.5,0.25,1.0,,0.07692307692307698,0.07692307692307701

5,1,1.0,4.0,1.0,2.0,9.0,,0.33333333333333304,0.33333333333333365
5,1,0.25,1.0,1.0,1.0,1.0,,0.08333333333333312,0.20833333333333318
5,1,1.0,1.0,1.0,3.0,4.0,,0.20833333333333337,0.3333333333333332
5,1,0.5,1.0,0.3333333333333333,1.0,2.0,,0.11111111111111113,0.1666666666666667
5,1,0.1111111111111111,1.0,0.25,0.5,1.0,,0.03703703703703707,0.08333333333333331

5,2,1.0,2.0,3.0,2.0,9.0,,0.40000000000000113,0.40000000000000113
5,2,0.5,1.0,1.0,1.0,2.0,,0.1999999999999991,0.20000000000000054
5,2,0.3333333333333333,1.0,1.0,2.0,2.0,,0.13333333333333408,0.1999999999999989
5,2,0.5,1.0,0.5,1.0,2.0,,0.09999999999999964,0.20000000000000048
5,2,0.1111111111111111,0.5,0.5,0.5,1.0,,0.04444444444444457,0.09999999999999971

5,3,1.0,2.0,2.0,4.0,9.0,,0.3999999999999996,0.4000000000000002
5,3,0.5,1.0,1.0,1.0,2.0,,0.1846153846153852,0.19999999999999987
5,3,0.5,1.0,1.0,2.0,2.0,,0.19999999999999982,0.19999999999999982
5,3,0.25,1.0,0.5,1.0,6.0,,0.10000000000000003,0.1846153846153852
5,3,0.1111111111111111,0.5,0.5,0.16666666666666666,1.0,,0.030769230769230868,0.1000000000000001

5,4,1.0,1.0,1.0,2.0,7.0,,0.24050632911392417,0.2658227848101269
5,4,1.0,1.0,1.0,1.0,2.0,,0.2405063291139237,0.24050632911392394
5,4,1.0,1.0,1.0,1.0,5.0,,0.2405063291139241,0.24050632911392444
5,4,0.5,1.0,1.0,1.0,2.0,,0.13291139240506322,0.24050632911392403
5,4,0.14285714285714285,0.5,0.2,0.5,1.0,,0.037974683544304055,0.12025316455696186

5,5,1.0,2.0,1.0,4.0,5.0,,0.30303030303030287,0.303030303030303
5,5,0.5,1.0,1.0,1.0,1.0,,0.15151515151515124,0.18181818181818227
5,5,1.0,1.0,1.0,2.0,1.0,,0.18181818181818177,0.30303030303030276
5,5,0.25,1.0,0.5,1.0,2.0,,0.07575757575757547,0.15151515151515108
5,5,0.2,1.0,1.0,0.5,1.0,,0.060606060606060594,0.18181818181818143

6,1,1.0,3.0,3.0,2.0,7.0,,0.44444444444444486,0.4615384615384616
6,1,0.3333333333333333,1.0,1.0,2.0,2.0,,0.1538461538461529,0.1538461538461529
6,1,0.3333333333333333,1.0,1.0,3.0,9.0,,0.15384615384615374,0.23076923076923128
6,1,0.5,0.5,0.3333333333333333,1.0,3.0,,0.07692307692307726,0.22222222222222235
6,1,0.14285714285714285,0.5,0.1111111111111111,0.3333333333333333,1.0,,0.025641025641025765,0.07692307692307683

6,2,1.0,4.0,1.0,2.0,6.0,,0.34285714285714197,0.34285714285714197
6,2,0.25,1.0,1.0,1.0,2.0,,0.08571428571428544,0.21428571428571389
6,2,1.0,1.0,1.0,2.0,9.0,,0.21428571428571408,0.3428571428571424
6,2,0.5,1.0,0.5,1.0,5.0,,0.1714285714285714,0.17142857142857312
6,2,0.16666666666666666,0.5,0.1111111111111111,0.2,1.0,,0.03428571428571461,0.05714285714285708

6,3,1.0,6.0,3.0,2.0,3.0,,0.41379310344827347,0.4137931034482739
6,3,0.16666666666666666,1.0,1.0,1.0,2.0,,0.06896551724137899,0.13793103448275873
6,3,0.3333333333333333,1.0,1.0,2.0,3.0,,0.13793103448275842,0.20689655172413965
6,3,0.5,1.0,0.5,1.0,1.0,,0.10344827586206996,0.20689655172413687
6,3,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,,0.06896551724138014,0.1379310344827578

6,4,1.0,2.0,2.0,1.0,3.0,,0.23809523809523667,0.2857142857142864
6,4,0.5,1.0,1.0,1.0,1.0,,0.14285714285714313,0.19047619047618988
6,4,0.5,1.0,1.0,1.0,2.0,,0.14285714285714315,0.1904761904761905
6,4,1.0,1.0,1.0,1.0,2.0,,0.19047619047619013,0.238095238095237
6,4,0.3333333333333333,1.0,0.5,0.5,1.0,,0.09523809523809526,0.14285714285714302

6,5,1.0,2.0,2.0,1.0,9.0,,0.30769230769230715,0.30769230769230715
6,5,0.5,1.0,1.0,1.0,2.0,,0.15384615384615297,0.15384615384615394
6,5,0.5,1.0,1.0,2.0,4.0,,0.15384615384615452,0.3076923076923086
6,5,1.0,1.0,0.5,1.0,2.0,,0.15384615384615352,0.3076923076923077
6,5,0.1111111111111111,0.5,0.25,0.5,1.0,,0.03418803418803413,0.0769230769230768

7,1,1.0,8.0,2.0,3.0,2.0,,0.39344262295081966,0.3934426229508201
7,1,0.125,1.0,1.0,1.0,2.0,,0.049180327868852514,0.1639344262295082
7,1,0.5,1.0,1.0,1.0,2.0,,0.16393442622950838,0.19672131147540983
7,1,0.3333333333333333,1.0,1.0,1.0,2.0,,0.13114754098360693,0.16393442622950793
7,1,0.5,0.5,0.5,0.5,1.0,,0.08196721311475397,0.19672131147540986

7,2,1.0,2.0,1.0,2.0,3.0,,0.2999999999999999,0.3000000000000003
7,2,0.5,1.0,1.0,1.0,2.0,,0.1500000000000002,0.2249999999999999
