Trial,entani論文のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,解の非唯一性考慮のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,解の非唯一性考慮のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_wᵁ_1,解の非唯一性考慮のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᴸ_2,解の非唯一性考慮のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_2,entani論文のPartialIncorporation_wᴸ_3,解の非唯一性考慮のPartialIncorporation_wᴸ_3,entani論文のPartialIncorporation_wᵁ_3,解の非唯一性考慮のPartialIncorporation_wᵁ_3,entani論文のPartialIncorporation_Ŵ,解の非唯一性考慮のPartialIncorporation_Ŵ
1,"[0.3333333445833333, 0.18181817928806124, 0.18181819320372467, 0.1111111148611111, 0.06818183343921133]","[0.29032276356007397, 0.181818194741261, 0.181818194741261, 0.14516122426997333, 0.059384257148410856]","[0.40909088686868694, 0.2222222128472222, 0.2529137285839339, 0.1923076698076924, 0.08041959912439944]","[0.4090908825602365, 0.19230766980769315, 0.29032244853994665, 0.19230766980769315, 0.08188589382231273]","[0.3247863647863246, 0.1923076698076924, 0.12820511320512826, 0.1923076698076924, 0.03846155346153839]","[0.32478636478632333, 0.19230766980769315, 0.12820511320512876, 0.19230766980769315, 0.03846155346153791]","[0.3846153396153848, 0.1923076698076924, 0.1923076698076924, 0.19230776730769197, 0.1623931823931623]","[0.3846153396153863, 0.19230766980769315, 0.19230766980769315, 0.19230776730768956, 0.16239318239316167]","[0.3333333445833333, 0.1111111148611111, 0.2222222128472222, 0.1111111148611111, 0.037037038287037034]","[0.29032276356007397, 0.14516122426997333, 0.29032244853994665, 0.09677425452002465, 0.032258084840008215]","[0.3333333445833333, 0.2222222128472222, 0.3333333445833333, 0.1111111148611111, 0.1111111148611111]","[0.29032276356007397, 0.29032244853994665, 0.29032276356007397, 0.14516122426997333, 0.14516122426997333]","[0.2727272689320917, 0.18181817928806124, 0.12121211952537408, 0.18181817928806124, 0.05194805122516032]","[0.32251080989543573, 0.181818194741261, 0.12121212982750734, 0.181818194741261, 0.051948055640360286]","[0.36363635857612225, 0.18181817928806124, 0.18181819320372467, 0.2727272689320917, 0.09090908964403062]","[0.363636389482522, 0.181818194741261, 0.181818194741261, 0.32251080989543573, 0.0909090973706305]","[[0.3653846337416791, 0.1923076698076924, 0.18181819320372467, 0.1923076698076924, 0.06818183343921133], [0.3333333445833333, 0.2222222128472222, 0.2529137285839339, 0.1111111148611111, 0.08041959912439944], [0.36363635857612225, 0.18181817928806124, 0.18181819320372467, 0.1923076698076924, 0.08041959912439944], [0.37499999363636366, 0.18181817928806124, 0.18749999681818183, 0.18749999681818183, 0.06818183343921133], [0.40909088686868694, 0.20454544343434347, 0.20454544343434347, 0.11363639282341487, 0.06818183343921133]]","[[0.3741822084949419, 0.19230766980769315, 0.181818194741261, 0.19230766980769315, 0.059384257148410856], [0.29032276356007397, 0.19230766980769315, 0.29032244853994665, 0.14516122426997333, 0.08188589382231273], [0.363636389482522, 0.181818194741261, 0.181818194741261, 0.19230766980769315, 0.08041955122726281], [0.3749999836363633, 0.18750000636363656, 0.1875000063636365, 0.1875000063636365, 0.06249999727272721], [0.4090908825602365, 0.181818194741261, 0.20454544128011826, 0.14516122426997333, 0.059384257148410856]]"
2,"[0.28571424571428383, 0.1428572628571485, 0.20833336500000135, 0.14285714910714276, 0.08108110108107847]","[0.2857143107142869, 0.1666666516666674, 0.20833336499999974, 0.14285715363179108, 0.06113258863255868]","[0.3749999849999994, 0.21428571126488116, 0.2760617403326121, 0.24324324324324326, 0.08108110108107847]","[0.3749999850000004, 0.16666666999999974, 0.27380950265195214, 0.24324322449324354, 0.13095236127661755]","[0.28571424571428383, 0.07142856142857096, 0.14285712285714192, 0.14285712285714192, 0.07142863142857425]","[0.3333333033333348, 0.0833333258333337, 0.1666666516666674, 0.11111113111111023, 0.0833333258333337]","[0.28571424571428383, 0.1428572628571485, 0.28571424571428383, 0.28571424571428383, 0.14285712285714192]","[0.3333333033333348, 0.1666666516666674, 0.22222226222222047, 0.3333333033333348, 0.1666666516666674]","[0.28571429626984124, 0.14285712820436525, 0.21428571320932543, 0.09523809940476184, 0.07142857406746031]","[0.28571431243963935, 0.14285715621981968, 0.27380950265195214, 0.09523810414654646, 0.07142857810990984]","[0.28571429626984124, 0.21428571320932543, 0.2857142982142855, 0.14285714910714276, 0.14285712820436525]","[0.28571431243963935, 0.27380950265195214, 0.28571431243963935, 0.14285715363179108, 0.14285715621981968]","[0.24324324324324326, 0.10810810310810876, 0.24324324324324323, 0.24324324324324323, 0.02702702702702703]","[0.24324329386824253, 0.10810808435810844, 0.24324322449324354, 0.24324322449324354, 0.02702703265202695]","[0.32432430932432627, 0.24324324324324323, 0.24324324324324326, 0.24324324324324326, 0.08108110108107847]","[0.32432425307432533, 0.24324322449324354, 0.24324329386824253, 0.24324329386824253, 0.08108107483108118]","[[0.28571424571428383, 0.1428572628571485, 0.24710414710424594, 0.24324324324324326, 0.08108110108107847], [0.28571429626984124, 0.21428571320932543, 0.2760617403326121, 0.14285714910714276, 0.08108110108107847], [0.28957514957528663, 0.1428572628571485, 0.24324324324324323, 0.24324324324324326, 0.08108110108107847], [0.3749999849999994, 0.14808555641892104, 0.20833336500000135, 0.1874999924999997, 0.08108110108107847], [0.2857142982142855, 0.21428571126488116, 0.2760617403326121, 0.14285714910714276, 0.08108110108107847]]","[[0.3333333033333348, 0.1666666516666674, 0.20833336499999974, 0.1607143187233806, 0.13095236127661755], [0.28571431243963935, 0.16666666999999974, 0.27380950265195214, 0.14285715363179108, 0.13095236127661755], [0.2857143107142869, 0.1666666516666674, 0.24324322449324354, 0.24324322449324354, 0.06113258863255868], [0.3749999850000004, 0.16666666999999974, 0.20833336499999974, 0.1874999925000002, 0.06249998749999988], [0.2857143107142869, 0.16666666999999974, 0.27380950265195214, 0.14285715535714344, 0.13095236127661755]]"
3,"[0.30000004000000025, 0.1407781849531502, 0.1666666780303035, 0.196721320046838, 0.0625005400000147]","[0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666667666666665, 0.06250053999987827]","[0.3999999836363626, 0.1999999885714285, 0.1999999885714285, 0.19999998857142842, 0.16666666439393926]","[0.39999999104532136, 0.18461543461539123, 0.19999998432931246, 0.1846152721153697, 0.16666665666666677]","[0.2999999828571427, 0.1999999885714285, 0.15000002000000012, 0.09999999428571425, 0.024999998571428563]","[0.3538461413461522, 0.18461543461539123, 0.1769230706730761, 0.09230771730769562, 0.023076929326923904]","[0.30000004000000025, 0.2999999828571427, 0.1999999885714285, 0.1999999885714285, 0.09999999428571425]","[0.3538461413461522, 0.3538461413461522, 0.18461543461539123, 0.18461543461539123, 0.09230771730769562]","[0.2499992799999804, 0.09374936999998285, 0.1874987399999657, 0.1250010800000294, 0.04166638666665904]","[0.3385427516664221, 0.09374937000014201, 0.18749874000028402, 0.12500107999975654, 0.04166638666672978]","[0.3749974799999314, 0.1874987399999657, 0.2500021600000588, 0.2499992799999804, 0.0625005400000147]","[0.37499748000056804, 0.18749874000028402, 0.2500021599995131, 0.3385427516664221, 0.06250053999987827]","[0.3606557243715854, 0.1803278621857927, 0.1803278621857927, 0.098360660023419, 0.065573773348946]","[0.36065572437158505, 0.18032786218579253, 0.18032786218579253, 0.09836068907103752, 0.06557375882513683]","[0.3606557243715854, 0.1803278621857927, 0.196721320046838, 0.196721320046838, 0.1803278621857927]","[0.36065572437158505, 0.18032786218579253, 0.19672137814207505, 0.19672127647541052, 0.18032786218579253]","[[0.30000004000000025, 0.1999999885714285, 0.1999999885714285, 0.19999998857142842, 0.09999999428571425], [0.3749974799999314, 0.162502002857197, 0.1999999885714285, 0.19999998857142842, 0.0625005400000147], [0.3606557243715854, 0.1803278621857927, 0.1967213200468379, 0.196721320046838, 0.065573773348946], [0.3999999836363626, 0.1407781849531502, 0.1999999713636345, 0.196721320046838, 0.0625005400000147], [0.32916715257576906, 0.1407781849531502, 0.1666666780303035, 0.196721320046838, 0.16666666439393926]]","[[0.3538461413461522, 0.18461543461539123, 0.18461543461539123, 0.1846152721153697, 0.09230771730769562], [0.37499748000056804, 0.18461543461539123, 0.1932712732687927, 0.1846152721153697, 0.06250053999987827], [0.36065572437158505, 0.18032786218579253, 0.19672137814207505, 0.1846152721153697, 0.07767976318517766], [0.39999999104532136, 0.17083280795882122, 0.19999998432931246, 0.16666667666666665, 0.06250053999987827], [0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666667666666665, 0.16666665666666677]]"
4,"[0.3076923436923073, 0.11764704682352842, 0.18181816381818347, 0.17112307865241022, 0.05882352341176421]","[0.3076923436923066, 0.11764705025210029, 0.18181816931818265, 0.17112305429526625, 0.058823525126050144]","[0.47058818729411367, 0.18181816931818182, 0.23216514500813107, 0.22937325353033117, 0.09574467085106406]","[0.47058820100840115, 0.18181816931818265, 0.20833329476678664, 0.2532051037716769, 0.10416664738339332]","[0.47058818729411367, 0.11764704682352842, 0.11764708762353172, 0.11764706042352958, 0.05882352341176421]","[0.47058820100840115, 0.11764705025210029, 0.11764709882353196, 0.11764705025210029, 0.058823525126050144]","[0.47058818729411367, 0.11764708762353172, 0.23529412084705917, 0.23529409364705683, 0.05882354381176586]","[0.47058820100840115, 0.11764709882353196, 0.23529410050420058, 0.23529410050420058, 0.05882354941176598]","[0.3191489361702128, 0.0797872340425532, 0.19148936170212763, 0.06382978723404256, 0.09574467085106406]","[0.31250001522363696, 0.07812500380590924, 0.20833329476678664, 0.06250000304472739, 0.10416664738339332]","[0.3191489361702128, 0.19148936170212763, 0.3191489361702128, 0.19148936170212763, 0.10638297872340426]","[0.31250001522363696, 0.20833329476678664, 0.31250001522363696, 0.20833329476678664, 0.10416667174121232]","[0.36363633863636363, 0.18181816931818182, 0.18181816931818182, 0.09090915340909092, 0.05454543704545454]","[0.3636363386363653, 0.18181816931818265, 0.18181816931818265, 0.09090915340908677, 0.05454543704545571]","[0.36363633863636363, 0.18181816931818182, 0.18181830681818184, 0.21818174818181815, 0.18181816931818182]","[0.3636363386363653, 0.18181816931818265, 0.18181830681817354, 0.21818174818182284, 0.18181816931818265]","[[0.47058818729411367, 0.11764704682352842, 0.18181816381818347, 0.17112307865241022, 0.05882352341176421], [0.3191489361702128, 0.18181816931818182, 0.23216514500813107, 0.17112307865241022, 0.09574467085106406], [0.36363633863636363, 0.18181816931818182, 0.18181830681818184, 0.2139036618155084, 0.05882352341176421], [0.34816689542153756, 0.1818181638181835, 0.18181816381818347, 0.22937325353033117, 0.05882352341176421], [0.3076923436923073, 0.15384617184615365, 0.23216514500813107, 0.22937325353033117, 0.07692308592307683]]","[[0.47058820100840115, 0.11764705025210029, 0.18181816931818265, 0.17112305429526625, 0.058823525126050144], [0.31250001522363696, 0.16666674785939642, 0.20833329476678664, 0.20833329476678664, 0.10416664738339332], [0.3636363386363653, 0.18181816931818265, 0.18181816931818265, 0.2139037976012192, 0.058823525126050144], [0.3076923436923066, 0.18181816931818265, 0.18181819223484783, 0.2532051037716769, 0.07546619098298606], [0.3076923436923066, 0.1538461718461533, 0.20833329476678664, 0.2532051037716769, 0.07692308592307665]]"
5,"[0.26582295981013093, 0.18181819437632168, 0.2, 0.15151514918957007, 0.048484904810428]","[0.26582283814346136, 0.169491546853814, 0.20000000223757064, 0.11666669127994383, 0.08333333333333333]","[0.39999998916666635, 0.24050622411392147, 0.26198691528251195, 0.15151514918957007, 0.10164944277245608]","[0.39999998209943477, 0.2405063272091621, 0.2592592308382095, 0.16983117410488105, 0.08333333333333333]","[0.33333331948717904, 0.08333333679487191, 0.20833332814102545, 0.11111110649572635, 0.03703703857549863]","[0.3333333333333333, 0.08333333333333333, 0.2592592308382095, 0.1111111111111111, 0.037037037037037035]","[0.33333334717948765, 0.20833332814102545, 0.33333331948717904, 0.1666666597435895, 0.08333333679487191]","[0.3333333333333333, 0.2592592308382095, 0.3333333333333333, 0.16666666666666666, 0.08333333333333333]","[0.39999996400000126, 0.19999998200000063, 0.13333332133333375, 0.10000002099999927, 0.04444444044444459]","[0.39999998209943477, 0.19999999104971738, 0.13333332736647827, 0.10000001044199647, 0.044444442455492755]","[0.39999996400000126, 0.19999998200000063, 0.20000004199999855, 0.19999998200000063, 0.09999999100000032]","[0.39999998209943477, 0.19999999104971738, 0.20000002088399293, 0.19999999104971738, 0.09999999552485869]","[0.39999998916666635, 0.18461538961538476, 0.2, 0.1, 0.030769231602564128]","[0.39999998209943477, 0.18461539818896838, 0.20000000223757064, 0.10000000111878532, 0.030769233031494734]","[0.4, 0.2, 0.2, 0.18461538961538476, 0.1]","[0.4000000044751413, 0.19999999104971738, 0.20000000223757064, 0.18461539818896838, 0.10000000111878532]","[[0.33333334717948765, 0.18181819437632168, 0.26198691528251195, 0.15151514918957007, 0.07134639397210862], [0.39999996400000126, 0.19999998200000063, 0.2, 0.15151514918957007, 0.048484904810428], [0.39999998916666635, 0.19999995683333563, 0.2, 0.15151514918957007, 0.048484904810428], [0.26582295981013093, 0.24050622411392147, 0.24050622411392145, 0.15151514918957007, 0.10164944277245608], [0.30303029837914014, 0.18181819437632168, 0.26198691528251195, 0.15151514918957007, 0.10164944277245608]]","[[0.3333333333333333, 0.20740741121518, 0.2592592308382095, 0.11666669127994383, 0.08333333333333333], [0.39999998209943477, 0.19999999104971738, 0.20000000223757064, 0.11666669127994383, 0.08333333333333333], [0.39999998209943477, 0.18461539818896838, 0.20000000223757064, 0.1320512841406929, 0.08333333333333333], [0.26582283814346136, 0.2405063272091621, 0.2405063272091621, 0.16983117410488105, 0.08333333333333333], [0.3389830508474576, 0.169491546853814, 0.2592592308382095, 0.14893283812718558, 0.08333333333333333]]"
6,"[0.2857143082142865, 0.1379310573398997, 0.19047618797619043, 0.17142857755102095, 0.03980465618218948]","[0.30303028303029933, 0.14565188728740786, 0.18181830181820366, 0.16274825259527917, 0.05714286122449001]","[0.44444442444444526, 0.19047618797619043, 0.23809522018707316, 0.23809522184523732, 0.09523809398809521]","[0.4444444305158734, 0.20285712163265193, 0.2257142661224479, 0.23500004607624408, 0.09833306725704882]","[0.44444442444444526, 0.15384615384615385, 0.15384615384615385, 0.07692307692307693, 0.025641025641025644]","[0.4444444305158734, 0.15384615384615385, 0.15384615384615385, 0.07692307692307693, 0.025641025641025644]","[0.46153846153846156, 0.15384615384615385, 0.23076923076923078, 0.22222221222222263, 0.07692307692307693]","[0.46153846153846156, 0.15384615384615385, 0.23076923076923078, 0.2222222152579367, 0.07692307692307693]","[0.3428571551020419, 0.08571428877551047, 0.21428570408163172, 0.17142857755102095, 0.03428571551020419]","[0.3428571673469401, 0.08571429183673503, 0.2257142661224479, 0.17142858367347005, 0.03428571673469401]","[0.3428571551020419, 0.21428570408163172, 0.3428571551020419, 0.17142857755102095, 0.05714285918367365]","[0.3428571673469401, 0.2257142661224479, 0.3428571673469401, 0.17142858367347005, 0.05714286122449002]","[0.4137930477339945, 0.06896550795566575, 0.1379310159113315, 0.10344829300492478, 0.06896552866994986]","[0.43695561465540544, 0.07282593577590091, 0.14565187155180181, 0.10923891546555589, 0.07282594364370393]","[0.4137930477339945, 0.1379310573398997, 0.20689658600984956, 0.20689652386699725, 0.1379310159113315]","[0.43695561465540544, 0.14565188728740786, 0.21847783093111178, 0.21847780732770272, 0.14565187155180181]","[[0.44444442444444526, 0.15384615384615385, 0.19047618797619043, 0.17142857755102095, 0.03980465618218948], [0.3428571551020419, 0.19047618797619043, 0.23809522018707316, 0.17142857755102095, 0.05714285918367365], [0.4137930477339945, 0.1379310573398997, 0.20689658600984956, 0.17241378024630638, 0.06896552866994986], [0.2857143082142865, 0.19047618797619043, 0.19047618797619043, 0.23809522184523732, 0.09523809398809521], [0.30769248769232765, 0.15384624384616383, 0.23809522018707316, 0.23809522184523732, 0.062270826429197956]]","[[0.4444444305158734, 0.15384615384615385, 0.18181830181820366, 0.16274825259527917, 0.05714286122449001], [0.3428571673469401, 0.20285712163265193, 0.2257142661224479, 0.17142858367347005, 0.05714286122449001], [0.43695561465540544, 0.14565188728740786, 0.18181830181820366, 0.16274825259527917, 0.07282594364370393], [0.30303028303029933, 0.18181830181820366, 0.18181830181820366, 0.23500004607624408, 0.09833306725704882], [0.32142855105121193, 0.16071427552560597, 0.2257142661224479, 0.23500004607624408, 0.05714286122449001]]"
7,"[0.3000000138461543, 0.16393442116926743, 0.16666671166666655, 0.15000000692307716, 0.05735409957022802]","[0.30000002769231154, 0.1666667116666578, 0.1666667116666578, 0.15000001384615577, 0.05462180907283786]","[0.42016804722689205, 0.22499998730769194, 0.22499998730769183, 0.23333332871794854, 0.10000000461538477]","[0.42016804722689155, 0.19166663820512422, 0.258333311025638, 0.2333333241025628, 0.1000000092307705]","[0.393442601986965, 0.04918033076041861, 0.16393442116926743, 0.13114754869444964, 0.08196721058463372]","[0.38095249905512063, 0.04761906238189008, 0.19047593950786865, 0.12698416635170687, 0.09523796975393432]","[0.39344264608334895, 0.16393442116926743, 0.1967213009934825, 0.16393442116926743, 0.1967213009934825]","[0.38095249905512063, 0.19047593950786865, 0.19047624952756032, 0.19047593950786865, 0.19047624952756032]","[0.3000000138461543, 0.15000000692307716, 0.22499998730769183, 0.15000000692307716, 0.03333333487179493]","[0.30000002769231154, 0.15000001384615577, 0.258333311025638, 0.15000001384615577, 0.033333336410256834]","[0.3000000138461543, 0.22499998730769183, 0.3000000138461543, 0.15000000692307716, 0.10000000461538477]","[0.30000002769231154, 0.258333311025638, 0.30000002769231154, 0.15000001384615577, 0.1000000092307705]","[0.3014353166985611, 0.18181818181818182, 0.1818181818181818, 0.18181818181818182, 0.03349281296650679]","[0.30143544823702584, 0.18181813797202823, 0.18181813797202823, 0.18181821835664316, 0.03349282758189176]","[0.36363636363636365, 0.18181818181818182, 0.1818181818181818, 0.3014353166985611, 0.09090909090909091]","[0.36363627594405645, 0.18181821835664316, 0.18181821835664316, 0.30143544823702584, 0.09090906898601411]","[[0.39344264608334895, 0.16393442116926743, 0.1967213009934825, 0.16393442116926743, 0.08196721058463358], [0.3000000138461543, 0.22499998730769194, 0.22499998730769183, 0.15000000692307716, 0.10000000461538477], [0.36363636363636365, 0.18181818181818182, 0.1818181818181818, 0.21537317315704468, 0.05735409957022802], [0.33333324333333353, 0.16666671166666655, 0.16666671166666655, 0.23333332871794854, 0.10000000461538477], [0.42016804722689205, 0.16393442116926743, 0.17927171601680625, 0.17927171601680625, 0.05735409957022802]]","[[0.38095249905512063, 0.1666667116666578, 0.19047624952756032, 0.1666665699967269, 0.09523796975393432], [0.30000002769231154, 0.19166663820512422, 0.258333311025638, 0.15000001384615577, 0.1000000092307705], [0.34840851049592797, 0.18181813797202823, 0.18181821835664316, 0.2333333241025628, 0.05462180907283786], [0.3333332433333511, 0.1666667116666578, 0.1666667116666578, 0.2333333241025628, 0.1000000092307705], [0.42016804722689155, 0.1666667116666578, 0.17927171601680641, 0.17927171601680641, 0.05462180907283786]]"
8,"[0.29010990542903864, 0.14400000073724015, 0.11200000963137999, 0.14400000073724015, 0.024000000122873358]","[0.29010991510989, 0.14399999746904424, 0.07314275578558077, 0.1428572579940673, 0.06399999887513078]","[0.5759999887712663, 0.25054941097498357, 0.1999999864999994, 0.19999998399999924, 0.10000001200000055]","[0.575999989876177, 0.2505494617994505, 0.2222221922222219, 0.19148953170217067, 0.10638249872328286]","[0.5759999887712663, 0.14399999719281634, 0.07200000036862007, 0.07200000036862005, 0.024000000122873358]","[0.575999989876177, 0.14399999746904424, 0.07200000033234773, 0.07200000033234775, 0.024000000110782575]","[0.5760000029489606, 0.14399999719281634, 0.1440000007372401, 0.14400000073724015, 0.06399999875236292]","[0.5760000026587818, 0.14399999746904424, 0.1440000006646955, 0.14400000066469545, 0.06399999887513078]","[0.3333333233333329, 0.05555555388888881, 0.1999999864999994, 0.16666666166666644, 0.05555556388888929]","[0.33333333333333337, 0.055555555555555566, 0.2222221922222219, 0.16666666666666669, 0.055555555555555566]","[0.3333333233333329, 0.1999999864999994, 0.3333333233333329, 0.16666669166666787, 0.11111110777777762]","[0.33333333333333337, 0.2222221922222219, 0.33333333333333337, 0.16666666666666669, 0.11111111111111113]","[0.299999955999998, 0.10000001200000055, 0.15000001800000082, 0.19999998399999924, 0.09999999199999962]","[0.31914890617020514, 0.10638296872340171, 0.15957445308510257, 0.19148953170217067, 0.09574476585108534]","[0.30000003600000164, 0.19999998399999924, 0.19999998399999924, 0.299999955999998, 0.10000001200000055]","[0.31914890617020514, 0.19148953170217067, 0.19148953170217067, 0.31914890617020514, 0.10638296872340171]","[[0.5759999887712663, 0.14400000073724015, 0.11200000963137999, 0.14400000073724015, 0.024000000122873358], [0.3333333233333329, 0.1999999864999994, 0.1999999864999994, 0.16666669166666787, 0.10000001200000055], [0.30000003600000164, 0.19999998399999924, 0.19999998399999924, 0.19999998399999924, 0.10000001200000055], [0.3934425971443661, 0.14590161121522835, 0.19672129857218304, 0.16393448106822206, 0.10000001200000055], [0.29010990542903864, 0.25054941097498357, 0.1999999864999994, 0.1626373952862989, 0.09670330180967955]]","[[0.575999989876177, 0.14399999746904424, 0.07314275578558077, 0.1428572579940673, 0.06399999887513078], [0.33333333333333337, 0.17139530905449515, 0.2222221922222219, 0.16666666666666669, 0.10638249872328286], [0.31914890617020514, 0.19148953170217067, 0.19148953170217067, 0.19148953170217067, 0.10638249872328286], [0.38095240765079813, 0.19047613374205383, 0.19047613374205383, 0.1428572579940673, 0.09523806687102691], [0.29010991510989, 0.2505494617994505, 0.18433460412200545, 0.19148953170217067, 0.08351648726648349]]"
9,"[0.3076923261538487, 0.14634147549796744, 0.1967213781420728, 0.10465115279069777, 0.09596157285386209]","[0.3076923261538467, 0.14634146341463414, 0.1967213781420746, 0.1406250330000002, 0.0715713524336112]","[0.4390243752439025, 0.20930230558139554, 0.25606467663418625, 0.15789472565566437, 0.10440030964488467]","[0.43902439024390244, 0.18032786218579253, 0.281250002, 0.15789473684210528, 0.10440029845844241]","[0.3076922961538445, 0.07692308153846218, 0.20512819743589636, 0.15384614807692226, 0.05128204935897409]","[0.30769229615384586, 0.07692308153846167, 0.24358975320512855, 0.15384614807692293, 0.05128204935897431]","[0.3076923261538487, 0.20512819743589636, 0.3076922961538445, 0.15384614807692226, 0.15384614807692226]","[0.3076923261538467, 0.24358975320512855, 0.30769229615384586, 0.15384614807692293, 0.15384614807692293]","[0.3255812686821716, 0.08139538883720895, 0.20930230558139554, 0.08139538883720895, 0.034883717596899254]","[0.31249998799999995, 0.07812499699999999, 0.281250002, 0.07812499699999999, 0.04687501100000007]","[0.3255815553488358, 0.20930230558139554, 0.3255812686821716, 0.10465115279069777, 0.1627906343410858]","[0.31249998799999995, 0.281250002, 0.31249998799999995, 0.1406250330000002, 0.15624999399999998]","[0.31578945131132874, 0.10526316814897432, 0.2392344650150031, 0.15789472565566437, 0.047846893003000615]","[0.3157894736842105, 0.10526315789473685, 0.23923442954800014, 0.15789473684210525, 0.047846885909600026]","[0.315789504446923, 0.2392344650150031, 0.31578945131132874, 0.15789472565566437, 0.10526315043710958]","[0.3157894736842105, 0.23923442954800014, 0.3157894736842105, 0.15789473684210525, 0.10526315789473685]","[[0.3076923261538487, 0.18643527628118078, 0.25606467663418625, 0.15384614807692226, 0.09596157285386209], [0.3255815553488358, 0.20930230558139554, 0.25606467663418625, 0.10465115279069777, 0.10440030964488467], [0.315789504446923, 0.17428952040936424, 0.25606467663418625, 0.15789472565566437, 0.09596157285386209], [0.36065572437158544, 0.18032786218579272, 0.1967213781420728, 0.15789472565566437, 0.10440030964488467], [0.4390243752439025, 0.14634147549796744, 0.1967213781420728, 0.12195119826219519, 0.09596157285386209]]","[[0.3076923261538467, 0.18032786218579253, 0.281250002, 0.15384614807692293, 0.07688366158343789], [0.31249998799999995, 0.16122467854155753, 0.281250002, 0.1406250330000002, 0.10440029845844241], [0.3157894736842105, 0.173494435040073, 0.281250002, 0.15789473684210525, 0.0715713524336112], [0.36065572437158505, 0.18032786218579253, 0.1967213781420746, 0.15789473684210528, 0.10440029845844241], [0.43902439024390244, 0.14634146341463414, 0.1967213781420746, 0.14634141576577767, 0.0715713524336112]]"
10,"[0.2758621071473335, 0.1238095386743889, 0.17142860656370704, 0.1714285592664091, 0.019047617696267678]","[0.28571431886734727, 0.123809532590012, 0.17142859218245204, 0.17142856424453587, 0.019047618249392873]","[0.5142856777992273, 0.18181800181818014, 0.23809520809523868, 0.23809520809523868, 0.06896551360501586]","[0.5142856927336076, 0.18181800181817728, 0.23809520809523846, 0.23809520809523846, 0.07142857004719386]","[0.3749999509433978, 0.07500000226415088, 0.1875000056603772, 0.0937500028301886, 0.0625000018867924]","[0.37499997742414154, 0.0750000010419627, 0.18750000260490673, 0.09375000130245337, 0.06250000086830225]","[0.3750000113207544, 0.1875000056603772, 0.1875000056603772, 0.1874999754716989, 0.1874999754716989]","[0.37500000520981347, 0.18750000260490673, 0.18750000260490673, 0.18749998871207077, 0.18749998871207077]","[0.23809531309523663, 0.0888888538888896, 0.23809520809523868, 0.23809520809523868, 0.047619062619047324]","[0.23809531309523715, 0.08888885388888934, 0.23809520809523846, 0.23809520809523846, 0.04761906261904743]","[0.3555554155555584, 0.23809520809523868, 0.23809531309523663, 0.23809531309523663, 0.07936510436507888]","[0.35555541555555736, 0.23809520809523846, 0.23809531309523715, 0.23809531309523715, 0.07936510436507906]","[0.5142856777992273, 0.10285713555984546, 0.1714285592664091, 0.08571430328185352, 0.019047617696267678]","[0.5142856927336076, 0.10285713854672152, 0.17142856424453584, 0.08571429609122602, 0.019047618249392877]","[0.5142856777992273, 0.1714285592664091, 0.17142860656370704, 0.1714285592664091, 0.057142853088803035]","[0.5142856927336076, 0.17142856424453584, 0.17142859218245204, 0.17142856424453587, 0.05714285474817863]","[[0.3750000113207544, 0.18181800181818014, 0.1875000056603772, 0.1874999754716989, 0.06818200572898936], [0.3523809825160864, 0.1238095386743889, 0.23809520809523868, 0.23809520809523868, 0.047619062619047324], [0.5142856777992273, 0.1238095386743889, 0.17142860656370704, 0.1714285592664091, 0.019047617696267678], [0.3636360036363603, 0.18181800181818014, 0.20376214912226057, 0.18181833181818322, 0.06896551360501586], [0.2758621071473335, 0.18181800181818014, 0.23525916933423172, 0.23809520809523868, 0.06896551360501586]]","[[0.37500000520981347, 0.18181800181817728, 0.18750000260490673, 0.1842534203199087, 0.07142857004719386], [0.3285714811723173, 0.123809532590012, 0.23809520809523846, 0.23809520809523846, 0.07142857004719386], [0.5142856927336076, 0.123809532590012, 0.17142859218245204, 0.17142856424453587, 0.019047618249392873], [0.36363600363635457, 0.18181800181817728, 0.23809520809523846, 0.17142856424453587, 0.045022222205693914], [0.28571431886734727, 0.16666669489498193, 0.23809520809523846, 0.23809520809523846, 0.07142857004719386]]"
