Trial,entani論文のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᴸ_1,解の非唯一性考慮のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᵁ_1,解の非唯一性考慮のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ_2,解の非唯一性考慮のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᵁ_2,解の非唯一性考慮のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᴸ_3,解の非唯一性考慮のPerfectIncorporation_wᴸ_3,entani論文のPerfectIncorporation_wᵁ_3,解の非唯一性考慮のPerfectIncorporation_wᵁ_3
1,"[0.2727272821022716, 0.1111111711106516, 0.12121212996212033, 0.10227273917748154, 0.01818181763760074]","[0.29032277354008174, 0.1250000067649624, 0.12121212121212122, 0.09677425784669376, 0.018181823933702736]","[0.4090908968460182, 0.22222220722226035, 0.3333332433339354, 0.2727272821022716, 0.16239315239307395]","[0.4090908803314863, 0.29032244133216323, 0.29032277354008174, 0.32251078473110456, 0.1623931546437132]","[0.3247863047861479, 0.19230769230773415, 0.12820512820510901, 0.19230769230766193, 0.03846153846162742]","[0.32478630928742663, 0.19230769230769235, 0.12820512820512817, 0.19230769230769212, 0.038461538461538484]","[0.384615384615327, 0.19230769230773415, 0.19230769230766193, 0.1923076923081371, 0.16239315239307395]","[0.38461538461538447, 0.19230769230769243, 0.19230769230769235, 0.1923076923076923, 0.16239315464371332]","[0.33333324333393083, 0.1111111711106516, 0.22222220722226035, 0.11111108111131028, 0.03703702703710393]","[0.2903227735400813, 0.14516122066608156, 0.29032244133216323, 0.09677425784669376, 0.03225808594889797]","[0.33333324333393083, 0.22222220722226035, 0.3333332433339354, 0.11111117111077962, 0.1111111711106516]","[0.2903227735400813, 0.29032244133216323, 0.29032277354008174, 0.14516122066608156, 0.14516122066608156]","[0.2727272821022716, 0.1818181743181821, 0.12121212996212034, 0.1818181743181821, 0.051948055698051575]","[0.32251078473110456, 0.1818181818181818, 0.12121212121212122, 0.18181818181818182, 0.051948051948052]","[0.36363638988636104, 0.1818181743181821, 0.18181817431818198, 0.2727272821022716, 0.09090908715909285]","[0.36363636363636365, 0.1818181818181818, 0.18181818181818182, 0.32251078473110456, 0.0909090909090909]"
2,"[0.24324329386823604, 0.07142857892857177, 0.14285715785714365, 0.09523809197012159, 0.02702703265202623]","[0.2432432951346831, 0.0833333410209544, 0.16666668204190876, 0.09523809523809525, 0.027027032792742708]","[0.37499998499999915, 0.24324322449324598, 0.28571427591036397, 0.2857142107142818, 0.14285715785714365]","[0.37499998462475875, 0.27380948467254523, 0.28571428571428575, 0.3333333179580916, 0.16666668204190876]","[0.2857142107142818, 0.07142857892857177, 0.14285715785714365, 0.14285712285714192, 0.07142857892857182]","[0.3333333179580916, 0.0833333410209544, 0.16666668204190876, 0.11111109061078865, 0.0833333410209544]","[0.28571431571428707, 0.14285715785714365, 0.28571424571428383, 0.2857142107142818, 0.14285715785714365]","[0.3333333640838176, 0.16666668204190876, 0.22222218122157741, 0.3333333179580916, 0.16666668204190876]","[0.28571427591036386, 0.1428571456185812, 0.21428571076447253, 0.09523809197012034, 0.07142856897759131]","[0.28571428571428575, 0.14285714285714285, 0.2738094846725454, 0.09523809523809525, 0.07142857142857152]","[0.28571429489729216, 0.21428571076447253, 0.28571427591036386, 0.14285713795518193, 0.14285714561858084]","[0.28571428571428575, 0.2738094846725454, 0.28571428571428575, 0.14285714285714288, 0.14285714285714285]","[0.24324329386823604, 0.10810808435811156, 0.24324322449324598, 0.24324322449324598, 0.02702703265202623]","[0.2432432951346831, 0.10810808376397557, 0.24324322402419202, 0.2432432240241918, 0.027027032792742708]","[0.32432425307433466, 0.24324322449324598, 0.24324329386823604, 0.24324329386823607, 0.081081074831082]","[0.32432425129192644, 0.24324322402419202, 0.2432432951346831, 0.24324329513468437, 0.08108107467473068]"
3,"[0.26666663916669425, 0.06666666916666909, 0.14999996285715209, 0.09836068907100681, 0.024999998571431255]","[0.30000000542858357, 0.06666666666666664, 0.16666666666666657, 0.09230770316486084, 0.02307692579121517]","[0.3999999836363893, 0.2999999257142965, 0.2499999555554989, 0.26666663916669425, 0.18032786218580008]","[0.39999998566034417, 0.35384607784597555, 0.24999995174593273, 0.3385416479682153, 0.18032786161434802]","[0.2999999257142965, 0.1999999885714453, 0.14999996285716247, 0.10000005142854558, 0.024999998571428282]","[0.35384607784597527, 0.1846154063297213, 0.17692303892298752, 0.09230770316486084, 0.02307692579121517]","[0.29999992571432493, 0.2999999257142965, 0.20000010285709116, 0.19999998857142626, 0.0999999942857398]","[0.35384607784597527, 0.35384607784597555, 0.18461540632972168, 0.18461540632972137, 0.09230770316486069]","[0.26666663916669425, 0.09375001000000488, 0.18750002000000976, 0.12499997777774945, 0.04166667111111328]","[0.3385416479682153, 0.09375001085716518, 0.18750002171433033, 0.12499997587296637, 0.041666671492073384]","[0.3750000400000195, 0.18750002000001514, 0.2499999555554989, 0.26666663916669425, 0.06250000666667727]","[0.37500004342866067, 0.18750002171433033, 0.24999995174593273, 0.3385416479682153, 0.06250000723811017]","[0.3606557243716082, 0.1803278621858041, 0.1803278621858041, 0.09836068907100681, 0.06557375882513276]","[0.36065572322869605, 0.18032786161434802, 0.1803278616143483, 0.09836069192825893, 0.06557375782510957]","[0.3606557243716512, 0.1803278621858041, 0.19672137814201363, 0.19672127647539828, 0.1803278621858041]","[0.3606557232286969, 0.1803278616143483, 0.19672138385651786, 0.19672127347532867, 0.18032786161434802]"
4,"[0.297979817979796, 0.0797872474571868, 0.11764711482353402, 0.06382979796574945, 0.04040403640404077]","[0.29797981875567636, 0.07812500620503558, 0.11764710037529141, 0.06250000496402844, 0.0404040362488646]","[0.4705881872941136, 0.1914893480435915, 0.31914889812143377, 0.307692267692308, 0.18181816931818182]","[0.47058819967832133, 0.20833332340527688, 0.3124999851079144, 0.3076922904323466, 0.18181816883325785]","[0.4705881872941136, 0.1176470468235284, 0.11764711482353402, 0.11764704682352845, 0.0588235234117642]","[0.4705881996783212, 0.1176470499195803, 0.11764710037529141, 0.11764704991958058, 0.05882352495979]","[0.4705881872941136, 0.11764711482353402, 0.2352940936470569, 0.2352940936470568, 0.05882355741176701]","[0.4705881996783212, 0.11764710037529141, 0.23529409983916097, 0.23529409983916064, 0.05882355018764571]","[0.31914889812143377, 0.07978724745718681, 0.1914893480435915, 0.06382979796574945, 0.09574467402179575]","[0.3124999851079144, 0.07812500620503558, 0.20833332340527685, 0.06250000496402844, 0.10416666170263812]","[0.31914898982874723, 0.1914893480435915, 0.31914889812143377, 0.1914893480435915, 0.10638296604047812]","[0.31250002482014216, 0.20833332340527685, 0.3124999851079144, 0.20833332340527685, 0.10416666170263812]","[0.36363633863636363, 0.18181816931818182, 0.18181816931818184, 0.09090915340909105, 0.05454543704545447]","[0.3636363376665157, 0.18181816883325785, 0.18181816883325785, 0.09090915583371062, 0.05454543636656105]","[0.3636363386363637, 0.18181816931818184, 0.1818183068181821, 0.21818174818181787, 0.18181816931818182]","[0.3636363376665157, 0.18181816883325785, 0.18181831166742124, 0.2181817454662442, 0.18181816883325785]"
5,"[0.24050622411391487, 0.08333333679487191, 0.13333333156462587, 0.07575762575757704, 0.030769231381475682]","[0.24050634332375515, 0.08333333333333334, 0.13333333159023578, 0.08333334171025805, 0.03076923137261068]","[0.3999999946938776, 0.24050622411391487, 0.33333331948717904, 0.2405062241139146, 0.1818180818181793]","[0.3999999947707073, 0.2592592312497289, 0.33333333333333337, 0.24050632521768006, 0.16666666666666655]","[0.33333331948717904, 0.08333333679487191, 0.2083333281410255, 0.11111110649572635, 0.03703703857549863]","[0.33333333333333337, 0.08333333333333334, 0.2592592312497289, 0.11111111111111113, 0.03703703703703704]","[0.33333334717948765, 0.2083333281410255, 0.33333331948717904, 0.16666665974358952, 0.08333333679487191]","[0.33333333333333337, 0.2592592312497289, 0.33333333333333337, 0.1666666666666665, 0.08333333333333334]","[0.3999999776417242, 0.1999999888208621, 0.13333333156462587, 0.10000000735827647, 0.04444444385487529]","[0.39999998515820423, 0.19999999257910211, 0.13333333159023578, 0.1000000054535466, 0.044444443863411925]","[0.3999999946938776, 0.1999999888208623, 0.20000001471655293, 0.1999999888208621, 0.09999999441043092]","[0.3999999947707073, 0.19999999257910211, 0.2000000109070932, 0.19999999257910211, 0.09999999628955106]","[0.3999999946938776, 0.18461538828885402, 0.19999999734693852, 0.0999999986734694, 0.030769231381475682]","[0.39999999477070725, 0.18461538823566426, 0.1999999973853536, 0.09999999869267687, 0.03076923137261068]","[0.3999999946938776, 0.19999999734693882, 0.20000001061224504, 0.1846153882888541, 0.09999999867346926]","[0.3999999947707073, 0.1999999973853536, 0.20000001045858537, 0.18461538823566426, 0.0999999986926768]"
6,"[0.285714297714286, 0.06896552070291748, 0.13793104140583484, 0.0769232344230726, 0.025641078141024357]","[0.3030303164016539, 0.07692293251249653, 0.15151515820082673, 0.07692324540208746, 0.025641081800695794]","[0.4615376515384829, 0.21428571071428557, 0.3428571321428564, 0.3076919026922711, 0.14285710685714692]","[0.46153759507497866, 0.22571424751042696, 0.34285714285714275, 0.32142846445776097, 0.15384585738422085]","[0.4444447694444369, 0.15384588384616116, 0.1538458838461609, 0.0769232344230726, 0.025641078141024357]","[0.44444479209954485, 0.15384586502499312, 0.15384586502499287, 0.07692324540208746, 0.025641081800695794]","[0.4615376515384827, 0.1538464688461452, 0.2307697032692192, 0.22222238472221845, 0.07692294192308058]","[0.4615375950749787, 0.1538464908041749, 0.23076973620626234, 0.22222239604977242, 0.07692293251249656]","[0.3428571321428564, 0.08571428928571447, 0.21428571071428557, 0.1714285660714282, 0.03428571321428567]","[0.34285714285714275, 0.0857142857142857, 0.22571424751042696, 0.17142857142857137, 0.034285714285714274]","[0.34285715714285786, 0.21428571071428557, 0.3428571321428564, 0.1714285660714283, 0.05714285535714273]","[0.3428571428571428, 0.22571424751042696, 0.34285714285714275, 0.17142857142857137, 0.05714285714285713]","[0.4137931242175047, 0.06896552070291748, 0.13793104140583495, 0.10344826432360855, 0.06896550954907237]","[0.46153757215266256, 0.07692293251249653, 0.15384586502499287, 0.11538439876874483, 0.0769229325124962]","[0.41379312421750486, 0.13793104140583484, 0.2068965286472171, 0.20689656210875246, 0.1379310414058349]","[0.46153759507497866, 0.15384586502499287, 0.23076879753748966, 0.23076878607633128, 0.15384585738422085]"
7,"[0.3000000138461543, 0.04918032546885261, 0.16393446702950581, 0.13114753458360698, 0.03333333487179493]","[0.3000000299670173, 0.048387137681783744, 0.16666667884076297, 0.12903236715142333, 0.03333333666300185]","[0.42016805461819595, 0.22499998730769188, 0.3000000138461543, 0.3014353166985621, 0.19672130187541018]","[0.4201680535824905, 0.2583333091932375, 0.3000000299670167, 0.3148148012880422, 0.193548550727136]","[0.39344260375082035, 0.04918032546885261, 0.16393446702950581, 0.13114753458360698, 0.08196723351475291]","[0.38709710145426995, 0.048387137681783744, 0.19354821255772178, 0.12903236715142333, 0.09677410627886089]","[0.3934426037508209, 0.16393446702950581, 0.19672130187541045, 0.16393446702950581, 0.19672130187541018]","[0.38709710145426995, 0.19354821255772178, 0.19354855072713428, 0.19354821255772178, 0.193548550727136]","[0.3000000138461543, 0.15000000692307713, 0.22499998730769194, 0.15000000692307713, 0.03333333487179493]","[0.3000000299670173, 0.1500000149835086, 0.2583333091932375, 0.15000001498350832, 0.03333333666300185]","[0.3000000138461543, 0.22499998730769194, 0.3000000138461543, 0.15000000692307713, 0.10000000461538475]","[0.3000000299670173, 0.2583333091932375, 0.30000002996701663, 0.15000001498350865, 0.10000000998900575]","[0.3014353166985621, 0.18181818181818188, 0.18181818181818188, 0.1818181818181819, 0.0334928129665069]","[0.3014353769396577, 0.18181818181818193, 0.18181818181818185, 0.18181818181818143, 0.03349281965996195]","[0.36363636363636376, 0.1818181818181819, 0.18181818181818188, 0.3014353166985621, 0.09090909090909094]","[0.36363636363636354, 0.1818181818181823, 0.18181818181818185, 0.30143537693965755, 0.09090909090909093]"
8,"[0.2901098582348911, 0.04918033007879745, 0.07200000000000001, 0.07200001000000009, 0.023999999999999994]","[0.29010990775905426, 0.04761904944373883, 0.07200000000000017, 0.07200001541548842, 0.023999999999999962]","[0.5760000000000001, 0.2901098582348911, 0.333333323333333, 0.2999999559999975, 0.19672130346435954]","[0.576000000000001, 0.29010990775905426, 0.33333332396303667, 0.3191487368384663, 0.19047618500211685]","[0.5760000000000001, 0.14400000000000002, 0.07200000000000001, 0.07200001000000009, 0.023999999999999994]","[0.5760000000000006, 0.1439999999999992, 0.07200000000000012, 0.07200001541548842, 0.023999999999999945]","[0.5760000000000001, 0.1440000000000001, 0.14400002000000017, 0.14399999999999996, 0.064]","[0.576000000000001, 0.1439999999999992, 0.14400003083097684, 0.14399999999999996, 0.06399999999999982]","[0.333333323333333, 0.05555555388888887, 0.19444443861111083, 0.1666666616666665, 0.05555556388888916]","[0.33333332396303667, 0.05555555399383995, 0.22222222619749907, 0.1666666619815187, 0.0555555616604454]","[0.3333333233333332, 0.19444443861111083, 0.333333323333333, 0.16666669166666748, 0.11111110777777743]","[0.3333333239630397, 0.22222222619749907, 0.33333332396303667, 0.1666666849813336, 0.11111111309875006]","[0.2999999559999975, 0.10000001200000122, 0.1500000180000011, 0.19999998399999883, 0.09999999199999947]","[0.3191487368384651, 0.10638291227948893, 0.15957436841923256, 0.1914894502940152, 0.09574472514700781]","[0.3000000360000022, 0.19999998399999883, 0.19999998399999894, 0.2999999559999975, 0.100000012000001]","[0.3191487368384651, 0.1914894502940152, 0.19148945029401565, 0.3191487368384663, 0.10638291227948876]"
9,"[0.30769231692307863, 0.07692307923076955, 0.14634147549796744, 0.0813953888372086, 0.034883717596899136]","[0.30769232679141334, 0.07692308169785338, 0.14634147406412687, 0.07812500193975323, 0.04687499288757255]","[0.4390243752439025, 0.2392343997607622, 0.3255812686821735, 0.19672127647541165, 0.18032786218579272]","[0.4390243770238427, 0.2812499573254351, 0.315789450538684, 0.19672127526668892, 0.18032786195555978]","[0.3076923169230782, 0.07692307923076955, 0.2051282112820519, 0.15384612846153548, 0.05128205282051298]","[0.30769232679141334, 0.07692308169785338, 0.2435897276738226, 0.15384616339570611, 0.05128205446523549]","[0.3076923169230782, 0.20512821128205191, 0.3076923169230782, 0.15384615846153912, 0.1538461284615354]","[0.3076923267914135, 0.2435897276738226, 0.30769232679141334, 0.15384616339570667, 0.15384616339570611]","[0.3255812686821735, 0.081395388837209, 0.20930230558139612, 0.0813953888372086, 0.03488371759689911]","[0.31250000775901193, 0.07812500193975308, 0.2812499573254351, 0.07812500193975323, 0.04687499288757255]","[0.3255815553488344, 0.20930230558139612, 0.3255812686821735, 0.10465115279069781, 0.16279063434108676]","[0.31250000775901193, 0.2812499573254351, 0.31250000775901193, 0.14062497866271764, 0.15625000387950597]","[0.3157894736842091, 0.10526315789473638, 0.2392343997607622, 0.15789473684210584, 0.047846879952152435]","[0.315789450538684, 0.10526316850310316, 0.23923446554180616, 0.157894725269342, 0.04784689310836123]","[0.3157894736842091, 0.2392343997607622, 0.3157894736842117, 0.15789473684210584, 0.10526315789473722]","[0.31578950550930945, 0.23923446554180616, 0.315789450538684, 0.157894725269342, 0.10526315017956135]"
10,"[0.23809531309523674, 0.07500000226415098, 0.1714285592664114, 0.08571430328185031, 0.019047617696268292]","[0.23809532016751614, 0.08163265694203929, 0.17509727626459137, 0.08754865358032177, 0.019455252918288025]","[0.5142856777992341, 0.23809520809523865, 0.2758619489655247, 0.2758619489655247, 0.18749997547169875]","[0.5252918287937741, 0.23809520526632713, 0.34343430957952586, 0.27586202594832393, 0.20408162650843797]","[0.3749999509433975, 0.07500000226415098, 0.18750000566037672, 0.09375000283018836, 0.06250000188679249]","[0.40816325301687595, 0.08163265694203929, 0.2040816423550982, 0.10204082117754913, 0.06802721411836563]","[0.3750000113207549, 0.18750000566037744, 0.18750000566037672, 0.18749997547169875, 0.18749997547169875]","[0.4081632847101964, 0.2040816423550982, 0.20408164235509826, 0.20408162650843772, 0.20408162650843797]","[0.23809531309523674, 0.08888885388888951, 0.23809520809523865, 0.23809520809523865, 0.047619062619047345]","[0.23809532016751614, 0.08888885058849258, 0.23809520526632677, 0.23809520526632685, 0.04761906403350334]","[0.35555541555555803, 0.23809520809523865, 0.23809531309523674, 0.23809531309523674, 0.07936510436507899]","[0.3555554023539703, 0.23809520526632677, 0.2380953201675161, 0.23809532016751614, 0.07936510672250537]","[0.5142856777992341, 0.10285713555984681, 0.1714285592664114, 0.0857143032818517, 0.019047617696268292]","[0.5252918287937741, 0.10505836575875484, 0.1750972762645914, 0.08754865358032131, 0.019455252918288025]","[0.5142856777992341, 0.17142855926641232, 0.1714286065637034, 0.17142855926641076, 0.0571428530888038]","[0.5252918287937741, 0.1750972762645914, 0.17509730716064262, 0.1750972762645922, 0.05836575875486379]"
