PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
"Any[""Trial-1_PCM-1"", ""Trial-1_PCM-2"", ""Trial-1_PCM-3""]",13.14264109517676,14.128276827778395,13.142638838454914,Error,Error,Error,2.066979094210639,2.4313116364043683,2.0669773037439487
"Any[""Trial-2_PCM-1"", ""Trial-2_PCM-2"", ""Trial-2_PCM-3""]",10.041881812270706,10.46435230375933,10.041887827237165,Error,Error,Error,1.0471671602296047,1.0471911493832433,1.047188863630196
"Any[""Trial-3_PCM-1"", ""Trial-3_PCM-2"", ""Trial-3_PCM-3""]",13.376154454984123,14.326393074364372,13.376154657093846,Error,Error,Error,3.4167149708372264,3.884941895130072,3.321131717821955
"Any[""Trial-4_PCM-1"", ""Trial-4_PCM-2"", ""Trial-4_PCM-3""]",13.274883505502533,15.175745656410617,13.27488377969219,Error,Error,Error,1.9920191402769891,3.0119708228558704,1.9920203116604807
"Any[""Trial-5_PCM-1"", ""Trial-5_PCM-2"", ""Trial-5_PCM-3""]",10.029723978578357,10.456502108895926,10.029729858773218,Error,Error,Error,2.5471494716760557,2.547158022047955,1.8400663000855637
"Any[""Trial-6_PCM-1"", ""Trial-6_PCM-2"", ""Trial-6_PCM-3""]",9.794423813874147,9.832202677505325,9.794428878844109,Error,Error,Error,1.892052793528899,1.8920642510149364,1.496578854770311
"Any[""Trial-7_PCM-1"", ""Trial-7_PCM-2"", ""Trial-7_PCM-3""]",14.526034096480567,15.38478222589533,14.85565693102931,Error,Error,Error,0.76361580912668,2.3909241125217813,1.8394997818891028
"Any[""Trial-8_PCM-1"", ""Trial-8_PCM-2"", ""Trial-8_PCM-3""]",14.912397524866003,15.2928477630909,14.912399250842157,Error,Error,Error,5.421739653825139,5.707988313728271,5.421743260169441
"Any[""Trial-9_PCM-1"", ""Trial-9_PCM-2"", ""Trial-9_PCM-3""]",11.87968309299026,13.193392901703438,11.879683876001465,Error,Error,Error,1.9335203873370697,2.859445636053289,1.7510279732737049
"Any[""Trial-10_PCM-1"", ""Trial-10_PCM-2"", ""Trial-10_PCM-3""]",18.851610103594517,78.30580203201879,19.954999832311955,Error,Error,Error,3.8902163290060585,3.932603025495495,3.7840489819001517
"Any[""Trial-11_PCM-1"", ""Trial-11_PCM-2"", ""Trial-11_PCM-3""]",14.822563404487122,74.65213772154678,14.80920786393654,Error,Error,Error,7.469438929758091,9.149455735536664,6.8782679434125225
"Any[""Trial-12_PCM-1"", ""Trial-12_PCM-2"", ""Trial-12_PCM-3""]",14.013903008685695,14.268475893690798,14.013902998608831,Error,Error,Error,3.235365144189813,4.093031560168004,3.7721917287917677
"Any[""Trial-13_PCM-1"", ""Trial-13_PCM-2"", ""Trial-13_PCM-3""]",9.725467721963737,9.874338618715967,9.725467871057019,Error,Error,Error,3.5318561623266422,3.531856415554663,3.5318564155546808
"Any[""Trial-14_PCM-1"", ""Trial-14_PCM-2"", ""Trial-14_PCM-3""]",16.455284114734447,76.93624904172101,16.741861225001273,Error,Error,Error,3.3016725537892198,2.9547772865365793,3.167527128447545
"Any[""Trial-15_PCM-1"", ""Trial-15_PCM-2"", ""Trial-15_PCM-3""]",15.737035698918366,17.601728314904598,16.853965167169036,Error,Error,Error,2.4304072454055694,2.711514054838271,2.4304048482775977
"Any[""Trial-16_PCM-1"", ""Trial-16_PCM-2"", ""Trial-16_PCM-3""]",10.238045920277948,10.856668519787238,10.238046586068753,Error,Error,Error,1.9892962942365422,1.9892994680689924,1.8901841822594339
"Any[""Trial-17_PCM-1"", ""Trial-17_PCM-2"", ""Trial-17_PCM-3""]",11.774463899186205,12.52901146695493,11.774464197247305,Error,Error,Error,2.0916457226696465,2.368086222640893,1.8137282663317622
"Any[""Trial-18_PCM-1"", ""Trial-18_PCM-2"", ""Trial-18_PCM-3""]",13.859651986921095,23.204052937604608,14.213865471713198,Error,Error,Error,3.271075662838216,3.1933443221291853,3.201962995998083
"Any[""Trial-19_PCM-1"", ""Trial-19_PCM-2"", ""Trial-19_PCM-3""]",13.514112930146478,73.71055256904911,13.895353871578795,Error,Error,Error,2.4063358731617974,2.448876086611282,2.4063374495016534
"Any[""Trial-20_PCM-1"", ""Trial-20_PCM-2"", ""Trial-20_PCM-3""]",10.410549534454013,11.483449658129846,10.41054969364243,Error,Error,Error,2.9651331579618816,2.9968903938689087,2.9651338342275206
"Any[""Trial-21_PCM-1"", ""Trial-21_PCM-2"", ""Trial-21_PCM-3""]",10.406113017864664,10.46255241540263,10.324649656727287,Error,Error,Error,3.569314943130813,4.216400027141169,3.2763206625209467
"Any[""Trial-22_PCM-1"", ""Trial-22_PCM-2"", ""Trial-22_PCM-3""]",15.920083815888578,17.070872782776043,15.772107566029614,Error,Error,Error,2.2818607291055164,2.224745439166364,1.8496169726637666
"Any[""Trial-23_PCM-1"", ""Trial-23_PCM-2"", ""Trial-23_PCM-3""]",13.779199315186066,13.822976764130921,13.779199335383314,Error,Error,Error,1.1104540807702508,1.0829219513291308,1.1104542899557304
"Any[""Trial-24_PCM-1"", ""Trial-24_PCM-2"", ""Trial-24_PCM-3""]",8.283485935329043,9.637010612173105,8.388754060403103,Error,Error,Error,1.4115099616682452,1.4115099373575912,1.0619150783015394
"Any[""Trial-25_PCM-1"", ""Trial-25_PCM-2"", ""Trial-25_PCM-3""]",14.566144298124707,15.303079434857725,14.566145413652873,Error,Error,Error,5.544285184492914,5.5442858726369195,5.389497996038945
"Any[""Trial-26_PCM-1"", ""Trial-26_PCM-2"", ""Trial-26_PCM-3""]",15.226647699403287,16.738513327015756,14.755517315105287,Error,Error,Error,4.9668449205076275,6.08439248072893,6.021759287418804
"Any[""Trial-27_PCM-1"", ""Trial-27_PCM-2"", ""Trial-27_PCM-3""]",12.74840253314441,14.26545321996057,12.654283116748017,Error,Error,Error,2.553323706405142,2.5676542765910995,2.497147246903599
"Any[""Trial-28_PCM-1"", ""Trial-28_PCM-2"", ""Trial-28_PCM-3""]",16.175127421644362,18.476828641826565,16.175127509311686,Error,Error,Error,4.25353807270697,4.774293466734156,2.62565567482437
"Any[""Trial-29_PCM-1"", ""Trial-29_PCM-2"", ""Trial-29_PCM-3""]",10.712196693576809,10.987408009564582,10.712196699112276,Error,Error,Error,3.5392350964253776,3.539235096425415,2.7314711688107876
"Any[""Trial-30_PCM-1"", ""Trial-30_PCM-2"", ""Trial-30_PCM-3""]",13.028756874430844,75.4481632812126,13.1317691075118,Error,Error,Error,2.9086523324512994,3.2586358154347943,2.796042813160142
"Any[""Trial-31_PCM-1"", ""Trial-31_PCM-2"", ""Trial-31_PCM-3""]",12.127561082840444,12.564016327423108,12.127561152449992,Error,Error,Error,0.5227054761259913,0.4849600884729943,0.52270509550869
"Any[""Trial-32_PCM-1"", ""Trial-32_PCM-2"", ""Trial-32_PCM-3""]",12.303099614356988,14.432502354060116,12.303099634720725,Error,Error,Error,1.6897960401573497,3.2373663246178213,1.689797231688881
"Any[""Trial-33_PCM-1"", ""Trial-33_PCM-2"", ""Trial-33_PCM-3""]",11.404602282386083,12.53103532142228,12.261028018710476,Error,Error,Error,1.0052569955045492,2.536052710898023,2.21571419924002
"Any[""Trial-34_PCM-1"", ""Trial-34_PCM-2"", ""Trial-34_PCM-3""]",12.018754229011318,12.28981916310784,12.018754234065174,Error,Error,Error,1.694860834601898,2.413175212075381,1.9807544698706065
