Trial,PCM,pcm_1,pcm_2,pcm_3,pcm_4,pcm_5,,w_L,w_U
1,1,1.0,1.0,1.0,1.0,9.0,,0.24324324324324315,0.2432432432432436
1,1,1.0,1.0,1.0,1.0,2.0,,0.20540540540540525,0.24324324324324356
1,1,1.0,1.0,1.0,1.0,5.0,,0.24324324324324292,0.24324324324324292
1,1,1.0,1.0,1.0,1.0,2.0,,0.20540540540540536,0.24324324324324287
1,1,0.1111111111111111,0.5,0.2,0.5,1.0,,0.027027027027027146,0.1027027027027027

1,2,1.0,1.0,1.0,1.0,1.0,,0.19230769230769232,0.2307692307692304
1,2,1.0,1.0,1.0,1.0,3.0,,0.23076923076923053,0.23076923076923053
1,2,1.0,1.0,1.0,2.0,2.0,,0.2307692307692302,0.23076923076923092
1,2,1.0,1.0,0.5,1.0,2.0,,0.11538461538461564,0.23076923076923098
1,2,1.0,0.3333333333333333,0.5,0.5,1.0,,0.07692307692307718,0.1923076923076925

1,3,1.0,1.0,1.0,1.0,4.0,,0.23529411764705882,0.23529411764705882
1,3,1.0,1.0,1.0,1.0,2.0,,0.2352941176470585,0.2352941176470585
1,3,1.0,1.0,1.0,2.0,3.0,,0.2352941176470587,0.27450980392156915
1,3,1.0,1.0,0.5,1.0,2.0,,0.13725490196078471,0.23529411764705915
1,3,0.25,0.5,0.3333333333333333,0.5,1.0,,0.05882352941176483,0.11764705882352877

2,1,1.0,2.0,1.0,1.0,4.0,,0.24137931034482762,0.29118773946360144
2,1,0.5,1.0,1.0,1.0,3.0,,0.14559386973180127,0.24137931034482785
2,1,1.0,1.0,1.0,1.0,3.0,,0.24137931034482776,0.24137931034482776
2,1,1.0,1.0,1.0,1.0,7.0,,0.2413793103448277,0.2413793103448277
2,1,0.25,0.3333333333333333,0.3333333333333333,0.14285714285714285,1.0,,0.03448275862068853,0.08045977011494249

2,2,1.0,2.0,1.0,1.0,9.0,,0.24271844660194178,0.2621359223300969
2,2,0.5,1.0,1.0,1.0,2.0,,0.13106796116504874,0.24271844660194186
2,2,1.0,1.0,1.0,1.0,2.0,,0.2427184466019418,0.2427184466019418
2,2,1.0,1.0,1.0,1.0,3.0,,0.24271844660194142,0.24271844660194167
2,2,0.1111111111111111,0.5,0.5,0.3333333333333333,1.0,,0.02912621359223299,0.12135922330097097

2,3,1.0,1.0,1.0,1.0,6.0,,0.23999999999999988,0.24000000000000016
2,3,1.0,1.0,1.0,1.0,3.0,,0.2399999999999996,0.24000000000000013
2,3,1.0,1.0,1.0,1.0,2.0,,0.18666666666666681,0.24000000000000019
2,3,1.0,1.0,1.0,1.0,3.0,,0.23999999999999955,0.23999999999999955
2,3,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,1.0,,0.04000000000000016,0.09333333333333345

3,1,1.0,2.0,1.0,1.0,2.0,,0.24999999999999917,0.25000000000000017
3,1,0.5,1.0,1.0,1.0,2.0,,0.125,0.24999999999999994
3,1,1.0,1.0,1.0,2.0,2.0,,0.2499999999999999,0.2500000000000004
3,1,1.0,1.0,0.5,1.0,2.0,,0.1250000000000001,0.24999999999999917
3,1,0.5,0.5,0.5,0.5,1.0,,0.12500000000000022,0.12500000000000022

3,2,1.0,2.0,1.0,1.0,3.0,,0.2432432432432451,0.288288288288286
3,2,0.5,1.0,1.0,1.0,3.0,,0.14414414414414278,0.24324324324324165
3,2,1.0,1.0,1.0,1.0,9.0,,0.24324324324324165,0.2432432432432452
3,2,1.0,1.0,1.0,1.0,3.0,,0.2432432432432443,0.2432432432432443
3,2,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.3333333333333333,1.0,,0.027027027027027244,0.08108108108108168

3,3,1.0,1.0,1.0,1.0,4.0,,0.23529411764705882,0.23529411764705882
3,3,1.0,1.0,1.0,1.0,1.0,,0.14705882352941163,0.23529411764705865
3,3,1.0,1.0,1.0,1.0,2.0,,0.23529411764705876,0.23529411764705876
3,3,1.0,1.0,1.0,1.0,2.0,,0.23529411764705876,0.235294117647059
3,3,0.25,1.0,0.5,0.5,1.0,,0.05882352941176472,0.1470588235294117

4,1,1.0,1.0,1.0,1.0,2.0,,0.24999999999999972,0.24999999999999992
4,1,1.0,1.0,2.0,1.0,2.0,,0.2500000000000001,0.25000000000000017
