Trial,entani論文のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,解の非唯一性考慮のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,解の非唯一性考慮のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_wᵁ_1,解の非唯一性考慮のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᴸ_2,解の非唯一性考慮のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_2,entani論文のPartialIncorporation_wᴸ_3,解の非唯一性考慮のPartialIncorporation_wᴸ_3,entani論文のPartialIncorporation_wᵁ_3,解の非唯一性考慮のPartialIncorporation_wᵁ_3,entani論文のPartialIncorporation_Ŵ,解の非唯一性考慮のPartialIncorporation_Ŵ
1,"[0.23076923934065935, 0.23076923934065935, 0.23076923934065935, 0.23076920219780228, 0.0519751719750505]","[0.23076924791208928, 0.23076924791208928, 0.23076924791208928, 0.23076917362636917, 0.05197519197505797]","[0.24324319324324392, 0.23529410050420232, 0.24324319324324392, 0.23076920219780228, 0.07692307978021978]","[0.2432431932432417, 0.23529410320261374, 0.2432431932432417, 0.23076917362636917, 0.07692308263736308]","[0.24324319324324392, 0.20540544540540484, 0.24324319324324392, 0.20540544540540484, 0.02702704202702682]","[0.2432431932432417, 0.20540544540540662, 0.2432431932432417, 0.20540544540540662, 0.02702704202702749]","[0.24324337824324138, 0.24324319324324392, 0.24324319324324395, 0.24324319324324392, 0.10270272270270242]","[0.2432433782432474, 0.2432431932432417, 0.2432431932432417, 0.2432431932432417, 0.10270272270270331]","[0.19230766230769236, 0.23076920219780228, 0.23076923934065935, 0.11538461967032967, 0.07692307978021978]","[0.21153844010988834, 0.23076924791208928, 0.23076924791208928, 0.11538462395604464, 0.07692308263736308]","[0.23076923934065935, 0.23076923934065935, 0.23076923934065935, 0.23076920219780228, 0.19230766230769236]","[0.23076924791208928, 0.23076924791208928, 0.23076924791208928, 0.23076924791208928, 0.21153844010988834]","[0.23529410050420232, 0.23529410050420232, 0.23529410050420232, 0.13725491624649805, 0.05882352512605058]","[0.23529412209150344, 0.23529410320261374, 0.23529412209150344, 0.13725490140522875, 0.05882353052287586]","[0.23529410050420232, 0.23529410050420232, 0.2745098324929961, 0.23529410050420232, 0.11764705025210116]","[0.23529412209150344, 0.23529412209150344, 0.2745098028104575, 0.23529412209150344, 0.11764705160130687]","[[0.24324319324324392, 0.23076923934065935, 0.24324319324324392, 0.23076920219780228, 0.0519751719750505], [0.23076923934065935, 0.23076923934065935, 0.23076923934065935, 0.23076920219780228, 0.07692307978021978], [0.23529410050420232, 0.23529410050420232, 0.23981907166774255, 0.23076920219780228, 0.05882352512605058]]","[[0.2432431932432417, 0.23076924791208928, 0.2432431932432417, 0.23076917362636917, 0.05197519197505797], [0.23076924791208928, 0.23076924791208928, 0.23076924791208928, 0.23076917362636917, 0.07692308263736308], [0.23529412209150344, 0.23529410320261374, 0.23981907055663773, 0.23076917362636917, 0.05882353052287586]]"
2,"[0.24000000310344832, 0.2399999901724137, 0.24000000310344832, 0.24000000310344832, 0.03184487252176316]","[0.2400000022784811, 0.2399999927848099, 0.2400000022784811, 0.2400000022784811, 0.03184471966742605]","[0.24271837910194102, 0.2399999901724137, 0.24271837910194102, 0.24271837910194102, 0.04000000051724139]","[0.242718429182588, 0.2399999927848099, 0.242718429182588, 0.242718429182588, 0.040000000379746846]","[0.24137929331780028, 0.14559388297504422, 0.24137929331780028, 0.24137929331780028, 0.034482756188257184]","[0.2413793308883057, 0.1455938569057139, 0.24137930251874085, 0.24137930251874085, 0.034482761555472245]","[0.29118776595008844, 0.24137929331780028, 0.24137929331780028, 0.24137929331780028, 0.08045976443926676]","[0.2911877138114278, 0.24137930251874085, 0.2413793308883057, 0.2413793308883057, 0.08045976750624695]","[0.24271837910194102, 0.13106801741504912, 0.24271837910194102, 0.24271837910194102, 0.029126226092233136]","[0.242718429182588, 0.1310679756811766, 0.242718429182588, 0.242718429182588, 0.029126216818039244]","[0.26213603483009823, 0.24271837910194102, 0.24271837910194102, 0.24271837910194102, 0.12135918955097051]","[0.2621359513623532, 0.242718429182588, 0.242718429182588, 0.242718429182588, 0.121359214591294]","[0.24000000310344832, 0.23999999017241352, 0.18666667770114964, 0.23999999017241352, 0.04000000051724139]","[0.2400000022784811, 0.2399999927848099, 0.1866666684388188, 0.2400000022784811, 0.040000000379746846]","[0.24000000310344835, 0.23999999017241352, 0.24000000310344832, 0.24000000310344832, 0.09333333885057482]","[0.2400000022784811, 0.2400000022784811, 0.2400000022784811, 0.2400000022784811, 0.0933333342194094]","[[0.24271837910194102, 0.2399999901724137, 0.24137929331780028, 0.24137929331780028, 0.034523044090044724], [0.24271837910194102, 0.2399999901724137, 0.24271837910194102, 0.24271837910194102, 0.03184487252176316], [0.24000000310344832, 0.2399999901724137, 0.24000000310344832, 0.24000000310344832, 0.04000000051724139]]","[[0.242718429182588, 0.2399999927848099, 0.2413793308883057, 0.2413793308883057, 0.03452291625599077], [0.242718429182588, 0.2399999927848099, 0.242718429182588, 0.242718429182588, 0.03184471966742605], [0.2400000022784811, 0.2399999927848099, 0.2400000022784811, 0.2400000022784811, 0.040000000379746846]]"
3,"[0.23529413098039179, 0.13970592485294164, 0.2352941168137255, 0.2352941168137255, 0.08108109608108048]","[0.23529413288515433, 0.1397059083053205, 0.23529411669467787, 0.23529411669467787, 0.08108109608108076]","[0.24999998333333318, 0.18243243409910032, 0.24999998333333318, 0.24324324324324326, 0.12499999166666659]","[0.26331477870694314, 0.16911763872548957, 0.24999999000000067, 0.24324324324324326, 0.12499999500000034]","[0.24999998333333318, 0.12500000500000005, 0.24999998333333318, 0.12500000500000005, 0.12499999166666659]","[0.24999999000000067, 0.1250000029999998, 0.24999999000000067, 0.1250000029999998, 0.12499999500000034]","[0.2500000100000001, 0.24999998333333318, 0.2500000100000001, 0.24999998333333318, 0.12499999166666659]","[0.2500000059999996, 0.24999999000000067, 0.2500000059999996, 0.24999999000000067, 0.12499999500000034]","[0.24324324324324326, 0.1441441391441445, 0.24324324324324276, 0.24324324324324326, 0.027027027027026973]","[0.24324324324324326, 0.1441441391441441, 0.24324324324324326, 0.24324324324324326, 0.02702702702702703]","[0.288288278288289, 0.24324324324324326, 0.24324324324324276, 0.24324324324324326, 0.08108109608108048]","[0.2882882782882882, 0.24324324324324326, 0.24324324324324326, 0.24324324324324326, 0.08108109608108076]","[0.23529411681372556, 0.14705881769607865, 0.2352941168137255, 0.2352941168137255, 0.058823532745097946]","[0.23529411669467787, 0.1470588249579833, 0.23529411669467787, 0.23529411669467787, 0.05882353322128858]","[0.23529413098039179, 0.2352941168137255, 0.2352941168137255, 0.2352941168137255, 0.14705881769607865]","[0.23529413288515433, 0.23529411669467787, 0.23529411669467787, 0.23529411669467787, 0.1470588249579833]","[[0.24999998333333318, 0.13970592485294164, 0.24999998333333318, 0.2352941168137255, 0.12499999166666659], [0.24999998333333318, 0.18243243409910032, 0.24324324324324276, 0.24324324324324326, 0.08108109608108048], [0.23529413098039179, 0.18243243409910032, 0.2352941168137255, 0.2352941168137255, 0.11168520129305695]]","[[0.24999999000000067, 0.1397059083053205, 0.24999999000000067, 0.23529411669467787, 0.12499999500000034], [0.26331477870694314, 0.16911763872548957, 0.24324324324324326, 0.24324324324324326, 0.08108109608108076], [0.23529413288515433, 0.16911763872548957, 0.23529411669467787, 0.23529411669467787, 0.12499999500000034]]"
4,"[0.2499999836363637, 0.19607848747644419, 0.23076925846153898, 0.1858974463869458, 0.0833333278787879]","[0.2499999900435698, 0.19607846464779088, 0.1858974222060279, 0.23076926769230927, 0.08333333001452325]","[0.2499999836363637, 0.2499999836363637, 0.23529410050420213, 0.23529410050420213, 0.0833333278787879]","[0.2499999900435698, 0.2499999900435698, 0.235294107647058, 0.235294107647058, 0.08333333001452325]","[0.2499999836363637, 0.2499999836363637, 0.12500001363636357, 0.1249999990909091, 0.0833333278787879]","[0.2499999900435698, 0.2499999900435698, 0.12500000829702515, 0.124999999446865, 0.08333333001452327]","[0.2499999836363637, 0.25000002727272713, 0.2499999981818182, 0.2499999836363637, 0.12499999181818185]","[0.2499999900435698, 0.2500000165940503, 0.24999999889373, 0.2499999900435698, 0.1249999950217849]","[0.23076925846153898, 0.10576921346153816, 0.23076921846153822, 0.23076921846153822, 0.07692308615384633]","[0.23076922769230757, 0.10576922269230732, 0.23076922769230757, 0.23076922769230757, 0.07692308923076975]","[0.31730764038461445, 0.23076921846153822, 0.23076925846153898, 0.23076925846153898, 0.11538462923076949]","[0.31730766807692196, 0.23076922769230757, 0.23076922769230757, 0.23076926769230927, 0.11538461384615378]","[0.23529410050420213, 0.13725491624649824, 0.23529410050420213, 0.23529410050420213, 0.05882352512605053]","[0.235294107647058, 0.13725491029411832, 0.235294107647058, 0.235294107647058, 0.0588235269117645]","[0.2745098324929965, 0.23529410050420213, 0.23529410050420213, 0.23529410050420213, 0.11764705025210107]","[0.27450982058823664, 0.235294107647058, 0.235294107647058, 0.235294107647058, 0.117647053823529]","[[0.2499999836363637, 0.2499999836363637, 0.23076925846153898, 0.1858974463869458, 0.0833333278787879], [0.2499999836363637, 0.20512817156177052, 0.23076925846153898, 0.23076925846153898, 0.0833333278787879], [0.2499999836363637, 0.19607848747644419, 0.23529410050420213, 0.23529410050420213, 0.0833333278787879]]","[[0.2499999900435698, 0.2499999900435698, 0.1858974222060279, 0.23076926769230927, 0.08333333001452325], [0.2499999900435698, 0.20512818455729015, 0.23076922769230757, 0.23076926769230927, 0.08333333001452325], [0.2499999900435698, 0.19607846464779088, 0.235294107647058, 0.235294107647058, 0.08333333001452325]]"
5,"[0.262136034830102, 0.1823083926578204, 0.22222223135265712, 0.22222223135265712, 0.07011881430819991]","[0.2621359513623563, 0.1623931296471668, 0.22222223135265715, 0.22222223135265715, 0.09003406062530439]","[0.262136034830102, 0.1823083926578204, 0.2427183791019388, 0.2427183791019388, 0.11111110980676327]","[0.28205129784075567, 0.1623931296471668, 0.2427184291825862, 0.2427184291825862, 0.11111110980676327]","[0.23076921576923176, 0.14102565352564017, 0.23076921576923176, 0.23076921576923176, 0.07692307192307725]","[0.23076922129554664, 0.14102564892037783, 0.23076922129554664, 0.23076922129554664, 0.07692307376518222]","[0.28205130705128034, 0.23076921576923176, 0.23076921576923176, 0.23076921576923176, 0.11538460788461588]","[0.28205129784075567, 0.23076922129554664, 0.23076922129554664, 0.23076922129554664, 0.11538461064777332]","[0.2427183791019388, 0.131068017415051, 0.2427183791019388, 0.2427183791019388, 0.029126226092233556]","[0.2427184291825862, 0.13106797568117814, 0.2427184291825862, 0.2427184291825862, 0.029126216818039587]","[0.262136034830102, 0.2427183791019388, 0.2427183791019388, 0.2427183791019388, 0.1213591895509694]","[0.2621359513623563, 0.2427184291825862, 0.2427184291825862, 0.2427184291825862, 0.1213592145912931]","[0.22222223135265712, 0.14814814053945238, 0.22222221961352653, 0.22222221961352653, 0.11111110980676327]","[0.22222223135265715, 0.14814814053945238, 0.22222221961352653, 0.22222221961352653, 0.11111110980676327]","[0.29629628107890477, 0.22222221961352653, 0.22222223135265712, 0.22222223135265712, 0.11111111567632856]","[0.29629628107890477, 0.22222221961352653, 0.22222223135265715, 0.22222223135265715, 0.11111111567632857]","[[0.262136034830102, 0.1823083926578204, 0.23076921576923176, 0.23076921576923176, 0.09401714097361397], [0.262136034830102, 0.1823083926578204, 0.2427183791019388, 0.2427183791019388, 0.07011881430819991], [0.262136034830102, 0.1823083926578204, 0.22222223135265712, 0.22222223135265712, 0.11111110980676327]]","[[0.28205129784075567, 0.1623931296471668, 0.23076922129554664, 0.23076922129554664, 0.09401712992098421], [0.2621359513623563, 0.1623931296471668, 0.2427184291825862, 0.2427184291825862, 0.09003406062530439], [0.28205129784075567, 0.1623931296471668, 0.22222223135265715, 0.22222223135265715, 0.11111110980676327]]"
6,"[0.26213603483009823, 0.19940239670836502, 0.2307692436263729, 0.2307692436263729, 0.0530248102576546]","[0.26213595136235496, 0.19230767980769187, 0.23076924014423109, 0.23076924014423109, 0.06011951046477915]","[0.26213603483009823, 0.19940239670836502, 0.24271837910194102, 0.24271837910194102, 0.07692308120879096]","[0.269230759855769, 0.19230767980769187, 0.24271842918258701, 0.24271842918258701, 0.07692308004807703]","[0.23076926934065767, 0.13461536532967117, 0.23076921648351711, 0.23076921648351711, 0.07692308120879096]","[0.2307692401442311, 0.13461537992788444, 0.23076921964982774, 0.23076921964982774, 0.07692308004807703]","[0.26923073065934233, 0.23076921648351711, 0.23076926934065767, 0.23076926934065767, 0.13461536532967117]","[0.2692307598557689, 0.23076921964982774, 0.2307692401442311, 0.2307692401442311, 0.13461537992788444]","[0.24271837910194102, 0.13106801741504912, 0.24271837910194102, 0.24271837910194102, 0.029126226092233136]","[0.24271842918258701, 0.13106797568117748, 0.24271842918258701, 0.24271842918258701, 0.029126216818039438]","[0.26213603483009823, 0.24271837910194102, 0.24271837910194102, 0.24271837910194102, 0.12135918955097051]","[0.26213595136235496, 0.24271842918258701, 0.24271842918258701, 0.24271842918258701, 0.12135921459129351]","[0.2307692436263729, 0.14102563031135593, 0.23076922505494538, 0.23076922505494538, 0.07692308120879097]","[0.23076924014423109, 0.14102563321314077, 0.23076922795673072, 0.23076922795673072, 0.0769230759855769]","[0.28205126062271185, 0.23076922505494538, 0.2307692436263729, 0.2307692436263729, 0.11538462181318646]","[0.28205126642628153, 0.23076922795673072, 0.23076924014423109, 0.23076924014423109, 0.11538462007211554]","[[0.26213603483009823, 0.19940239670836502, 0.23076924362637286, 0.2307692436263729, 0.07692308120879096], [0.26213603483009823, 0.19940239670836502, 0.24271837910194102, 0.24271837910194102, 0.0530248102576546], [0.26213603483009823, 0.19940239670836502, 0.2307692436263729, 0.2307692436263729, 0.07692308120879097]]","[[0.2692307598557689, 0.19230767980769187, 0.23076924014423109, 0.2307692401442311, 0.07692308004807703], [0.26213595136235496, 0.19230767980769187, 0.24271842918258701, 0.24271842918258701, 0.06011951046477915], [0.269230759855769, 0.19230767980769187, 0.23076924014423109, 0.23076924014423109, 0.07692308004807703]]"
7,"[0.2400000135714288, 0.21913046806832298, 0.23652173813043476, 0.2399999957142856, 0.043478256869565246]","[0.24, 0.1947826363421554, 0.24, 0.24, 0.04000001500000036]","[0.2608695412173915, 0.2399999957142856, 0.2402343617857153, 0.2402343617857153, 0.043478256869565246]","[0.2608695524574667, 0.2399999849999997, 0.2608695524574667, 0.240234361785716, 0.043478258742911106]","[0.2399999957142856, 0.2399999957142856, 0.18666667523809546, 0.2399999957142856, 0.039999999285714266]","[0.24, 0.2399999849999997, 0.18666667666666684, 0.24, 0.04]","[0.2400000135714288, 0.2399999957142856, 0.2399999957142856, 0.2399999957142856, 0.09333333761904773]","[0.24, 0.24, 0.24, 0.24, 0.09333333833333342]","[0.2402344227380916, 0.08789060678571567, 0.2402343617857153, 0.2402343617857153, 0.03906249190476252]","[0.2402344227380889, 0.08789060678571671, 0.240234361785716, 0.240234361785716, 0.039062491904762985]","[0.3515624271428627, 0.2402343617857153, 0.2402344227380916, 0.2402344227380916, 0.08007812059523843]","[0.35156242714286684, 0.240234361785716, 0.2402344227380889, 0.2402344227380889, 0.08007812059523867]","[0.2608695412173915, 0.08695653673913033, 0.21913046806832298, 0.13043477060869574, 0.043478256869565246]","[0.2608695524574667, 0.08695651748582221, 0.2608695524574667, 0.1304348006852555, 0.043478258742911106]","[0.26086961021739097, 0.21913046806832298, 0.2608695412173915, 0.2608695412173915, 0.13043477060869574]","[0.2608695524574667, 0.2608695524574667, 0.260869601370511, 0.2608695524574667, 0.13043477622873334]","[[0.2400000135714288, 0.2399999957142856, 0.23652173813043476, 0.2399999957142856, 0.043478256869565246], [0.25692255149068105, 0.21913046806832298, 0.2402343617857153, 0.2402343617857153, 0.043478256869565246], [0.2608695412173915, 0.21913046806832298, 0.23652173813043476, 0.2399999957142856, 0.043478256869565246]]","[[0.24, 0.2399999849999997, 0.24, 0.24, 0.04000001500000036], [0.2608695524574667, 0.2186616480187281, 0.2402344227380889, 0.240234361785716, 0.04000001500000036], [0.2608695524574667, 0.1947826363421554, 0.2608695524574667, 0.24, 0.043478258742911106]]"
8,"[0.23076923343589764, 0.20626792034027114, 0.2307692384358977, 0.2307692284358976, 0.02962963919484713]","[0.23076924014423106, 0.20626784740586257, 0.23076922795673072, 0.23076922139423162, 0.029629635357394025]","[0.2666666353623185, 0.2307692284358976, 0.2666665766666656, 0.2307692284358976, 0.07692307125640947]","[0.2666666479212559, 0.2307692345192297, 0.2666666479212559, 0.23076922139423162, 0.07692307598557689]","[0.23076923176923095, 0.1794871788205127, 0.1794871788205127, 0.23076923176923095, 0.07692307125640947]","[0.2307692279567307, 0.1794871835496792, 0.1794871835496792, 0.23076922139423162, 0.07692307598557689]","[0.23076923343589764, 0.23076923176923095, 0.23076923176923095, 0.23076923176923095, 0.1794871788205127]","[0.23076924014423106, 0.2307692279567307, 0.2307692279567307, 0.2307692279567307, 0.1794871835496792]","[0.2666666353623185, 0.13333331768115925, 0.2666665766666656, 0.13333337637681208, 0.02962963919484713]","[0.2666666479212559, 0.13333332396062794, 0.2666666479212559, 0.13333335910827313, 0.02962963535739403]","[0.2666666353623185, 0.2666665766666656, 0.26666675275362417, 0.2666666353623185, 0.06666665884057962]","[0.2666666479212559, 0.2666666479212559, 0.26666671821654625, 0.2666666479212559, 0.06666666198031397]","[0.23076923188034143, 0.2307692284358976, 0.2307692284358976, 0.2307692284358976, 0.07692307125640947]","[0.23076923274839736, 0.23076923274839736, 0.23076922795673072, 0.23076922139423162, 0.07692307379807721]","[0.23076923188034143, 0.23076923343589764, 0.2307692284358976, 0.23076923343589764, 0.07692307781196588]","[0.23076924014423106, 0.23076923274839736, 0.23076922795673072, 0.23076923274839736, 0.07692307379807721]","[[0.23076923343589764, 0.23076923176923095, 0.23076923176923095, 0.23076923176923095, 0.07692307125640947], [0.2666666353623185, 0.20626792034027114, 0.2666665766666656, 0.2307692284358976, 0.02962963919484713], [0.23076923343589764, 0.2307692284358976, 0.2307692384358977, 0.2307692284358976, 0.07692307125640947]]","[[0.23076924014423106, 0.2307692345192297, 0.2307692279567307, 0.23076922139423162, 0.07692307598557689], [0.2666666479212559, 0.20626784740586257, 0.2666666479212559, 0.23076922139423162, 0.029629635357394025], [0.23076924014423106, 0.2307692345192297, 0.23076922795673072, 0.23076922139423162, 0.07692307598557689]]"
9,"[0.24089642479342155, 0.22969176050069084, 0.2352940926470562, 0.23529417764706517, 0.04057857726957817]","[0.243243232222835, 0.22734495307128283, 0.23294726672626165, 0.23529417764705865, 0.04292535026021213]","[0.24324322074324364, 0.23809521934523742, 0.24324322074324364, 0.24324322074324364, 0.05882354441176629]","[0.243243232222835, 0.23809522775041064, 0.243243232222835, 0.243243232222835, 0.05882354441176466]","[0.24324322074324364, 0.1306306493806303, 0.24324322074324364, 0.24324322074324364, 0.02702702452702707]","[0.243243232222835, 0.1306306398143042, 0.243243232222835, 0.243243232222835, 0.027027025802537224]","[0.2612612987612606, 0.24324322074324364, 0.24324322074324364, 0.24324322074324364, 0.12162161037162182]","[0.2612612796286084, 0.243243232222835, 0.243243232222835, 0.243243232222835, 0.1216216161114175]","[0.23529417764706517, 0.1323529111764674, 0.2352940926470562, 0.2352940926470562, 0.05882354441176629]","[0.23529417764705865, 0.13235291117647066, 0.23529409264705892, 0.23529409264705892, 0.05882354441176466]","[0.2647058223529348, 0.2352940926470562, 0.23529417764706517, 0.23529417764706517, 0.1323529111764674]","[0.2647058223529413, 0.23529409264705892, 0.23529417764705865, 0.23529417764705865, 0.13235291117647066]","[0.23809521934523742, 0.23809521934523742, 0.13492065054563548, 0.23809521934523742, 0.04761904386904749]","[0.23809522775041064, 0.23809522775041064, 0.13492064354132446, 0.23809522775041064, 0.047619045550082124]","[0.26984130109127097, 0.23809521934523742, 0.23809521934523742, 0.23809521934523742, 0.11904760967261871]","[0.26984128708264893, 0.23809522775041064, 0.23809522775041064, 0.23809522775041064, 0.11904761387520532]","[[0.24324322074324364, 0.22969176050069084, 0.24324322074324364, 0.24324322074324364, 0.04057857726957817], [0.24089642479342155, 0.22969176050069084, 0.2352940926470562, 0.23529417764706517, 0.05882354441176629], [0.24089642479342155, 0.23809521934523742, 0.2352940926470562, 0.23809521934523742, 0.04761904386904749]]","[[0.243243232222835, 0.22734495307128283, 0.243243232222835, 0.243243232222835, 0.04292535026021213], [0.243243232222835, 0.22734495307128283, 0.23529409264705892, 0.23529417764705865, 0.05882354441176466], [0.243243232222835, 0.23809522775041064, 0.23294726672626165, 0.23809522775041064, 0.047619045550082124]]"
10,"[0.2352941256470586, 0.18181818936535213, 0.18181818936535213, 0.2352941256470586, 0.062499990689655005]","[0.23529413364705956, 0.18181819431818178, 0.18181819431818178, 0.23529413364705956, 0.06250001216216208]","[0.28977267143668095, 0.2352941256470586, 0.2202539676515966, 0.2727272944253873, 0.0738636554072275]","[0.3272727153977274, 0.23529413364705956, 0.22032083673997196, 0.23529413364705956, 0.07379676231884952]","[0.2352941256470586, 0.2352941256470586, 0.17647056023529484, 0.1176470628235293, 0.05882353141176465]","[0.23529413364705956, 0.23529413364705956, 0.2058823329411755, 0.11764706682352978, 0.05882353341176489]","[0.2352941256470586, 0.2352941256470586, 0.2352941256470586, 0.2352941256470586, 0.17647056023529484]","[0.23529413364705956, 0.23529413364705956, 0.23529413364705956, 0.23529413364705956, 0.2058823329411755]","[0.2812499829310342, 0.18749997206896502, 0.18749997206896502, 0.18750002172413832, 0.02083333574712648]","[0.302083335900901, 0.18749999756756758, 0.18749999756756758, 0.18749999756756758, 0.020833333063063064]","[0.37499994413793003, 0.18750002172413832, 0.18750002172413832, 0.2812499829310342, 0.062499990689655005]","[0.37499999513513516, 0.18749999756756758, 0.18749999756756758, 0.302083335900901, 0.06250001216216208]","[0.2727272944253873, 0.09090908430531691, 0.18181816861063382, 0.18181818936535213, 0.07272726744425353]","[0.3272727153977274, 0.09090909715909089, 0.18181819431818178, 0.18181819431818178, 0.07272727772727271]","[0.36363633722126765, 0.18181818936535213, 0.18181818936535213, 0.2727272944253873, 0.09090909468267606]","[0.36363638863636355, 0.18181819431818178, 0.18181819431818178, 0.3272727153977274, 0.09090909715909089]","[[0.2352941256470586, 0.2352941256470586, 0.2202539676515966, 0.2352941256470586, 0.0738636554072275], [0.28977267143668095, 0.18750002172413832, 0.18750002172413832, 0.2727272944253873, 0.062499990689655005], [0.28977267143668095, 0.18181818936535213, 0.18181818936535213, 0.2727272944253873, 0.0738636554072275]]","[[0.23529413364705956, 0.23529413364705956, 0.22032083673997196, 0.23529413364705956, 0.07379676231884952], [0.3272058590556432, 0.18749999756756758, 0.18749999756756758, 0.23529413364705956, 0.06250001216216208], [0.3272727153977274, 0.18181819431818178, 0.18181819431818178, 0.23529413364705956, 0.07379676231884952]]"
