Trial,entani論文のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᴸ_1,解の非唯一性考慮のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᵁ_1,解の非唯一性考慮のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ_2,解の非唯一性考慮のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᵁ_2,解の非唯一性考慮のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᴸ_3,解の非唯一性考慮のPerfectIncorporation_wᴸ_3,entani論文のPerfectIncorporation_wᵁ_3,解の非唯一性考慮のPerfectIncorporation_wᵁ_3
1,"[0.19230766230769358, 0.2054054132314918, 0.2307692393406585, 0.11538461967032948, 0.027027025940070528]","[0.21153844004664518, 0.20540544552346218, 0.23076924796268394, 0.11538462398134197, 0.027027042071298295]","[0.24324323346063476, 0.24324323346063453, 0.2745097708446458, 0.2432432334606338, 0.19230766230769356]","[0.2432433786416849, 0.24324319309567224, 0.2745097707470217, 0.24324319309567236, 0.21153844004664518]","[0.24324323346063453, 0.2054054132314918, 0.24324323346063476, 0.2054054132314925, 0.027027025940070528]","[0.24324319309567244, 0.20540544552346218, 0.24324319309567233, 0.20540544552346204, 0.027027042071298298]","[0.24324323346063476, 0.24324323346063453, 0.2432432736780262, 0.24324323346063387, 0.1027027066157459]","[0.2432433786416847, 0.2432431930956723, 0.24324319309567233, 0.24324319309567236, 0.10270272276173109]","[0.19230766230769356, 0.23076920219780314, 0.23076923934065838, 0.11538461967032948, 0.07692307978021971]","[0.21153844004664518, 0.2307692479626839, 0.23076924796268394, 0.11538462398134197, 0.07692308265422798]","[0.2307692393406597, 0.2307692393406583, 0.2307692393406598, 0.23076920219780234, 0.19230766230769356]","[0.23076924796268394, 0.23076924796268394, 0.23076924796268394, 0.23076924796268383, 0.21153844004664518]","[0.2352941061085969, 0.2352941061085969, 0.23529414533936738, 0.1372548854223229, 0.058823536334841345]","[0.23529410607454243, 0.23529410607454238, 0.23529414542109825, 0.13725488537351088, 0.05882353635527451]","[0.23529414533936616, 0.23529414533936652, 0.2745097708446458, 0.2352941061085969, 0.11764705305429848]","[0.2352941454210982, 0.23529414542109822, 0.2745097707470217, 0.2352941060745425, 0.11764705303727102]"
2,"[0.24000001357142928, 0.13106801741511054, 0.18666667523810188, 0.23999999571430353, 0.029126226092246785]","[0.2400000000000002, 0.13106797544574783, 0.18666667650448251, 0.24000000000000007, 0.029126216765721583]","[0.2911877138115399, 0.2427183791019207, 0.24271837910189756, 0.24271837910189, 0.12135918955095525]","[0.2911877142274666, 0.2427184294651027, 0.24271842946510275, 0.2427184294651027, 0.12135921473255128]","[0.2413793308882535, 0.14559385690575688, 0.24137930251877943, 0.24137930251871356, 0.034482761555469005]","[0.24137933055512212, 0.1455938571137333, 0.24137930264566781, 0.24137930264566768, 0.03448276150787445]","[0.29118771381147657, 0.24137930251878453, 0.2413793308882535, 0.24137933088825325, 0.08045976750625981]","[0.2911877142274666, 0.24137930264566776, 0.24137933055512206, 0.24137933055512198, 0.08045976754855588]","[0.24271837910189, 0.13106801741511054, 0.24271837910190366, 0.24271837910189, 0.029126226092246785]","[0.2427184294651028, 0.13106797544574783, 0.24271842946510255, 0.24271842946510275, 0.029126216765721583]","[0.2621360348302211, 0.2427183791019207, 0.24271837910190366, 0.24271837910189, 0.12135918955094906]","[0.2621359508914953, 0.24271842946510275, 0.24271842946510275, 0.2427184294651028, 0.12135921473255128]","[0.23999999571430516, 0.23999997785711116, 0.18666667523810207, 0.23999999571429817, 0.03999999928571753]","[0.23999999999999982, 0.23999998524327587, 0.18666667650448257, 0.24000000000000005, 0.03999999999999997]","[0.23999999571430516, 0.23999999571425026, 0.24000001357142928, 0.23999999571429817, 0.09333333761905008]","[0.23999999999999982, 0.2400000000000001, 0.24000000000000007, 0.24000000000000005, 0.09333333825224135]"
3,"[0.2352941196470584, 0.12500001500000563, 0.23529411964705887, 0.1249999949999989, 0.027027028390663215]","[0.23529411958002072, 0.1250000115977789, 0.23529411958002006, 0.12499999613407495, 0.0270270283449559]","[0.28828826919738604, 0.2499999899999981, 0.24999998999999695, 0.2499999899999975, 0.14705882052941027]","[0.28828826983728445, 0.2499999922681501, 0.24999999226814612, 0.24999999226814681, 0.1470588206299665]","[0.24999998999999934, 0.12500001500000257, 0.24999998999999695, 0.1249999949999989, 0.12499999499999734]","[0.24999999226814612, 0.12500001159778074, 0.24999999226814612, 0.12499999613407495, 0.12499999613407306]","[0.25000003000001036, 0.2499999899999981, 0.24999998999999695, 0.2499999899999975, 0.12499999499999967]","[0.25000002319555575, 0.2499999922681501, 0.24999999226814612, 0.24999999226814681, 0.12499999613407306]","[0.24324325551596876, 0.14414413459869163, 0.2432432386977894, 0.24324323869778922, 0.027027028390663215]","[0.24324325510460212, 0.14414413491864225, 0.24324323885014604, 0.243243238850148, 0.0270270283449559]","[0.28828826919738326, 0.24324323869778922, 0.24324325551596893, 0.24324325551596876, 0.08108108517198959]","[0.28828826983728445, 0.243243238850148, 0.2432432551046031, 0.24324325510460212, 0.08108108503486748]","[0.2352941196470584, 0.14705882052941033, 0.23529411964705815, 0.23529411964705738, 0.058823521411767304]","[0.23529411958002006, 0.1470588206299678, 0.23529411958002006, 0.23529411958002006, 0.058823521679915204]","[0.2352941196470627, 0.23529411964705738, 0.23529411964705815, 0.2352941196470586, 0.14705882052941027]","[0.23529411958002006, 0.23529411958002072, 0.23529411958002072, 0.23529411958002006, 0.1470588206299678]"
4,"[0.2307692584615397, 0.10576921346153761, 0.12500001363636365, 0.12499999909090916, 0.05882353132665821]","[0.23076925621388905, 0.10576921486631938, 0.12500000778579992, 0.12499999948094673, 0.058823531171235836]","[0.31730764038461284, 0.2500000272727273, 0.2499999981818183, 0.2499999836363635, 0.12499999181818175]","[0.31730764459895816, 0.25000001557159984, 0.24999999896189345, 0.24999999065704, 0.12499999532852]","[0.24999998363636347, 0.2499999836363635, 0.12500001363636365, 0.12499999909090916, 0.0833333278787877]","[0.24999999065704, 0.24999999065704004, 0.12500000778579992, 0.12499999948094673, 0.08333333021901332]","[0.24999998363636347, 0.2500000272727273, 0.2499999981818183, 0.2499999836363635, 0.12499999181818175]","[0.24999999065704, 0.25000001557159984, 0.24999999896189345, 0.24999999065704, 0.12499999532852]","[0.23076925846153995, 0.10576921346153761, 0.23076921846153775, 0.23076921846153836, 0.07692308615384605]","[0.23076925621388905, 0.10576921486631938, 0.23076921946049353, 0.23076921946049384, 0.07692308540462962]","[0.31730764038461284, 0.23076921846153753, 0.23076925846153956, 0.23076925846153995, 0.11538462923076988]","[0.31730764459895816, 0.23076921946049353, 0.23076925621388902, 0.23076925621388905, 0.11538462810694455]","[0.23529411445556964, 0.13725490462035855, 0.23529411445556941, 0.2352941144555693, 0.05882353132665821]","[0.23529411471460696, 0.13725490440449423, 0.23529411471460687, 0.23529411471460696, 0.058823531171235836]","[0.2745098092407179, 0.23529412530663285, 0.23529411445556958, 0.2352941144555693, 0.11764705722778465]","[0.27450980880898845, 0.23529412468494335, 0.23529411471460696, 0.23529411471460696, 0.1176470573573035]"
5,"[0.2222222313526572, 0.1310680174150523, 0.22222221961352745, 0.222222219613526, 0.029126226092233837]","[0.22222223122789736, 0.13106797548282778, 0.2222222196491721, 0.22222221964917208, 0.029126216773961756]","[0.2962962810789042, 0.24271837910193755, 0.24271837910193714, 0.24271837910193717, 0.12135918955096849]","[0.2962962812868379, 0.2427184294206066, 0.24271842942060667, 0.24271842942060648, 0.12135921471030328]","[0.2307692157692314, 0.14102565352564048, 0.2307692157692314, 0.2307692157692314, 0.07692307192307732]","[0.23076922142499626, 0.14102564881250299, 0.23076922142499626, 0.2307692214249961, 0.07692307380833215]","[0.28205130705128095, 0.23076921576923223, 0.2307692157692314, 0.2307692157692314, 0.1153846078846157]","[0.28205129762500647, 0.23076922142499626, 0.23076922142499626, 0.2307692214249961, 0.11538461071249813]","[0.24271837910193672, 0.1310680174150523, 0.24271837910193717, 0.24271837910193717, 0.029126226092233837]","[0.24271842942060665, 0.13106797548282778, 0.24271842942060665, 0.24271842942060648, 0.029126216773961756]","[0.2621360348301046, 0.2427183791019375, 0.24271837910193717, 0.24271837910193717, 0.12135918955096858]","[0.26213595096565584, 0.2427184294206066, 0.24271842942060667, 0.24271842942060648, 0.12135921471030334]","[0.2222222313526572, 0.14814814053945238, 0.22222221961352684, 0.22222221961352595, 0.11111110980676357]","[0.22222223122789736, 0.14814814064341883, 0.22222221964917213, 0.22222221964917208, 0.11111110982458614]","[0.2962962810789045, 0.22222221961352678, 0.22222223135265726, 0.2222222313526572, 0.11111111567632859]","[0.29629628128683766, 0.22222221964917208, 0.22222223122789736, 0.22222223122789736, 0.11111111561394868]"
6,"[0.23076924014423295, 0.13106801741505136, 0.23076922795673038, 0.23076922795673066, 0.029126226092233636]","[0.23076924013168648, 0.13106797566175324, 0.23076922796049423, 0.23076923108131223, 0.029126216813722964]","[0.2820512664262749, 0.24271837910193889, 0.24271837910193883, 0.24271837910193841, 0.13461537680288388]","[0.2820512664471895, 0.24271842920589556, 0.24271842920589617, 0.24271842920589612, 0.13461537993415681]","[0.23076924639423158, 0.13461537680288427, 0.23076922795673038, 0.23076922795673066, 0.07692306973557878]","[0.23076924013168648, 0.13461537993415681, 0.23076923108131261, 0.2307692310813123, 0.07692306662437601]","[0.2692307536057697, 0.23076922795673038, 0.23076924639422958, 0.23076924639423282, 0.1346153768028827]","[0.26923075986831363, 0.23076923108131248, 0.23076924013168648, 0.23076924013168632, 0.13461537993415681]","[0.242718379101939, 0.13106801741505136, 0.24271837910193889, 0.24271837910193905, 0.029126226092233636]","[0.24271842920589617, 0.13106797566175324, 0.2427184292058957, 0.24271842920589537, 0.029126216813722964]","[0.2621360348301027, 0.24271837910193889, 0.242718379101939, 0.24271837910193905, 0.1213591895509697]","[0.26213595132350664, 0.24271842920589556, 0.24271842920589617, 0.24271842920589612, 0.12135921460294785]","[0.23076924014423295, 0.14102563321313807, 0.2307692279567286, 0.23076922795673216, 0.07692307598557749]","[0.23076924013168648, 0.14102563322359477, 0.23076922796049423, 0.2307692279604937, 0.0769230759868314]","[0.28205126642627754, 0.2307692279567286, 0.23076924014423167, 0.23076924014423397, 0.11538462007211647]","[0.2820512664471895, 0.23076922796049423, 0.23076924013168648, 0.23076924013168615, 0.1153846200658432]"
7,"[0.24000000000000063, 0.08695653673912943, 0.18666667666666673, 0.13043477060869735, 0.039062491904763075]","[0.24, 0.08695652809041234, 0.1866666764052989, 0.1304347921356187, 0.03906249211634664]","[0.3515624271428677, 0.24023436178571717, 0.26086954121739453, 0.26086954121739186, 0.13043477060869657]","[0.35156242904711976, 0.26086958427123724, 0.2608695842712374, 0.26086953557807546, 0.13043476778903773]","[0.23999999999999735, 0.23999999999999763, 0.18666667666666673, 0.23999998500000308, 0.04000000000000026]","[0.24, 0.2399999853920517, 0.1866666764052989, 0.24, 0.04]","[0.23999999999999735, 0.24000000000000063, 0.24000000000000055, 0.23999999999999924, 0.09333333833333345]","[0.24, 0.24, 0.24, 0.24, 0.09333333820264945]","[0.24023442273808654, 0.08789060678571692, 0.24023436178571717, 0.2402343617857171, 0.039062491904763075]","[0.2402344214903676, 0.08789060726177994, 0.24023436213109522, 0.24023436213109522, 0.03906249211634664]","[0.3515624271428677, 0.24023436178571717, 0.24023442273808981, 0.24023442273808654, 0.08007812059523906]","[0.35156242904711976, 0.24023436213109522, 0.2402344214903676, 0.2402344214903676, 0.08007812071036507]","[0.26086954121739336, 0.08695653673912943, 0.2173913073478247, 0.13043477060869735, 0.04347825686956548]","[0.26086953557807546, 0.08695652809041235, 0.26086958427123724, 0.1304347921356187, 0.043478255929679244]","[0.2608696102173866, 0.2173913073478247, 0.2608695412173947, 0.2608695412173966, 0.13043477060869668]","[0.2608695842712371, 0.26086958427123724, 0.2608695842712374, 0.26086953557807546, 0.13043476778903773]"
8,"[0.23076923269230717, 0.13333331768115983, 0.17948716948717902, 0.13333337637681084, 0.029629639194846853]","[0.23076923593815968, 0.13333332400959994, 0.17948717604122696, 0.13333335897360019, 0.0296296353274667]","[0.26666663536231955, 0.2666665766666681, 0.26666675275362167, 0.26666663536231905, 0.17948716948718002]","[0.2666666480192, 0.2666666480192001, 0.26666671794720037, 0.26666664801920004, 0.17948717604122696]","[0.2307692307692308, 0.17948716948717902, 0.17948716948717902, 0.23076923076923014, 0.0769230769230771]","[0.23076923593815968, 0.17948717604122696, 0.17948717604122696, 0.2307692359381596, 0.07692307864605316]","[0.23076923076923117, 0.2307692307692304, 0.2307692307692308, 0.23076923076923073, 0.17948716948717902]","[0.23076923593815968, 0.2307692359381594, 0.23076923593815943, 0.23076923593815968, 0.17948717604122696]","[0.26666663536231905, 0.13333331768115977, 0.2666665766666683, 0.13333337637681084, 0.029629639194846853]","[0.2666666480192, 0.13333332400959994, 0.2666666480192, 0.13333335897360019, 0.0296296353274667]","[0.26666663536231955, 0.2666665766666681, 0.26666675275362167, 0.26666663536231905, 0.06666665884057989]","[0.2666666480192, 0.2666666480192001, 0.26666671794720037, 0.26666664801920004, 0.06666666200479995]","[0.23076923269230717, 0.230769230192307, 0.23076923019230794, 0.23076923019230644, 0.07692307423077027]","[0.23076923145842126, 0.2307692269786828, 0.23076923145842135, 0.2307692261746254, 0.07692307416631525]","[0.23076923269230903, 0.23076923269230698, 0.230769232692307, 0.2307692326923072, 0.07692307673076931]","[0.23076923145842126, 0.23076923145842074, 0.2307692359381594, 0.23076922697868327, 0.07692307864605323]"
9,"[0.23529417764706448, 0.13063064938062993, 0.13492062692063467, 0.23529409264705634, 0.027027024527027103]","[0.23529417449976764, 0.1306306393325777, 0.1349206273402738, 0.2352940939584279, 0.027027025866767796]","[0.2698412538412698, 0.24324322074324392, 0.2432432207432439, 0.24324322074324392, 0.13235291117646766]","[0.2698412546805476, 0.2432432328009079, 0.24324323280090643, 0.24324323280090485, 0.13235291275011576]","[0.2432432207432439, 0.1306306493806299, 0.2432432207432439, 0.24324322074324392, 0.027027024527027103]","[0.24324323280090637, 0.1306306393325777, 0.24324323280090643, 0.2432432328009079, 0.027027025866767796]","[0.2612612987612598, 0.24324322074324392, 0.2432432207432439, 0.24324322074324392, 0.1216216103716225]","[0.2612612786651556, 0.2432432328009079, 0.24324323280090643, 0.24324323280090848, 0.12162161640045603]","[0.23529417764706448, 0.1323529111764677, 0.23529409264705736, 0.23529409264705597, 0.058823544411766016]","[0.23529417449976764, 0.13235291275011649, 0.2352940939584306, 0.2352940939584279, 0.05882354362494268]","[0.2647058223529354, 0.23529409264705675, 0.23529417764706448, 0.23529417764706487, 0.13235291117646758]","[0.26470582550023297, 0.2352940939584279, 0.23529417449976955, 0.23529417449976764, 0.13235291275011649]","[0.2380952476952379, 0.2380952350952381, 0.13492062692063467, 0.23809523509523836, 0.04761904701904729]","[0.23809524719167643, 0.238095235252601, 0.1349206273402738, 0.23809523525260096, 0.04761904705052083]","[0.2698412538412698, 0.2380952476952385, 0.23809523509523853, 0.23809524769523815, 0.11904762384761895]","[0.2698412546805476, 0.23809524719167185, 0.23809523525260096, 0.2380952471916707, 0.11904762359583822]"
10,"[0.2352941099547502, 0.09090909403409084, 0.17647061515837628, 0.1176470549773751, 0.020833335747127285]","[0.2352941338490194, 0.09090909723798186, 0.1818181944759644, 0.11764706692450963, 0.020833335777594643]","[0.37499994413791776, 0.2352941099547502, 0.23529410995475017, 0.2812499829310284, 0.17647061515837628]","[0.3749999434328097, 0.23529413384901982, 0.2352941338490194, 0.3272727152478343, 0.2058823326887264]","[0.23529410995474798, 0.23529410995474992, 0.17647061515837628, 0.1176470549773751, 0.058823534027150404]","[0.2352941338490194, 0.23529413384901884, 0.2058823326887264, 0.11764706692450963, 0.05882353346225503]","[0.23529410995474798, 0.2352941099547502, 0.2352941099547502, 0.2352941361086005, 0.17647061515837628]","[0.23529413384902018, 0.2352941338490201, 0.2352941338490194, 0.23529413384901932, 0.2058823326887264]","[0.2812499829310284, 0.18749997206895888, 0.18749997206895846, 0.1875000217241477, 0.020833335747127285]","[0.3020833603947971, 0.18749997171640492, 0.1874999717164063, 0.1875000219983515, 0.020833335777594643]","[0.37499994413791776, 0.18750002172414526, 0.18750002172414604, 0.2812499829310284, 0.062499990689651924]","[0.37499994343280985, 0.1875000219983515, 0.18750002199835178, 0.3020833603947971, 0.06249999057213535]","[0.27272727637310584, 0.09090909403409084, 0.18181817660984892, 0.1818181766098477, 0.07272727522727267]","[0.3272727152478343, 0.09090909723798186, 0.18181819447596187, 0.18181819447596365, 0.07272727779038549]","[0.36363637613636335, 0.18181817660984856, 0.18181817660984892, 0.27272727637310584, 0.09090909403409093]","[0.36363638895192746, 0.18181819447596256, 0.18181819447596187, 0.3272727152478343, 0.09090909723798182]"
