PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
"Any[""Trial-1_PCM-1"", ""Trial-1_PCM-2"", ""Trial-1_PCM-3""]",13.126564596074392,30.462984887393024,12.579825018405588,Error,Error,Error,5.269202649946081,3.624790419708077,3.480928478390819
"Any[""Trial-2_PCM-1"", ""Trial-2_PCM-2"", ""Trial-2_PCM-3""]",17.644054272854913,144.75766263658892,17.949546259038495,Error,Error,Error,5.330366994423539,5.300973372953604,4.4202995691266675
"Any[""Trial-3_PCM-1"", ""Trial-3_PCM-2"", ""Trial-3_PCM-3""]",16.563455165428948,20.58017398789114,15.994159605871095,Error,Error,Error,3.336899703138397,4.885937866554277,3.980857654887018
"Any[""Trial-4_PCM-1"", ""Trial-4_PCM-2"", ""Trial-4_PCM-3""]",18.073325012285228,80.46851843755474,18.257391152644825,Error,Error,Error,4.489915054448934,3.3099801301257283,3.3891904430619118
"Any[""Trial-5_PCM-1"", ""Trial-5_PCM-2"", ""Trial-5_PCM-3""]",15.48480253318957,16.74776301335119,15.484802948712968,Error,Error,Error,2.2325144613372654,4.368842410567506,2.4716501411529275
"Any[""Trial-6_PCM-1"", ""Trial-6_PCM-2"", ""Trial-6_PCM-3""]",18.462558491478635,35.330967788519594,20.27561417889526,Error,Error,Error,7.690055819449842,8.23152114360823,7.851145089636862
"Any[""Trial-7_PCM-1"", ""Trial-7_PCM-2"", ""Trial-7_PCM-3""]",19.31131015820634,19.360636096824926,18.541823473447987,Error,Error,Error,8.04421901600321,5.993988065800751,5.865112994733368
"Any[""Trial-8_PCM-1"", ""Trial-8_PCM-2"", ""Trial-8_PCM-3""]",16.635530812905447,26.15367564265685,18.257391583659064,Error,Error,Error,6.370926543609915,7.08455673837945,6.008500332056425
"Any[""Trial-9_PCM-1"", ""Trial-9_PCM-2"", ""Trial-9_PCM-3""]",18.891811759151935,21.480414748694663,18.891812327740098,Error,Error,Error,6.466860227484866,7.406300319351389,5.821145149306494
"Any[""Trial-10_PCM-1"", ""Trial-10_PCM-2"", ""Trial-10_PCM-3""]",14.10625504840837,15.114312255031882,13.62824911119236,Error,Error,Error,3.8114450870746763,2.6930752509739566,2.0989267763713597
"Any[""Trial-11_PCM-1"", ""Trial-11_PCM-2"", ""Trial-11_PCM-3""]",17.106663669397445,81.98080662589474,18.724242348089767,Error,Error,Error,6.296015188742863,6.784438909589976,6.109376149091606
"Any[""Trial-12_PCM-1"", ""Trial-12_PCM-2"", ""Trial-12_PCM-3""]",16.26142392227191,17.900556430686166,15.590535497619769,Error,Error,Error,4.03970498213331,3.564770725629609,3.2085509681053903
"Any[""Trial-13_PCM-1"", ""Trial-13_PCM-2"", ""Trial-13_PCM-3""]",15.623321539141564,84.46512965291487,16.57253666475779,Error,Error,Error,3.466512091038725,3.8706178837190093,3.35640118009949
"Any[""Trial-14_PCM-1"", ""Trial-14_PCM-2"", ""Trial-14_PCM-3""]",19.07640235484332,79.47266334976204,18.944792532585474,Error,Error,Error,6.026960421880268,5.205139313749945,5.2159693376437835
"Any[""Trial-15_PCM-1"", ""Trial-15_PCM-2"", ""Trial-15_PCM-3""]",20.303320269995833,21.83129915731392,20.371493075583412,Error,Error,Error,3.6057739147208805,4.510583531013347,2.8785034220676584
"Any[""Trial-16_PCM-1"", ""Trial-16_PCM-2"", ""Trial-16_PCM-3""]",15.636891824702502,22.67086275650137,15.013665958765543,Error,Error,Error,5.705324778989641,5.353487597572486,4.404848119894881
"Any[""Trial-17_PCM-1"", ""Trial-17_PCM-2"", ""Trial-17_PCM-3""]",16.6127363539956,79.05829409241184,17.183520782229543,Error,Error,Error,4.4636313775546705,5.545253749438616,4.6948330055406915
"Any[""Trial-18_PCM-1"", ""Trial-18_PCM-2"", ""Trial-18_PCM-3""]",15.054280152779956,79.7527159598924,15.848689621513419,Error,Error,Error,3.8408359839646713,4.3998860361661425,4.399882242167559
"Any[""Trial-19_PCM-1"", ""Trial-19_PCM-2"", ""Trial-19_PCM-3""]",16.323683975099332,19.171840090412978,17.97242164584091,Error,Error,Error,4.280021171179011,5.429372222201484,5.100408536036248
"Any[""Trial-20_PCM-1"", ""Trial-20_PCM-2"", ""Trial-20_PCM-3""]",15.64808878161688,17.357810683959304,16.247283770432006,Error,Error,Error,2.6279738746942733,4.309406423614318,3.8220430370326
"Any[""Trial-21_PCM-1"", ""Trial-21_PCM-2"", ""Trial-21_PCM-3""]",17.106660427175512,17.354534511754622,17.106660279728896,Error,Error,Error,4.752894819526228,3.1328721769401353,3.1940243569061657
"Any[""Trial-22_PCM-1"", ""Trial-22_PCM-2"", ""Trial-22_PCM-3""]",15.94812863638433,81.13019570031909,18.2573897044548,Error,Error,Error,6.30701961952056,6.0002737646315785,5.287021189474867
"Any[""Trial-23_PCM-1"", ""Trial-23_PCM-2"", ""Trial-23_PCM-3""]",17.981420272423627,20.15753518103534,19.090481822001777,Error,Error,Error,8.377911254535277,7.378837887972987,8.276099379137866
"Any[""Trial-24_PCM-1"", ""Trial-24_PCM-2"", ""Trial-24_PCM-3""]",16.685220654194733,18.307073100474593,16.68522120678738,Error,Error,Error,7.590827699726116,7.7508517570044795,7.167033946590855
"Any[""Trial-25_PCM-1"", ""Trial-25_PCM-2"", ""Trial-25_PCM-3""]",15.210987767209232,17.851969015254124,14.368104728587811,Error,Error,Error,3.058068773767132,2.018221219425052,1.2738118811562877
"Any[""Trial-26_PCM-1"", ""Trial-26_PCM-2"", ""Trial-26_PCM-3""]",14.763320840980793,15.477643400788146,14.815606037196904,Error,Error,Error,4.50111953366275,5.193899689713706,3.6752616653867864
"Any[""Trial-27_PCM-1"", ""Trial-27_PCM-2"", ""Trial-27_PCM-3""]",12.712213081392246,13.909133732000704,13.17553645715374,Error,Error,Error,3.2034284988166206,4.2556636990691254,3.203419658195587
"Any[""Trial-28_PCM-1"", ""Trial-28_PCM-2"", ""Trial-28_PCM-3""]",15.276338602919822,31.64609481919794,15.544895514844802,Error,Error,Error,4.013207007450264,6.142501116306783,4.923288255434453
"Any[""Trial-29_PCM-1"", ""Trial-29_PCM-2"", ""Trial-29_PCM-3""]",14.510139453715361,15.274939820097178,14.606201933494294,Error,Error,Error,4.059177936015149,4.001708999303477,3.9945285866840115
"Any[""Trial-30_PCM-1"", ""Trial-30_PCM-2"", ""Trial-30_PCM-3""]",9.939626184606547,11.81011759421813,10.47375119404309,5.545177780479564,Error,4.394450581394651,0.0,0.16995458211471082,0.0
"Any[""Trial-31_PCM-1"", ""Trial-31_PCM-2"", ""Trial-31_PCM-3""]",19.28212952164721,146.0546918774765,17.805741779236833,Error,Error,Error,4.772393508271281,2.3615452974485702,2.1138366548604473
"Any[""Trial-32_PCM-1"", ""Trial-32_PCM-2"", ""Trial-32_PCM-3""]",15.106694690995493,16.918000280540223,16.936424697061344,Error,Error,Error,3.869517878692383,4.3346130207667715,3.917584727567653
"Any[""Trial-33_PCM-1"", ""Trial-33_PCM-2"", ""Trial-33_PCM-3""]",14.156729023544296,80.16602217084898,13.604788866648812,Error,Error,4.118480232475769,1.328562862012686,0.46580909482318855,0.0
"Any[""Trial-34_PCM-1"", ""Trial-34_PCM-2"", ""Trial-34_PCM-3""]",12.210292341227897,14.272739124783419,13.380167320781073,Error,Error,Error,2.1861726109272936,2.739623176681355,2.174347196153411
"Any[""Trial-35_PCM-1"", ""Trial-35_PCM-2"", ""Trial-35_PCM-3""]",14.692519483782721,16.98066583962835,14.755516239922468,Error,Error,Error,3.519686239346554,6.548909534721029,4.777610848450378
"Any[""Trial-36_PCM-1"", ""Trial-36_PCM-2"", ""Trial-36_PCM-3""]",15.38906996911863,16.557419368617907,16.161659510316586,Error,Error,Error,3.747507301862724,3.2116603198254907,3.133655023543633
"Any[""Trial-37_PCM-1"", ""Trial-37_PCM-2"", ""Trial-37_PCM-3""]",13.94541993600976,80.07313281537115,13.945419809004743,Error,Error,Error,4.27435001553706,4.151262798246503,3.8032167056999597
"Any[""Trial-38_PCM-1"", ""Trial-38_PCM-2"", ""Trial-38_PCM-3""]",17.52810440700462,24.231139789299867,17.90934519939666,Error,Error,Error,5.9666167536019445,6.3766057432379535,4.847762657993316
"Any[""Trial-39_PCM-1"", ""Trial-39_PCM-2"", ""Trial-39_PCM-3""]",16.5153146818056,17.038664880410487,16.73183473898939,Error,Error,Error,6.945850046995432,8.637579271786404,6.840463693269339
"Any[""Trial-40_PCM-1"", ""Trial-40_PCM-2"", ""Trial-40_PCM-3""]",13.481700469581634,14.577402152474459,14.449354551284985,Error,Error,Error,2.600348496829988,3.070087631043359,2.7695793017925707
"Any[""Trial-41_PCM-1"", ""Trial-41_PCM-2"", ""Trial-41_PCM-3""]",13.68442945589959,14.922868959203036,12.95366698603269,Error,Error,Error,3.945400587657881,1.9699034870581702,2.1227883589102046
"Any[""Trial-42_PCM-1"", ""Trial-42_PCM-2"", ""Trial-42_PCM-3""]",16.57253705202841,85.47711602926707,16.848508251594055,Error,Error,Error,4.0092809834497425,4.189761386793209,3.1431920378119313
"Any[""Trial-43_PCM-1"", ""Trial-43_PCM-2"", ""Trial-43_PCM-3""]",15.402316913261512,23.487700922293644,16.440926969165076,Error,Error,Error,2.912950193507727,3.2755361440513044,2.8713575134549805
"Any[""Trial-44_PCM-1"", ""Trial-44_PCM-2"", ""Trial-44_PCM-3""]",12.394357503232964,13.17304459836668,12.532301932118973,Error,Error,Error,2.339355223432804,2.0026628126710433,1.9701216082654103
"Any[""Trial-45_PCM-1"", ""Trial-45_PCM-2"", ""Trial-45_PCM-3""]",16.653348114604192,20.449066623789957,18.92133080762879,Error,Error,Error,4.5722549707594755,8.623253781135826,6.500416410056802
"Any[""Trial-46_PCM-1"", ""Trial-46_PCM-2"", ""Trial-46_PCM-3""]",15.71343574165705,17.815165346288342,16.214088855507597,Error,Error,Error,4.785828505180099,5.81465343497751,5.657856573865073
"Any[""Trial-47_PCM-1"", ""Trial-47_PCM-2"", ""Trial-47_PCM-3""]",17.175275786302617,16.953988806407605,16.641150065493115,Error,Error,Error,3.015085258507388,4.584641870927263,2.735024561222126
"Any[""Trial-48_PCM-1"", ""Trial-48_PCM-2"", ""Trial-48_PCM-3""]",19.149966131128213,20.82621791414946,19.87925177521218,Error,Error,Error,7.472526462395545,7.911120558955622,6.09316561427304
"Any[""Trial-49_PCM-1"", ""Trial-49_PCM-2"", ""Trial-49_PCM-3""]",17.38263018867965,78.38301261998019,17.106662284583,Error,Error,Error,5.270176232162552,5.796233584189345,3.4625850185464495
"Any[""Trial-50_PCM-1"", ""Trial-50_PCM-2"", ""Trial-50_PCM-3""]",14.334073468824453,22.513312126230673,15.517998046586364,Error,Error,Error,3.488804893835203,4.027993810593542,4.027991409248182
"Any[""Trial-51_PCM-1"", ""Trial-51_PCM-2"", ""Trial-51_PCM-3""]",16.319818331474245,81.6034400510294,14.592302383036312,Error,Error,Error,2.7126693226439182,1.9394070876482763,1.496563346906819
"Any[""Trial-52_PCM-1"", ""Trial-52_PCM-2"", ""Trial-52_PCM-3""]",15.527838899419457,83.08105330074237,16.388537459285015,Error,Error,Error,6.944040423709342,7.387525626652389,6.126694190348128
"Any[""Trial-53_PCM-1"", ""Trial-53_PCM-2"", ""Trial-53_PCM-3""]",15.82843364389088,16.164312029722403,14.935861553816393,Error,Error,Error,4.359739475355444,2.436526937078242,1.7275913574679231
"Any[""Trial-54_PCM-1"", ""Trial-54_PCM-2"", ""Trial-54_PCM-3""]",15.051937501760321,15.159060951665136,14.876736459819753,Error,Error,Error,5.622845255553704,8.82679077137449,5.385749177245348
