PCM_Identifiers,entani論文のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,ダミー,,,,,
"Any[""Trial-1_PCM-1"", ""Trial-1_PCM-2"", ""Trial-1_PCM-3""]",14.08654206,13.40340618,13.40340618,,23.8369029,,1,1
"Any[""Trial-2_PCM-1"", ""Trial-2_PCM-2"", ""Trial-2_PCM-3""]",11.30662666,11.30662666,11.52289161,,7.701161877,7.701161877,2,2
"Any[""Trial-3_PCM-1"", ""Trial-3_PCM-2"", ""Trial-3_PCM-3""]",19.72828768,19.72828768,20.16595035,,1.613574102,9.31473598,3,3
"Any[""Trial-4_PCM-1"", ""Trial-4_PCM-2"", ""Trial-4_PCM-3""]",11.2536432,11.2536432,12.40436986,,,10.92831008,4,4
"Any[""Trial-5_PCM-1"", ""Trial-5_PCM-2"", ""Trial-5_PCM-3""]",14.25159735,14.25159735,15.83568024,,,12.54188418,5,5
"Any[""Trial-6_PCM-1"", ""Trial-6_PCM-2"", ""Trial-6_PCM-3""]",16.07121368,16.07121368,16.74512367,,,14.15545829,6,6
"Any[""Trial-7_PCM-1"", ""Trial-7_PCM-2"", ""Trial-7_PCM-3""]",13.14273266,12.14835319,12.14835319,,,15.76903239,7,7
"Any[""Trial-8_PCM-1"", ""Trial-8_PCM-2"", ""Trial-8_PCM-3""]",16.81738103,16.81738103,17.23882355,,,17.38260649,8,8
"Any[""Trial-9_PCM-1"", ""Trial-9_PCM-2"", ""Trial-9_PCM-3""]",14.3393044,14.3393044,15.02670518,,,18.99618059,9,9
"Any[""Trial-10_PCM-1"", ""Trial-10_PCM-2"", ""Trial-10_PCM-3""]",13.11254592,13.11254592,16.19430153,,,20.60975469,10,10
"Any[""Trial-11_PCM-1"", ""Trial-11_PCM-2"", ""Trial-11_PCM-3""]",14.54155898,14.54155898,15.12170233,,,22.2233288,11,11
"Any[""Trial-12_PCM-1"", ""Trial-12_PCM-2"", ""Trial-12_PCM-3""]",12.71221313,12.71221313,15.23507514,,,23.8369029,12,12
"Any[""Trial-13_PCM-1"", ""Trial-13_PCM-2"", ""Trial-13_PCM-3""]",13.18334722,13.18334702,13.18334702,,,,13,13
"Any[""Trial-14_PCM-1"", ""Trial-14_PCM-2"", ""Trial-14_PCM-3""]",15.01693738,13.88752185,13.88752185,,,,14,14
"Any[""Trial-15_PCM-1"", ""Trial-15_PCM-2"", ""Trial-15_PCM-3""]",10.83220107,10.83220107,11.11301676,,,,15,15
"Any[""Trial-16_PCM-1"", ""Trial-16_PCM-2"", ""Trial-16_PCM-3""]",12.27860349,12.27860349,12.31480252,,,,16,16
"Any[""Trial-17_PCM-1"", ""Trial-17_PCM-2"", ""Trial-17_PCM-3""]",14.33407359,14.05810324,14.05810324,,,,17,17
"Any[""Trial-18_PCM-1"", ""Trial-18_PCM-2"", ""Trial-18_PCM-3""]",13.32881806,13.32881806,14.03688285,,,,18,18
"Any[""Trial-19_PCM-1"", ""Trial-19_PCM-2"", ""Trial-19_PCM-3""]",13.55717195,13.55717195,13.97861374,,,,19,19
"Any[""Trial-20_PCM-1"", ""Trial-20_PCM-2"", ""Trial-20_PCM-3""]",8.317766167,8.317766167,9.047051974,,,,20,20
"Any[""Trial-21_PCM-1"", ""Trial-21_PCM-2"", ""Trial-21_PCM-3""]",17.57778374,16.50853633,16.50853633,,,,21,21
"Any[""Trial-22_PCM-1"", ""Trial-22_PCM-2"", ""Trial-22_PCM-3""]",10.78250902,10.78250902,11.51179501,,,,22,22
"Any[""Trial-23_PCM-1"", ""Trial-23_PCM-2"", ""Trial-23_PCM-3""]",14.86819893,14.86819893,17.64078416,,,,23,23
"Any[""Trial-24_PCM-1"", ""Trial-24_PCM-2"", ""Trial-24_PCM-3""]",11.54639314,11.54639314,14.55033989,,,,24,24
"Any[""Trial-25_PCM-1"", ""Trial-25_PCM-2"", ""Trial-25_PCM-3""]",11.44880304,11.44880304,12.55764507,,,,25,25
"Any[""Trial-26_PCM-1"", ""Trial-26_PCM-2"", ""Trial-26_PCM-3""]",16.4900452,16.4900452,18.08714698,,,,26,26
"Any[""Trial-27_PCM-1"", ""Trial-27_PCM-2"", ""Trial-27_PCM-3""]",17.14853974,16.70057366,16.70057366,,,,27,27
"Any[""Trial-28_PCM-1"", ""Trial-28_PCM-2"", ""Trial-28_PCM-3""]",14.68212706,14.68212706,15.01550117,,,,28,28
"Any[""Trial-29_PCM-1"", ""Trial-29_PCM-2"", ""Trial-29_PCM-3""]",13.66352577,13.66352577,14.80451938,,,,29,29
"Any[""Trial-30_PCM-1"", ""Trial-30_PCM-2"", ""Trial-30_PCM-3""]",13.22393898,13.22393898,13.43721219,,,,30,30
"Any[""Trial-31_PCM-1"", ""Trial-31_PCM-2"", ""Trial-31_PCM-3""]",18.12466771,16.18456675,16.18456675,,,,31,
"Any[""Trial-32_PCM-1"", ""Trial-32_PCM-2"", ""Trial-32_PCM-3""]",12.71221559,12.71221559,13.24634051,,,,32,
"Any[""Trial-33_PCM-1"", ""Trial-33_PCM-2"", ""Trial-33_PCM-3""]",16.66242952,16.66242952,17.55156506,,,,33,
"Any[""Trial-34_PCM-1"", ""Trial-34_PCM-2"", ""Trial-34_PCM-3""]",10.47374927,10.47374927,10.92011346,,,,34,
"Any[""Trial-35_PCM-1"", ""Trial-35_PCM-2"", ""Trial-35_PCM-3""]",18.27916953,15.95593611,15.95593611,,,,35,
"Any[""Trial-36_PCM-1"", ""Trial-36_PCM-2"", ""Trial-36_PCM-3""]",13.46772293,13.46772293,17.67208382,,,,36,
"Any[""Trial-37_PCM-1"", ""Trial-37_PCM-2"", ""Trial-37_PCM-3""]",10.78250995,10.78250995,10.83219942,,,,37,
"Any[""Trial-38_PCM-1"", ""Trial-38_PCM-2"", ""Trial-38_PCM-3""]",12.59953074,12.59953074,13.29694129,,,,38,
"Any[""Trial-39_PCM-1"", ""Trial-39_PCM-2"", ""Trial-39_PCM-3""]",18.06125417,18.06125417,20.1575373,,,,39,
"Any[""Trial-40_PCM-1"", ""Trial-40_PCM-2"", ""Trial-40_PCM-3""]",13.35902318,13.35902318,13.97562575,,,,40,
"Any[""Trial-41_PCM-1"", ""Trial-41_PCM-2"", ""Trial-41_PCM-3""]",14.66562435,14.66562435,14.66562461,,,,41,
"Any[""Trial-42_PCM-1"", ""Trial-42_PCM-2"", ""Trial-42_PCM-3""]",13.09138813,13.09138813,14.0759202,,,,42,
"Any[""Trial-43_PCM-1"", ""Trial-43_PCM-2"", ""Trial-43_PCM-3""]",13.87051131,13.87051131,14.05659125,,,,43,
"Any[""Trial-44_PCM-1"", ""Trial-44_PCM-2"", ""Trial-44_PCM-3""]",12.77944456,12.77944456,12.77944469,,,,44,
"Any[""Trial-45_PCM-1"", ""Trial-45_PCM-2"", ""Trial-45_PCM-3""]",19.1690476,19.1690476,19.2542287,,,,45,
"Any[""Trial-46_PCM-1"", ""Trial-46_PCM-2"", ""Trial-46_PCM-3""]",16.57994984,15.73490015,15.73490015,,,,46,
"Any[""Trial-47_PCM-1"", ""Trial-47_PCM-2"", ""Trial-47_PCM-3""]",10.7091127,10.7091127,15.48480024,,,,47,
