Trial,PCM,pcm_1,pcm_2,pcm_3,pcm_4,pcm_5,,w_L,w_U
1,1,1.0,2.0,1.0,1.0,1.0,,0.1562500000000001,0.24999999999999983
1,1,0.5,1.0,1.0,1.0,1.0,,0.12499999999999974,0.21874999999999978
1,1,1.0,1.0,1.0,2.0,3.0,,0.2187499999999996,0.3125000000000001
1,1,1.0,1.0,0.5,1.0,1.0,,0.1562500000000001,0.1562500000000001
1,1,1.0,1.0,0.3333333333333333,1.0,1.0,,0.10416666666666674,0.15625000000000022

1,2,1.0,3.0,1.0,1.0,1.0,,0.22222222222222124,0.25000000000000006
1,2,0.3333333333333333,1.0,1.0,1.0,1.0,,0.08333333333333337,0.22222222222222246
1,2,1.0,1.0,1.0,1.0,2.0,,0.22222222222222224,0.2222222222222224
1,2,1.0,1.0,1.0,1.0,2.0,,0.22222222222222246,0.22222222222222246
1,2,1.0,1.0,0.5,0.5,1.0,,0.11111111111111147,0.22222222222222165

1,3,1.0,2.0,1.0,1.0,1.0,,0.16666666666666546,0.22222222222222235
1,3,0.5,1.0,1.0,1.0,1.0,,0.11111111111111137,0.2222222222222216
1,3,1.0,1.0,1.0,2.0,2.0,,0.22222222222222227,0.33333333333333465
1,3,1.0,1.0,0.5,1.0,1.0,,0.1666666666666658,0.1666666666666658
1,3,1.0,1.0,0.5,1.0,1.0,,0.16666666666666585,0.16666666666666585

2,1,1.0,1.0,1.0,1.0,1.0,,0.19999999999999996,0.20000000000000037
2,1,1.0,1.0,1.0,1.0,1.0,,0.19999999999999973,0.19999999999999973
2,1,1.0,1.0,1.0,1.0,2.0,,0.20000000000000007,0.2666666666666662
2,1,1.0,1.0,1.0,1.0,1.0,,0.20000000000000034,0.20000000000000046
2,1,1.0,1.0,0.5,1.0,1.0,,0.13333333333333325,0.19999999999999996

2,2,1.0,3.0,1.0,1.0,1.0,,0.2307692307692304,0.2307692307692304
2,2,0.3333333333333333,1.0,1.0,1.0,1.0,,0.0769230769230769,0.19230769230769232
2,2,1.0,1.0,1.0,2.0,1.0,,0.19230769230769199,0.2307692307692306
2,2,1.0,1.0,0.5,1.0,2.0,,0.11538461538461597,0.23076923076923098
2,2,1.0,1.0,1.0,0.5,1.0,,0.11538461538461572,0.23076923076923117

2,3,1.0,3.0,1.0,1.0,1.0,,0.23076923076923084,0.23076923076923084
