Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt
9,1,1.0,1.0000000000000002,1.0000000000000002,0.27777777777777823,0.2777777777777779,0.27777777777777796,0.27777777777777796,,,
9,2,0.9117647058823527,0.9705882352941176,1.0312500000000004,0.4117647058823529,0.4242424242424242,0.4117647058823529,0.43750000000000017,,,
9,3,0.9999999999999996,1.0000000000000002,0.9999999999999998,0.3333333333333337,0.33333333333333304,0.3333333333333331,0.333333333333333,0.2091505842973922,,
49,1,0.9230769230769231,0.9615384615384613,1.0416666666666674,0.3846153846153839,0.3999999999999999,0.38461538461538447,0.41666666666666685,,,
49,2,1.0,1.0000000000000002,1.0000000000000002,0.27777777777777823,0.2777777777777779,0.27777777777777796,0.27777777777777796,,,
49,3,0.9230769230769227,0.9615384615384615,1.0416666666666672,0.3846153846153847,0.3999999999999999,0.38461538461538447,0.4166666666666668,0.21367552367521714,,
66,1,1.0,1.0000000000000002,1.0000000000000002,0.27777777777777823,0.2777777777777779,0.27777777777777796,0.27777777777777796,,,
66,2,0.9999999999999997,1.0,1.0000000000000004,0.31111111111111145,0.31111111111111134,0.31111111111111134,0.31111111111111145,,,
66,3,0.9230769230769227,0.9615384615384615,1.0416666666666672,0.3846153846153847,0.3999999999999999,0.38461538461538447,0.4166666666666668,0.21367555367522262,,
73,1,0.9270833333333331,0.9761904761904768,1.0250000000000004,0.3333333333333337,0.3414634146341462,0.3333333333333334,0.35,,,
73,2,0.9230769230769227,0.9615384615384615,1.0416666666666672,0.3846153846153847,0.3999999999999999,0.38461538461538447,0.4166666666666668,,,
73,3,0.9230769230769231,0.9615384615384613,1.0416666666666674,0.3846153846153839,0.3999999999999999,0.38461538461538447,0.41666666666666685,0.03846179846152942,,
125,1,1.0,1.0000000000000002,1.0000000000000002,0.27777777777777823,0.2777777777777779,0.27777777777777796,0.27777777777777796,,,
125,2,0.9230769230769227,0.9615384615384615,1.0416666666666672,0.3846153846153847,0.3999999999999999,0.38461538461538447,0.4166666666666668,,,
125,3,0.9999999999999998,1.0,1.0000000000000002,0.31111111111111156,0.311111111111111,0.311111111111111,0.31111111111111106,0.2136755236752217,,
133,1,0.9444444444444445,1.0000000000000004,1.0000000000000004,0.3333333333333328,0.33333333333333415,0.3333333333333343,0.3333333333333343,,,
133,2,1.0,1.0000000000000002,1.0000000000000004,0.22222222222222177,0.2222222222222221,0.22222222222222215,0.2222222222222222,,,
133,3,0.9999999999999996,1.0,1.0000000000000004,0.31111111111111145,0.31111111111111134,0.31111111111111134,0.31111111111111145,0.22222224628472254,,
149,1,0.9444444444444444,0.9444444444444446,1.0625000000000002,0.3333333333333326,0.35294117647058876,0.33333333333333387,0.3750000000000006,,,
149,2,1.0,1.0000000000000002,1.0000000000000004,0.22222222222222177,0.2222222222222221,0.22222222222222215,0.2222222222222222,,,
149,3,0.9444444444444445,1.0000000000000004,1.0000000000000004,0.3333333333333328,0.33333333333333415,0.3333333333333343,0.3333333333333343,0.22222223972222122,,
171,1,0.9117647058823527,0.9705882352941176,1.0312500000000004,0.4117647058823529,0.4242424242424242,0.4117647058823529,0.43750000000000017,,,
171,2,0.9999999999999997,1.0,1.0000000000000004,0.31111111111111145,0.31111111111111134,0.31111111111111134,0.31111111111111145,,,
171,3,0.9117647058823527,0.9705882352941179,1.0312499999999998,0.4117647058823529,0.4242424242424243,0.4117647058823531,0.4375,0.20915082429739884,,
289,1,1.0,0.9999999999999998,1.0000000000000002,0.27777777777777823,0.2777777777777777,0.2777777777777776,0.27777777777777773,,,
289,2,0.9999999999999996,1.0,1.0000000000000004,0.31111111111111145,0.31111111111111134,0.31111111111111134,0.31111111111111145,,,
289,3,0.9230769230769227,0.9615384615384615,1.0416666666666672,0.3846153846153847,0.3999999999999999,0.38461538461538447,0.4166666666666668,0.21367555367522262,,
379,1,0.9230769230769227,0.9615384615384615,1.0416666666666672,0.3846153846153847,0.3999999999999999,0.38461538461538447,0.4166666666666668,,,
379,2,0.9999999999999999,1.0000000000000002,1.0,0.24,0.23999999999999977,0.23999999999999982,0.23999999999999977,,,
379,3,0.9230769230769227,0.9615384615384615,1.0416666666666672,0.3846153846153847,0.3999999999999999,0.38461538461538447,0.4166666666666668,2.371428569070133e-7,,
384,1,0.9230769230769231,0.9615384615384613,1.0416666666666674,0.3846153846153839,0.3999999999999999,0.38461538461538447,0.41666666666666685,,,
384,2,1.0,1.0000000000000002,1.0000000000000002,0.27777777777777823,0.2777777777777779,0.27777777777777796,0.27777777777777796,,,
384,3,0.9999999999999996,1.0,1.0000000000000004,0.31111111111111145,0.31111111111111134,0.31111111111111134,0.31111111111111145,0.21367552367521014,,
396,1,0.9230769230769227,0.9615384615384615,1.0416666666666672,0.3846153846153847,0.3999999999999999,0.38461538461538447,0.4166666666666668,,,
396,2,1.0,0.9999999999999998,1.0000000000000002,0.27777777777777823,0.2777777777777777,0.2777777777777776,0.27777777777777773,,,
396,3,0.9230769230769231,0.9615384615384613,1.0416666666666674,0.3846153846153839,0.3999999999999999,0.38461538461538447,0.41666666666666685,0.21367552367522025,,
446,1,0.9230769230769231,0.9615384615384613,1.0416666666666674,0.3846153846153839,0.3999999999999999,0.38461538461538447,0.41666666666666685,,,
446,2,0.9230769230769227,0.9615384615384615,1.0416666666666672,0.3846153846153847,0.3999999999999999,0.38461538461538447,0.4166666666666668,,,
446,3,0.9999999999999979,1.0000000000000002,1.0000000000000002,0.2777777777777777,0.2777777777777778,0.27777777777777785,0.27777777777777785,0.2136755236752036,,
559,1,0.9999999999999979,1.0000000000000002,1.0000000000000002,0.2777777777777777,0.2777777777777778,0.27777777777777785,0.27777777777777785,,,
559,2,0.9999999999999997,1.0,1.0000000000000004,0.31111111111111145,0.31111111111111134,0.31111111111111134,0.31111111111111145,,,
559,3,0.9230769230769231,0.9615384615384613,1.0416666666666674,0.3846153846153839,0.3999999999999999,0.38461538461538447,0.41666666666666685,3.39999991383344e-7,,
635,1,0.9230769230769227,0.9615384615384615,1.0416666666666672,0.3846153846153847,0.3999999999999999,0.38461538461538447,0.4166666666666668,,,
635,2,0.9999999999999997,1.0,1.0000000000000004,0.31111111111111145,0.31111111111111134,0.31111111111111134,0.31111111111111145,,,
635,3,1.0,1.0000000000000002,1.0000000000000002,0.27777777777777823,0.2777777777777779,0.27777777777777796,0.27777777777777796,0.2136755236752217,,
674,1,1.0,1.0000000000000002,1.0000000000000002,0.27777777777777823,0.2777777777777779,0.27777777777777796,0.27777777777777796,,,
674,2,0.9117647058823527,0.9705882352941176,1.0312500000000004,0.4117647058823529,0.4242424242424242,0.4117647058823529,0.43750000000000017,,,
674,3,0.9999999999999997,1.0,1.0000000000000004,0.31111111111111145,0.31111111111111134,0.31111111111111134,0.31111111111111145,0.2091505842973922,,
685,1,1.0,1.0000000000000002,1.0000000000000002,0.27777777777777823,0.2777777777777779,0.27777777777777796,0.27777777777777796,,,
685,2,0.9999999999999996,1.0000000000000002,0.9999999999999998,0.3333333333333337,0.33333333333333304,0.3333333333333331,0.333333333333333,,,
685,3,0.9230769230769227,0.9615384615384615,1.0416666666666672,0.3846153846153847,0.3999999999999999,0.38461538461538447,0.4166666666666668,0.2136755236752217,,
718,1,0.9230769230769227,0.9615384615384615,1.0416666666666672,0.3846153846153847,0.3999999999999999,0.38461538461538447,0.4166666666666668,,,
718,2,1.0,1.0000000000000002,1.0000000000000002,0.27777777777777823,0.2777777777777779,0.27777777777777796,0.27777777777777796,,,
718,3,1.0,1.0000000000000002,1.0000000000000002,0.27777777777777823,0.2777777777777779,0.27777777777777796,0.27777777777777796,0.2136755236752217,,
763,1,1.0,1.0000000000000002,1.0000000000000002,0.27777777777777823,0.2777777777777779,0.27777777777777796,0.27777777777777796,,,
763,2,0.9230769230769231,0.9615384615384613,1.0416666666666674,0.3846153846153839,0.3999999999999999,0.38461538461538447,0.41666666666666685,,,
763,3,0.9999999999999999,1.0,1.0000000000000002,0.33333333333333304,0.33333333333333337,0.33333333333333337,0.3333333333333334,0.1880343680341845,,
791,1,1.0,1.0,1.0000000000000007,0.2777777777777778,0.277777777777778,0.277777777777778,0.2777777777777782,,,
791,2,0.9444444444444445,1.0000000000000004,1.0000000000000004,0.3333333333333328,0.33333333333333415,0.3333333333333343,0.3333333333333343,,,
791,3,1.0,1.0,1.0000000000000007,0.2777777777777778,0.277777777777778,0.277777777777778,0.2777777777777782,0.22222224472222152,,
923,1,0.9500000000000013,1.0000000000000009,0.9999999999999991,0.29999999999999816,0.2999999999999997,0.3,0.29999999999999943,,,
923,2,0.9230769230769227,0.9615384615384615,1.0416666666666672,0.3846153846153847,0.3999999999999999,0.38461538461538447,0.4166666666666668,,,
