Trial,Feasibility
1,true
2,true
3,true
4,true
5,true
9,true
10,true
11,true
12,true
14,true
16,true
17,true
18,true
19,true
21,true
22,true
23,true
24,true
25,true
26,true
27,true
28,true
29,true
34,true
36,true
37,true
38,true
39,true
40,true
41,true
42,true
43,true
44,true
47,true
49,true
50,true
51,true
52,true
55,true
56,true
57,true
59,true
62,true
63,true
66,true
67,true
68,true
70,true
71,true
72,true
75,true
76,true
77,true
79,true
80,true
82,true
83,true
85,true
86,true
87,true
88,true
90,true
91,true
93,true
94,true
95,true
96,true
97,true
99,true
100,true
101,true
102,true
105,true
106,true
107,true
108,true
110,true
111,true
114,true
116,true
118,true
119,true
120,true
121,true
122,true
123,true
124,true
125,true
128,true
133,true
134,true
137,true
140,true
141,true
143,true
144,true
147,true
148,true
151,true
154,true
155,true
156,true
157,true
159,true
160,true
163,true
164,true
167,true
168,true
169,true
170,true
172,true
173,true
176,true
177,true
180,true
183,true
184,true
188,true
193,true
195,true
199,true
200,true
203,true
206,true
208,true
209,true
210,true
211,true
212,true
216,true
217,true
220,true
221,true
222,true
225,true
226,true
229,true
230,true
232,true
234,true
235,true
236,true
238,true
239,true
241,true
243,true
245,true
246,true
248,true
249,true
251,true
255,true
257,true
258,true
259,true
261,true
263,true
264,true
265,true
266,true
268,true
271,true
272,true
277,true
279,true
280,true
287,true
290,true
291,true
294,true
295,true
296,true
297,true
298,true
302,true
303,true
304,true
308,true
309,true
310,true
311,true
313,true
316,true
319,true
320,true
321,true
323,true
324,true
326,true
327,true
328,true
329,true
331,true
332,true
333,true
335,true
336,true
337,true
338,true
341,true
342,true
343,true
344,true
347,true
349,true
353,true
354,true
355,true
357,true
358,true
359,true
361,true
362,true
363,true
366,true
367,true
369,true
370,true
371,true
372,true
375,true
376,true
378,true
380,true
381,true
383,true
385,true
386,true
387,true
389,true
390,true
391,true
392,true
393,true
394,true
395,true
396,true
397,true
398,true
400,true
401,true
402,true
403,true
405,true
406,true
408,true
409,true
410,true
411,true
412,true
414,true
415,true
416,true
417,true
419,true
420,true
421,true
425,true
429,true
430,true
431,true
432,true
435,true
439,true
440,true
442,true
444,true
446,true
448,true
451,true
452,true
454,true
455,true
456,true
457,true
462,true
464,true
469,true
471,true
472,true
473,true
474,true
475,true
476,true
478,true
480,true
484,true
485,true
488,true
489,true
492,true
494,true
496,true
498,true
499,true
500,true
502,true
503,true
504,true
505,true
510,true
511,true
512,true
513,true
514,true
516,true
517,true
519,true
521,true
522,true
523,true
525,true
526,true
531,true
532,true
534,true
535,true
536,true
538,true
539,true
541,true
542,true
543,true
544,true
546,true
547,true
548,true
549,true
551,true
552,true
553,true
554,true
555,true
556,true
557,true
558,true
559,true
560,true
561,true
562,true
564,true
565,true
566,true
567,true
568,true
569,true
570,true
572,true
575,true
578,true
580,true
581,true
584,true
587,true
588,true
590,true
592,true
593,true
594,true
596,true
597,true
599,true
601,true
602,true
603,true
608,true
611,true
612,true
614,true
615,true
616,true
617,true
618,true
621,true
622,true
623,true
624,true
625,true
628,true
629,true
631,true
634,true
636,true
637,true
640,true
641,true
644,true
645,true
646,true
647,true
650,true
651,true
653,true
654,true
655,true
656,true
662,true
665,true
666,true
670,true
671,true
672,true
673,true
674,true
675,true
676,true
678,true
681,true
682,true
685,true
688,true
690,true
692,true
693,true
694,true
695,true
696,true
698,true
700,true
702,true
703,true
707,true
708,true
709,true
710,true
712,true
713,true
714,true
716,true
717,true
718,true
719,true
721,true
722,true
723,true
726,true
728,true
729,true
730,true
731,true
732,true
733,true
734,true
736,true
737,true
738,true
739,true
741,true
742,true
743,true
745,true
747,true
748,true
749,true
750,true
751,true
752,true
753,true
755,true
757,true
759,true
762,true
765,true
767,true
769,true
770,true
773,true
774,true
775,true
776,true
777,true
779,true
780,true
783,true
784,true
786,true
788,true
789,true
791,true
792,true
793,true
794,true
797,true
802,true
803,true
804,true
805,true
806,true
807,true
810,true
812,true
813,true
815,true
816,true
817,true
818,true
820,true
824,true
826,true
827,true
831,true
833,true
834,true
837,true
838,true
839,true
840,true
842,true
843,true
844,true
845,true
847,true
848,true
849,true
850,true
853,true
855,true
856,true
857,true
859,true
860,true
864,true
865,true
866,true
867,true
869,true
870,true
872,true
874,true
875,true
876,true
877,true
878,true
880,true
882,true
884,true
885,true
886,true
887,true
888,true
889,true
891,true
892,true
893,true
895,true
899,true
900,true
902,true
904,true
905,true
907,true
908,true
912,true
913,true
915,true
918,true
919,true
920,true
921,true
922,true
925,true
926,true
929,true
931,true
932,true
934,true
936,true
937,true
938,true
939,true
940,true
943,true
944,true
945,true
948,true
949,true
951,true
952,true
954,true
955,true
956,true
957,true
960,true
961,true
963,true
964,true
966,true
967,true
968,true
969,true
970,true
971,true
975,true
976,true
977,true
979,true
980,true
982,true
983,true
984,true
986,true
987,true
989,true
991,true
992,true
995,true
996,true
998,true
