Trial,entani論文のCommonGround_wᴸ,解の非唯一性考慮のCommonGround_wᴸ,entani論文のCommonGround_wᵁ,解の非唯一性考慮のCommonGround_wᵁ,entani論文のCommonGround_wᴸ_1,解の非唯一性考慮のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ_1,解の非唯一性考慮のCommonGround_wᵁ_1,entani論文のCommonGround_wᴸ_2,解の非唯一性考慮のCommonGround_wᴸ_2,entani論文のCommonGround_wᵁ_2,解の非唯一性考慮のCommonGround_wᵁ_2,entani論文のCommonGround_wᴸ_3,解の非唯一性考慮のCommonGround_wᴸ_3,entani論文のCommonGround_wᵁ_3,解の非唯一性考慮のCommonGround_wᵁ_3
1,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
2,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
3,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
4,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
5,"[0.22222222222222224, 0.2222221972222237, 0.22222222222222224, 0.22222222222222224, 0.11111111111111112]","[0.22222222293552799, 0.22222219159293494, 0.22222221838305903, 0.22222221838305903, 0.11111111146776399]","[0.2222222372222212, 0.22222222222222224, 0.22222222472222225, 0.22222222222222224, 0.1111111186111106]","[0.22222223472565206, 0.22222221838305903, 0.22222222293552799, 0.22222222293552799, 0.11111111736282603]","[0.22222220722222144, 0.06666666916666682, 0.22222222222222224, 0.22222222222222224, 0.11111111111111112]","[0.22222222293552799, 0.06666666623868321, 0.22222220311630542, 0.22222221838305903, 0.11111111146776399]","[0.26666667666666727, 0.22222222222222224, 0.22222222472222225, 0.22222222222222224, 0.22222220722222144]","[0.26666666495473285, 0.22222220311630542, 0.22222222293552799, 0.22222222293552799, 0.22222222293552799]","[0.2222221972222237, 0.1111111186111106, 0.22222222222222224, 0.22222222222222224, 0.11111111111111112]","[0.22222222293552799, 0.11111111736282603, 0.22222221838305903, 0.22222221838305903, 0.11111111146776399]","[0.2222222372222212, 0.22222222222222224, 0.22222222472222225, 0.22222222222222224, 0.2222221972222237]","[0.22222223472565206, 0.22222221838305903, 0.22222222293552799, 0.22222222293552799, 0.22222222293552799]","[0.22222222222222224, 0.1111111186111106, 0.22222222222222224, 0.1666666516666677, 0.11111110111111179]","[0.22222222293552799, 0.11111111736282603, 0.22222221838305903, 0.16666666720164597, 0.11111111146776399]","[0.2222222372222212, 0.22222222222222224, 0.3333333033333354, 0.22222222222222224, 0.1111111186111106]","[0.22222223472565206, 0.22222221838305903, 0.33333333440329194, 0.22222222293552799, 0.11111111736282603]"
6,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
7,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
8,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
9,"[0.23529410514705887, 0.09803912568627199, 0.2222222122222218, 0.2222222122222218, 0.11764705257352943]",E,"[0.23529414764705875, 0.20261441783496806, 0.22222224222222312, 0.22222224222222312, 0.22222224222222312]",r,"[0.22222224222222312, 0.08333331833333264, 0.2222222122222218, 0.2222222122222218, 0.11111112111111156]",E,"[0.24999995499999794, 0.2222222122222218, 0.22222224222222312, 0.22222224222222312, 0.22222224222222312]",r,"[0.23529410514705887, 0.05882353691176469, 0.20261441783496806, 0.11764705257352943, 0.11764705257352943]",E,"[0.23529414764705875, 0.20261441783496806, 0.23529410514705887, 0.23529410514705887, 0.23529410514705887]",r,"[0.22222224222222312, 0.05337690173474916, 0.22004355840141546, 0.22004355840141546, 0.11764705257352943]",E,"[0.2668845086737458, 0.22004355840141546, 0.22222224222222312, 0.23529410514705887, 0.22222224222222312]",r
10,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
