Trial,entani論文のCommonGround_wᴸ,解の非唯一性考慮のCommonGround_wᴸ,entani論文のCommonGround_wᵁ,解の非唯一性考慮のCommonGround_wᵁ,entani論文のCommonGround_wᴸ_1,解の非唯一性考慮のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ_1,解の非唯一性考慮のCommonGround_wᵁ_1,entani論文のCommonGround_wᴸ_2,解の非唯一性考慮のCommonGround_wᴸ_2,entani論文のCommonGround_wᵁ_2,解の非唯一性考慮のCommonGround_wᵁ_2,entani論文のCommonGround_wᴸ_3,解の非唯一性考慮のCommonGround_wᴸ_3,entani論文のCommonGround_wᵁ_3,解の非唯一性考慮のCommonGround_wᵁ_3
1,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
2,E,"[0.23076924362637372, 0.1410256303113552, 0.23076924362637372, 0.23076922505494502, 0.11538462181318686]",r,"[0.23076927896291605, 0.14102568421932637, 0.23076924362637372, 0.23076924362637372, 0.11538462181318686]",E,"[0.23076924362637372, 0.11538463948145802, 0.23076924362637372, 0.17307693271978028, 0.11538462181318686]",r,"[0.23076927896291605, 0.23076924362637372, 0.34615386543956056, 0.23076924362637372, 0.11538462181318686]",E,"[0.23076924362637372, 0.13461537818681313, 0.23076921840249334, 0.23076921840249334, 0.07692308120879124]",r,"[0.26923075637362626, 0.23076921840249334, 0.23076924362637372, 0.23076924362637372, 0.13461537818681313]",E,"[0.23076924362637372, 0.1410256303113552, 0.23076922505494502, 0.23076922505494502, 0.07692308120879124]",r,"[0.2820512606227104, 0.23076922505494502, 0.23076924362637372, 0.23076924362637372, 0.11538462181318686]"
3,E,"[0.2307692436263738, 0.14102563031135515, 0.23076921905494546, 0.230769225054945, 0.07692308120879127]",r,"[0.23076924496565948, 0.17948721539789358, 0.2307692436263738, 0.2307692436263738, 0.1153846218131869]",E,"[0.2307692436263738, 0.06153845382417573, 0.23076921905494546, 0.23076922805494474, 0.07692308120879127]",r,"[0.2461538152967029, 0.23076922805494474, 0.2307692436263738, 0.2307692436263738, 0.2307692436263738]",E,"[0.2307692436263738, 0.14102563031135515, 0.230769225054945, 0.230769225054945, 0.07692308120879127]",r,"[0.2820512606227103, 0.230769225054945, 0.2307692436263738, 0.2307692436263738, 0.1153846218131869]",E,"[0.2307692436263738, 0.07692308165521984, 0.23076921905494546, 0.19230770302197817, 0.07692308120879127]",r,"[0.23076924496565948, 0.23076921905494546, 0.38461540604395633, 0.2307692436263738, 0.1153846218131869]"
4,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
5,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
6,E,"[0.2608695674396135, 0.1304347750150965, 0.26086956743961354, 0.13043478371980677, 0.08695651396135262]",r,"[0.26086956743961354, 0.26086956743961354, 0.26086956743961354, 0.2608695674396135, 0.13043478371980674]",E,"[0.2608695674396135, 0.0869565141455315, 0.26086956743961354, 0.13043478371980677, 0.06521739185990337]",r,"[0.26086956743961354, 0.26086956743961354, 0.26086956743961354, 0.2608695674396135, 0.13043478371980674]",E,"[0.2608695674396135, 0.08695652247987118, 0.26086956743961354, 0.13043478371980677, 0.08695651396135262]",r,"[0.26086956743961354, 0.26086956743961354, 0.26086956743961354, 0.2608695674396135, 0.13043478371980674]",E,"[0.2608695674396135, 0.1304347750150965, 0.26086956743961354, 0.13043478371980677, 0.06521739185990337]",r,"[0.26086956743961354, 0.26086956743961354, 0.26086956743961354, 0.2608695674396135, 0.13043478371980674]"
7,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
8,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
9,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
10,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
