Trial,entani論文のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,解の非唯一性考慮のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,解の非唯一性考慮のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_wᵁ_1,解の非唯一性考慮のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᴸ_2,解の非唯一性考慮のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_2,entani論文のPartialIncorporation_wᴸ_3,解の非唯一性考慮のPartialIncorporation_wᴸ_3,entani論文のPartialIncorporation_wᵁ_3,解の非唯一性考慮のPartialIncorporation_wᵁ_3,entani論文のPartialIncorporation_Ŵ,解の非唯一性考慮のPartialIncorporation_Ŵ
1,"[0.238095278095239, 0.23809522559523785, 0.2380952255952378, 0.16000010666666803, 0.04761904511904756]","[0.2380952380952381, 0.2380952480952374, 0.2380952380952381, 0.15873024828703083, 0.04761904761904762]","[0.27238083488095094, 0.2600000066666667, 0.2600000066666667, 0.23809522559523838, 0.04761904511904756]","[0.2380952380952381, 0.2380952480952374, 0.31746021790344603, 0.2380952280952388, 0.04761904761904762]","[0.16000010666666803, 0.13999992666666575, 0.2600000066666667, 0.13000000333333336, 0.04000002666666701]","[0.15873024828703083, 0.15873010895172301, 0.31746021790344603, 0.15873010895172301, 0.03968256207175771]","[0.2799998533333315, 0.2600000066666667, 0.2600000066666667, 0.16000010666666803, 0.16000010666666803]","[0.31746021790344603, 0.31746021790344603, 0.31746021790344603, 0.15873024828703083, 0.15873024828703083]","[0.16666663166666593, 0.1190476390476195, 0.2380952255952378, 0.2380952255952378, 0.04761904511904756]","[0.202380957380952, 0.11904761904761905, 0.2380952380952381, 0.2380952280952388, 0.04761904761904762]","[0.238095278095239, 0.2380952255952378, 0.2380952255952378, 0.2380952255952378, 0.16666663166666593]","[0.2380952380952381, 0.2380952380952381, 0.2380952380952381, 0.2380952380952381, 0.202380957380952]","[0.16666663166666734, 0.11904763904761861, 0.23809522559523838, 0.23809522559523838, 0.04761904511904767]","[0.20238095738094894, 0.11904762904761829, 0.2380952280952388, 0.2380952280952388, 0.04761904761904762]","[0.23809527809523723, 0.23809522559523838, 0.23809522559523838, 0.23809522559523838, 0.16666663166666734]","[0.23809525809523657, 0.2380952280952388, 0.2380952380952381, 0.2380952280952388, 0.20238095738094894]","[[0.27238083488095094, 0.2600000066666667, 0.2600000066666667, 0.16000010666666803, 0.04761904511904756], [0.238095278095239, 0.23809522559523785, 0.2380952255952378, 0.2380952255952378, 0.04761904511904756], [0.23809527809523787, 0.23809522559523785, 0.23809522559523838, 0.23809522559523838, 0.04761904511904756]]","[[0.2380952380952381, 0.2380952480952374, 0.31746021790344603, 0.15873024828703083, 0.04761904761904762], [0.2380952380952381, 0.2380952480952374, 0.2380952380952381, 0.2380952280952388, 0.04761904761904762], [0.2380952380952381, 0.2380952480952374, 0.2380952380952381, 0.2380952280952388, 0.047619047619047505]]"
2,"[0.22222224222222087, 0.1965812465811967, 0.23076921576923043, 0.22222224222222087, 0.11111109111111245]","[0.23076921965811995, 0.192307763258261, 0.23076922129554667, 0.23076922129554667, 0.1153845744925257]","[0.23076922326923027, 0.19658125408119642, 0.24786317036324945, 0.23076922326923027, 0.11111109111111245]","[0.23076921965811995, 0.192307763258261, 0.23076922129554667, 0.23076922129554667, 0.1153845744925257]","[0.22222224222222087, 0.11111112111111043, 0.22222219722222392, 0.16666663666666867, 0.11111109111111245]","[0.23076921965811992, 0.11538460982905996, 0.23076921965811992, 0.17307686173878856, 0.1153845744925257]","[0.22222224222222087, 0.22222219722222392, 0.33333327333333734, 0.22222224222222087, 0.11111112111111043]","[0.23076921965811992, 0.23076921965811992, 0.3461537234775771, 0.23076921965811992, 0.11538460982905996]","[0.23076922326923027, 0.13461538836538484, 0.23076922326923027, 0.23076922326923027, 0.07692307442307676]","[0.23076921965811995, 0.134615382948718, 0.23076923410256403, 0.23076923410256403, 0.076923078034188]","[0.26923077673076967, 0.23076922326923027, 0.23076922326923027, 0.2307692232692303, 0.13461538836538484]","[0.269230765897436, 0.23076923410256403, 0.23076923410256403, 0.23076923410256403, 0.134615382948718]","[0.23076921576923043, 0.1410256535256413, 0.23076921576923043, 0.23076921576923043, 0.0769230719230768]","[0.23076922129554667, 0.1410256489203778, 0.23076922129554667, 0.23076922129554667, 0.07692307376518222]","[0.2820513070512826, 0.23076921576923043, 0.23076921576923043, 0.23076921576923043, 0.11538460788461521]","[0.2820512978407556, 0.23076922129554667, 0.23076922129554667, 0.23076922129554667, 0.11538461064777333]","[[0.22222224222222087, 0.19658125408119642, 0.24786317036324945, 0.22222224222222087, 0.11111109111111245], [0.23076922326923027, 0.1965812465811967, 0.23076921576923043, 0.23076922326923027, 0.11111109111111245], [0.23076922326923027, 0.19658125408119642, 0.23076921576923043, 0.23076921576923043, 0.11111109111111245]]","[[0.23076921965811992, 0.192307763258261, 0.23076922129554667, 0.23076922129554667, 0.1153845744925257], [0.23076921965811995, 0.192307763258261, 0.23076922129554667, 0.23076922129554672, 0.1153845744925257], [0.23076921965811995, 0.192307763258261, 0.23076922129554667, 0.23076922129554667, 0.11538457449252576]]"
3,"[0.22222225380117008, 0.2222221827485374, 0.2307692219457017, 0.22222225380117006, 0.0854701514143576]","[0.2307692254120879, 0.2307692254120879, 0.2307692254120879, 0.2307692254120879, 0.07692309835164811]","[0.2307692219457017, 0.2222221827485374, 0.24786314588182512, 0.23076922194570162, 0.08547016376729727]","[0.2307692254120879, 0.23076922541208805, 0.2307692254120879, 0.2307692254120879, 0.07692309835164811]","[0.2307692219457017, 0.061538466832579, 0.23076922194570162, 0.23076922194570162, 0.07692307398190054]","[0.2307692254120879, 0.061538464752747254, 0.2307692254120879, 0.2307692254120879, 0.07692307513736264]","[0.246153867330316, 0.23076922194570162, 0.2307692219457017, 0.23076922194570162, 0.2307692219457017]","[0.24615385901098902, 0.2307692254120879, 0.2307692254120879, 0.2307692254120879, 0.2307692254120879]","[0.23076921576923176, 0.14102565352564017, 0.23076921576923176, 0.23076921576923176, 0.07692307192307725]","[0.23076922129554653, 0.14102564892037786, 0.23076922129554653, 0.23076922129554653, 0.07692307376518218]","[0.28205130705128034, 0.23076921576923176, 0.23076921576923176, 0.23076921576923176, 0.11538460788461588]","[0.2820512978407557, 0.23076922129554653, 0.23076922129554653, 0.23076922129554653, 0.11538461064777326]","[0.22222225380117006, 0.07407408460039003, 0.2222221827485374, 0.1851851404483424, 0.07407405617933696]","[0.2307692254120879, 0.07692307513736264, 0.2307692254120879, 0.19230750212919154, 0.07692300085167662]","[0.22222225380117008, 0.2222221827485374, 0.3703702808966848, 0.22222225380117006, 0.11111112690058503]","[0.2307692254120879, 0.2307692254120879, 0.3846150042583831, 0.2307692254120879, 0.11538461270604396]","[[0.2307692219457017, 0.2222221827485374, 0.2307692219457017, 0.23076922194570162, 0.0854701514143576], [0.2307692219457017, 0.2222221827485374, 0.23076921576923176, 0.23076921576923176, 0.08547016376729727], [0.22222225380117008, 0.2222221827485374, 0.24786314588182512, 0.22222225380117006, 0.08547016376729727]]","[[0.2307692254120879, 0.23076922541208805, 0.2307692254120879, 0.2307692254120879, 0.07692309835164811], [0.2307692254120879, 0.2307692254120879, 0.2307692254120879, 0.23076922541208805, 0.07692309835164811], [0.2307692254120879, 0.2307692254120879, 0.2307692254120879, 0.2307692254120879, 0.07692309835164833]]"
4,"[0.2500000100000001, 0.1442306942307634, 0.23076932076923662, 0.2307693207692366, 0.12068967017241325]","[0.24999999652173927, 0.14423069836120314, 0.23076932076923182, 0.23076932076923182, 0.12068967017241448]","[0.2523210149071681, 0.1611403518876921, 0.24999998333333318, 0.2413793103448276, 0.12499999166666659]","[0.26923066531772466, 0.14423069836120314, 0.24999998956521716, 0.24137931034482762, 0.12499999478260858]","[0.2307693207692366, 0.1346153396153817, 0.2307691907692282, 0.2307691907692282, 0.07692310692307887]","[0.2307693207692318, 0.13461533961538408, 0.2307691907692303, 0.2307691907692303, 0.07692310692307726]","[0.2692306792307634, 0.2307691907692282, 0.23076932076923662, 0.2307693207692366, 0.1346153396153817]","[0.26923067923076816, 0.2307691907692303, 0.2307693207692318, 0.2307693207692318, 0.13461533961538408]","[0.2413793103448276, 0.13218390304597727, 0.2413793103448276, 0.2413793103448273, 0.03448275862068961]","[0.24137931034482762, 0.13218390304597674, 0.24137931034482762, 0.24137931034482762, 0.03448275862068966]","[0.26436780609195454, 0.2413793103448276, 0.2413793103448276, 0.2413793103448273, 0.12068967017241325]","[0.2643678060919535, 0.24137931034482762, 0.24137931034482762, 0.24137931034482762, 0.12068967017241448]","[0.24999998333333318, 0.12500000500000005, 0.24999998333333318, 0.12500000500000005, 0.12499999166666659]","[0.24999999652173927, 0.12499999826086963, 0.24999998956521716, 0.12500000521739113, 0.12499999478260858]","[0.2500000100000001, 0.24999998333333318, 0.2500000100000001, 0.24999998333333318, 0.12499999166666659]","[0.24999999652173927, 0.24999998956521716, 0.25000001043478226, 0.24999999652173927, 0.12499999826086963]","[[0.2523210149071681, 0.1611403518876921, 0.23076932076923662, 0.2307693207692366, 0.12499999166666659], [0.2523210149071681, 0.1442306942307634, 0.2413793103448276, 0.2413793103448276, 0.12068967017241325], [0.2500000100000001, 0.1442306942307634, 0.24999998333333318, 0.2307693207692366, 0.12499999166666659]]","[[0.26923066531772466, 0.14423069836120314, 0.23076932076923182, 0.23076932076923182, 0.12499999478260858], [0.2523210107767271, 0.14423069836120314, 0.24137931034482762, 0.24137931034482762, 0.12068967017241448], [0.24999999652173927, 0.14423069836120314, 0.24999998956521716, 0.23076932076923182, 0.12499999478260858]]"
5,"[0.24999998666666684, 0.16666671999999932, 0.22222224722222159, 0.2222222222222222, 0.11111111111111112]","[0.2500000075078126, 0.1666666816822919, 0.22222224722222245, 0.22222222222222215, 0.11111111111111113]","[0.2606837319658131, 0.18376068747863192, 0.2499999600000004, 0.23076921846153822, 0.11111111111111112]","[0.2666666466666666, 0.1777777727777779, 0.24999997747656225, 0.23076921846153797, 0.11111111111111113]","[0.22222222222222224, 0.0666666616666668, 0.22222222222222224, 0.2222222222222222, 0.11111111111111112]","[0.22222222222222215, 0.06666666166666665, 0.22222222222222215, 0.22222222222222215, 0.11111111111111113]","[0.2666666466666672, 0.22222222222222224, 0.22222224722222159, 0.2222222222222222, 0.22222222222222224]","[0.2666666466666666, 0.22222222222222227, 0.22222224722222245, 0.22222222222222215, 0.22222222222222215]","[0.23076925846153898, 0.10576921346153816, 0.23076921846153822, 0.23076921846153822, 0.07692308615384633]","[0.23076925846153953, 0.1057692134615378, 0.23076921846153797, 0.23076921846153797, 0.0769230861538465]","[0.31730764038461445, 0.23076921846153822, 0.23076925846153898, 0.23076925846153898, 0.11538462923076949]","[0.3173076403846134, 0.23076921846153797, 0.23076925846153953, 0.23076925846153953, 0.11538462923076977]","[0.2499999866666668, 0.12499999333333342, 0.2499999600000004, 0.12500001999999977, 0.0624999966666667]","[0.2500000075078126, 0.1250000037539063, 0.24999997747656225, 0.1250000037539063, 0.06250000187695315]","[0.24999998666666684, 0.2499999600000004, 0.25000003999999953, 0.2499999866666668, 0.1249999933333334]","[0.2500000075078126, 0.24999997747656225, 0.2500000075078126, 0.2500000075078126, 0.1250000037539063]","[[0.2606837319658131, 0.18376068747863192, 0.22222224722222159, 0.2222222222222222, 0.11111111111111112], [0.2606837319658131, 0.16666671999999932, 0.23076921846153822, 0.23076921846153822, 0.11111111111111112], [0.24999998666666684, 0.16666671999999932, 0.2499999600000004, 0.2222222222222222, 0.11111111111111112]]","[[0.2666666466666666, 0.1777777727777779, 0.22222224722222245, 0.22222222222222215, 0.11111111111111113], [0.2606837702835211, 0.1666666816822919, 0.23076921846153797, 0.23076921846153797, 0.11111111111111113], [0.2500000075078126, 0.1666666816822919, 0.24999997747656225, 0.22222222222222215, 0.11111111111111113]]"
6,"[0.2500000117647067, 0.15217395001826953, 0.249999992941176, 0.249999992941176, 0.08695651602484461]","[0.2608695652173914, 0.13043480908247948, 0.2608695387436074, 0.2608695652173914, 0.0869565217391305]","[0.26086954521739025, 0.16304348632809662, 0.249999992941176, 0.249999992941176, 0.08695651602484461]","[0.2608695652173914, 0.13043480908247948, 0.2608695387436074, 0.2608695652173914, 0.0869565217391305]","[0.26086954521739025, 0.08695651507246342, 0.21739124934782306, 0.13043481094203052, 0.06521738630434756]","[0.26086956521739135, 0.08695652173913045, 0.2608695387436074, 0.13043478260869568, 0.06521739130434784]","[0.26086954521739025, 0.21739124934782306, 0.26086962188406104, 0.26086954521739025, 0.13043477260869513]","[0.26086956521739135, 0.2608695387436074, 0.26086956521739135, 0.26086956521739135, 0.13043478260869568]","[0.26086954807453383, 0.08695651602484461, 0.21739125720496816, 0.1304348068944104, 0.08695651602484461]","[0.2608695652173914, 0.08695652173913046, 0.2608695364673922, 0.13043478260869554, 0.08695652173913046]","[0.26086954807453383, 0.21739125720496816, 0.2608696137888208, 0.26086954807453383, 0.13043477403726692]","[0.2608695652173914, 0.2608695364673922, 0.2608695652173911, 0.2608695652173914, 0.1304347826086957]","[0.249999992941176, 0.12500000588235335, 0.249999992941176, 0.124999996470588, 0.062499998235294]","[0.2608695652173914, 0.1304347826086957, 0.2608695338804355, 0.1304347826086957, 0.06521739130434785]","[0.2500000117647067, 0.249999992941176, 0.249999992941176, 0.249999992941176, 0.12500000588235335]","[0.2608695652173914, 0.2608695338804355, 0.2608695652173914, 0.2608695652173914, 0.1304347826086957]","[[0.26086954521739025, 0.15217395287541316, 0.249999992941176, 0.249999992941176, 0.08695651602484461], [0.26086954807453383, 0.15217395001826953, 0.249999992941176, 0.249999992941176, 0.08695651602484461], [0.2500000117647067, 0.16304348632809662, 0.249999992941176, 0.249999992941176, 0.08695651602484461]]","[[0.26086956521739135, 0.13043480908247948, 0.2608695387436074, 0.2608695652173914, 0.0869565217391305], [0.2608695652173914, 0.13043480908247948, 0.2608695387436074, 0.2608695652173914, 0.08695652173913046], [0.2608695652173914, 0.13043480908247948, 0.2608695387436073, 0.2608695652173914, 0.0869565217391305]]"
7,"[0.2500000100000001, 0.15277779277777795, 0.22222223722222248, 0.2222222222222222, 0.11111111111111112]","[0.2500000279999987, 0.14444446744444459, 0.2222222222222222, 0.2222222222222222, 0.11111112611111144]","[0.29166663666666626, 0.15277779277777795, 0.24999998333333315, 0.2222222222222222, 0.13333332233333303]","[0.29166667366666543, 0.15277775577777872, 0.24999999600000017, 0.2222222222222222, 0.13333332533333328]","[0.24999998333333315, 0.12500000500000005, 0.24999998333333315, 0.12500000500000005, 0.12499999166666657]","[0.24999999600000017, 0.12500001399999935, 0.24999999600000017, 0.12499999800000008, 0.12499999800000008]","[0.2500000100000001, 0.24999998333333315, 0.2500000100000001, 0.24999998333333315, 0.12499999166666657]","[0.2500000279999987, 0.24999999600000017, 0.24999999600000017, 0.24999999600000017, 0.12499999800000008]","[0.22222222222222224, 0.14814814314814806, 0.22222222222222224, 0.2222222222222222, 0.11111111111111112]","[0.2222222222222222, 0.14814814314814798, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111]","[0.2962962862962961, 0.22222222222222224, 0.22222223722222248, 0.2222222222222222, 0.11111111111111112]","[0.29629628629629595, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.11111112611111144]","[0.2666666746666669, 0.06666666866666672, 0.20000002100000067, 0.13333332233333303, 0.13333332233333303]","[0.26666665066666656, 0.06666666266666664, 0.23333333433333336, 0.13333335533333351, 0.13333332533333328]","[0.2666666746666669, 0.20000002100000067, 0.26666664466666606, 0.2666666746666669, 0.13333333733333344]","[0.26666665066666656, 0.23333333433333336, 0.26666671066666703, 0.26666665066666656, 0.13333332533333328]","[[0.2500000100000001, 0.15277779277777795, 0.24999998333333315, 0.2222222222222222, 0.12499999166666657], [0.29166663666666626, 0.15277779277777795, 0.22222223722222248, 0.2222222222222222, 0.11111111111111112], [0.2666666746666669, 0.15277779277777795, 0.224999988, 0.2222222222222222, 0.13333332233333303]]","[[0.2500000279999987, 0.15277775577777872, 0.24999999600000017, 0.2222222222222222, 0.12499999800000008], [0.29166667366666543, 0.15277775577777872, 0.2222222222222222, 0.2222222222222222, 0.11111112611111144], [0.26666665066666656, 0.14444446744444459, 0.23333333433333336, 0.2222222222222222, 0.13333332533333328]]"
8,"[0.22222232222221847, 0.2222220972222269, 0.2352941076470581, 0.22222232222221847, 0.07189557983659889]","[0.24999981471875285, 0.20588271040843403, 0.23529414812325022, 0.23529411574229686, 0.0588235444117634]","[0.2352941076470581, 0.2222220972222269, 0.26143767849673727, 0.2352941076470581, 0.07189557983659889]","[0.2647054813142555, 0.20588271040843403, 0.24999981471875285, 0.23529411574229686, 0.0588235444117634]","[0.22222232222221847, 0.11111116111110923, 0.2222220972222269, 0.1666665166666723, 0.06666660666666892]","[0.24999981471875285, 0.12499990735937642, 0.24999981471875285, 0.12500027792187074, 0.05000011116874829]","[0.22222232222221847, 0.2222220972222269, 0.3333330333333446, 0.22222232222221847, 0.11111116111110923]","[0.24999981471875285, 0.24999981471875285, 0.2500005558437415, 0.24999981471875285, 0.12499990735937642]","[0.2352941076470581, 0.10294118272058868, 0.2352941076470581, 0.2352941076470581, 0.058823526911764526]","[0.23529411574229686, 0.10294116956582611, 0.23529411574229686, 0.23529411574229686, 0.058823537030812556]","[0.30882354816176605, 0.2352941076470581, 0.2352941076470581, 0.2352941076470581, 0.11764705382352905]","[0.3088235086974783, 0.23529411574229686, 0.23529414812325022, 0.23529411574229686, 0.11764705787114843]","[0.23529410964705771, 0.13235294517647112, 0.23529410964705771, 0.23529410964705771, 0.05882352741176443]","[0.2352941776470536, 0.1323529111764732, 0.23529409264706103, 0.23529409264706103, 0.0588235444117634]","[0.26470589035294223, 0.23529410964705771, 0.23529410964705771, 0.23529410964705771, 0.13235294517647112]","[0.2647058223529464, 0.23529409264706103, 0.2352941776470536, 0.2352941776470536, 0.1323529111764732]","[[0.22222232222221847, 0.2222220972222269, 0.26143767849673727, 0.22222232222221847, 0.07189557983659889], [0.2352941076470581, 0.2222220972222269, 0.2352941076470581, 0.2352941076470581, 0.07189557983659889], [0.2352941076470581, 0.22222209522222724, 0.23529410964705771, 0.2352941076470581, 0.07189557983659889]]","[[0.24999981471875285, 0.20588271040843403, 0.24999981471875285, 0.23529411574229686, 0.0588235444117634], [0.2647054813142555, 0.20588271040843403, 0.23529414812325022, 0.23529411574229686, 0.0588235444117634], [0.2647054813142555, 0.20588271040843403, 0.23529414812325022, 0.23529411574229686, 0.0588235444117634]]"
9,"[0.23076923934065888, 0.2171946187071786, 0.23076923934065888, 0.23076923934065888, 0.07692307978021963]","[0.23076924791208928, 0.2171945940499433, 0.23076924791208928, 0.23076924791208928, 0.07692308263736308]","[0.23529410050420058, 0.2307692021978038, 0.2352941088235293, 0.2352941088235293, 0.07692307978021963]","[0.23529410566563502, 0.23076917362636928, 0.23529410882352933, 0.23529410882352933, 0.07692308263736308]","[0.23529410050420058, 0.1372549162464995, 0.23529410050420058, 0.23529410050420058, 0.058823525126050144]","[0.23529410566563502, 0.13725491089267272, 0.23529410882352933, 0.23529410566563502, 0.058823526416408756]","[0.274509832492999, 0.23529410050420058, 0.23529410050420058, 0.23529410050420058, 0.11764705025210029]","[0.27450982178534544, 0.23529410882352933, 0.23529410882352933, 0.23529410566563502, 0.11764705283281751]","[0.192307662307694, 0.11538461967032944, 0.23076923934065888, 0.23076923934065888, 0.07692307978021963]","[0.21153844010988834, 0.11538462395604464, 0.23076924791208928, 0.23076924791208928, 0.0769230826373631]","[0.23076923934065888, 0.23076923934065888, 0.23076923934065888, 0.23076923934065888, 0.192307662307694]","[0.23076924791208928, 0.23076924791208928, 0.23076924791208928, 0.23076924791208928, 0.21153844010988834]","[0.21568627392156864, 0.0784313696078431, 0.2352941088235293, 0.2352941088235293, 0.05882353470588242]","[0.2254902063725493, 0.07843136960784311, 0.23529410882352933, 0.23529410882352933, 0.05882353470588242]","[0.2352941088235293, 0.2352941088235293, 0.23529413882352967, 0.2352941088235293, 0.21568627392156864]","[0.23529410882352933, 0.23529410882352933, 0.23529413882352967, 0.23529410882352933, 0.2254902063725493]","[[0.23529410050420058, 0.2171946187071786, 0.23529410050420058, 0.23529410050420058, 0.07692307978021963], [0.23076923934065888, 0.2307692021978038, 0.23076923934065888, 0.23076923934065888, 0.07692307978021963], [0.23529408386554318, 0.2171946187071786, 0.2352941088235293, 0.2352941088235293, 0.07692307978021963]]","[[0.23529410566563502, 0.2171945940499433, 0.23529410882352933, 0.23529410882352933, 0.07692308263736308], [0.23076924791208928, 0.23076917362636928, 0.23076924791208928, 0.23076924791208928, 0.07692308263736308], [0.23529410566563502, 0.2171945940499433, 0.23529410882352933, 0.23529410882352933, 0.07692308263736308]]"
10,"[0.24999998999999978, 0.15277780804093666, 0.22222223695906423, 0.22222223695906423, 0.11111111847953212]","[0.2500000099999995, 0.15277777804093495, 0.22222223695906426, 0.22222223695906426, 0.11111111847953213]","[0.2702706452702611, 0.17417376233207826, 0.24999996999999935, 0.22222223695906423, 0.12499999499999989]","[0.2916666295614043, 0.15277777804093495, 0.2499999700000015, 0.22222223695906426, 0.12500000499999975]","[0.22222223695906423, 0.11111110190058485, 0.22222221801169592, 0.22222221801169592, 0.11111110900584796]","[0.22222223695906426, 0.11111110190058482, 0.22222221801169592, 0.22222221801169592, 0.11111110900584796]","[0.33333330570175457, 0.22222221801169592, 0.22222223695906423, 0.22222223695906423, 0.11111111847953212]","[0.33333330570175446, 0.22222221801169592, 0.22222223695906426, 0.22222223695906426, 0.11111111847953213]","[0.24999998999999978, 0.12499999499999989, 0.24999996999999935, 0.1250000150000003, 0.12499999499999989]","[0.2500000099999995, 0.12500000499999975, 0.2499999700000015, 0.12500000499999975, 0.12500000499999975]","[0.24999998999999978, 0.24999996999999935, 0.2500000300000006, 0.24999998999999978, 0.12499999499999989]","[0.2500000099999995, 0.2499999700000015, 0.2500000099999995, 0.2500000099999995, 0.12500000499999975]","[0.27027009027027465, 0.05405412905405223, 0.21321329321321128, 0.21321329321321128, 0.09009003009009155]","[0.27027009027027077, 0.054054129054053844, 0.21321329321321297, 0.21321329321321297, 0.09009003009009026]","[0.2702706452702611, 0.21321329321321128, 0.27027009027027465, 0.27027009027027465, 0.13513504513513733]","[0.2702706452702692, 0.21321329321321297, 0.27027009027027077, 0.27027009027027077, 0.13513504513513538]","[[0.2702706452702611, 0.17417376233207826, 0.22222223695906423, 0.22222223695906423, 0.11111111847953212], [0.24999998999999978, 0.15277780804093666, 0.24999996999999935, 0.22222223695906423, 0.12499999499999989], [0.2702706452702611, 0.17417376233207826, 0.22222223695906432, 0.22222223695906423, 0.11111111847953212]]","[[0.2916666295614043, 0.15277777804093495, 0.22222223695906426, 0.22222223695906426, 0.11111111847953213], [0.2500000099999995, 0.15277777804093495, 0.2499999700000015, 0.22222223695906426, 0.12500000499999975], [0.2702706452702692, 0.15277777804093495, 0.22972933472973178, 0.22222223695906426, 0.12500000499999975]]"
