PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
"Any[""Trial-1_PCM-1"", ""Trial-1_PCM-2"", ""Trial-1_PCM-3""]",17.473184401939186,85.46045065436111,18.28758119074188,Error,Error,Error,5.473014054005619,9.760716534172534,6.774369275582986
"Any[""Trial-2_PCM-1"", ""Trial-2_PCM-2"", ""Trial-2_PCM-3""]",15.697780624373511,20.8902362658293,16.509544156723592,Error,Error,Error,5.01104918565827,5.314863345316336,5.220519077410504
"Any[""Trial-3_PCM-1"", ""Trial-3_PCM-2"", ""Trial-3_PCM-3""]",19.26589629392529,19.78123106650953,19.265897073654394,Error,Error,Error,5.821150439960716,5.940628148736082,5.821150587224716
"Any[""Trial-4_PCM-1"", ""Trial-4_PCM-2"", ""Trial-4_PCM-3""]",13.397106966590336,13.983325379263421,13.626625544651883,Error,Error,Error,1.4966723003019604,2.9350104201871043,2.2760192986982566
"Any[""Trial-5_PCM-1"", ""Trial-5_PCM-2"", ""Trial-5_PCM-3""]",18.11191974429924,81.16203046749531,17.974877618311552,Error,Error,Error,3.520605109665815,4.34146890548779,3.9179293148271057
"Any[""Trial-6_PCM-1"", ""Trial-6_PCM-2"", ""Trial-6_PCM-3""]",21.049464075661504,22.187606953428453,21.570907516373186,Error,Error,Error,5.958929152892794,7.206890823448504,7.351802758888816
"Any[""Trial-7_PCM-1"", ""Trial-7_PCM-2"", ""Trial-7_PCM-3""]",16.853947580603254,21.908712538819614,18.62127806026837,Error,Error,Error,5.82658492845774,8.673312630661432,7.372972806483662
"Any[""Trial-8_PCM-1"", ""Trial-8_PCM-2"", ""Trial-8_PCM-3""]",15.770639295882615,17.20037107960571,17.183195182190044,Error,Error,Error,4.435713430354081,6.33399770586103,5.745646424097038
"Any[""Trial-9_PCM-1"", ""Trial-9_PCM-2"", ""Trial-9_PCM-3""]",17.0558085039119,18.065968244537892,17.48577328185944,Error,Error,Error,3.1716665357527063,2.5074199354037723,2.2367954142720095
"Any[""Trial-10_PCM-1"", ""Trial-10_PCM-2"", ""Trial-10_PCM-3""]",14.808497435719756,18.370820965192763,18.227861688866337,Error,Error,Error,1.60296112098521,2.987759190837269,2.1096723192775277
"Any[""Trial-11_PCM-1"", ""Trial-11_PCM-2"", ""Trial-11_PCM-3""]",16.736803577625732,80.50916778069727,17.072327915267916,Error,Error,Error,3.2990148048387447,3.4171574247635017,3.3779653004540893
"Any[""Trial-12_PCM-1"", ""Trial-12_PCM-2"", ""Trial-12_PCM-3""]",20.72979481331911,21.01836120990013,20.557106347294756,Error,Error,Error,3.5092187952571154,3.957322255797674,2.9762660530015146
"Any[""Trial-13_PCM-1"", ""Trial-13_PCM-2"", ""Trial-13_PCM-3""]",15.615627746657859,78.78970049988376,16.563776939638014,Error,Error,Error,3.4547968526439767,6.053820741687271,5.55749432439802
"Any[""Trial-14_PCM-1"", ""Trial-14_PCM-2"", ""Trial-14_PCM-3""]",20.32704963368038,142.67469412321273,20.138783746467034,Error,Error,Error,2.8659408838250426,3.1596179329505842,2.582698293473549
"Any[""Trial-15_PCM-1"", ""Trial-15_PCM-2"", ""Trial-15_PCM-3""]",14.742213516004112,37.92089126041262,16.49005826698648,Error,Error,Error,4.922589901398757,6.080421378189218,4.608138657266176
"Any[""Trial-16_PCM-1"", ""Trial-16_PCM-2"", ""Trial-16_PCM-3""]",12.7299502400863,29.633434150628005,13.402196546715892,Error,Error,Error,1.0164569952021498,1.019150371779535,0.8601300293919354
"Any[""Trial-17_PCM-1"", ""Trial-17_PCM-2"", ""Trial-17_PCM-3""]",18.295665439840587,17.448508630711896,15.807374973320888,Error,Error,Error,3.8657790827978684,2.5336435461882654,2.166386773415452
"Any[""Trial-18_PCM-1"", ""Trial-18_PCM-2"", ""Trial-18_PCM-3""]",17.688580607524553,18.696157893549827,17.717255448821188,Error,Error,Error,3.1530943272595544,2.979502046924966,3.045880431549265
"Any[""Trial-19_PCM-1"", ""Trial-19_PCM-2"", ""Trial-19_PCM-3""]",17.37521835268906,91.48530732393439,17.10666259294942,Error,Error,Error,4.524997120504546,4.176060315305451,3.0636808949532077
"Any[""Trial-20_PCM-1"", ""Trial-20_PCM-2"", ""Trial-20_PCM-3""]",16.440557325754412,78.94047581638532,16.88598160687024,Error,Error,Error,6.941430517860399,6.2924111465114025,6.571806363238485
"Any[""Trial-21_PCM-1"", ""Trial-21_PCM-2"", ""Trial-21_PCM-3""]",14.253264659291105,14.456091862846819,14.12526182671936,Error,Error,Error,1.1669441239303855,1.357508390426971,0.8044990149227043
