Trial,PCM,pcm_1,pcm_2,pcm_3,pcm_4,pcm_5,,w_L,w_U
1,1,1.0,2.0,1.0,5.0,2.0,,0.27118644067796566,0.33898305084745745
1,1,0.5,1.0,1.0,2.0,2.0,,0.16949152542372964,0.26271186440678046
1,1,1.0,1.0,1.0,4.0,5.0,,0.26271186440677957,0.27118644067796566
1,1,0.2,0.5,0.25,1.0,2.0,,0.06779661016949148,0.08474576271186451
1,1,0.5,0.5,0.2,0.5,1.0,,0.04237288135593274,0.13559322033898283

1,2,1.0,2.0,2.0,2.0,2.0,,0.3636363636363634,0.3636363636363635
1,2,0.5,1.0,1.0,1.0,2.0,,0.1818181818181812,0.18181818181818174
1,2,0.5,1.0,1.0,2.0,2.0,,0.18181818181818124,0.1818181818181819
1,2,0.5,1.0,0.5,1.0,2.0,,0.09090909090909127,0.18181818181818174
1,2,0.5,0.5,0.5,0.5,1.0,,0.0909090909090913,0.18181818181818155

1,3,1.0,4.0,2.0,6.0,3.0,,0.4285714285714285,0.4285714285714285
1,3,0.25,1.0,1.0,1.0,1.0,,0.10714285714285726,0.2142857142857142
1,3,0.5,1.0,1.0,3.0,3.0,,0.21428571428571422,0.2142857142857145
1,3,0.16666666666666666,1.0,0.3333333333333333,1.0,3.0,,0.07142857142857136,0.10714285714285718
1,3,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,,0.035714285714285615,0.14285714285714285

2,1,1.0,5.0,2.0,8.0,6.0,,0.48387096774193483,0.4838709677419349
2,1,0.2,1.0,1.0,1.0,3.0,,0.09677419354838737,0.1814516129032269
2,1,0.5,1.0,1.0,3.0,4.0,,0.18145161290322717,0.24193548387096767
2,1,0.125,1.0,0.3333333333333333,1.0,1.0,,0.06048387096774214,0.09677419354838755
2,1,0.16666666666666666,0.3333333333333333,0.25,1.0,1.0,,0.06048387096774169,0.08064516129032252

2,2,1.0,4.0,2.0,9.0,9.0,,0.4999999999999992,0.4999999999999995
2,2,0.25,1.0,1.0,1.0,1.0,,0.12499999999999983,0.12499999999999983
2,2,0.5,1.0,1.0,2.0,1.0,,0.12500000000000017,0.24999999999999964
2,2,0.1111111111111111,1.0,0.5,1.0,1.0,,0.0555555555555555,0.12500000000000072
2,2,0.1111111111111111,1.0,1.0,1.0,1.0,,0.05555555555555619,0.12499999999999996

2,3,1.0,2.0,2.0,2.0,2.0,,0.33333333333333254,0.33333333333333254
2,3,0.5,1.0,1.0,1.0,1.0,,0.16666666666666613,0.16666666666666613
2,3,0.5,1.0,1.0,3.0,3.0,,0.1666666666666663,0.2500000000000013
2,3,0.5,1.0,0.3333333333333333,1.0,2.0,,0.0833333333333337,0.16666666666666657
2,3,0.5,1.0,0.3333333333333333,0.5,1.0,,0.08333333333333343,0.1666666666666663

3,1,1.0,2.0,2.0,5.0,9.0,,0.44117647058823506,0.44117647058823545
3,1,0.5,1.0,1.0,3.0,2.0,,0.2071078431372549,0.22058823529411753
3,1,0.5,1.0,1.0,8.0,4.0,,0.2205882352941175,0.2205882352941175
3,1,0.2,0.3333333333333333,0.125,1.0,3.0,,0.02757352941176474,0.08823529411764701
3,1,0.1111111111111111,0.5,0.25,0.3333333333333333,1.0,,0.029411764705882526,0.1035539215686276

3,2,1.0,4.0,3.0,3.0,2.0,,0.4047619047619045,0.42857142857142894
3,2,0.25,1.0,1.0,1.0,1.0,,0.10714285714285765,0.14285714285714327
3,2,0.3333333333333333,1.0,1.0,1.0,3.0,,0.14285714285714293,0.21428571428571339
3,2,0.3333333333333333,1.0,1.0,1.0,2.0,,0.14285714285714293,0.14285714285714293
3,2,0.5,1.0,0.3333333333333333,0.5,1.0,,0.07142857142857145,0.2023809523809524

3,3,1.0,2.0,3.0,4.0,7.0,,0.4285714285714288,0.4285714285714288
