Trial,entani論文のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,解の非唯一性考慮のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,解の非唯一性考慮のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_wᵁ_1,解の非唯一性考慮のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᴸ_2,解の非唯一性考慮のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_2,entani論文のPartialIncorporation_wᴸ_3,解の非唯一性考慮のPartialIncorporation_wᴸ_3,entani論文のPartialIncorporation_wᵁ_3,解の非唯一性考慮のPartialIncorporation_wᵁ_3,entani論文のPartialIncorporation_Ŵ,解の非唯一性考慮のPartialIncorporation_Ŵ
1,"[0.3389830629686687, 0.1406559555284092, 0.18181820753246802, 0.08474576574216718, 0.13174115714212253]","[0.31496069849268227, 0.18181817931818187, 0.18181820681818123, 0.07874017462317057, 0.09658452014090288]","[0.4285714114285711, 0.181818176103896, 0.2627118380431456, 0.1409861070137215, 0.13174115714212253]","[0.42857141727849646, 0.18181817931818187, 0.29921259099662606, 0.14745889865793396, 0.1252683565693392]","[0.27118645037493494, 0.16949153148433435, 0.2627118380431456, 0.06779661259373373, 0.04237288287108359]","[0.29921259099662606, 0.15748034924634113, 0.29921259099662606, 0.06299213969853645, 0.03937008731158528]","[0.3389830629686687, 0.2627118380431456, 0.27118645037493494, 0.08474576574216718, 0.13559322518746747]","[0.31496069849268227, 0.29921259099662606, 0.29921259099662606, 0.07874017462317057, 0.14960629549831303]","[0.363636352207792, 0.181818176103896, 0.181818176103896, 0.09090910376623401, 0.090909088051948]","[0.36363635863636373, 0.18181817931818187, 0.18181817931818187, 0.09090910340909061, 0.09090908965909093]","[0.363636352207792, 0.181818176103896, 0.18181820753246802, 0.181818176103896, 0.181818176103896]","[0.36363635863636373, 0.18181817931818187, 0.18181820681818123, 0.18181817931818187, 0.18181817931818187]","[0.4285714114285711, 0.10714285952380957, 0.21428570571428554, 0.07142857301587305, 0.035714286507936524]","[0.42857141727849646, 0.10714285431962411, 0.21428570863924823, 0.07142856954641606, 0.035714291360751736]","[0.4285714380952383, 0.21428571015873005, 0.21428570571428554, 0.10714285952380957, 0.14285713714285703]","[0.42857141727849646, 0.21428570863924823, 0.21428570863924823, 0.10714287408225522, 0.14285713909283212]","[[0.3389830629686687, 0.181818176103896, 0.2627118380431456, 0.08474576574216718, 0.13174115714212253], [0.363636352207792, 0.181818176103896, 0.18181820753246802, 0.1409861070137215, 0.13174115714212253], [0.4285714114285711, 0.1406559555284092, 0.21428571015873005, 0.08474576574216718, 0.13174115714212253]]","[[0.31496069849268227, 0.18181817931818187, 0.29921259099662606, 0.07874017462317057, 0.1252683565693392], [0.36363635863636373, 0.18181817931818187, 0.18181820681818123, 0.14745889865793396, 0.1252683565693392], [0.42857141727849646, 0.18181817931818187, 0.21428570863924823, 0.07874017462317057, 0.09658452014090288]]"
2,"[0.3749999949999998, 0.12500002999999985, 0.1875000375000016, 0.09677420486151811, 0.0806451602802216]","[0.3749999900000001, 0.12500001032027194, 0.18750007500000143, 0.09677420314838749, 0.0806451692903229]","[0.4999999280000004, 0.1874999974999999, 0.1875000375000016, 0.169354809719777, 0.0806451602802216]","[0.4999999752313474, 0.18749999499999984, 0.1975806151612891, 0.16935477070967586, 0.0806451692903229]","[0.4838709616813296, 0.09677419233626591, 0.18145161063049858, 0.0604838702101662, 0.0604838702101662]","[0.4838710157419374, 0.09677420314838749, 0.1975806151612891, 0.06048387696774218, 0.06048387696774218]","[0.4838709616813296, 0.18145161063049858, 0.2419354808406648, 0.09677420486151811, 0.0806451602802216]","[0.4838710157419374, 0.1975806151612891, 0.2419355078709687, 0.09677420314838749, 0.0806451692903229]","[0.4999999280000004, 0.1249999820000001, 0.12500002999999985, 0.055555547555555605, 0.055555547555555605]","[0.4999999752313474, 0.12499999380783686, 0.12500001032027194, 0.055555552803483045, 0.055555552803483045]","[0.4999999280000004, 0.12500002999999985, 0.2499999640000002, 0.12499998200000009, 0.12500002999999985]","[0.4999999752313474, 0.12500001032027194, 0.2499999876156737, 0.12499999380783686, 0.12500001032027194]","[0.3749999949999998, 0.1874999974999999, 0.1874999974999999, 0.06250001250000053, 0.06250001250000053]","[0.37499998999999967, 0.18749999499999984, 0.18749999500000006, 0.06250002500000049, 0.06250002500000049]","[0.3749999949999998, 0.1874999974999999, 0.1875000375000016, 0.1874999974999999, 0.1874999974999999]","[0.3749999900000001, 0.18749999499999984, 0.18750007500000143, 0.18749999499999984, 0.18749999499999984]","[[0.4838709616813296, 0.15120963567692908, 0.1875000375000016, 0.09677420486151811, 0.0806451602802216], [0.4999999280000004, 0.12500002999999985, 0.1875000375000016, 0.10685484421977647, 0.0806451602802216], [0.3749999949999998, 0.1874999974999999, 0.1875000375000016, 0.169354809719777, 0.0806451602802216]]","[[0.4838710157419374, 0.1411289966580631, 0.1975806151612891, 0.09677420314838749, 0.0806451692903229], [0.4999999752313474, 0.12500001032027194, 0.1975806151612891, 0.09677422999676863, 0.0806451692903229], [0.3749999900000001, 0.18749999499999984, 0.18750007500000143, 0.16935477070967586, 0.0806451692903229]]"
3,"[0.4285714362435598, 0.14285716200468304, 0.21428569225292832, 0.08823565411765188, 0.04289190686274172]","[0.428571438970594, 0.14285716170168078, 0.21428568975314538, 0.0882356541176373, 0.04289190686275197]","[0.4411762305882321, 0.21428568231850065, 0.22058811529411604, 0.14285714541451996, 0.07142856408430934]","[0.4411762305882418, 0.21428568975314535, 0.2205881152941209, 0.14285714632353133, 0.07142856325104846]","[0.4411762305882321, 0.20710809313725828, 0.22058811529411604, 0.027573514411764505, 0.02941188470588396]","[0.4411762305882418, 0.20710809313724785, 0.2205881152941209, 0.027573514411765112, 0.0294118847058791]","[0.4411762305882321, 0.22058811529411604, 0.22058811529411604, 0.08823565411765188, 0.10355404656862914]","[0.4411762305882418, 0.2205881152941209, 0.2205881152941209, 0.0882356541176373, 0.10355404656862392]","[0.4047619000733802, 0.10714285906088997, 0.14285714541451974, 0.14285714541451974, 0.07142856408430934]","[0.4047618984068592, 0.1071428597426485, 0.14285714632353133, 0.14285714632353133, 0.07142856325104846]","[0.42857143624355987, 0.14285716200468304, 0.214285692252928, 0.14285714541451974, 0.2023809500366901]","[0.428571438970594, 0.14285716170168078, 0.21428568975314538, 0.14285714632353133, 0.2023809492034296]","[0.4285714362435598, 0.21428568231850065, 0.14285714541451994, 0.07142856408430943, 0.05357142306323208]","[0.428571438970594, 0.21428568975314535, 0.14285714632353133, 0.07142856325104846, 0.05357142243828634]","[0.4285714362435598, 0.2142857181217799, 0.21428569225292832, 0.10714285906088995, 0.10714284115925032]","[0.428571438970594, 0.214285719485297, 0.21428568975314535, 0.1071428597426485, 0.10714284487657268]","[[0.4411762305882321, 0.20710809313725828, 0.22058811529411604, 0.08823565411765188, 0.04289190686274172], [0.4285714362435598, 0.14285716200468304, 0.21428569225292832, 0.14285714541451996, 0.07142856408430934], [0.4285714362435598, 0.21428568231850065, 0.21428569225292832, 0.0892857661217792, 0.05357142306323208]]","[[0.4411762305882418, 0.20710809313724785, 0.2205881152941209, 0.0882356541176373, 0.04289190686275197], [0.428571438970594, 0.14285716170168078, 0.21428568975314538, 0.14285714632353133, 0.07142856325104846], [0.428571438970594, 0.21428568975314535, 0.21428568975314538, 0.08928575908482886, 0.05357142243828634]]"
4,"[0.41379316907327957, 0.16058397400020724, 0.17931030982758425, 0.10714286259740259, 0.10727318249329926]","[0.41379316907327646, 0.13738273181754607, 0.1793103098275859, 0.10714285714285715, 0.10948905109489052]","[0.43795618747815274, 0.17931030982758425, 0.19642853051948064, 0.12031302877825273, 0.10727318249329926]","[0.43795620437956206, 0.1793103098275859, 0.20802915556514417, 0.11809716017666139, 0.10948905109489052]","[0.4137930784482745, 0.13793105635775985, 0.13793105635775985, 0.08965515491379213, 0.10344826961206863]","[0.4137930784482756, 0.13793105635775882, 0.13793105635775882, 0.08965515491379294, 0.1034482696120689]","[0.41379316907327957, 0.17931030982758425, 0.17931030982758425, 0.20689653922413725, 0.13793105635775985]","[0.41379316907327646, 0.1793103098275859, 0.1793103098275859, 0.2068965392241378, 0.13793105635775882]","[0.42857145038961036, 0.10714286259740259, 0.19642853051948064, 0.10714286259740259, 0.053571431298701296]","[0.4285714285714286, 0.10714285714285715, 0.20535709194805607, 0.10714285714285715, 0.053571428571428575]","[0.42857145038961036, 0.19642853051948064, 0.21428572519480518, 0.10714286259740259, 0.14285715012987013]","[0.4285714285714286, 0.20535709194805607, 0.2142857142857143, 0.10714285714285715, 0.14285714285714288]","[0.4379561874781527, 0.08759123749563055, 0.16058397400020724, 0.07299269791302544, 0.07299271720880113]","[0.43795620437956206, 0.08759124087591241, 0.20802915556514417, 0.07299270072992702, 0.07299270072992702]","[0.43795618747815274, 0.16058397400020724, 0.21897809373907634, 0.14598543441760226, 0.10948904686953817]","[0.43795620437956206, 0.20802915556514417, 0.21897810218978103, 0.14598540145985403, 0.10948905109489052]","[[0.41379316907327957, 0.17931030982758425, 0.17931030982758425, 0.12031302877825273, 0.10727318249329926], [0.42857145038961036, 0.16058397400020724, 0.19642853051948064, 0.10714286259740259, 0.10727318249329926], [0.43795618747815274, 0.16058397400020724, 0.17931030982758425, 0.11487634620075646, 0.10727318249329926]]","[[0.41379316907327646, 0.1793103098275859, 0.1793103098275859, 0.11809716017666139, 0.10948905109489052], [0.4285714285714286, 0.14943957124276766, 0.20535709194805607, 0.10714285714285715, 0.10948905109489052], [0.43795620437956206, 0.13738273181754607, 0.20802915556514417, 0.10714285714285715, 0.10948905109489052]]"
5,"[0.2857142990476183, 0.2000000130909086, 0.18285717120259698, 0.14285714952380915, 0.09142857060129864]","[0.28571431238095385, 0.20000001249999994, 0.18518519185185195, 0.14285715619047695, 0.09259259592592597]","[0.3047618920043292, 0.23809522498917807, 0.23809522498917807, 0.19999999672727284, 0.0952381014502165]","[0.35185182851851826, 0.22883595883597735, 0.24999997666666543, 0.2, 0.09259259592592597]","[0.19999999672727284, 0.11111110929292937, 0.16666666393939406, 0.19999999672727284, 0.06666666557575761]","[0.2, 0.13333333333333336, 0.2, 0.2, 0.06666666666666668]","[0.3333333278787881, 0.2000000130909086, 0.19999999672727284, 0.19999999672727284, 0.19999999672727284]","[0.4, 0.20000001249999994, 0.2, 0.2, 0.2]","[0.285714267936509, 0.14285714952380915, 0.23809522498917807, 0.1428571339682545, 0.07142857476190458]","[0.28571431238095385, 0.14285715619047692, 0.24999997666666543, 0.14285715619047692, 0.07142857809523848]","[0.2857142990476183, 0.23809522498917807, 0.285714267936509, 0.14285714952380915, 0.1428571339682545]","[0.28571431238095385, 0.24999997666666543, 0.28571431238095385, 0.14285715619047695, 0.14285715619047695]","[0.3047618920043292, 0.18285714120259727, 0.1799999878954549, 0.06095239040086566, 0.05999999596515163]","[0.35185182851851826, 0.18518519185185195, 0.17592591425925913, 0.061728397283950645, 0.05864197141975304]","[0.3599999757909098, 0.3047618920043292, 0.18285717120259698, 0.18285714120259727, 0.09142857060129864]","[0.35185182851851826, 0.35185182851851826, 0.18518519185185195, 0.18518519185185195, 0.09259259592592597]","[[0.3047618920043292, 0.2000000130909086, 0.19999999672727284, 0.19999999672727284, 0.0952381014502165], [0.2857142990476183, 0.23809522498917807, 0.23809522498917807, 0.14285714952380915, 0.0952381014502165], [0.3047618920043292, 0.23809522498917807, 0.18285717120259698, 0.18285714120259727, 0.09142857060129864]]","[[0.30740739157407415, 0.20000001249999994, 0.2, 0.2, 0.09259259592592597], [0.28571431238095385, 0.22883595883597735, 0.24999997666666543, 0.14285715619047695, 0.09259259592592597], [0.35185182851851826, 0.20000001249999994, 0.18518519185185195, 0.1703703712037039, 0.09259259592592597]]"
6,"[0.2857143033613444, 0.16099469545185952, 0.2857142786554623, 0.12785387127853864, 0.04109592041095933]","[0.28571430336134435, 0.12852152940089728, 0.28571427865546223, 0.12785388627853914, 0.0410958904109589]","[0.34146340365447925, 0.2557077425570773, 0.28767123287671237, 0.17073170182723962, 0.07142856966386556]","[0.3631122010217877, 0.2557077725570783, 0.2876712178767114, 0.18155610051089385, 0.07142856966386556]","[0.2857142786554623, 0.14285713932773111, 0.2142857089915966, 0.09523810112044813, 0.07142856966386556]","[0.28571427865546223, 0.14285713932773111, 0.27380952528011204, 0.09523810112044812, 0.07142856966386556]","[0.2857143033613444, 0.2142857089915966, 0.2857142786554623, 0.14285713932773111, 0.14285713932773111]","[0.28571430336134435, 0.27380952528011204, 0.28571427865546223, 0.14285713932773111, 0.14285713932773111]","[0.28767123287671237, 0.2557077425570773, 0.28767123287671237, 0.04109589041095891, 0.04109589041095891]","[0.2876712328767123, 0.2557077725570783, 0.2876712178767114, 0.0410958904109589, 0.0410958904109589]","[0.28767123287671237, 0.28767123287671237, 0.28767123287671237, 0.12785387127853864, 0.0958904109589041]","[0.2876712328767123, 0.2876712328767123, 0.2876712328767123, 0.12785388627853914, 0.0958904109589041]","[0.34146340365447925, 0.04878049013389837, 0.1951219468941887, 0.17073170182723962, 0.03794038121525428]","[0.36311220102178765, 0.05187317157454109, 0.18213267938692743, 0.18155610051089383, 0.04034580011353196]","[0.34146343093728854, 0.1951219468941887, 0.34146340365447925, 0.17073170182723962, 0.09756097344709436]","[0.36311220102178765, 0.18213267938692743, 0.36311220102178765, 0.18155610051089383, 0.09106633969346371]","[[0.2857143033613444, 0.2142857089915966, 0.2857142786554623, 0.14285713932773114, 0.07142856966386556], [0.28767123287671237, 0.2557077425570773, 0.28767123287671237, 0.12785387127853864, 0.04109592041095933], [0.34146340365447925, 0.16099469545185952, 0.2857142786554623, 0.17073170182723962, 0.04109592041095933]]","[[0.28571430336134435, 0.22928896204078866, 0.28571427865546223, 0.12785388627853914, 0.07142856966386556], [0.2876712328767123, 0.2557077725570783, 0.2876712178767114, 0.12785388627853914, 0.0410958904109589], [0.3631122010217877, 0.12852152940089728, 0.28571427865546223, 0.18155610051089385, 0.0410958904109589]]"
7,"[0.2857143097142854, 0.20833332583333336, 0.19565219100165288, 0.12500002249999986, 0.04166667416666662]","[0.2857143073809517, 0.18518522268518367, 0.1956521910016508, 0.1111111336111102, 0.03703704453703674]","[0.4166666516666668, 0.21428574628571392, 0.28571425371428616, 0.14285711285714314, 0.07142857742857135]","[0.44444439944444636, 0.22567286341641163, 0.28571428404761906, 0.13146996830977964, 0.07142857684523793]","[0.28571425371428616, 0.1428571548571427, 0.21428574628571392, 0.07142856342857154, 0.07142857742857135]","[0.28571428404761906, 0.14285715369047586, 0.28571428404761906, 0.07142857101190477, 0.07142857684523793]","[0.2857143097142854, 0.21428574628571392, 0.28571425371428616, 0.1428571548571427, 0.14285712685714308]","[0.2857143073809517, 0.28571428404761906, 0.28571428404761906, 0.14285715369047586, 0.14285714202380953]","[0.39130434706659317, 0.19565217353329659, 0.1956521735332966, 0.10507245838836858, 0.021739132333516986]","[0.3913043470665933, 0.19565217353329664, 0.19565217353329664, 0.10507245838836919, 0.021739132333516757]","[0.39130434706659317, 0.21014491677673716, 0.19565219100165288, 0.1956521735332966, 0.0978260867666483]","[0.3913043470665933, 0.21014491677673838, 0.1956521910016508, 0.19565217353329664, 0.09782608676664832]","[0.4166666516666667, 0.125, 0.20833332583333336, 0.06944444194444445, 0.04166667416666662]","[0.44444439944444636, 0.1111111336111102, 0.22222219972222318, 0.0740740665740744, 0.03703704453703674]","[0.4166666516666667, 0.20833332583333336, 0.2083333258333334, 0.12500002249999986, 0.125]","[0.44444439944444636, 0.22222219972222318, 0.22222219972222318, 0.1111111336111102, 0.1111111336111102]","[[0.2857143097142854, 0.21428574628571392, 0.28571425371428616, 0.14285711285714314, 0.07142857742857135], [0.39130434706659317, 0.21014491677673716, 0.19565219100165288, 0.14285711285714314, 0.060041432297873565], [0.4166666516666668, 0.20833332583333336, 0.20833332583333336, 0.12500002249999986, 0.04166667416666662]]","[[0.2857143073809517, 0.22567286341641163, 0.28571428404761906, 0.13146996830977964, 0.07142857684523793], [0.3913043470665933, 0.21014491677673838, 0.1956521910016508, 0.13146996830977964, 0.07142857684523793], [0.44444439944444636, 0.18518522268518367, 0.22222219972222318, 0.1111111336111102, 0.03703704453703674]]"
8,"[0.32925966238843574, 0.2068965832241366, 0.1922920909994934, 0.1034482916120683, 0.06896550599137978]","[0.30000003199999664, 0.20689657182122537, 0.18405173075928977, 0.10344827324070974, 0.0689655154938065]","[0.42352940051470533, 0.24999997000000174, 0.20689651797413935, 0.1034482916120683, 0.12499998500000087]","[0.42352940176470627, 0.2749999760000026, 0.20689654648141947, 0.10344827324070974, 0.1374999880000013]","[0.36781613345402125, 0.20689651797413935, 0.20689651797413935, 0.1034482916120683, 0.03448276387068943]","[0.36781609671130455, 0.20689654648141947, 0.20689654648141947, 0.10344827324070974, 0.03448276197020423]","[0.4137930359482787, 0.2068965832241366, 0.2068965832241366, 0.18390806672701063, 0.06896550599137978]","[0.41379309296283895, 0.20689657182122537, 0.20689654648141947, 0.18390804835565228, 0.0689655154938065]","[0.42352940051470533, 0.21176471088235316, 0.12941176658088246, 0.0470588222794117, 0.0470588222794117]","[0.42352940176470627, 0.21176470588235294, 0.15882353441176475, 0.047058823529411764, 0.047058823529411764]","[0.42352940051470533, 0.21176471088235316, 0.21176471088235316, 0.12941176658088246, 0.10588235544117658]","[0.4235294117647059, 0.21176470588235294, 0.21176470588235294, 0.15882353441176475, 0.10588235294117647]","[0.250000017999999, 0.24999997000000174, 0.1666666679999999, 0.04166666699999998, 0.12499998500000087]","[0.2749999760000026, 0.2749999760000026, 0.15000001599999832, 0.03750000399999958, 0.1374999880000013]","[0.3333333359999998, 0.25000001799999894, 0.24999997000000174, 0.12499998500000087, 0.1250000089999995]","[0.30000003199999664, 0.2749999760000026, 0.2749999760000026, 0.1374999880000013, 0.1374999880000013]","[[0.41379310119827606, 0.2068965832241366, 0.20689651797413935, 0.1034482916120683, 0.06896550599137978], [0.42352940051470533, 0.21176471088235316, 0.1922920909994934, 0.1034482916120683, 0.06896550599137978], [0.32925966238843574, 0.24999997000000174, 0.1922920909994934, 0.1034482916120683, 0.12499998500000087]]","[[0.41379309296283895, 0.20689657182122537, 0.20689654648141947, 0.10344827324070974, 0.0689655154938065], [0.42352940176470627, 0.21176470588235294, 0.19229210361842455, 0.10344827324070974, 0.0689655154938065], [0.30000003199999664, 0.2749999760000026, 0.18405173075928977, 0.10344827324070974, 0.1374999880000013]]"
9,"[0.29629633429629737, 0.17021275304835531, 0.1818182018181817, 0.14814814014814798, 0.1071710364243873]","[0.3157895817347709, 0.19148933083596192, 0.1914893660221267, 0.13829797605200655, 0.09574461760564634]","[0.382978713586073, 0.1851851751851849, 0.2457912377912449, 0.14814814014814798, 0.12457911257912485]","[0.3829787094842585, 0.21052625095913746, 0.2200447110207252, 0.15789479086738545, 0.09574466541798096]","[0.29629628029629596, 0.14814816714814869, 0.1851851751851849, 0.09259258759259245, 0.07407407007407399]","[0.3157895817347709, 0.15789479086738545, 0.21052625095913746, 0.10526312547956873, 0.07894739543369272]","[0.29629633429629737, 0.1851851751851849, 0.29629628029629596, 0.14814814014814798, 0.1851851751851849]","[0.3157895817347709, 0.21052625095913746, 0.3157895817347709, 0.15789479086738545, 0.21052625095913746]","[0.36363636363636365, 0.18181818181818182, 0.09090909090909091, 0.09090910090909085, 0.09090909090909091]","[0.38297866167192385, 0.19148933083596192, 0.09574466541798096, 0.09574468301106336, 0.09574466541798096]","[0.36363636363636365, 0.18181818181818182, 0.1818182018181817, 0.18181818181818182, 0.18181818181818182]","[0.38297866167192385, 0.19148933083596192, 0.1914893660221267, 0.19148933083596192, 0.19148933083596192]","[0.382978713586073, 0.17021275304835531, 0.1914893567930365, 0.06382979414313382, 0.04255319039845255]","[0.3829787094842585, 0.18085106978978582, 0.19148935474212925, 0.06382978491404308, 0.04255319244936149]","[0.382978713586073, 0.1914893567930365, 0.19148938242940144, 0.1914893567930365, 0.17021275304835531]","[0.3829787320442534, 0.1914893660221267, 0.19148935474212925, 0.19148935474212925, 0.18085106978978582]","[[0.29629633429629737, 0.1851851751851849, 0.2457912377912449, 0.14814814014814798, 0.12457911257912485], [0.36363636363636365, 0.18181818181818182, 0.1818182018181817, 0.14814814014814798, 0.12457911257912485], [0.382978713586073, 0.17021275304835531, 0.1914893567930365, 0.14814814014814798, 0.1071710364243873]]","[[0.3157895817347709, 0.21052625095913746, 0.2200447110207252, 0.15789479086738545, 0.09574466541798096], [0.38297866167192385, 0.19148933083596192, 0.1914893660221267, 0.13829797605200655, 0.09574466541798096], [0.3829787094842585, 0.19148933083596192, 0.1914893660221267, 0.13829797605200655, 0.09574461760564634]]"
10,"[0.3157894972556403, 0.13450297683375279, 0.3157894565413525, 0.11111117111111211, 0.08927594300126607]","[0.29032276356009856, 0.1928795373645399, 0.21924176618523328, 0.12121209264069586, 0.10303032588744329]","[0.3453236994282486, 0.13450297683375279, 0.3157894565413525, 0.12865491718880362, 0.10526315218045083]","[0.3636362779220876, 0.1928795373645399, 0.29032244853992883, 0.12121209264069586, 0.10526315789473684]","[0.3453236994282486, 0.08633094314653508, 0.21582732128739185, 0.11510792419538012, 0.05755396209769006]","[0.3636362779220876, 0.09090906948052191, 0.20606065177488658, 0.12121209264069586, 0.06060604632034793]","[0.34532377258614033, 0.21582732128739185, 0.3453236994282486, 0.11510792419538012, 0.10791366064369592]","[0.36363627792208764, 0.20606065177488658, 0.3636362779220876, 0.12121209264069586, 0.10303032588744329]","[0.33333324333333186, 0.11111117111111211, 0.22222220722222197, 0.11111108111111062, 0.037037027037036874]","[0.29032276356009856, 0.14516122426996442, 0.29032244853992883, 0.09677425452003285, 0.03225808484001095]","[0.33333324333333186, 0.22222220722222197, 0.33333324333333186, 0.11111117111111211, 0.11111117111111211]","[0.29032276356009856, 0.29032244853992883, 0.29032276356009856, 0.14516122426996442, 0.14516122426996442]","[0.3157894565413525, 0.1052631657518801, 0.21052631793233093, 0.05263157609022542, 0.10526315218045083]","[0.31578947368421056, 0.10526315789473685, 0.26315786307017586, 0.052631578947368425, 0.10526315789473685]","[0.3157894972556403, 0.21052631793233093, 0.3157894565413525, 0.15789472827067624, 0.10526315218045083]","[0.31578947368421056, 0.26315786307017586, 0.31578947368421056, 0.15789473684210528, 0.10526315789473685]","[[0.3453236994282486, 0.13450297683375279, 0.3157894565413525, 0.11510792419538012, 0.08927594300126607], [0.33333324333333186, 0.13450297683375279, 0.3157894565413525, 0.11111117111111211, 0.10526315218045083], [0.3157894972556403, 0.13450297683375279, 0.3157894565413525, 0.12865491718880362, 0.10526315218045083]]","[[0.3636362779220876, 0.1928795373645399, 0.21924176618523328, 0.12121209264069586, 0.10303032588744329], [0.29032276356009856, 0.1928795373645399, 0.29032244853992883, 0.12121209264069586, 0.10526315789473684], [0.31578947368421056, 0.1928795373645399, 0.2648557384158169, 0.12121209264069586, 0.10526315789473685]]"
