Trial,entani論文のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᴸ_1,解の非唯一性考慮のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᵁ_1,解の非唯一性考慮のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ_2,解の非唯一性考慮のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᵁ_2,解の非唯一性考慮のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᴸ_3,解の非唯一性考慮のPerfectIncorporation_wᴸ_3,entani論文のPerfectIncorporation_wᵁ_3,解の非唯一性考慮のPerfectIncorporation_wᵁ_3
1,"[0.271186428370274, 0.10714285457142839, 0.18181818181818227, 0.0677966070925685, 0.0357142928571441]","[0.29921267496514453, 0.1071428549033776, 0.18181818701196487, 0.06299211286311807, 0.035714291935060816]","[0.42857141828571355, 0.2627118297913991, 0.271186428370274, 0.18181818181818218, 0.18181817181818138]","[0.4285714196135101, 0.2992125708161441, 0.29921267496514453, 0.18181818066400782, 0.18181818066400807]","[0.271186428370274, 0.16949151773142113, 0.2627118297913991, 0.0677966070925685, 0.04237290212516148]","[0.29921267496514453, 0.15748028215779514, 0.2992125708161444, 0.06299211286311807, 0.03937007053944726]","[0.3389830354628427, 0.2627118297913991, 0.271186428370274, 0.08474580425032296, 0.135593214185137]","[0.3149605643155904, 0.2992125708161444, 0.29921267496514453, 0.07874014107889452, 0.14960633748257227]","[0.36363634363636277, 0.18181818181818216, 0.18181818181818135, 0.09090909090909104, 0.0909090909090912]","[0.36363636132801547, 0.18181818066400776, 0.18181818066400762, 0.09090909033200366, 0.09090909033200253]","[0.3636363636363627, 0.18181818181818216, 0.1818181818181821, 0.18181818181818218, 0.18181817181818138]","[0.36363637402392973, 0.1818181870119614, 0.18181818066400762, 0.18181818066400776, 0.18181818066400762]","[0.4285714182857134, 0.10714285457142839, 0.21428570114285578, 0.07142856971428543, 0.0357142928571441]","[0.4285714196135101, 0.1071428549033776, 0.21428570980675504, 0.07142856993558502, 0.035714291935060816]","[0.42857141828571355, 0.21428570114285578, 0.21428570914285647, 0.10714287857143014, 0.14285713942857117]","[0.4285714196135101, 0.2142857098067551, 0.21428570980675504, 0.10714287580518704, 0.1428571398711701]"
2,"[0.3333333453333327, 0.0967741935483871, 0.12500002999999968, 0.05555554755555569, 0.05555554755555566]","[0.3750000033841096, 0.09677419354838707, 0.12500001055074977, 0.0555555527420223, 0.055555552742022285]","[0.4999999280000011, 0.18145158290322458, 0.24999996400000052, 0.16666667266666632, 0.1666666726666663]","[0.49999997467820056, 0.19758059480573678, 0.24999998733910028, 0.18750000169205497, 0.1875000016920548]","[0.48387096774193544, 0.0967741935483871, 0.1814515829032249, 0.06048387096774193, 0.0604838609677418]","[0.4838709677419354, 0.09677419354838707, 0.19758059480573714, 0.06048387096774192, 0.060483870967741965]","[0.48387096774193544, 0.18145158290322458, 0.24193548387096764, 0.0967741935483866, 0.08064516129032241]","[0.4838709677419354, 0.19758059480573714, 0.2419354838709677, 0.09677419354838736, 0.08064516129032251]","[0.4999999280000009, 0.12499998199999995, 0.12500002999999968, 0.05555554755555566, 0.05555554755555566]","[0.49999997467820056, 0.12499999366955014, 0.12500001055074977, 0.0555555527420223, 0.055555552742022285]","[0.4999999280000009, 0.12500002999999968, 0.24999996400000052, 0.12499998199999995, 0.12500002999999968]","[0.49999997467820056, 0.12500001055074977, 0.24999998733910028, 0.1249999936695502, 0.12500001055074977]","[0.3333333453333326, 0.16666667266666607, 0.16666668066666634, 0.08333332133333338, 0.08333332133333338]","[0.3750000033841096, 0.18749999266776202, 0.18750000169205513, 0.0625000005640183, 0.06250000056401843]","[0.33333336133333313, 0.16666668066666623, 0.24999996400000046, 0.16666667266666632, 0.1666666726666663]","[0.3750000033841097, 0.1875000016920548, 0.18750000169205513, 0.1875000016920548, 0.1875000016920548]"
3,"[0.4047619202164466, 0.10714286123376576, 0.1428571483116877, 0.027573514411763922, 0.029411884705886644]","[0.4047619144585949, 0.10714285714285712, 0.14285714285714277, 0.02757351486673013, 0.02941188106615899]","[0.4411762305882292, 0.22058811529411232, 0.22058811529411174, 0.14285714831168647, 0.20238096010822357]","[0.4411762378676819, 0.22058811893384103, 0.22058811893384103, 0.14285714285714277, 0.20238095722929744]","[0.44117623058822464, 0.20710809313726522, 0.22058811529411174, 0.027573514411763922, 0.029411884705886644]","[0.4411762378676818, 0.20710808555449783, 0.2205881189338409, 0.02757351486673013, 0.02941188106615899]","[0.4411762305882292, 0.22058811529411232, 0.22058811529411174, 0.08823565411765993, 0.10355404656863261]","[0.4411762378676818, 0.22058811893384103, 0.22058811893384103, 0.08823564319847714, 0.10355404277724901]","[0.40476192021644714, 0.10714286123376576, 0.1428571483116877, 0.1428571101298752, 0.07142857415584324]","[0.4047619144585949, 0.10714285714285712, 0.14285714285714277, 0.14285712831210784, 0.07142857142857142]","[0.42857144493506305, 0.14285711012987518, 0.21428572246753225, 0.14285714831168647, 0.20238096010822357]","[0.4285714285714285, 0.14285714285714257, 0.21428571428571433, 0.14285714285714277, 0.20238095722929744]","[0.42857144166233785, 0.21428565974025252, 0.14285714722078002, 0.07142855324674979, 0.05357141493506252]","[0.42857143480501664, 0.2142856883124307, 0.14285714493500545, 0.0714285627708103, 0.0535714220781077]","[0.4285714416623417, 0.21428572083117042, 0.21428565974024907, 0.10714286041558363, 0.10714282987012429]","[0.42857143480501664, 0.21428571740250832, 0.2142856883124309, 0.1071428587012542, 0.10714284415621535]"
4,"[0.4137930784482737, 0.08759123749563041, 0.1379310563577603, 0.07299269791302553, 0.05357144327731343]","[0.41379310990674334, 0.08759124087591243, 0.13793103663558112, 0.07299270072992703, 0.05357144313463904]","[0.4379561874781536, 0.1964285484873907, 0.21897809373907648, 0.20689653922413684, 0.14285713815126003]","[0.4379562043795621, 0.20802915596790808, 0.2189781021897811, 0.20689655495337167, 0.14285713819691553]","[0.4137930784482737, 0.13793105635775993, 0.1379310563577603, 0.089655154913792, 0.1034482696120691]","[0.41379310990674334, 0.1379310210276179, 0.13793103663558112, 0.08965517069153513, 0.10344827747668596]","[0.41379316907328095, 0.17931030982758273, 0.179310309827584, 0.20689653922413684, 0.1379310563577603]","[0.41379310990674345, 0.17931034138307023, 0.17931034138307023, 0.20689655495337167, 0.1379310366355811]","[0.4285714144537801, 0.10714285361344515, 0.19642854848739189, 0.10714285361344623, 0.05357144327731177]","[0.4285714145907466, 0.10714285364768666, 0.20535714431346389, 0.10714285364768665, 0.05357144313463904]","[0.4285714144537806, 0.19642854848739189, 0.2142857072268905, 0.10714288655462353, 0.14285713815126003]","[0.4285714145907466, 0.20535714431346389, 0.2142857072953733, 0.10714288626927808, 0.14285713819691553]","[0.43795618747815396, 0.08759123749563041, 0.16058397400020658, 0.07299269791302553, 0.07299271720880073]","[0.4379562043795621, 0.08759124087591243, 0.20802915596790789, 0.07299270072992703, 0.07299270072992704]","[0.43795618747815485, 0.16058397400020658, 0.21897809373907656, 0.14598543441760145, 0.10948904686953805]","[0.4379562043795621, 0.20802915596790789, 0.2189781021897811, 0.14598540145985409, 0.10948905109489053]"
5,"[0.1999999999999994, 0.11111113111110861, 0.16666669666666295, 0.06349206492063551, 0.05555556555555431]","[0.19999999999999984, 0.1333333160786442, 0.18181819593565504, 0.060606065311885, 0.06060606531188498]","[0.33333339333332584, 0.31746026460317917, 0.28571426793651006, 0.19999999999999937, 0.1999999999999994]","[0.39999994823593266, 0.3484848367202881, 0.2857142673092863, 0.19999999999999982, 0.19999999999999982]","[0.1999999999999994, 0.11111113111110861, 0.16666669666666295, 0.199999999999999, 0.06666666666666789]","[0.19999999999999982, 0.1333333160786442, 0.19999997411796636, 0.19999999999999976, 0.06666666666666672]","[0.33333339333332584, 0.1999999999999984, 0.2000000000000034, 0.1999999999999994, 0.1999999999999994]","[0.39999994823593266, 0.20000000000000023, 0.19999999999999976, 0.19999999999999982, 0.19999999999999982]","[0.2857142679365124, 0.14285714952380774, 0.21428570873015718, 0.14285713396825472, 0.07142857476190519]","[0.2857142673092861, 0.1428571497590174, 0.25000001207828143, 0.14285713365464245, 0.07142857487950868]","[0.2857142990476169, 0.2142857087301588, 0.28571426793650945, 0.14285714952380968, 0.1428571339682562]","[0.28571429951803584, 0.25000001207828143, 0.2857142673092863, 0.14285714975901748, 0.142857133654643]","[0.3174602646031792, 0.19047616476190712, 0.16666669666666264, 0.0634920649206355, 0.055555565555554305]","[0.34848483672028746, 0.1818181648772141, 0.18181819593565499, 0.060606065311885, 0.06060606531188498]","[0.33333339333332584, 0.31746026460317917, 0.1904761947619065, 0.19047616476190762, 0.09523808238095297]","[0.3636363918713101, 0.34848483672028746, 0.18181819593565499, 0.1818181648772142, 0.09090908243860706]"
6,"[0.2857142966233784, 0.048780487051739804, 0.19512197908561996, 0.04109589386166266, 0.03794037881801986]","[0.2857143068721484, 0.05187317239993531, 0.1821326759202719, 0.041095893757228934, 0.04034580075550519]","[0.3414634093621787, 0.2876712210457249, 0.34146340936218356, 0.17073170468108897, 0.1428571483116892]","[0.36311220679954714, 0.2876712214037862, 0.36311220679954614, 0.1815561033997733, 0.1428571534360742]","[0.2857142966233772, 0.1428571483116892, 0.2142857033766224, 0.09523809887446086, 0.07142857415584454]","[0.2857143068721484, 0.1428571534360748, 0.2738095070595492, 0.09523810229071626, 0.07142857671803728]","[0.2857142966233772, 0.21428570337661967, 0.28571429662338166, 0.14285714831168855, 0.1428571483116892]","[0.2857143068721493, 0.27380950705954876, 0.2857143068721484, 0.14285715343607447, 0.1428571534360742]","[0.2876712210457249, 0.25570777945848566, 0.2876712210457286, 0.04109589386166301, 0.041095888720817375]","[0.28767122140378604, 0.25570777894697166, 0.2876712214037862, 0.041095893757228934, 0.04109588877196945]","[0.2876712570316411, 0.2876712210457249, 0.2876712210457286, 0.12785388972924283, 0.09589040701524243]","[0.28767125630060253, 0.2876712214037862, 0.28767122140378704, 0.12785388947348456, 0.09589040713459626]","[0.3414634093621787, 0.048780487051739804, 0.19512197908561996, 0.17073170468108897, 0.03794037881801986]","[0.36311220679954614, 0.05187317239993531, 0.1821326759202719, 0.1815561033997731, 0.04034580075550519]","[0.3414634093621787, 0.1951219790856212, 0.3414634093621792, 0.17073170468108897, 0.09756098954280998]","[0.36311220679954714, 0.1821326759202719, 0.36311220679954614, 0.18155610339977327, 0.09106633796013588]"
7,"[0.28571428336134225, 0.12500002250000605, 0.19565217353329875, 0.0694444419444439, 0.021739132333515584]","[0.28571428571428575, 0.11111113406142081, 0.195652177791969, 0.07142857142857142, 0.021739130865774323]","[0.41666665166666494, 0.21428570428571714, 0.28571428336134286, 0.19565217353329598, 0.14285714168067112]","[0.44444439854382484, 0.2857142500138055, 0.2857142857142857, 0.19565217779196942, 0.14285714285714288]","[0.28571428336134225, 0.14285714991596676, 0.2142857042857169, 0.07142857084033571, 0.07142857495798333]","[0.28571428571428575, 0.14285714285714285, 0.2857142500138053, 0.07142857142857142, 0.07142857142857142]","[0.2857142998319334, 0.2142857042857169, 0.28571428336134286, 0.14285714991596676, 0.14285714168067112]","[0.2857142857142858, 0.2857142500138053, 0.2857142857142857, 0.14285714285714285, 0.14285714285714288]","[0.3913043470665905, 0.19565217353329525, 0.19565217353329875, 0.10507245838837376, 0.021739132333515584]","[0.391304355583938, 0.19565215796634886, 0.19565217779196892, 0.10507246254697293, 0.021739130865774323]","[0.3913043470665975, 0.21014491677674874, 0.19565219100164027, 0.19565217353329525, 0.09782608676664763]","[0.391304355583938, 0.21014492509394586, 0.19565217779196892, 0.19565217779196942, 0.09782607898317443]","[0.41666665166666494, 0.12500002250000605, 0.20833332583332734, 0.06944444194444416, 0.041666674166668805]","[0.4444443985438247, 0.11111113406142081, 0.22222219927191236, 0.07407406642397081, 0.03703704468714029]","[0.41666665166666494, 0.2083333258333326, 0.20833332583332734, 0.1250000225000064, 0.12500002250000605]","[0.44444439854382484, 0.22222219927191242, 0.22222219927191236, 0.11111113406142081, 0.11111113406142105]"
8,"[0.2500000180000559, 0.2068965517241346, 0.1588235338057025, 0.04166666699999965, 0.034482758620688427]","[0.2749999980011831, 0.20689655672117954, 0.15000002798343226, 0.03750000699585803, 0.03448275945353006]","[0.42352940631015895, 0.2500000180000435, 0.2499999699999294, 0.183908035977012, 0.12500000900002795]","[0.4235294063133875, 0.27499999800118324, 0.2749999980011835, 0.18390804236803698, 0.13749999900059143]","[0.367816071954024, 0.2068965517241346, 0.20689655172413646, 0.10344827586207073, 0.03448275862069078]","[0.36781608473607397, 0.2068965567211796, 0.20689655672117926, 0.1034482783605879, 0.03448275945353006]","[0.4137931034482729, 0.20689655172414145, 0.20689655172414098, 0.183908035977012, 0.06896551724137381]","[0.4137931134423592, 0.20689655672117968, 0.20689655672117926, 0.18390804236803698, 0.06896551890706044]","[0.42352940631015895, 0.2117647031550796, 0.15882353380570496, 0.04705882292335099, 0.04705882292335099]","[0.42352940631338737, 0.2117647031566937, 0.15882353380310463, 0.04705882292370972, 0.04705882292370972]","[0.42352940631015895, 0.21176470315508056, 0.21176471603386968, 0.1588235338057049, 0.1058823515775398]","[0.4235294063133875, 0.211764716027862, 0.2117647031566937, 0.15882353380310463, 0.10588235157834686]","[0.2500000180000559, 0.2499999699998856, 0.16666666800002938, 0.04166666699999965, 0.12499998499996587]","[0.2749999980011831, 0.2749999980011831, 0.1500000279834317, 0.03750000699585803, 0.13749999900059143]","[0.3333333359999955, 0.25000001800004334, 0.2499999699999294, 0.12499998499994341, 0.12500000900002795]","[0.30000005596686424, 0.2749999980011831, 0.2749999980011835, 0.13749999900059226, 0.13749999900059143]"
9,"[0.29629628029629573, 0.14814816714814802, 0.09090910890908735, 0.06382979414313408, 0.0425531903984525]","[0.31578957696227083, 0.15789478848113556, 0.09574469579964243, 0.06382979409864536, 0.04255319040547712]","[0.38297871358607255, 0.19148935679303633, 0.2962962802962957, 0.19148935679303644, 0.185185175185185]","[0.3829787136492937, 0.21052625382263743, 0.31578957696227083, 0.19148935682464682, 0.21052625382263734]","[0.29629628029629573, 0.14814816714814802, 0.185185175185185, 0.09259258759259306, 0.07407407007407384]","[0.31578957696227083, 0.15789478848113556, 0.21052625382263726, 0.10526312691131873, 0.07894739424056782]","[0.2962963342962967, 0.18518517518518596, 0.2962962802962957, 0.14814814014814787, 0.185185175185185]","[0.31578957696227106, 0.21052625382263743, 0.31578957696227083, 0.15789478848113564, 0.2105262538226376]","[0.3636363476363659, 0.1818181738181843, 0.09090910890908735, 0.09090908690909151, 0.09090908690909194]","[0.3829787136492937, 0.19148935682464696, 0.09574469579964243, 0.09574467841232326, 0.09574467841232355]","[0.36363634763636865, 0.18181821781817478, 0.18181817381818224, 0.1818181738181849, 0.18181817381818297]","[0.3829787136492937, 0.19148939159928485, 0.19148935682464668, 0.19148935682464682, 0.19148935682464685]","[0.38297871358607255, 0.17021275304835728, 0.19148935679303633, 0.06382979414313408, 0.042553190398452505]","[0.38297871364929365, 0.18085106771370685, 0.1914893568246469, 0.06382979409864536, 0.04255319040547712]","[0.38297871358607255, 0.19148935679303633, 0.19148938242940222, 0.19148935679303644, 0.1702127530483569]","[0.3829787136492941, 0.1914893568246469, 0.1914893822959362, 0.19148935682464685, 0.18085106771370682]"
10,"[0.3157894836842125, 0.08633093400179864, 0.2158273639628277, 0.05263158061403543, 0.03703703828703701]","[0.2903227614465373, 0.09090906955730699, 0.2060606516110783, 0.052631581142862545, 0.0322580846051708]","[0.34532373600719524, 0.22222222128472202, 0.34532373600719485, 0.15789474184210625, 0.11111109798611134]","[0.36363627822922795, 0.29032245006638924, 0.3636362782292283, 0.15789473380219038, 0.14516122503319423]","[0.34532373600719457, 0.08633093400179864, 0.2158273639628277, 0.11510791200239816, 0.05755395600119864]","[0.36363627822922795, 0.09090906955730699, 0.2060606516110783, 0.121212092743076, 0.060606046371537915]","[0.34532373600719457, 0.2158273639628277, 0.3453237360071948, 0.11510791200239827, 0.10791368198141385]","[0.36363627822922795, 0.2060606516110783, 0.3636362782292283, 0.121212092743076, 0.1030303258055391]","[0.33333334458333297, 0.11111109798611131, 0.22222222128472202, 0.11111111486111096, 0.03703703828703701]","[0.29032276144653724, 0.14516122503319462, 0.29032245006638935, 0.09677425381551295, 0.0322580846051708]","[0.3333333445833331, 0.22222222128472202, 0.33333334458333297, 0.11111111486111117, 0.11111109798611134]","[0.29032276144653724, 0.29032245006638924, 0.29032276144653746, 0.14516122503319476, 0.14516122503319423]","[0.31578948368421095, 0.10526316122807032, 0.2158273639628277, 0.05263158061403543, 0.10526316122807083]","[0.31578946760438037, 0.10526315586812693, 0.26315789769231546, 0.052631581142862545, 0.10526315586812664]","[0.31578948368421095, 0.21582736396282737, 0.31578948368421256, 0.15789474184210625, 0.10526316122807083]","[0.3157894676043808, 0.263157897692315, 0.3157894868571752, 0.15789473380219018, 0.10526315586812678]"
