Trial,PCM,pcm_1,pcm_2,pcm_3,pcm_4,pcm_5,,w_L,w_U
1,1,1.0,1.0,1.0,2.0,1.0,,0.2156862745098035,0.23529411764705901
1,1,1.0,1.0,3.0,2.0,1.0,,0.23529411764705843,0.23529411764705843
1,1,1.0,0.3333333333333333,1.0,1.0,1.0,,0.07843137254901944,0.21568627450980393
1,1,0.5,0.5,1.0,1.0,1.0,,0.11764705882352955,0.21568627450980293
1,1,1.0,1.0,1.0,1.0,1.0,,0.21568627450980382,0.2352941176470592

1,2,1.0,1.0,1.0,2.0,1.0,,0.2222222222222209,0.22222222222222227
1,2,1.0,1.0,2.0,2.0,1.0,,0.22222222222222185,0.22222222222222185
1,2,1.0,0.5,1.0,2.0,1.0,,0.11111111111111108,0.2222222222222244
1,2,0.5,0.5,0.5,1.0,1.0,,0.1111111111111111,0.22222222222222246
1,2,1.0,1.0,1.0,1.0,1.0,,0.22222222222222054,0.22222222222222054

2,1,1.0,1.0,1.0,2.0,1.0,,0.2307692307692302,0.23076923076923084
2,1,1.0,1.0,1.0,2.0,1.0,,0.23076923076923053,0.23076923076923053
2,1,1.0,1.0,1.0,3.0,1.0,,0.23076923076923053,0.23076923076923114
2,1,0.5,0.5,0.3333333333333333,1.0,1.0,,0.0769230769230771,0.15384615384615366
2,1,1.0,1.0,1.0,1.0,1.0,,0.15384615384615383,0.2307692307692304

2,2,1.0,1.0,1.0,1.0,1.0,,0.22222222222222218,0.22222222222222246
2,2,1.0,1.0,2.0,2.0,1.0,,0.2222222222222224,0.2222222222222224
2,2,1.0,0.5,1.0,2.0,1.0,,0.11111111111111119,0.22222222222222196
2,2,1.0,0.5,0.5,1.0,1.0,,0.11111111111111122,0.2222222222222224
2,2,1.0,1.0,1.0,1.0,1.0,,0.22222222222222204,0.22222222222222204

3,1,1.0,1.0,2.0,1.0,1.0,,0.21212121212121263,0.24242424242424115
3,1,1.0,1.0,2.0,4.0,1.0,,0.24242424242424115,0.2424242424242443
3,1,0.5,0.5,1.0,3.0,1.0,,0.12121212121212135,0.2121212121212123
3,1,1.0,0.25,0.3333333333333333,1.0,1.0,,0.06060606060606107,0.21212121212121282
3,1,1.0,1.0,1.0,1.0,1.0,,0.21212121212121213,0.24242424242424113

3,2,1.0,1.0,1.0,2.0,1.0,,0.22222222222222196,0.22222222222222204
3,2,1.0,1.0,3.0,2.0,1.0,,0.22222222222222276,0.24999999999999992
3,2,1.0,0.3333333333333333,1.0,2.0,1.0,,0.08333333333333301,0.22222222222222202
3,2,0.5,0.5,0.5,1.0,1.0,,0.11111111111111109,0.22222222222222152
3,2,1.0,1.0,1.0,1.0,1.0,,0.22222222222222224,0.22222222222222254

4,1,1.0,1.0,1.0,1.0,1.0,,0.1999999999999999,0.20000000000000004
4,1,1.0,1.0,1.0,2.0,1.0,,0.19999999999999984,0.19999999999999996
4,1,1.0,1.0,1.0,3.0,1.0,,0.2,0.30000000000000027
4,1,1.0,0.5,0.3333333333333333,1.0,1.0,,0.09999999999999987,0.19999999999999968
4,1,1.0,1.0,1.0,1.0,1.0,,0.1999999999999998,0.1999999999999998

4,2,1.0,2.0,1.0,2.0,1.0,,0.23529411764705882,0.23529411764705882
4,2,0.5,1.0,1.0,2.0,1.0,,0.11764705882352913,0.2352941176470588
4,2,1.0,1.0,1.0,4.0,1.0,,0.2352941176470594,0.23529411764705946
4,2,0.5,0.5,0.25,1.0,1.0,,0.058823529411764865,0.17647058823529366
4,2,1.0,1.0,1.0,1.0,1.0,,0.17647058823529352,0.23529411764705888

5,1,1.0,2.0,1.0,2.0,1.0,,0.22222222222222232,0.22222222222222232
5,1,0.5,1.0,2.0,1.0,1.0,,0.111111111111111,0.22222222222222268
5,1,1.0,0.5,1.0,2.0,1.0,,0.1111111111111113,0.2222222222222224
5,1,0.5,1.0,0.5,1.0,1.0,,0.11111111111111116,0.2222222222222218
5,1,1.0,1.0,1.0,1.0,1.0,,0.2222222222222224,0.22222222222222254

5,2,1.0,1.0,2.0,2.0,1.0,,0.22222222222222213,0.22222222222222218
5,2,1.0,1.0,2.0,1.0,1.0,,0.22222222222222224,0.22222222222222224
5,2,0.5,0.5,1.0,2.0,1.0,,0.11111111111111102,0.2222222222222209
5,2,0.5,1.0,0.5,1.0,1.0,,0.1111111111111111,0.22222222222222146
5,2,1.0,1.0,1.0,1.0,1.0,,0.22222222222222218,0.2222222222222235

6,1,1.0,1.0,1.0,2.0,1.0,,0.19999999999999962,0.20000000000000034
6,1,1.0,1.0,1.0,3.0,1.0,,0.19999999999999818,0.29999999999999916
6,1,1.0,1.0,1.0,1.0,1.0,,0.1999999999999994,0.1999999999999994
6,1,0.5,0.3333333333333333,1.0,1.0,1.0,,0.1000000000000002,0.2000000000000005
6,1,1.0,1.0,1.0,1.0,1.0,,0.20000000000000062,0.20000000000000084

6,2,1.0,1.0,1.0,1.0,1.0,,0.22222222222222215,0.2222222222222224
6,2,1.0,1.0,2.0,2.0,1.0,,0.22222222222222196,0.22222222222222196
6,2,1.0,0.5,1.0,4.0,1.0,,0.11111111111111138,0.2666666666666669
6,2,1.0,0.5,0.25,1.0,1.0,,0.06666666666666672,0.22222222222222227
6,2,1.0,1.0,1.0,1.0,1.0,,0.22222222222222204,0.22222222222222238

7,1,1.0,2.0,1.0,2.0,1.0,,0.23076923076923064,0.230769230769231
7,1,0.5,1.0,3.0,2.0,1.0,,0.11538461538461502,0.2307692307692306
7,1,1.0,0.3333333333333333,1.0,2.0,1.0,,0.07692307692307679,0.23076923076923092
7,1,0.5,0.5,0.5,1.0,1.0,,0.11538461538461557,0.23076923076923053
7,1,1.0,1.0,1.0,1.0,1.0,,0.23076923076923062,0.23076923076923062

7,2,1.0,1.0,1.0,2.0,1.0,,0.22222222222222235,0.22222222222222235
7,2,1.0,1.0,1.0,2.0,1.0,,0.2222222222222218,0.22222222222222204
7,2,1.0,1.0,1.0,2.0,1.0,,0.2222222222222221,0.2222222222222221
7,2,0.5,0.5,0.5,1.0,2.0,,0.11111111111111122,0.2222222222222222
7,2,1.0,1.0,1.0,0.5,1.0,,0.11111111111111133,0.22222222222222232

8,1,1.0,1.0,1.0,5.0,1.0,,0.23809523809523792,0.23809523809523872
8,1,1.0,1.0,2.0,4.0,1.0,,0.23809523809523755,0.23809523809523792
8,1,1.0,0.5,1.0,1.0,1.0,,0.11904761904761976,0.23809523809523792
8,1,0.2,0.25,1.0,1.0,1.0,,0.04761904761904774,0.16666666666666613
8,1,1.0,1.0,1.0,1.0,1.0,,0.1666666666666655,0.2380952380952379

8,2,1.0,1.0,1.0,1.0,1.0,,0.19999999999999954,0.20000000000000012
8,2,1.0,1.0,2.0,3.0,1.0,,0.20000000000000004,0.29999999999999993
8,2,1.0,0.5,1.0,1.0,1.0,,0.14999999999999983,0.1999999999999996
8,2,1.0,0.3333333333333333,1.0,1.0,1.0,,0.10000000000000023,0.2000000000000001
8,2,1.0,1.0,1.0,1.0,1.0,,0.20000000000000004,0.20000000000000004

9,1,1.0,1.0,1.0,3.0,1.0,,0.23529411764705854,0.23529411764705882
9,1,1.0,1.0,1.0,1.0,1.0,,0.17647058823529466,0.2352941176470588
9,1,1.0,1.0,1.0,4.0,1.0,,0.2352941176470586,0.23529411764705888
9,1,0.3333333333333333,1.0,0.25,1.0,1.0,,0.05882352941176472,0.17647058823529435
9,1,1.0,1.0,1.0,1.0,1.0,,0.17647058823529388,0.23529411764705888

9,2,1.0,1.0,1.0,3.0,1.0,,0.2307692307692305,0.2307692307692305
9,2,1.0,1.0,2.0,2.0,1.0,,0.2307692307692306,0.2307692307692306
9,2,1.0,0.5,1.0,2.0,1.0,,0.1153846153846155,0.2307692307692312
9,2,0.3333333333333333,0.5,0.5,1.0,1.0,,0.07692307692307679,0.19230769230769193
9,2,1.0,1.0,1.0,1.0,1.0,,0.19230769230769265,0.23076923076923092

10,1,1.0,1.0,1.0,2.0,1.0,,0.23076923076923098,0.23076923076923098
10,1,1.0,1.0,3.0,2.0,1.0,,0.23076923076923025,0.2307692307692309
10,1,1.0,0.3333333333333333,1.0,3.0,1.0,,0.0769230769230771,0.23076923076923084
