entani論文のCommonGround_wᴸ,解の非唯一性考慮のCommonGround_wᵁ_2,entani論文のCommonGround_wᴸ_2,Trial,解の非唯一性考慮のCommonGround_wᵁ,解の非唯一性考慮のCommonGround_wᴸ_2,解の非唯一性考慮のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ,entani論文のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ_1,解の非唯一性考慮のCommonGround_wᵁ_1,解の非唯一性考慮のCommonGround_wᴸ,entani論文のCommonGround_wᵁ_2
E,r,E,1,r,E,E,r,E,r,r,E,r
E,r,E,2,r,E,E,r,E,r,r,E,r
"[0.22222221222222316, 0.24242421742424206, 0.12121210871212103, 0.11111110611111158, 0.22222221222222316]","[0.2222222572222219, 0.24999995500000047, 0.22222221222222224, 0.22222221222222224, 0.2222222572222219]","[0.22222221222222316, 0.222222257222219, 0.08333331833333472, 0.11111110611111158, 0.22222221222222316]",3,"[0.2222222572222219, 0.2424242724242414, 0.2121212246212117, 0.20202036702019818, 0.2222222572222219]","[0.22222221222222224, 0.2222222572222219, 0.08333331833333348, 0.11111110611111112, 0.22222221222222224]","[0.2121212246212117, 0.2424242174242433, 0.12121210871212165, 0.06060606810606035, 0.2121212246212117]","[0.222222257222219, 0.24242427242424291, 0.20202025202020013, 0.19191924941919059, 0.222222257222219]","[0.2121212246212123, 0.24242421742424206, 0.12121210871212103, 0.06060606810606073, 0.2121212246212123]","[0.24242421742424206, 0.24242427242424291, 0.2121212246212123, 0.2121212246212123, 0.24242421742424206]","[0.2424242174242433, 0.2424242724242414, 0.2121212246212117, 0.2121212246212117, 0.2424242174242433]","[0.22222221222222224, 0.2424242174242433, 0.12121210871212165, 0.11111110611111112, 0.22222221222222224]","[0.222222257222219, 0.2499999550000042, 0.22222221222222316, 0.22222221222222316, 0.222222257222219]"
E,r,E,4,r,E,E,r,E,r,r,E,r
"[0.2222222222222222, 0.22222221222222444, 0.1111111111111111, 0.1111111111111111, 0.22222221222222271]","[0.2222222242222222, 0.2222222242222222, 0.2222222242222222, 0.2222222242222222, 0.22222222422222226]","[0.2222222222222222, 0.22222221222222444, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222]",5,"[0.2222222242222222, 0.2222222242222222, 0.2222222242222222, 0.2222222242222222, 0.22222222422222226]","[0.2222222242222222, 0.2222222152222221, 0.1111111121111111, 0.1111111121111111, 0.2222222242222222]","[0.2222222242222222, 0.11111110408333345, 0.1111111121111111, 0.1111111121111111, 0.22222222422222226]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.22222222222222227, 0.2222222222222222]","[0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.22222221222222271]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.22222222222222227, 0.2222222222222222]","[0.2222222242222222, 0.2222222242222222, 0.2222222242222222, 0.2222222242222222, 0.22222222422222226]","[0.2222222242222222, 0.2222222152222221, 0.1111111121111111, 0.1111111121111111, 0.22222222422222226]","[0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.22222222222222232, 0.2222222222222222]"
E,r,E,6,r,E,E,r,E,r,r,E,r
E,r,E,7,r,E,E,r,E,r,r,E,r
E,r,E,8,r,E,E,r,E,r,r,E,r
E,r,E,9,r,E,E,r,E,r,r,E,r
E,r,E,10,r,E,E,r,E,r,r,E,r
E,r,E,11,r,E,E,r,E,r,r,E,r
E,r,E,12,r,E,E,r,E,r,r,E,r
E,r,E,13,r,E,E,r,E,r,r,E,r
E,r,E,14,r,E,E,r,E,r,r,E,r
E,r,E,15,r,E,E,r,E,r,r,E,r
"[0.20000000666666687, 0.20000000666666695, 0.1999999983333333, 0.19999996416666507, 0.1999999983333333]","[0.2666666566666669, 0.20000001499999967, 0.2, 0.2, 0.2]","[0.20000000666666687, 0.1999999983333333, 0.1999999983333333, 0.13333332666666645, 0.1999999983333333]",16,"[0.2000000114333331, 0.20000001499999967, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.13333332833333345, 0.2]","[0.2, 0.2, 0.15999999542666674, 0.07999999771333337, 0.2]","[0.20000001583333418, 0.20000000666666695, 0.20000000666666687, 0.1999999983333333, 0.20000000666666695]","[0.20000000666666687, 0.20000000666666695, 0.1599999883333328, 0.0799999941666664, 0.1999999983333333]","[0.20000001583333418, 0.3199999766666656, 0.20000000666666687, 0.1999999983333333, 0.20000000666666695]","[0.2000000114333331, 0.31999999085333347, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.2, 0.19999997356666724, 0.2]","[0.2666666533333329, 0.20000000666666695, 0.20000000666666687, 0.1999999983333333, 0.20000000666666687]"
E,"[0.23076923934065927, 0.23076923934065927, 0.23076920219780256, 0.23076920219780256, 0.23076923934065927]",E,17,"[0.23076923934065927, 0.23076923934065927, 0.23076920219780256, 0.2115384693956043, 0.23076923934065927]","[0.23076920219780256, 0.23076923934065927, 0.11538461967032963, 0.11538459647664848, 0.11538461967032963]","[0.23076920219780256, 0.23076923934065927, 0.11538461967032963, 0.07692307978021976, 0.2115384693956043]",r,E,r,"[0.23076923934065927, 0.23076923934065927, 0.23076920219780256, 0.2115384693956043, 0.23076923934065927]","[0.23076920219780256, 0.23076923934065927, 0.11538461967032963, 0.11538459647664848, 0.2115384693956043]",r
E,r,E,18,r,E,E,r,E,r,r,E,r
E,r,E,19,r,E,E,r,E,r,r,E,r
E,r,E,20,r,E,E,r,E,r,r,E,r
E,r,E,21,r,E,E,r,E,r,r,E,r
E,r,E,22,r,E,E,r,E,r,r,E,r
E,r,E,23,r,E,E,r,E,r,r,E,r
