entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_Ŵ,Trial,解の非唯一性考慮のPartialIncorporation_wᴸ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᵁ_1,解の非唯一性考慮のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,解の非唯一性考慮のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_Ŵ
"[0.22222221422222127, 0.22222225022222564, 0.11111114311111481, 0.2091503687973827, 0.22222219622221911]","[0.22222221422222127, 0.2352940776470621, 0.11111114311111481, 0.22222219622221911, 0.22222219622221911]","[0.22222221422222127, 0.22222221422222127, 0.11111112511111282, 0.11111110711111064, 0.22222219622221911]","[0.22222221422222127, 0.22222225022222564, 0.22222221422222127, 0.22222219622221911, 0.22222221422222127]","[0.22222221888888882, 0.22222224888888914, 0.2026144457516328, 0.11764703882352971, 0.22222221888888882]","[[0.22222221888888882, 0.23529407764705942, 0.2026144457516328, 0.11764703882352971, 0.22222221888888882], [0.22222221888888882, 0.22222224888888914, 0.2156862745098036, 0.11764703882352971, 0.22222221888888882]]",1,"[0.22222221888888882, 0.22222221888888882, 0.11111112444444457, 0.11111110944444441, 0.22222221888888882]","[0.22222221888888882, 0.22222224888888914, 0.22222221888888882, 0.22222221888888882, 0.22222221888888882]","[0.23529407764705942, 0.23529416264705816, 0.21568629450980362, 0.21568629450980362, 0.23529407764705942]","[0.2352940776470621, 0.2352941626470552, 0.21568629450980228, 0.21568629450980228, 0.2352940776470621]","[0.22222221888888882, 0.23529407764705942, 0.2156862745098036, 0.11764703882352971, 0.22222221888888882]","[0.21568629450980228, 0.2352940776470621, 0.07843138754901839, 0.11764703882353104, 0.21568629450980228]","[0.21568629450980362, 0.23529407764705942, 0.07843138754901939, 0.11764703882352971, 0.21568629450980362]","[[0.22222221422222127, 0.2352940776470621, 0.11111114311111481, 0.2091503687973827, 0.22222219622221911], [0.22222221422222127, 0.22222225022222564, 0.11111114311111481, 0.22222219622221911, 0.22222219622221911]]"
"[0.22222221422222216, 0.22222225022222242, 0.22222221422222216, 0.08547011347008598, 0.22222221422222216]","[0.23076922410256392, 0.23076922410256392, 0.23076922410256392, 0.11111110711111108, 0.22222221422222216]","[0.22222221422222216, 0.22222221422222216, 0.11111112511111121, 0.11111110711111108, 0.22222221422222216]","[0.22222221422222216, 0.22222225022222242, 0.22222221422222216, 0.22222221422222216, 0.22222221422222216]","[0.22222221555555538, 0.22222224555555622, 0.22222221555555538, 0.08547011213675204, 0.22222221555555538]","[[0.2307692241025642, 0.2307692241025642, 0.2307692241025642, 0.08547011213675204, 0.22222221555555538], [0.22222221555555538, 0.22222224555555622, 0.22222221555555538, 0.11111110777777769, 0.22222221555555538]]",2,"[0.22222221555555538, 0.22222221555555538, 0.11111112277777811, 0.11111110777777769, 0.22222221555555538]","[0.22222221555555538, 0.22222224555555622, 0.22222221555555538, 0.22222221555555538, 0.22222221555555538]","[0.2307692241025642, 0.2307692241025642, 0.23076924576923052, 0.15384616384615368, 0.2307692241025642]","[0.23076922410256392, 0.2307692241025639, 0.23076924576923116, 0.1538461530128205, 0.23076922410256392]","[0.2307692241025642, 0.2307692241025642, 0.2307692241025642, 0.11111110777777769, 0.22222221555555538]","[0.23076922410256392, 0.2307692241025639, 0.23076922410256392, 0.07692308192307705, 0.1538461530128205]","[0.2307692241025642, 0.2307692241025642, 0.2307692241025642, 0.07692308192307684, 0.15384616384615368]","[[0.23076922410256392, 0.23076922410256392, 0.23076922410256392, 0.08547011347008598, 0.22222221422222216], [0.22222221422222216, 0.22222225022222242, 0.22222221422222216, 0.11111110711111108, 0.22222221422222216]]"
"[0.222222257222219, 0.24242425042424257, 0.12121212521212128, 0.19191910991919814, 0.222222257222219]","[0.222222257222219, 0.24242425042424257, 0.12121212521212128, 0.19191910991919814, 0.222222257222219]","[0.22222221222222316, 0.222222257222219, 0.08333331833333472, 0.11111110611111158, 0.22222221222222316]","[0.222222257222219, 0.2499999550000042, 0.22222221222222316, 0.22222221222222316, 0.222222257222219]","[0.22222225722222233, 0.2424242464242422, 0.20202013302020205, 0.11111110611111111, 0.2222222572222223]","[[0.22222225722222233, 0.2424242464242422, 0.20202013302020205, 0.11111110611111111, 0.2222222572222223], [0.2222222572222223, 0.2424242464242422, 0.20202013302020205, 0.11111110611111111, 0.2222222572222223]]",3,"[0.22222221222222222, 0.2222222572222223, 0.08333331833333325, 0.11111110611111111, 0.22222221222222222]","[0.2222222572222223, 0.24999995499999977, 0.22222221222222222, 0.22222221222222222, 0.2222222572222223]","[0.2424242464242422, 0.2424242464242422, 0.21212119912121272, 0.21212119912121272, 0.2424242464242422]","[0.24242425042424257, 0.24242425042424257, 0.21212118612121175, 0.21212118612121175, 0.24242425042424257]","[0.22222225722222233, 0.2424242464242422, 0.20202013302020205, 0.11111110611111111, 0.2222222572222223]","[0.21212118612121175, 0.24242425042424257, 0.12121212521212128, 0.06060606260606064, 0.21212118612121175]","[0.21212119912121272, 0.2424242464242422, 0.1212121232121211, 0.06060606160606055, 0.21212119912121272]","[[0.222222257222219, 0.24242425042424257, 0.12121212521212128, 0.19191910991919814, 0.222222257222219], [0.222222257222219, 0.24242425042424257, 0.12121212521212128, 0.19191910991919817, 0.222222257222219]]"
"[0.2000000599999995, 0.2000000599999995, 0.23529410621848773, 0.1294116675630256, 0.2000000599999995]","[0.23529410621848773, 0.2000000599999995, 0.23529410621848773, 0.1647057137815138, 0.2000000599999995]","[0.23529410621848773, 0.11764707739495746, 0.23529410621848773, 0.05882352655462193, 0.17647055537815215]","[0.23529415478991492, 0.23529410621848773, 0.23529410621848773, 0.17647055537815215, 0.23529410621848773]","[0.2000000599999981, 0.2000000599999981, 0.23529411764705882, 0.12352938576470729, 0.2000000599999981]","[[0.2000000599999981, 0.2000000599999981, 0.23529411764705882, 0.1647057023529468, 0.2000000599999981], [0.23529411764705882, 0.2000000599999981, 0.23529411764705882, 0.12352938576470729, 0.2058823189411769]]",4,"[0.23529411764705882, 0.11764705882352941, 0.23529411764705882, 0.058823529411764705, 0.2058823189411769]","[0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.2058823189411769, 0.23529411764705882]","[0.2000000599999981, 0.2000000599999981, 0.2999998650000043, 0.1999999600000013, 0.2000000599999981]","[0.2000000599999995, 0.2000000599999995, 0.2999998650000012, 0.19999996000000034, 0.2000000599999995]","[0.23529411764705882, 0.2000000599999981, 0.23529411764705882, 0.1647057023529468, 0.2058823189411769]","[0.19999996000000034, 0.2000000599999995, 0.2000000599999995, 0.0999999550000004, 0.19999996000000034]","[0.1999999600000013, 0.2000000599999981, 0.2000000599999981, 0.09999995500000143, 0.1999999600000013]","[[0.2000000599999995, 0.2000000599999995, 0.23529410621848773, 0.1647057137815138, 0.2000000599999995], [0.23529410621848773, 0.2000000599999995, 0.23529410621848773, 0.1294116675630256, 0.2000000599999995]]"
"[0.22222223555555368, 0.22222222198412792, 0.11111110992063392, 0.22222221055555666, 0.22222222198412792]","[0.2222222355555537, 0.22222222198412792, 0.11111110992063392, 0.22222221055555666, 0.22222222198412792]","[0.2222222169841274, 0.2222222169841274, 0.1111111084920637, 0.11111111015873053, 0.2222222169841274]","[0.22222223555555368, 0.2222222169841274, 0.22222222031746106, 0.22222222198412792, 0.2222222169841274]","[0.2222222309722222, 0.2222222197222222, 0.22222221731507502, 0.11111110865753751, 0.22222222333294295]","[[0.2222222309722222, 0.2222222197222222, 0.22222221731507502, 0.11111110865753751, 0.22222222333294295], [0.2222222309722222, 0.2222222197222222, 0.22222221731507502, 0.11111110865753762, 0.22222222333294295]]",5,"[0.2222222197222222, 0.2222222197222222, 0.1111111098611111, 0.1111111098611111, 0.2222222197222222]","[0.22222223097222218, 0.2222222197222222, 0.2222222197222222, 0.2222222197222222, 0.2222222197222222]","[0.22222222936329586, 0.2222222213311487, 0.22222221731507502, 0.22222221530703815, 0.22222222333294295]","[0.2222222355555537, 0.22222222126984112, 0.2222222141269848, 0.22222221055555666, 0.22222222198412792]","[0.2222222309722222, 0.2222222197222222, 0.22222221731507502, 0.11111110865753751, 0.22222222333294295]","[0.2222222141269848, 0.11111111777777685, 0.11111111063492056, 0.1111111070634924, 0.22222221055555666]","[0.22222221731507502, 0.11111111468164793, 0.11111111066557434, 0.11111110865753751, 0.22222221530703815]","[[0.2222222355555537, 0.22222222198412792, 0.11111110992063392, 0.22222221055555666, 0.22222222198412792], [0.22222223555555368, 0.22222222198412792, 0.11111110992063392, 0.22222221055555666, 0.22222222198412792]]"
"[0.20000006000000817, 0.22222219722222164, 0.20000006000000817, 0.13333334833332705, 0.20000006000000817]","[0.22222219722222164, 0.22222219722222164, 0.20000006000000817, 0.17777762277775386, 0.22222219722222164]","[0.22222219722222164, 0.22222219722222164, 0.11111121111111338, 0.06666663666666599, 0.22222219722222164]","[0.22222219722222164, 0.22222242222222677, 0.26666654666666395, 0.22222219722222164, 0.22222219722222164]","[0.2000000599999981, 0.22222242222221905, 0.2000000599999981, 0.1333331233333377, 0.2000000599999981]","[[0.2000000599999981, 0.266666696666668, 0.2000000599999981, 0.1333331233333377, 0.2000000599999981], [0.2222221972222226, 0.22222242222221905, 0.2000000599999981, 0.1333331233333377, 0.2222221972222226]]",6,"[0.2222221972222226, 0.2222221972222226, 0.11111121111110953, 0.06666663666666714, 0.2222221972222226]","[0.2222221972222226, 0.22222242222221905, 0.26666654666666856, 0.2222221972222226, 0.2222221972222226]","[0.2000000599999981, 0.2999998650000044, 0.2000000599999981, 0.1999999600000013, 0.2000000599999981]","[0.20000006000000817, 0.2999998649999817, 0.20000006000000817, 0.19999995999999456, 0.20000006000000817]","[0.2222221972222226, 0.266666696666668, 0.2000000599999981, 0.1333331233333377, 0.2222221972222226]","[0.20000006000000817, 0.20000006000000817, 0.19999995999999456, 0.09999995499999391, 0.19999995999999456]","[0.2000000599999981, 0.2000000599999981, 0.1999999600000013, 0.09999995500000147, 0.1999999600000013]","[[0.20000006000000817, 0.22222219722222164, 0.20000006000000817, 0.17777762277775386, 0.20000006000000817], [0.22222219722222164, 0.22222219722222164, 0.20000006000000817, 0.13333334833332705, 0.22222219722222164]]"
"[0.22222222222222224, 0.20085475085470092, 0.22222222222222224, 0.11111112111111074, 0.22222222222222224]","[0.23076921076923074, 0.22222221222222258, 0.22222222222222224, 0.11538460538461537, 0.23076921076923074]","[0.22222222222222224, 0.22222221222222258, 0.22222222222222224, 0.11111111111111112, 0.11111111111111112]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.22222222222222224]","[0.22222222222222224, 0.20085472859138617, 0.22222222222222224, 0.11111112011111102, 0.22222222222222224]","[[0.23076921967455669, 0.20085472859138617, 0.22222222222222224, 0.11538460983727834, 0.23076921967455669], [0.22222222222222224, 0.22222221322222224, 0.22222222222222224, 0.11111112011111102, 0.22222222222222224]]",7,"[0.22222222222222224, 0.22222221322222224, 0.22222222222222224, 0.11111111111111112, 0.11111111111111109]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.22222222222222218, 0.22222222222222224]","[0.23076926775147774, 0.23076921967455669, 0.23076921967455669, 0.23076921967455669, 0.23076921967455669]","[0.23076921076923074, 0.2307692757692309, 0.23076921076923074, 0.23076921076923074, 0.23076921076923074]","[0.23076921967455669, 0.22222221322222224, 0.22222222222222224, 0.11538460983727834, 0.23076921967455669]","[0.23076921076923074, 0.11538460538461537, 0.07692309192307696, 0.11538460538461537, 0.23076921076923074]","[0.23076921967455669, 0.11538463387573887, 0.07692307322485223, 0.11538460983727834, 0.23076921967455669]","[[0.23076921076923074, 0.20085475085470092, 0.22222222222222224, 0.11538460538461537, 0.23076921076923074], [0.22222222222222224, 0.22222221222222258, 0.22222222222222224, 0.11111112111111074, 0.22222222222222224]]"
"[0.20000001599999964, 0.23809524578754623, 0.16190470621245487, 0.16190481852014724, 0.20000001599999964]","[0.238095213479852, 0.23809524578754623, 0.16190470621245487, 0.20000001599999964, 0.20000001599999964]","[0.20000001599999964, 0.20000001599999964, 0.1499999820000004, 0.09999998800000026, 0.20000001599999964]","[0.20000001599999964, 0.2999999640000008, 0.20000001599999964, 0.20000001599999964, 0.20000001599999964]","[0.20000005500000645, 0.23809523809523814, 0.20000005500000645, 0.12142854873625486, 0.20000005500000645]","[[0.23809523809523808, 0.23809523809523814, 0.20000005500000645, 0.12142854873625486, 0.2023809200732624], [0.20000005500000645, 0.27857128626372585, 0.20000005500000645, 0.12142854873625486, 0.20000005500000645]]",8,"[0.20000005500000645, 0.20000005500000645, 0.1636363336363601, 0.10909088909090674, 0.20000005500000645]","[0.20000005500000645, 0.3272726672727202, 0.20000005500000645, 0.20000005500000645, 0.20000005500000645]","[0.23809523809523808, 0.23809523809523814, 0.23809523809523808, 0.2023809200732624, 0.23809523809523808]","[0.23809524578754623, 0.23809524578754623, 0.238095213479852, 0.16666663974358809, 0.23809524578754623]","[0.23809523809523808, 0.27857128626372585, 0.20000005500000645, 0.12142854873625486, 0.2023809200732624]","[0.238095213479852, 0.23809524578754623, 0.11904762289377312, 0.047619049157509245, 0.16666663974358809]","[0.23809523809523808, 0.23809523809523808, 0.11904761904761907, 0.047619047619047616, 0.2023809200732624]","[[0.238095213479852, 0.23809524578754623, 0.16190470621245487, 0.16190481852014724, 0.20000001599999964], [0.20000001599999964, 0.23809524578754623, 0.16190470621245487, 0.20000001599999964, 0.20000001599999964]]"
"[0.2307692393406589, 0.23076920219780372, 0.2307692393406589, 0.0678734731674307, 0.2307692393406589]","[0.2352940426470533, 0.23076920219780372, 0.2352940426470533, 0.07692307978021963, 0.2307692393406589]","[0.2307692393406589, 0.23076920219780372, 0.11538461967032945, 0.07692307978021963, 0.19230769945054912]","[0.2307692393406589, 0.2307692393406589, 0.2307692393406589, 0.19230769945054912, 0.23076920219780372]","[0.23076924791208833, 0.22171965844214248, 0.23076924791208833, 0.07692308263736278, 0.23076917362637217]","[[0.2352940426470613, 0.22171965844214248, 0.2352940426470613, 0.07692308263736278, 0.23076917362637217], [0.23076924791208833, 0.23076924791208833, 0.23076924791208833, 0.07692308263736278, 0.23076917362637217]]",9,"[0.23076924791208833, 0.23076924791208833, 0.11538462395604417, 0.07692308263736278, 0.21153844010988962]","[0.23076924791208833, 0.23076924791208833, 0.23076924791208833, 0.21153844010988962, 0.23076924791208833]","[0.2352940426470613, 0.2352940426470613, 0.2352942976470528, 0.17647063823529244, 0.2352940426470613]","[0.2352940426470533, 0.2352940426470533, 0.23529429764707205, 0.17647063823529777, 0.2352940426470533]","[0.2352940426470613, 0.23076924791208833, 0.2352940426470613, 0.07692308263736278, 0.23076917362637217]","[0.2352940426470533, 0.17647063823529777, 0.2352940426470533, 0.05882357441176801, 0.17647063823529777]","[0.2352940426470613, 0.17647063823529244, 0.2352940426470613, 0.0588235744117632, 0.17647063823529244]","[[0.2352940426470533, 0.23076920219780372, 0.2352940426470533, 0.0678734731674307, 0.2307692393406589], [0.2307692393406589, 0.23076920219780372, 0.2307692393406589, 0.07692307978021963, 0.2307692393406589]]"
"[0.22222225022222242, 0.2222222142222223, 0.22222221422222216, 0.08547012204151339, 0.22222221422222216]","[0.23076922434065955, 0.23076922434065955, 0.22222221422222216, 0.11111110711111108, 0.23076921505494535]","[0.22222221422222216, 0.11111112511111121, 0.22222221422222216, 0.11111110711111108, 0.22222221422222216]","[0.22222225022222242, 0.22222221422222216, 0.22222221422222216, 0.22222221422222216, 0.22222221422222216]","[0.22222224555555548, 0.2222222155555556, 0.2222222155555556, 0.08547011031856955, 0.2222222155555556]","[[0.2307692266783218, 0.2307692266783218, 0.2222222155555556, 0.08547011031856955, 0.23076922076923112], [0.22222224555555548, 0.2222222155555556, 0.2222222155555556, 0.1111111077777778, 0.2222222155555556]]",10,"[0.2222222155555556, 0.11111112277777774, 0.2222222155555556, 0.1111111077777778, 0.2222222155555556]","[0.22222224555555548, 0.2222222155555556, 0.2222222155555556, 0.2222222155555556, 0.2222222155555556]","[0.2307692266783218, 0.23076924440559402, 0.2307692266783218, 0.23076922076923112, 0.2307692266783218]","[0.23076922434065955, 0.2307692521978016, 0.23076922434065955, 0.23076921505494535, 0.23076922434065955]","[0.2307692266783218, 0.2307692266783218, 0.2222222155555556, 0.1111111077777778, 0.23076922076923112]","[0.23076922434065955, 0.23076922434065955, 0.07692308406593386, 0.07692307478021986, 0.23076921505494535]","[0.2307692266783218, 0.2307692266783218, 0.07692308146853134, 0.0769230755594406, 0.23076922076923112]","[[0.23076922434065955, 0.23076922434065955, 0.22222221422222216, 0.08547012204151339, 0.23076921505494535], [0.22222225022222242, 0.2222222142222223, 0.22222221422222216, 0.11111110711111108, 0.22222221422222216]]"
