解の非唯一性考慮のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ_2,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᵁ_1,Trial,解の非唯一性考慮のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᴸ_2,解の非唯一性考慮のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᴸ_1
"[0.2222222321895427, 0.22222223218954257, 0.2222222321895427, 0.2222221873366007, 0.2222222321895427]","[0.23529407764706187, 0.2352941626470556, 0.22222223222222348, 0.2222221872222179, 0.23529407764706192]","[0.23529407777777792, 0.2352941624999998, 0.21568629444444437, 0.21568629444444437, 0.23529407777777792]","[0.21568629450980237, 0.22222223222222343, 0.07843138754901853, 0.11111111611111169, 0.21568629450980226]","[0.22222223222222343, 0.22222223222222343, 0.22222223222222348, 0.2222221872222179, 0.22222223222222343]","[0.23529407777777792, 0.2352941624999998, 0.2222222321895427, 0.2222221873366007, 0.23529407777777792]","[0.23529407764706187, 0.2352941626470556, 0.21568629450980226, 0.21568629450980226, 0.23529407764706192]",1,"[0.21568629444444437, 0.2222222321895427, 0.07843138749999992, 0.11111111609477135, 0.21568629444444437]","[0.21568629444444437, 0.23529407777777792, 0.07843138749999992, 0.11764703888888896, 0.21568629444444437]","[0.22222223222222343, 0.22222223222222343, 0.11111111611111171, 0.11111111611111174, 0.2222221872222179]","[0.2222222321895427, 0.22222223218954257, 0.11111111609477128, 0.11111111609477135, 0.2222221873366007]","[0.21568629450980237, 0.23529407764706192, 0.07843138754901853, 0.11764703882353093, 0.21568629450980226]"
"[0.22222222866096888, 0.22222222866096888, 0.22222221900284891, 0.22222221900284891, 0.22222222866096888]","[0.23076922410256379, 0.23076922410256384, 0.23076924576923144, 0.2222222193650796, 0.23076922410256379]","[0.23076922433048436, 0.23076922433048436, 0.23076924525641024, 0.1538461635042735, 0.23076922433048436]","[0.2222222193650796, 0.2222222193650798, 0.11111112253968192, 0.07692308192307713, 0.1538461638461543]","[0.2222222193650797, 0.22222224507936383, 0.22222221936507966, 0.2222222193650796, 0.22222221936508013]","[0.23076922433048436, 0.23076922433048436, 0.23076924525641024, 0.22222221900284891, 0.23076922433048436]","[0.23076922410256379, 0.23076922410256384, 0.23076924576923144, 0.1538461638461543, 0.23076922410256379]",2,"[0.22222221900284891, 0.22222222866096888, 0.11111111433048444, 0.07692308175213675, 0.1538461635042735]","[0.23076922433048436, 0.23076922433048436, 0.23076922433048436, 0.07692308175213675, 0.1538461635042735]","[0.2222222193650796, 0.2222222193650797, 0.11111112253968192, 0.11111110968253983, 0.2222222193650796]","[0.22222221900284891, 0.22222222866096888, 0.11111111433048444, 0.11111110950142446, 0.22222221900284891]","[0.23076922410256379, 0.23076922410256379, 0.23076922410256379, 0.07692308192307713, 0.1538461638461543]"
"[0.22222225669191764, 0.2499999556818201, 0.2222222123737378, 0.2222222123737378, 0.22222225669191764]","[0.24242421742424206, 0.24999995500000413, 0.22222221222222313, 0.22222221222222313, 0.24242421742424206]","[0.24242421780303178, 0.24242427196969524, 0.21212122443181747, 0.21212122443181747, 0.24242421780303178]","[0.2121212246212123, 0.222222257222219, 0.08333331833333472, 0.06060606810606073, 0.2121212246212123]","[0.222222257222219, 0.2499999550000042, 0.22222221222222313, 0.22222221222222313, 0.222222257222219]","[0.24242421780303178, 0.2499999556818201, 0.2222222123737378, 0.2222222123737378, 0.24242421780303178]","[0.24242421742424206, 0.24242427242424291, 0.2121212246212123, 0.2121212246212123, 0.24242421742424206]",3,"[0.21212122443181747, 0.22222225669191764, 0.0833333185606067, 0.06060606799242381, 0.21212122443181747]","[0.21212122443181747, 0.24242421780303178, 0.12121210890151589, 0.06060606799242381, 0.21212122443181747]","[0.22222221222222313, 0.222222257222219, 0.08333331833333472, 0.11111110611111157, 0.22222221222222313]","[0.2222222123737378, 0.22222225669191764, 0.0833333185606067, 0.1111111061868689, 0.2222222123737378]","[0.2121212246212123, 0.24242421742424206, 0.12121210871212103, 0.06060606810606073, 0.2121212246212123]"
"[0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.20588231914117863, 0.23529411764705882]","[0.23529410995475136, 0.23529410995475125, 0.2999998650000007, 0.1999999600000002, 0.2352941099547513]","[0.20000005964705167, 0.20000005964705167, 0.2999998657941336, 0.19999996023529887, 0.20000005964705167]","[0.1999999600000002, 0.11764705497737565, 0.20000005999999965, 0.058823534027149196, 0.1999999600000002]","[0.2352941099547513, 0.23529410995475128, 0.23529413610859679, 0.1999999600000002, 0.23529410995475128]","[0.23529411764705882, 0.23529411764705882, 0.2999998657941336, 0.20588231914117863, 0.23529411764705882]","[0.2000000599999997, 0.20000005999999965, 0.2999998650000007, 0.1999999600000002, 0.20000005999999965]",4,"[0.19999996023529887, 0.11764705882352941, 0.20000005964705167, 0.058823529411764705, 0.19999996023529887]","[0.19999996023529887, 0.20000005964705167, 0.20000005964705167, 0.0999999552647112, 0.19999996023529887]","[0.23529410995475128, 0.11764705497737565, 0.23529410995475128, 0.058823534027149196, 0.1999999600000002]","[0.23529411764705882, 0.11764705882352941, 0.23529411764705882, 0.058823529411764705, 0.20588231914117863]","[0.1999999600000002, 0.20000005999999954, 0.20000005999999965, 0.09999995500000024, 0.1999999600000002]"
"[0.22222222411111117, 0.22222222411111117, 0.22222222411111117, 0.22222222411111117, 0.22222222411111117]","[0.22222222222222168, 0.2222222222222226, 0.2222222222222218, 0.2222222222222218, 0.2222222222222221]","[0.22222222411111117, 0.22222222411111117, 0.22222222411111117, 0.22222222411111117, 0.22222222411111117]","[0.22222222222222168, 0.1111111111111123, 0.11111111111111127, 0.11111111111111086, 0.2222222222222221]","[0.22222222888888604, 0.22222222888888715, 0.2222222222222216, 0.22222222222222182, 0.2222222055555616]","[0.22222222411111117, 0.22222222411111117, 0.22222222411111117, 0.22222222411111117, 0.22222222411111117]","[0.22222222222222174, 0.22222222222222257, 0.22222222222222163, 0.2222222222222223, 0.22222222222222207]",5,"[0.22222222411111117, 0.11111111205555559, 0.11111111205555559, 0.11111111205555559, 0.22222222411111117]","[0.22222222411111117, 0.11111111205555559, 0.11111111205555559, 0.11111111205555559, 0.22222222411111117]","[0.22222220555556157, 0.2222222222222218, 0.11111111444444295, 0.11111111111111097, 0.2222222055555616]","[0.22222222411111117, 0.22222221561111094, 0.11111111205555559, 0.11111111205555559, 0.22222222411111117]","[0.22222222222222174, 0.1111111111111123, 0.11111111111111127, 0.11111111111111086, 0.22222222222222207]"
"[0.22222219708333618, 0.22222242333331052, 0.2666665460000137, 0.22222219708333618, 0.22222219708333618]","[0.22222219722222164, 0.2999998649999812, 0.2666665466666638, 0.22222219722222164, 0.22222219722222164]","[0.20000006033332632, 0.29999986425001574, 0.20000006033332632, 0.19999995977778245, 0.20000006033332632]","[0.2000000600000083, 0.2000000600000083, 0.1111112111111135, 0.06666663666666595, 0.19999995999999448]","[0.22222219722222164, 0.222222422222227, 0.2666665466666638, 0.22222219722222164, 0.22222219722222164]","[0.22222219708333618, 0.29999986425001574, 0.2666665460000137, 0.22222219708333618, 0.22222219708333618]","[0.2000000600000083, 0.2999998649999813, 0.2000000600000083, 0.19999995999999448, 0.2000000600000083]",6,"[0.20000006033332632, 0.20000006033332632, 0.11111121166665526, 0.06666663650000343, 0.19999995977778245]","[0.20000006033332632, 0.20000006033332632, 0.19999995977778245, 0.09999995475000525, 0.19999995977778245]","[0.22222219722222164, 0.22222219722222164, 0.1111112111111135, 0.06666663666666595, 0.22222219722222164]","[0.22222219708333618, 0.22222219708333618, 0.11111121166665526, 0.06666663650000343, 0.22222219708333618]","[0.2000000600000083, 0.2000000600000083, 0.19999995999999445, 0.09999995499999378, 0.19999995999999448]"
"[0.22222222401282066, 0.22222222401282066, 0.22222222401282066, 0.22222222401282044, 0.22222222401282066]","[0.23076921076923074, 0.23076927576923068, 0.23076921076923074, 0.23076921076923074, 0.23076921076923074]","[0.23076926520381205, 0.23076922043885642, 0.23076922043885642, 0.23076922043885642, 0.23076922043885642]","[0.222222224040404, 0.11538460538461537, 0.07692309192307689, 0.111111112020202, 0.11111111202020202]","[0.222222224040404, 0.22222222404040332, 0.222222224040404, 0.22222222404040404, 0.2222222240404042]","[0.23076926520381205, 0.23076922043885642, 0.23076922043885642, 0.23076922043885642, 0.23076922043885642]","[0.23076921076923074, 0.23076927576923068, 0.23076921076923074, 0.23076921076923074, 0.23076921076923074]",7,"[0.22222222401282066, 0.11538463260190603, 0.07692307347961881, 0.11111111200641033, 0.11111111200641022]","[0.23076922043885642, 0.11538463260190603, 0.07692307347961881, 0.11538461021942821, 0.23076922043885642]","[0.222222224040404, 0.2222222158585856, 0.222222224040404, 0.111111112020202, 0.11111111202020202]","[0.22222222401282066, 0.22222222401282066, 0.22222221595512814, 0.11111111200641033, 0.11111111200641022]","[0.23076921076923074, 0.11538460538461537, 0.07692309192307689, 0.11538460538461537, 0.23076921076923074]"
"[0.20000005529166798, 0.327272666954544, 0.20000005529166798, 0.20000005529166798, 0.20000005529166798]","[0.2380952255952374, 0.2999999640000007, 0.2380952255952374, 0.20000001599999967, 0.2380952255952374]","[0.23809522552895007, 0.23809527830735963, 0.23809522552895007, 0.20238095489420996, 0.23809522552895007]","[0.20000001599999967, 0.2000000159999997, 0.11904763904762009, 0.04761904511904748, 0.20000001599999967]","[0.2000000159999997, 0.29999996400000084, 0.20000001599999967, 0.20000001599999967, 0.2000000159999997]","[0.23809522552895007, 0.327272666954544, 0.23809522552895007, 0.20238095489420996, 0.23809522552895007]","[0.2380952255952374, 0.23809527809524017, 0.2380952255952374, 0.20000001599999967, 0.2380952255952374]",8,"[0.20000005529166798, 0.20000005529166798, 0.11904763915367982, 0.047619045105790014, 0.20000005529166798]","[0.23809522552895007, 0.23809522552895007, 0.11904763915367982, 0.047619045105790014, 0.20238095489420996]","[0.20000001599999967, 0.2000000159999997, 0.14999998200000042, 0.09999998800000034, 0.20000001599999967]","[0.20000005529166798, 0.20000005529166798, 0.163636333477272, 0.109090888984848, 0.20000005529166798]","[0.2380952255952374, 0.2380952255952374, 0.11904763904762009, 0.04761904511904748, 0.20000001599999967]"
"[0.23076924714608993, 0.23076924714608993, 0.23076924714608993, 0.21153844106738753, 0.23076924714608993]","[0.23529404264705311, 0.2352940426470543, 0.23529429764707155, 0.19230766230769586, 0.23529404264705314]","[0.23529404599830242, 0.23529404599830242, 0.23529428960407425, 0.17647063600113172, 0.23529404599830242]","[0.2307692393406583, 0.17647063823529768, 0.11538461967032937, 0.05882357441176789, 0.17647063823529768]","[0.2307692393406583, 0.23076923934065874, 0.23076923934065846, 0.19230766230769586, 0.23076923934065832]","[0.23529404599830242, 0.23529404599830242, 0.23529428960407425, 0.21153844106738753, 0.23529404599830242]","[0.23529404264705311, 0.2352940426470543, 0.23529429764707155, 0.17647063823529768, 0.23529404264705314]",9,"[0.23076924714608993, 0.17647063600113172, 0.11538462357304496, 0.05882357240101856, 0.17647063600113172]","[0.23529404599830242, 0.17647063600113172, 0.23529404599830242, 0.05882357240101856, 0.17647063600113172]","[0.2307692393406583, 0.23076923934065832, 0.11538461967032937, 0.07692307978021944, 0.19230766230769555]","[0.23076924714608993, 0.23076924714608993, 0.11538462357304496, 0.07692308238202997, 0.21153844106738753]","[0.23529404264705311, 0.17647063823529768, 0.23529404264705378, 0.05882357441176789, 0.17647063823529768]"
"[0.22222224706552732, 0.2222222191168091, 0.2222222191168091, 0.2222222191168091, 0.2222222191168091]","[0.23076922434065952, 0.23076925219780167, 0.23076922434065952, 0.23076921505494544, 0.2307692243406595]","[0.23076922695804203, 0.23076924347319322, 0.23076922695804203, 0.23076922145299167, 0.23076922695804203]","[0.2222222193650794, 0.11111112253968251, 0.07692308406593389, 0.07692307478021984, 0.2222222193650794]","[0.22222224507936503, 0.2222222193650793, 0.22222221936507958, 0.22222221936507935, 0.2222222193650794]","[0.23076922695804203, 0.23076924347319322, 0.23076922695804203, 0.23076922145299167, 0.23076922695804203]","[0.23076922434065952, 0.23076925219780167, 0.23076922434065952, 0.23076921505494544, 0.2307692243406595]",10,"[0.2222222191168091, 0.11111112353276366, 0.07692308115773108, 0.07692307565268068, 0.2222222191168091]","[0.23076922695804203, 0.23076922695804203, 0.07692308115773108, 0.07692307565268068, 0.23076922145299167]","[0.2222222193650794, 0.11111112253968251, 0.22222221936507958, 0.11111110968253979, 0.22222221936507908]","[0.2222222191168091, 0.11111112353276366, 0.2222222191168091, 0.11111110955840454, 0.2222222191168091]","[0.23076922434065952, 0.23076922434065944, 0.07692308406593389, 0.07692307478021984, 0.23076921505494544]"
